Thirteen	CD	thirteen
younger	JJR	young
white	JJ	white
men	NNS	man
,	,	,
you	PP	you
know	VBP	know
,	,	,
want	VBP	want
to	TO	to
raise	VB	raise
their	PP$	their
children	NNS	child
,	,	,
want	VBP	want
to	TO	to
be	VB	be
home	RB	home
more	JJR	more
,	,	,
want	VBP	want
to	TO	to
have	VB	have
more	JJR	more
flexibility	NN	flexibility
.	SENT	.
I	PP	I
think	VBP	think
the	DT	the
setup	NN	setup
of	IN	of
work	NN	work
is	VBZ	be
something	NN	something
that	RB	that
'	POS	'
s	NN	S
not	RB	not
working	VBG	work
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
us	PP	us
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
thread	NN	thread
throughout	IN	throughout
the	DT	the
book	NN	book
around	IN	around
permission	NN	permission
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
all	RB	all
have	VB	have
to	TO	to
give	VB	give
ourselves	PP	ourselves
permission	NN	permission
and	CC	and
give	VB	give
each	DT	each
other	JJ	other
permission	NN	permission
to	TO	to
talk	VB	talk
about	IN	about
things	NNS	thing
that	IN	that
we	PP	we
'	POS	'
re	NN	re
told	VBD	tell
not	RB	not
to	TO	to
talk	VB	talk
about	RB	about
,	,	,
things	NNS	thing
we	PP	we
'	POS	'
re	NN	re
taught	VBD	teach
to	TO	to
believe	VB	believe
.	SENT	.
And	CC	and
so	RB	so
much	JJ	much
of	IN	of
what	WP	what
this	DT	this
book	NN	book
is	VBZ	be
about	RB	about
is	VBZ	be
rewriting	VBG	rewrite
success	NN	success
and	CC	and
leadership	NN	leadership
.	SENT	.
My	PP$	my
parents	NNS	parent
were	VBD	be
immigrants	NNS	immigrant
to	TO	to
this	DT	this
country	NN	country
.	SENT	.
So	IN	so
being	VBG	be
the	DT	the
child	NN	child
of	IN	of
immigrants	NNS	immigrant
,	,	,
you	PP	you
are	VBP	be
taught	VBN	teach
it	PP	it
to	TO	to
work	VB	work
hard	RB	hard
and	CC	and
sacrifice	VB	sacrifice
a	DT	a
lot	NN	lot
to	TO	to
kind	NN	kind
of	IN	of
,	,	,
move	VB	move
ahead	RB	ahead
and	CC	and
find	VB	find
stability	NN	stability
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
just	RB	just
think	VBP	think
it	PP	it
'	''	'
s	NN	S
part	NN	part
of	IN	of
understanding	VBG	understand
that	IN	that
some	DT	some
of	IN	of
these	DT	these
things	NNS	thing
are	VBP	be
things	NNS	thing
we	PP	we
'	''	'
re	IN	re
all	DT	all
taught	VBN	teach
and	CC	and
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
rewrite	VB	rewrite
them	PP	them
for	IN	for
everybody	NN	everybody
.	SENT	.
WPR	NN	WPR
:	:	:
We	PP	we
have	VBP	have
another	DT	another
voice	NN	voice
,	,	,
another	DT	another
woman	NN	woman
,	,	,
Sophia	NP	Sophia
,	,	,
who	WP	who
is	VBZ	be
here	RB	here
to	TO	to
share	VB	share
her	PP$	her
story	NN	story
as	IN	as
well	RB	well
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
it	PP	it
'	''	'
ll	NN	ll
be	VB	be
great	JJ	great
to	TO	to
hear	VB	hear
from	IN	from
her	PP	her
.	SENT	.
DP	NP	DP
:	:	:
Hi	UH	hi
,	,	,
Sophia	NP	Sophia
.	SENT	.
I	PP	I
actually	RB	actually
name	VB	name
you	PP	you
in	IN	in
the	DT	the
book	NN	book
.	SENT	.
So	RB	so
you	PP	you
are	VBP	be
named	VBN	name
in	IN	in
the	DT	the
book	NN	book
,	,	,
I	PP	I
should	MD	should
just	RB	just
say	VB	say
that	IN	that
in	IN	in
the	DT	the
beginning	NN	beginning
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
love	NN	love
if	IN	if
you	PP	you
would	MD	would
share	VB	share
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
,	,	,
you	PP	you
know	VBP	know
,	,	,
as	IN	as
a	DT	a
woman	NN	woman
of	IN	of
color	NN	color
navigating	VBG	navigate
work	NN	work
spaces	NNS	space
,	,	,
an	DT	an
example	NN	example
of	IN	of
when	WRB	when
you	PP	you
didn	NP	<unknown>
'	POS	'
t	NN	t
feel	VBP	feel
powerful	JJ	powerful
or	CC	or
how	WRB	how
you	PP	you
kind	RB	kind
of	IN	of
navigate	VB	navigate
power	NN	power
,	,	,
we	PP	we
can	MD	can
unpack	VB	unpack
that	IN	that
a	DT	a
little	JJ	little
bit	NN	bit
.	SENT	.
Sophia	NP	Sophia
:	:	:
Yeah	RB	yeah
,	,	,
my	PP$	my
pleasure	NN	pleasure
,	,	,
thank	VB	thank
you	PP	you
.	SENT	.
This	DT	this
conversation	NN	conversation
is	VBZ	be
,	,	,
like	VB	like
,	,	,
giving	VBG	give
me	PP	me
shivers	VBZ	shiver
.	SENT	.
My	PP$	my
family	NN	family
and	CC	and
I	PP	I
,	,	,
we	PP	we
came	VBD	come
to	TO	to
the	DT	the
States	NNS	state
when	WRB	when
I	PP	I
was	VBD	be
five	CD	five
years	NNS	year
old	JJ	old
.	SENT	.
And	CC	and
as	IN	as
so	RB	so
many	JJ	many
first-generation	NN	first-generation
immigrants	NNS	immigrant
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
poured	VBD	pour
everything	NN	everything
into	IN	into
,	,	,
kind	NN	kind
of	IN	of
embodying	VBG	embody
that	DT	that
model	NN	model
minority	NN	minority
and	CC	and
working	VBG	work
really	RB	really
hard	JJ	hard
and	CC	and
assimilating	VBG	assimilate
,	,	,
and	CC	and
all	RB	all
to	TO	to
secure	VB	secure
some	DT	some
social	JJ	social
capital	NN	capital
within	IN	within
a	DT	a
new	JJ	new
country	NN	country
,	,	,
right	RB	right
?	SENT	?
And	CC	and
then	RB	then
I	PP	I
don	VB	don
'	''	'
t	NN	t
think	VBP	think
it	PP	it
was	VBD	be
until	IN	until
my	PP$	my
early	JJ	early
30s	NNS	30s
when	WRB	when
I	PP	I
started	VBD	start
really	RB	really
reaching	VBG	reach
some	DT	some
heights	NNS	height
in	IN	in
my	PP$	my
career	NN	career
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
all	DT	all
of	IN	of
that	DT	that
success	NN	success
,	,	,
there	EX	there
was	VBD	be
the	DT	the
sense	NN	sense
that	IN	that
something	NN	something
was	VBD	be
missing	VBG	miss
.	SENT	.
For	IN	for
me	PP	me
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
work	NN	work
and	CC	and
the	DT	the
pivot	NN	pivot
came	VBD	come
in	IN	in
taking	VBG	take
a	DT	a
step	NN	step
back	RB	back
and	CC	and
going	VBG	go
on	IN	on
this	DT	this
healing	NN	healing
journey	NN	journey
of	IN	of
reclaiming	VBG	reclaim
the	DT	the
intrinsic	JJ	intrinsic
pride	NN	pride
and	CC	and
belonging	NN	belonging
and	CC	and
sense	NN	sense
of	IN	of
self-worth	NN	self-worth
that	IN	that
didn	NP	<unknown>
'	POS	'
t	NN	t
come	VBN	come
from	IN	from
being	VBG	be
productive	JJ	productive
or	CC	or
achieving	VBG	achieve
my	PP$	my
professional	JJ	professional
goals	NNS	goal
.	SENT	.
It	PP	it
came	VBD	come
from	IN	from
an	DT	an
understanding	NN	understanding
of	IN	of
where	WRB	where
I	PP	I
came	VBD	come
from	IN	from
and	CC	and
my	PP$	my
heritage	NN	heritage
and	CC	and
these	DT	these
kind	NN	kind
of	IN	of
deeper	JJR	deep
aspects	NNS	aspect
of	IN	of
my	PP$	my
identity	NN	identity
.	SENT	.
So	RB	so
along	IN	along
the	DT	the
way	NN	way
,	,	,
I	PP	I
started	VBD	start
a	DT	a
social	JJ	social
enterprise	NN	enterprise
called	VBD	call
This	DT	this
Same	JJ	same
Sky	NN	sky
.	SENT	.
And	CC	and
we	PP	we
now	RB	now
work	VBP	work
with	IN	with
multi-generational	JJ	multi-generational
artisans	NNS	artisan
in	IN	in
India	NP	India
and	CC	and
Africa	NP	Africa
,	,	,
we	PP	we
provide	VBP	provide
them	PP	them
with	IN	with
a	DT	a
dignified	JJ	dignified
livelihood	NN	livelihood
.	SENT	.
And	CC	and
we	PP	we
create	VBP	create
accessories	NNS	accessory
that	WDT	that
help	VBP	help
all	DT	all
of	IN	of
us	PP	us
kind	RB	kind
of	IN	of
celebrate	VB	celebrate
the	DT	the
ways	NNS	way
that	IN	that
our	PP$	our
identities	NNS	identity
are	VBP	be
unique	JJ	unique
and	CC	and
meaningful	JJ	meaningful
outside	NN	outside
of	IN	of
just	RB	just
being	VBG	be
productive	JJ	productive
.	SENT	.
DP	NP	DP
:	:	:
I	PP	I
know	VBP	know
so	RB	so
many	JJ	many
women	NNS	woman
of	IN	of
color	NN	color
I	PP	I
interviewed	VBD	interview
who	WP	who
won	NN	won
'	POS	'
t	NN	t
talk	NN	talk
about	IN	about
what	WP	what
they	PP	they
do	VBP	do
on	IN	on
the	DT	the
weekends	NNS	weekend
or	CC	or
won	NN	won
'	POS	'
t	NN	t
share	NN	share
that	IN	that
they	PP	they
speak	VBP	speak
another	DT	another
language	NN	language
or	CC	or
won	NN	won
'	POS	'
t	NN	t
bring	VB	bring
their	PP$	their
art	NN	art
.	SENT	.
That	DT	that
was	VBD	be
one	CD	one
one	CD	one
Black	NP	Black
women	NNS	woman
who	WP	who
told	VBD	tell
me	PP	me
a	DT	a
long	JJ	long
story	NN	story
about	IN	about
how	WRB	how
she	PP	she
wanted	VBD	want
to	TO	to
bring	VB	bring
all	PDT	all
her	PP$	her
Black	NP	Black
art	NN	art
to	TO	to
the	DT	the
office	NN	office
,	,	,
but	CC	but
she	PP	she
didn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
highlight	VB	highlight
her	PP$	her
differences	NNS	difference
.	SENT	.
And	CC	and
she	PP	she
had	VBD	have
a	DT	a
real	JJ	real
struggle	NN	struggle
about	RB	about
whether	IN	whether
or	CC	or
not	RB	not
she	PP	she
should	MD	should
share	VB	share
that	DT	that
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
shed	VB	shed
things	NNS	thing
that	DT	that
don	NN	don
'	POS	'
t	NN	t
work	NN	work
for	IN	for
us	PP	us
,	,	,
but	CC	but
we	PP	we
also	RB	also
need	VBP	need
to	TO	to
remember	VB	remember
that	IN	that
we	PP	we
actually	RB	actually
get	VBP	get
our	PP$	our
power	NN	power
from	IN	from
who	WP	who
we	PP	we
are	VBP	be
and	CC	and
our	PP$	our
lineage	NN	lineage
and	CC	and
where	WRB	where
we	PP	we
come	VBP	come
from	IN	from
and	CC	and
our	PP$	our
histories	NNS	history
.	SENT	.
What	WP	what
was	VBD	be
so	RB	so
fascinating	JJ	fascinating
to	TO	to
me	PP	me
in	IN	in
the	DT	the
500	CD	@card@
women	NNS	woman
I	PP	I
met	VBD	meet
and	CC	and
interviewed	VBD	interview
was	VBD	be
the	DT	the
pattern	NN	pattern
that	IN	that
I	PP	I
saw	VBD	see
that	IN	that
the	DT	the
most	RBS	most
senior	JJ	senior
women	NNS	woman
,	,	,
the	DT	the
ones	NNS	one
that	WDT	that
really	RB	really
reach	VBP	reach
the	DT	the
C-suite	NP	C-suite
or	CC	or
the	DT	the
top	NN	top
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
had	VBD	have
told	VBN	tell
themselves	PP	themselves
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
conform	VB	conform
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
let	VBP	let
certain	JJ	certain
things	NNS	thing
go	VBP	go
,	,	,
And	CC	and
once	RB	once
I	PP	I
get	VBP	get
to	TO	to
the	DT	the
top	NN	top
,	,	,
that	WDT	that
'	POS	'
s	NN	S
when	WRB	when
I	PP	I
'	POS	'
ll	NNS	<unknown>
be	VB	be
myself	PP	myself
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
when	WRB	when
I	PP	I
'	POS	'
ll	NNS	<unknown>
have	VBP	have
power	NN	power
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
do	VB	do
it	PP	it
my	PP$	my
way	NN	way
.	SENT	.
"	''	"
And	CC	and
unfortunately	RB	unfortunately
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
those	DT	those
women	NNS	woman
would	MD	would
share	VB	share
with	IN	with
me	PP	me
they	PP	they
had	VBD	have
less	JJR	less
ability	NN	ability
and	CC	and
less	JJR	less
power	NN	power
to	TO	to
do	VB	do
it	PP	it
their	PP$	their
way	NN	way
and	CC	and
could	MD	could
less	RBR	less
conform	VB	conform
,	,	,
less	CC	less
bring	VB	bring
in	IN	in
the	DT	the
art	NN	art
,	,	,
less	CC	less
do	VBP	do
the	DT	the
hair	NN	hair
the	DT	the
way	NN	way
they	PP	they
wanted	VBD	want
at	IN	at
those	DT	those
senior	JJ	senior
levels	NNS	level
,	,	,
because	IN	because
there	EX	there
was	VBD	be
even	RB	even
more	JJR	more
pressure	NN	pressure
to	TO	to
behave	VB	behave
in	IN	in
a	DT	a
certain	JJ	certain
way	NN	way
around	IN	around
what	WP	what
leadership	NN	leadership
look	NN	look
like	IN	like
and	CC	and
style	NN	style
look	VBP	look
like	IN	like
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
part	NN	part
of	IN	of
the	DT	the
message	NN	message
of	IN	of
the	DT	the
book	NN	book
and	CC	and
part	NN	part
of	IN	of
what	WP	what
you	PP	you
'	POS	'
re	NN	re
also	RB	also
sharing	VBG	share
in	IN	in
your	PP$	your
story	NN	story
is	VBZ	be
we	PP	we
need	VBP	need
to	TO	to
find	VB	find
power	NN	power
as	IN	as
we	PP	we
go	VBP	go
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
remember	VB	remember
and	CC	and
not	RB	not
think	VB	think
it	PP	it
'	POS	'
s	JJ	<unknown>
something	NN	something
we	PP	we
'	POS	'
ll	NNS	<unknown>
find	VBP	find
later	RBR	later
.	SENT	.
If	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
feel	VBP	feel
powerful	JJ	powerful
as	IN	as
you	PP	you
'	POS	'
re	NN	re
rising	VBG	rise
in	IN	in
the	DT	the
structure	NN	structure
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
unlikely	JJ	unlikely
you	PP	you
'	''	'
re	IN	re
going	VBG	go
to	TO	to
ultimately	RB	ultimately
get	VB	get
to	TO	to
the	DT	the
seat	NN	seat
and	CC	and
feel	VB	feel
powerful	JJ	powerful
,	,	,
because	IN	because
you	PP	you
won	VBD	win
'	''	'
t	NN	t
know	VBP	know
how	WRB	how
to	TO	to
find	VB	find
and	CC	and
access	VB	access
your	PP$	your
power	NN	power
.	SENT	.
And	CC	and
your	PP$	your
power	NN	power
comes	VBZ	come
from	IN	from
inside	NN	inside
and	CC	and
your	PP$	your
history	NN	history
.	SENT	.
S	NP	S
:	:	:
The	DT	the
cognitive	JJ	cognitive
dissonance	NN	dissonance
just	RB	just
grows	VBZ	grow
.	SENT	.
DP	NP	DP
:	:	:
Yes	UH	yes
,	,	,
exactly	RB	exactly
.	SENT	.
Well	RB	well
,	,	,
thank	VB	thank
you	PP	you
for	IN	for
sharing	VBG	share
your	PP$	your
story	NN	story
.	SENT	.
WPR	NN	WPR
:	:	:
As	IN	as
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
this	DT	this
work	NN	work
,	,	,
having	VBG	have
these	DT	these
conversations	NNS	conversation
and	CC	and
writing	VBG	write
this	DT	this
book	NN	book
,	,	,
what	WP	what
have	VBP	have
you	PP	you
--	:	--
how	WRB	how
are	VBP	be
you	PP	you
feeling	VBG	feel
,	,	,
I	PP	I
guess	VBP	guess
,	,	,
about	IN	about
the	DT	the
future	NN	future
?	SENT	?
DP	NP	DP
:	:	:
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
really	RB	really
clear	JJ	clear
about	RB	about
that	IN	that
because	IN	because
it	PP	it
is	VBZ	be
a	DT	a
very	RB	very
heavy	JJ	heavy
book	NN	book
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
lot	NN	lot
that	RB	that
'	POS	'
s	NNS	<unknown>
there	RB	there
that	WDT	that
can	MD	can
make	VB	make
you	PP	you
really	RB	really
feel	VBP	feel
sad	JJ	sad
.	SENT	.
But	CC	but
the	DT	the
overall	JJ	overall
message	NN	message
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
a	DT	a
tone	NN	tone
to	TO	to
it	PP	it
that	DT	that
is	VBZ	be
very	RB	very
powerful	JJ	powerful
,	,	,
like	VB	like
,	,	,
I	PP	I
'	POS	'
m	NN	m
very	RB	very
optimistic	JJ	optimistic
.	SENT	.
I	PP	I
met	VBD	meet
amazing	JJ	amazing
women	NNS	woman
with	IN	with
amazing	JJ	amazing
skills	NNS	skill
who	WP	who
I	PP	I
think	VBP	think
have	VB	have
different	JJ	different
visions	NNS	vision
for	IN	for
what	WP	what
our	PP$	our
future	JJ	future
looks	NNS	look
like	VBP	like
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
just	RB	just
can	MD	can
'	''	'
t	NN	t
wait	NN	wait
for	IN	for
them	PP	them
to	TO	to
have	VB	have
full	JJ	full
voice	NN	voice
and	CC	and
full	JJ	full
space	NN	space
to	TO	to
share	VB	share
those	DT	those
ideas	NNS	idea
and	CC	and
make	VB	make
it	PP	it
become	VB	become
a	DT	a
reality	NN	reality
.	SENT	.
My	PP$	my
work	NN	work
is	VBZ	be
women	NNS	woman
of	IN	of
color	NN	color
,	,	,
but	CC	but
work	NN	work
isn	NN	isn
'	POS	'
t	NN	t
working	VBG	work
for	IN	for
anybody	NN	anybody
.	SENT	.
Like	IN	like
,	,	,
I	PP	I
use	VBP	use
that	DT	that
line	NN	line
everywhere	RB	everywhere
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
remake	VB	remake
work	NN	work
so	IN	so
that	WDT	that
it	PP	it
works	VBZ	work
for	IN	for
all	DT	all
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
if	IN	if
there	EX	there
was	VBD	be
ever	RB	ever
a	DT	a
time	NN	time
to	TO	to
change	VB	change
it	PP	it
,	,	,
not	RB	not
just	RB	just
for	IN	for
women	NNS	woman
of	IN	of
color	NN	color
,	,	,
but	CC	but
for	IN	for
everybody	NN	everybody
,	,	,
it	PP	it
'	POS	'
s	NN	S
now	RB	now
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
very	RB	very
optimistic	JJ	optimistic
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
already	RB	already
see	VBP	see
change	NN	change
happening	NN	happening
.	SENT	.
I	PP	I
think	VBP	think
this	DT	this
feels	VBZ	feel
like	IN	like
a	DT	a
prime	JJ	prime
moment	NN	moment
to	TO	to
undo	VB	undo
some	DT	some
of	IN	of
the	DT	the
history	NN	history
,	,	,
some	DT	some
of	IN	of
the	DT	the
narrative	NN	narrative
,	,	,
some	DT	some
of	IN	of
the	DT	the
indoctrination	NN	indoctrination
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
that	DT	that
just	JJ	just
doesn	NN	<unknown>
'	POS	'
t	NN	t
work	NN	work
for	IN	for
us	PP	us
anymore	RB	anymore
.	SENT	.
[	SYM	[
Get	VB	get
access	NN	access
to	TO	to
thought-provoking	JJ	thought-provoking
events	NNS	event
you	PP	you
won	VBD	win
'	''	'
t	NN	t
want	VBP	want
to	TO	to
miss	NN	miss
]	SYM	]
[	SYM	[
Become	VBN	become
a	DT	a
TED	VBP	ted
Member	NP	Member
at	IN	at
ted	VB	ted
.	SENT	.
com	NN	com
/	SYM	/
membership	NN	membership
]	SYM	]
