On	IN	on
somewhere	RB	somewhere
.	SENT	.
But	CC	but
getting	VBG	get
this	DT	this
out	RB	out
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
we	PP	we
want	VBP	want
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
what	WP	what
this	DT	this
leaves	VBZ	leave
us	PP	us
as	IN	as
a	DT	a
message	NN	message
for	IN	for
all	DT	all
of	IN	of
you	PP	you
,	,	,
I	PP	I
think	VBP	think
is	VBZ	be
a	DT	a
little	JJ	little
bit	NN	bit
like	IN	like
this	DT	this
:	:	:
We	PP	we
'	POS	'
ve	NN	ve
all	RB	all
learned	VBD	learn
how	WRB	how
to	TO	to
go	VB	go
on	IN	on
Sunday	NP	Sunday
night	NN	night
to	TO	to
email	NN	<unknown>
and	CC	and
work	NN	work
from	IN	from
home	NN	home
.	SENT	.
But	CC	but
very	RB	very
few	JJ	few
of	IN	of
us	PP	us
have	VBP	have
learned	VBN	learn
how	WRB	how
to	TO	to
go	VB	go
to	TO	to
the	DT	the
movies	NNS	movie
on	IN	on
Monday	NP	Monday
afternoon	NN	afternoon
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
'	POS	'
re	NN	re
looking	VBG	look
for	IN	for
wisdom	NN	wisdom
,	,	,
we	PP	we
need	VBP	need
to	TO	to
learn	VB	learn
to	TO	to
do	VB	do
that	IN	that
as	RB	as
well	RB	well
.	SENT	.
And	CC	and
so	RB	so
,	,	,
what	WP	what
we	PP	we
'	POS	'
ve	NNS	<unknown>
done	VBN	do
all	RB	all
of	IN	of
these	DT	these
years	NNS	year
is	VBZ	be
very	RB	very
simple	JJ	simple
,	,	,
is	VBZ	be
use	VB	use
the	DT	the
little	JJ	little
tool	NN	tool
,	,	,
which	WDT	which
is	VBZ	be
ask	VB	ask
three	CD	three
whys	NNS	why
in	IN	in
a	DT	a
row	NN	row
.	SENT	.
Because	IN	because
the	DT	the
first	JJ	first
why	WRB	why
you	PP	you
always	RB	always
have	VBP	have
a	DT	a
good	JJ	good
answer	NN	answer
for	IN	for
.	SENT	.
The	DT	the
second	NN	second
why	WRB	why
,	,	,
it	PP	it
starts	VBZ	start
getting	VBG	get
difficult	JJ	difficult
.	SENT	.
By	IN	by
the	DT	the
third	JJ	third
why	WRB	why
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
really	RB	really
know	VB	know
why	WRB	why
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
what	WP	what
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
.	SENT	.
What	WP	what
I	PP	I
want	VBP	want
to	TO	to
leave	VB	leave
you	PP	you
with	IN	with
is	VBZ	be
the	DT	the
seed	NN	seed
and	CC	and
the	DT	the
thought	NN	thought
that	IN	that
maybe	RB	maybe
if	IN	if
you	PP	you
do	VBP	do
this	DT	this
,	,	,
you	PP	you
will	MD	will
come	VB	come
to	TO	to
the	DT	the
question	NN	question
,	,	,
what	WP	what
for	IN	for
?	SENT	?
What	WP	what
am	VBP	be
I	PP	I
doing	VBG	do
this	DT	this
for	IN	for
?	SENT	?
And	CC	and
hopefully	RB	hopefully
,	,	,
as	IN	as
a	DT	a
result	NN	result
of	IN	of
that	DT	that
,	,	,
and	CC	and
over	IN	over
time	NN	time
,	,	,
I	PP	I
hope	VBP	hope
that	IN	that
with	IN	with
this	DT	this
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
'	POS	'
m	NN	m
wishing	VBG	wish
you	PP	you
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
have	VBP	have
a	DT	a
much	RB	much
wiser	JJR	wise
future	NN	future
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
So	RB	so
Ricardo	NP	Ricardo
,	,	,
you	PP	you
'	POS	'
re	NN	re
kind	NN	kind
of	IN	of
crazy	JJ	crazy
.	SENT	.
To	TO	to
many	JJ	many
people	NNS	people
,	,	,
this	DT	this
seems	VBZ	seem
crazy	JJ	crazy
.	SENT	.
And	CC	and
yet	RB	yet
so	RB	so
deeply	RB	deeply
wise	JJ	wise
,	,	,
also	RB	also
.	SENT	.
The	DT	the
pieces	NNS	piece
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
put	VB	put
together	RB	together
are	VBP	be
this	DT	this
:	:	:
Your	PP$	your
ideas	NNS	idea
are	VBP	be
so	RB	so
radical	JJ	radical
.	SENT	.
How	WRB	how
,	,	,
in	IN	in
business	NN	business
,	,	,
for	IN	for
example	NN	example
,	,	,
these	DT	these
ideas	NNS	idea
have	VBP	have
been	VBN	be
out	RB	out
for	IN	for
a	DT	a
while	NN	while
,	,	,
probably	RB	probably
the	DT	the
percentage	NN	percentage
of	IN	of
businesses	NNS	business
that	WDT	that
have	VBP	have
taken	VBN	take
some	DT	some
of	IN	of
them	PP	them
is	VBZ	be
still	RB	still
quite	RB	quite
low	JJ	low
.	SENT	.
Are	VBP	be
there	RB	there
any	DT	any
times	NNS	time
you	PP	you
'	POS	'
ve	NN	ve
seen	VBN	see
some	DT	some
big	JJ	big
company	NN	company
take	VB	take
on	IN	on
one	CD	one
of	IN	of
your	PP$	your
ideas	NNS	idea
and	CC	and
you	PP	you
'	POS	'
ve	NNS	<unknown>
gone	VBN	go
,	,	,
"	``	"
Yes	UH	yes
!	SENT	!
"	''	"
?	SENT	?
Ricardo	NP	Ricardo
Semler	NP	Semler
:	:	:
It	PP	it
happens	VBZ	happen
.	SENT	.
It	PP	it
happened	VBD	happen
about	RB	about
two	CD	two
weeks	NNS	week
ago	RB	ago
with	IN	with
Richard	NP	Richard
Branson	NP	Branson
,	,	,
with	IN	with
his	PP$	his
people	NNS	people
saying	VBG	say
,	,	,
oh	UH	oh
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
control	VB	control
your	PP$	your
holidays	NNS	holiday
anymore	RB	anymore
,	,	,
or	CC	or
Netflix	NP	<unknown>
does	VBZ	do
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
this	DT	this
and	CC	and
that	DT	that
,	,	,
but	CC	but
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VB	think
it	PP	it
'	POS	'
s	NN	S
very	RB	very
important	JJ	important
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
see	VB	see
it	PP	it
happen	VB	happen
maybe	RB	maybe
a	DT	a
little	JJ	little
bit	NN	bit
in	IN	in
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
missionary	NN	missionary
zeal	NN	zeal
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NN	S
a	DT	a
very	RB	very
personal	JJ	personal
one	CD	one
.	SENT	.
But	CC	but
the	DT	the
fact	NN	fact
is	VBZ	be
that	IN	that
it	PP	it
takes	VBZ	take
a	DT	a
leap	NN	leap
of	IN	of
faith	NN	faith
about	IN	about
losing	VBG	lose
control	NN	control
.	SENT	.
And	CC	and
almost	RB	almost
nobody	NN	nobody
who	WP	who
is	VBZ	be
in	IN	in
control	NN	control
is	VBZ	be
ready	JJ	ready
to	TO	to
take	VB	take
leaps	NNS	leap
of	IN	of
faith	NN	faith
.	SENT	.
It	PP	it
will	MD	will
have	VB	have
to	TO	to
come	VB	come
from	IN	from
kids	NNS	kid
and	CC	and
other	JJ	other
people	NNS	people
who	WP	who
are	VBP	be
starting	VBG	start
companies	NNS	company
in	IN	in
a	DT	a
different	JJ	different
way	NN	way
.	SENT	.
CA	MD	ca
:	:	:
So	RB	so
that	RB	that
'	''	'
s	VBG	<unknown>
the	DT	the
key	JJ	key
thing	NN	thing
?	SENT	?
From	IN	from
your	PP$	your
point	NN	point
of	IN	of
view	NN	view
the	DT	the
evidence	NN	evidence
is	VBZ	be
there	RB	there
,	,	,
in	IN	in
the	DT	the
business	NN	business
point	NN	point
of	IN	of
view	NN	view
this	DT	this
works	NNS	work
,	,	,
but	CC	but
people	NNS	people
just	RB	just
don	VB	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
courage	NN	courage
to	TO	to
—	:	-
RS	NP	RS
:	:	:
They	PP	they
don	VBP	don
'	''	'
t	NN	t
even	RB	even
have	VBP	have
the	DT	the
incentive	NN	incentive
.	SENT	.
You	PP	you
'	''	'
re	IN	re
running	VBG	run
a	DT	a
company	NN	company
with	IN	with
a	DT	a
90-day	JJ	<unknown>
mandate	NN	mandate
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
quarterly	JJ	quarterly
report	NN	report
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
re	NN	re
not	RB	not
good	JJ	good
in	IN	in
90	CD	@card@
days	NNS	day
,	,	,
you	PP	you
'	POS	'
re	NN	re
out	RB	out
.	SENT	.
So	RB	so
you	PP	you
say	VBP	say
,	,	,
"	``	"
Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
great	JJ	great
program	NN	program
that	IN	that
,	,	,
in	IN	in
less	JJR	less
than	IN	than
one	CD	one
generation	NN	generation
—	:	-
"	``	"
And	CC	and
the	DT	the
guy	NN	guy
says	VBZ	say
,	,	,
"	``	"
Get	VB	get
out	RP	out
of	IN	of
here	RB	here
.	SENT	.
"	''	"
So	RB	so
this	DT	this
is	VBZ	be
the	DT	the
problem	NN	problem
.	SENT	.
CA	MD	ca
:	:	:
What	WP	what
you	PP	you
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
do	VB	do
in	IN	in
education	NN	education
seems	VBZ	seem
to	TO	to
me	PP	me
incredibly	RB	incredibly
profound	JJ	profound
.	SENT	.
Everyone	NN	everyone
is	VBZ	be
bothered	VBN	bother
about	IN	about
their	PP$	their
country	NN	country
'	POS	'
s	JJ	<unknown>
education	NN	education
system	NN	system
.	SENT	.
No	DT	no
one	CD	one
thinks	VBZ	think
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
caught	VBD	catch
up	RP	up
yet	RB	yet
to	TO	to
a	DT	a
world	NN	world
where	WRB	where
there	EX	there
'	''	'
s	VBZ	<unknown>
Google	NP	<unknown>
and	CC	and
all	PDT	all
these	DT	these
technological	JJ	technological
options	NNS	option
.	SENT	.
So	IN	so
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
actual	JJ	actual
evidence	NN	evidence
now	RB	now
that	IN	that
the	DT	the
kids	NNS	kid
so	RB	so
far	RB	far
going	VBG	go
through	IN	through
your	PP$	your
system	NN	system
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
dramatic	JJ	dramatic
increase	NN	increase
in	IN	in
performance	NN	performance
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
help	VB	help
you	PP	you
move	VB	move
these	DT	these
ideas	NNS	idea
forward	RB	forward
?	SENT	?
RS	NP	RS
:	:	:
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NN	S
that	IN	that
problem	NN	problem
of	IN	of
ideas	NNS	idea
whose	WP$	whose
time	NN	time
has	VBZ	have
come	VBN	come
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
never	RB	never
been	VBN	be
very	RB	very
evangelical	JJ	evangelical
about	IN	about
these	DT	these
things	NNS	thing
.	SENT	.
We	PP	we
put	VBD	put
it	PP	it
out	RP	out
there	RB	there
.	SENT	.
Suddenly	RB	suddenly
,	,	,
you	PP	you
find	VBP	find
people	NNS	people
—	:	-
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
group	NN	group
in	IN	in
Japan	NP	Japan
,	,	,
which	WDT	which
scares	VBZ	scare
me	PP	me
very	RB	very
much	RB	much
,	,	,
which	WDT	which
is	VBZ	be
called	VBN	call
the	DT	the
Semlerists	NNS	<unknown>
,	,	,
and	CC	and
they	PP	they
have	VBP	have
120	CD	@card@
companies	NNS	company
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
invited	VBD	invite
me	PP	me
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
always	RB	always
been	VBN	be
scared	VBN	scare
to	TO	to
go	VB	go
.	SENT	.
And	CC	and
there	EX	there
is	VBZ	be
a	DT	a
group	NN	group
in	IN	in
Holland	NP	Holland
that	WDT	that
has	VBZ	have
600	CD	@card@
small	JJ	small
,	,	,
Dutch	JJ	Dutch
companies	NNS	company
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
something	NN	something
that	WDT	that
will	MD	will
flourish	VB	flourish
on	IN	on
its	PP$	its
own	JJ	own
.	SENT	.
Part	NN	part
of	IN	of
it	PP	it
will	MD	will
be	VB	be
wrong	JJ	wrong
,	,	,
and	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
.	SENT	.
This	DT	this
will	MD	will
find	VB	find
its	PP$	its
own	JJ	own
place	NN	place
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
afraid	JJ	afraid
of	IN	of
the	DT	the
other	JJ	other
one	CD	one
,	,	,
which	WDT	which
says	VBZ	say
,	,	,
this	DT	this
is	VBZ	be
so	RB	so
good	JJ	good
you	PP	you
'	''	'
ve	NNS	<unknown>
got	VBD	get
to	TO	to
do	VB	do
this	DT	this
.	SENT	.
Let	NP	Let
'	POS	'
s	NN	S
set	VBD	set
up	RP	up
a	DT	a
system	NN	system
and	CC	and
put	VB	put
lots	NNS	lot
of	IN	of
money	NN	money
into	IN	into
it	PP	it
and	CC	and
then	RB	then
people	NNS	people
will	MD	will
do	VB	do
it	PP	it
no	RB	no
matter	VBP	matter
what	WP	what
.	SENT	.
CA	MD	ca
:	:	:
So	RB	so
you	PP	you
have	VBP	have
asked	VBN	ask
extraordinary	JJ	extraordinary
questions	NNS	question
your	PP$	your
whole	JJ	whole
life	NN	life
.	SENT	.
It	PP	it
seems	VBZ	seem
to	TO	to
me	PP	me
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
fuel	NN	fuel
that	RB	that
'	POS	'
s	NN	S
driven	VBN	drive
a	DT	a
lot	NN	lot
of	IN	of
this	DT	this
.	SENT	.
Do	VB	do
you	PP	you
have	VBP	have
any	DT	any
other	JJ	other
questions	NNS	question
for	IN	for
us	PP	us
,	,	,
for	IN	for
TED	VB	ted
,	,	,
for	IN	for
this	DT	this
group	NN	group
here	RB	here
?	SENT	?
RS	NP	RS
:	:	:
I	PP	I
always	RB	always
come	VBP	come
back	RB	back
to	TO	to
variations	NNS	variation
of	IN	of
the	DT	the
question	NN	question
that	IN	that
my	PP$	my
son	NN	son
asked	VBD	ask
me	PP	me
when	WRB	when
he	PP	he
was	VBD	be
three	CD	three
.	SENT	.
We	PP	we
were	VBD	be
sitting	VBG	sit
in	IN	in
a	DT	a
jacuzzi	NN	<unknown>
,	,	,
and	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
Dad	NP	Dad
,	,	,
why	WRB	why
do	VBP	do
we	PP	we
exist	VBP	exist
?	SENT	?
"	``	"
There	EX	there
is	VBZ	be
no	DT	no
other	JJ	other
question	NN	question
.	SENT	.
Nobody	NN	nobody
has	VBZ	have
any	DT	any
other	JJ	other
question	NN	question
.	SENT	.
We	PP	we
have	VBP	have
variations	NNS	variation
of	IN	of
this	DT	this
one	CD	one
question	NN	question
,	,	,
from	IN	from
three	CD	three
onwards	RB	onwards
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
spend	VBP	spend
time	NN	time
in	IN	in
a	DT	a
company	NN	company
,	,	,
in	IN	in
a	DT	a
bureaucracy	NN	bureaucracy
,	,	,
in	IN	in
an	DT	an
organization	NN	organization
and	CC	and
you	PP	you
'	POS	'
re	NN	re
saying	VBG	say
,	,	,
boy	UH	boy
—	:	-
how	WRB	how
many	JJ	many
people	NNS	people
do	VBP	do
you	PP	you
know	VBP	know
who	WP	who
on	IN	on
their	PP$	their
death	NN	death
beds	NNS	bed
said	VBD	say
,	,	,
boy	UH	boy
,	,	,
I	PP	I
wish	VBP	wish
I	PP	I
had	VBD	have
spent	VBN	spend
more	JJR	more
time	NN	time
at	IN	at
the	DT	the
office	NN	office
?	SENT	?
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
whole	JJ	whole
thing	NN	thing
of	IN	of
having	VBG	have
the	DT	the
courage	NN	courage
now	RB	now
—	:	-
not	RB	not
in	IN	in
a	DT	a
week	NN	week
,	,	,
not	RB	not
in	IN	in
two	CD	two
months	NNS	month
,	,	,
not	RB	not
when	WRB	when
you	PP	you
find	VBP	find
out	IN	out
you	PP	you
have	VBP	have
something	NN	something
—	:	-
to	TO	to
say	VB	say
,	,	,
no	UH	no
,	,	,
what	WP	what
am	VBP	be
I	PP	I
doing	VBG	do
this	DT	this
for	IN	for
?	SENT	?
Stop	NN	stop
everything	NN	everything
.	SENT	.
Let	VB	let
me	PP	me
do	VB	do
something	NN	something
else	RB	else
.	SENT	.
And	CC	and
it	PP	it
will	MD	will
be	VB	be
okay	JJ	okay
,	,	,
it	PP	it
will	MD	will
be	VB	be
much	RB	much
better	JJR	good
than	IN	than
what	WP	what
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
stuck	VBD	stick
in	IN	in
a	DT	a
process	NN	process
.	SENT	.
CA	MD	ca
:	:	:
So	IN	so
that	WDT	that
strikes	VBZ	strike
me	PP	me
as	IN	as
a	DT	a
profound	JJ	profound
and	CC	and
quite	RB	quite
beautiful	JJ	beautiful
way	NN	way
to	TO	to
end	VB	end
this	DT	this
penultimate	JJ	penultimate
day	NN	day
of	IN	of
TED	VB	ted
.	SENT	.
Ricardo	NP	Ricardo
Semler	NP	Semler
,	,	,
thank	VBP	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
RS	NP	RS
:	:	:
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
