Leah	NP	Leah
goals	NNS	goal
for	IN	for
himself	PP	himself
,	,	,
and	CC	and
he	PP	he
was	VBD	be
going	VBG	go
to	TO	to
set	VB	set
out	RP	out
to	TO	to
reach	VB	reach
those	DT	those
goals	NNS	goal
.	SENT	.
He	PP	he
never	RB	never
stopped	VBD	stop
.	SENT	.
And	CC	and
I	PP	I
always	RB	always
remember	VBP	remember
his	PP$	his
words	NNS	word
:	:	:
"	``	"
Lead	VB	lead
,	,	,
follow	VB	follow
,	,	,
or	CC	or
get	VB	get
out	RP	out
of	IN	of
the	DT	the
way	NN	way
.	SENT	.
"	''	"
Now	RB	now
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
lead	NN	lead
—	:	-
I	PP	I
can	MD	can
'	''	'
t	NN	t
be	VB	be
a	DT	a
leader	NN	leader
,	,	,
but	CC	but
I	PP	I
can	MD	can
follow	VB	follow
a	DT	a
good	JJ	good
leader	NN	leader
,	,	,
but	CC	but
I	PP	I
am	VBP	be
not	RB	not
getting	VBG	get
out	RP	out
of	IN	of
the	DT	the
way	NN	way
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NNS	<unknown>
just	RB	just
what	WP	what
you	PP	you
have	VBP	have
to	TO	to
do	VB	do
.	SENT	.
If	IN	if
you	PP	you
can	MD	can
'	''	'
t	NN	t
lead	NN	lead
—	:	-
leaders	NNS	leader
need	VBP	need
followers	NNS	follower
,	,	,
so	RB	so
if	IN	if
I	PP	I
help	VBP	help
you	PP	you
up	RP	up
there	RB	there
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
ride	VB	ride
on	IN	on
your	PP$	your
coattails	NNS	coattail
,	,	,
and	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
count	VB	count
the	DT	the
coattails	NNS	coattail
I	PP	I
'	POS	'
ve	NN	ve
ridden	VBN	ride
upon	RP	upon
.	SENT	.
Feed	VB	feed
you	PP	you
good	JJ	good
.	SENT	.
You	PP	you
'	POS	'
ll	NNS	<unknown>
help	VB	help
me	PP	me
out	RP	out
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
life	NN	life
is	VBZ	be
all	RB	all
about	RB	about
.	SENT	.
Everybody	NN	everybody
can	MD	can
do	VB	do
something	NN	something
,	,	,
but	CC	but
please	VB	please
get	VB	get
involved	VBN	involve
.	SENT	.
Do	VB	do
something	NN	something
.	SENT	.
The	DT	the
thing	NN	thing
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
in	IN	in
this	DT	this
city	NN	city
,	,	,
in	IN	in
all	DT	all
cities	NNS	city
—	:	-
mommas	NNS	<unknown>
have	VBP	have
to	TO	to
start	VB	start
being	JJ	being
mommas	NNS	<unknown>
today	NN	today
.	SENT	.
You	PP	you
know	VBP	know
?	SENT	?
They	PP	they
have	VBP	have
to	TO	to
start	VB	start
understanding	NN	understanding
—	:	-
when	WRB	when
you	PP	you
bring	VBP	bring
this	DT	this
child	NN	child
in	IN	in
the	DT	the
world	NN	world
,	,	,
you	PP	you
have	VBP	have
to	TO	to
make	VB	make
a	DT	a
man	NN	man
out	RP	out
of	IN	of
it	PP	it
,	,	,
you	PP	you
have	VBP	have
to	TO	to
make	VB	make
a	DT	a
woman	NN	woman
out	RP	out
of	IN	of
it	PP	it
,	,	,
and	CC	and
it	PP	it
takes	VBZ	take
some	DT	some
doing	VBG	do
.	SENT	.
It	PP	it
takes	VBZ	take
sacrifice	NN	sacrifice
.	SENT	.
Maybe	RB	maybe
you	PP	you
won	VBD	win
'	''	'
t	NN	t
have	VBP	have
the	DT	the
long	JJ	long
fingernails	NNS	fingernail
,	,	,
maybe	RB	maybe
you	PP	you
won	VBD	win
'	''	'
t	NN	t
have	VBP	have
the	DT	the
pretty	JJ	pretty
hair	NN	hair
.	SENT	.
But	CC	but
that	DT	that
child	NN	child
will	MD	will
be	VB	be
on	IN	on
the	DT	the
move	NN	move
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
you	PP	you
have	VBP	have
to	TO	to
do	VB	do
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
concentrate	VB	concentrate
on	IN	on
educating	VBG	educate
and	CC	and
making	VBG	make
these	DT	these
children	NNS	child
understand	VBP	understand
what	WP	what
it	PP	it
'	POS	'
s	NN	S
all	RB	all
about	RB	about
.	SENT	.
And	CC	and
I	PP	I
hate	VBP	hate
to	TO	to
tell	VB	tell
you	PP	you
,	,	,
gentlemen	NNS	gentleman
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
take	VB	take
a	DT	a
good	JJ	good
woman	NN	woman
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
take	VB	take
a	DT	a
good	JJ	good
woman	NN	woman
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
Men	NNS	man
can	MD	can
do	VB	do
their	PP$	their
part	NN	part
.	SENT	.
The	DT	the
other	JJ	other
part	NN	part
is	VBZ	be
to	TO	to
just	RB	just
do	VB	do
what	WP	what
you	PP	you
have	VBP	have
to	TO	to
do	VB	do
and	CC	and
bring	VB	bring
it	PP	it
home	NN	home
,	,	,
but	CC	but
we	PP	we
can	MD	can
handle	VB	handle
the	DT	the
rest	NN	rest
,	,	,
and	CC	and
we	PP	we
will	MD	will
handle	VB	handle
the	DT	the
rest	NN	rest
.	SENT	.
If	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
good	JJ	good
woman	NN	woman
,	,	,
you	PP	you
can	MD	can
do	VB	do
that	DT	that
.	SENT	.
PM	NN	pm
:	:	:
You	PP	you
heard	VBD	hear
that	IN	that
first	RB	first
here	RB	here
.	SENT	.
We	PP	we
can	MD	can
handle	VB	handle
the	DT	the
rest	NN	rest
.	SENT	.
LC	NN	LC
:	:	:
We	PP	we
can	MD	can
handle	VB	handle
the	DT	the
rest	NN	rest
.	SENT	.
Mrs	NN	Mrs
.	SENT	.
Chase	NP	Chase
,	,	,
thank	VBP	thank
you	PP	you
so	RB	so
much	JJ	much
—	:	-
LC	NP	LC
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
PM	NN	pm
:	:	:
for	IN	for
taking	VBG	take
time	NN	time
out	RP	out
from	IN	from
the	DT	the
work	NN	work
you	PP	you
do	VBP	do
every	DT	every
day	NN	day
in	IN	in
this	DT	this
community	NN	community
.	SENT	.
LC	NN	LC
:	:	:
But	CC	but
you	PP	you
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
this	DT	this
does	VBZ	do
for	IN	for
me	PP	me
.	SENT	.
When	WRB	when
I	PP	I
see	VBP	see
all	DT	all
of	IN	of
these	DT	these
people	NNS	people
,	,	,
and	CC	and
come	VBP	come
together	RB	together
—	:	-
people	NNS	people
come	VBP	come
to	TO	to
my	PP$	my
kitchen	NN	kitchen
from	IN	from
all	DT	all
over	IN	over
the	DT	the
world	NN	world
.	SENT	.
I	PP	I
had	VBD	have
people	NNS	people
come	VBN	come
from	IN	from
London	NP	London
,	,	,
now	RB	now
twice	RB	twice
this	DT	this
happened	VBN	happen
to	TO	to
me	PP	me
.	SENT	.
First	RB	first
a	DT	a
man	NN	man
came	VBD	come
,	,	,
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VB	know
why	WRB	why
he	PP	he
came	VBD	come
to	TO	to
this	DT	this
—	:	-
Every	DT	every
year	NN	year
,	,	,
the	DT	the
chefs	NNS	chef
do	VBP	do
something	NN	something
called	VBN	call
"	``	"
Chef	NN	chef
'	POS	'
s	JJ	<unknown>
Charity	NP	Charity
.	SENT	.
"	''	"
Well	RB	well
,	,	,
it	PP	it
so	RB	so
happened	VBD	happen
I	PP	I
was	VBD	be
the	DT	the
only	JJ	only
woman	NN	woman
there	RB	there
,	,	,
and	CC	and
the	DT	the
only	JJ	only
African-American	NP	African-American
there	RB	there
on	IN	on
that	DT	that
stage	NN	stage
doing	VBG	do
these	DT	these
demonstrations	NNS	demonstration
,	,	,
and	CC	and
I	PP	I
would	MD	would
not	RB	not
leave	VB	leave
until	IN	until
I	PP	I
saw	VBD	see
another	DT	another
woman	NN	woman
come	VBN	come
up	RP	up
there	RB	there
,	,	,
too	RB	too
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
up	RP	up
—	:	-
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
carry	VB	carry
me	PP	me
up	RP	up
there	RB	there
until	IN	until
you	PP	you
bring	VBP	bring
another	DT	another
woman	NN	woman
up	RB	up
here	RB	here
.	SENT	.
So	RB	so
they	PP	they
have	VBP	have
another	DT	another
one	CD	one
now	RB	now
,	,	,
so	RB	so
I	PP	I
could	MD	could
step	VB	step
down	RP	down
.	SENT	.
But	CC	but
this	DT	this
man	NN	man
was	VBD	be
from	IN	from
London	NP	London
.	SENT	.
So	RB	so
after	IN	after
that	DT	that
,	,	,
I	PP	I
found	VBD	find
the	DT	the
man	NN	man
in	IN	in
my	PP$	my
kitchen	NN	kitchen
.	SENT	.
He	PP	he
came	VBD	come
to	TO	to
my	PP$	my
kitchen	NN	kitchen
,	,	,
and	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
I	PP	I
want	VBP	want
to	TO	to
ask	VB	ask
you	PP	you
one	CD	one
question	NN	question
.	SENT	.
"	``	"
OK	UH	OK
,	,	,
I	PP	I
thought	VBD	think
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
ask	VB	ask
something	NN	something
about	IN	about
food	NN	food
.	SENT	.
"	``	"
Why	WRB	why
do	VB	do
all	PDT	all
these	DT	these
white	JJ	white
men	NNS	man
hang	VBP	hang
around	IN	around
you	PP	you
?	SENT	?
"	``	"
What	WP	what
?	SENT	?
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
understand	VB	understand
.	SENT	.
He	PP	he
couldn	NNS	<unknown>
'	POS	'
t	NN	t
understand	VBP	understand
that	DT	that
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
"	``	"
We	PP	we
work	VBP	work
together	RB	together
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
way	NN	way
we	PP	we
live	VBP	live
in	IN	in
this	DT	this
city	NN	city
.	SENT	.
I	PP	I
may	MD	may
never	RB	never
go	VB	go
to	TO	to
your	PP$	your
house	NN	house
,	,	,
you	PP	you
may	MD	may
never	RB	never
come	VB	come
to	TO	to
my	PP$	my
house	NN	house
.	SENT	.
But	CC	but
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
working	VBG	work
,	,	,
like	IN	like
raising	VBG	raise
money	NN	money
for	IN	for
this	DT	this
special	JJ	special
school	NN	school
,	,	,
we	PP	we
come	VBP	come
together	RB	together
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
do	VBP	do
.	SENT	.
And	CC	and
still	RB	still
here	RB	here
comes	VBZ	come
another	DT	another
,	,	,
a	DT	a
woman	NN	woman
,	,	,
elegantly	RB	elegantly
dressed	VBN	dress
,	,	,
about	IN	about
a	DT	a
month	NN	month
ago	RB	ago
in	IN	in
my	PP$	my
kitchen	NN	kitchen
.	SENT	.
She	PP	she
said	VBD	say
,	,	,
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
understand	VB	understand
what	WP	what
I	PP	I
see	VBP	see
in	IN	in
your	PP$	your
dining	NN	dining
room	NN	room
.	SENT	.
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
What	WP	what
do	VBP	do
you	PP	you
see	VBP	see
?	SENT	?
"	''	"
She	PP	she
saw	VBD	see
whites	NNS	white
and	CC	and
blacks	NNS	black
together	RB	together
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
do	VBP	do
.	SENT	.
We	PP	we
meet	VBP	meet
.	SENT	.
We	PP	we
talk	VBP	talk
.	SENT	.
And	CC	and
we	PP	we
work	VBP	work
together	RB	together
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
my	PP$	my
best	JJS	good
friend	NN	friend
to	TO	to
work	VB	work
to	TO	to
better	VB	better
your	PP$	your
city	NN	city
,	,	,
to	TO	to
better	VB	better
your	PP$	your
country	NN	country
.	SENT	.
We	PP	we
just	RB	just
have	VB	have
to	TO	to
come	VB	come
together	RB	together
and	CC	and
work	VB	work
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
do	VBP	do
in	IN	in
this	DT	this
city	NN	city
.	SENT	.
We	PP	we
'	''	'
re	IN	re
a	DT	a
weird	JJ	weird
bunch	NN	bunch
down	RB	down
here	RB	here
.	SENT	.
Nobody	NN	nobody
understands	VBZ	understand
us	PP	us
,	,	,
but	CC	but
we	PP	we
feed	VBP	feed
you	PP	you
well	RB	well
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
