Consider	VB	consider
see	VB	see
that	IN	that
he	PP	he
had	VBD	have
transformed	VBN	transform
his	PP$	his
own	JJ	own
attention	NN	attention
.	SENT	.
He	PP	he
went	VBD	go
from	IN	from
having	VBG	have
a	DT	a
really	RB	really
bad	JJ	bad
boss	NN	boss
—	:	-
an	DT	an
attention	NN	attention
system	NN	system
that	WDT	that
nearly	RB	nearly
drove	VBD	drive
him	PP	him
off	RP	off
a	DT	a
bridge	NN	bridge
—	:	-
to	TO	to
one	CD	one
that	WDT	that
was	VBD	be
an	DT	an
exquisite	JJ	exquisite
leader	NN	leader
and	CC	and
guide	NN	guide
,	,	,
and	CC	and
saved	VBD	save
his	PP$	his
life	NN	life
.	SENT	.
So	RB	so
I	PP	I
want	VBP	want
to	TO	to
actually	RB	actually
end	VB	end
by	IN	by
sharing	VBG	share
my	PP$	my
call	NN	call
to	TO	to
action	NN	action
to	TO	to
all	DT	all
of	IN	of
you	PP	you
.	SENT	.
And	CC	and
here	RB	here
it	PP	it
is	VBZ	be
.	SENT	.
Pay	VB	pay
attention	NN	attention
to	TO	to
your	PP$	your
attention	NN	attention
.	SENT	.
Alright	RB	alright
?	SENT	?
Pay	VB	pay
attention	NN	attention
to	TO	to
your	PP$	your
attention	NN	attention
and	CC	and
incorporate	VB	incorporate
mindfulness	NN	mindfulness
training	NN	training
as	IN	as
part	NN	part
of	IN	of
your	PP$	your
daily	JJ	daily
wellness	NN	wellness
toolkit	NN	<unknown>
,	,	,
in	IN	in
order	NN	order
to	TO	to
tame	VB	tame
your	PP$	your
own	JJ	own
wandering	VBG	wander
mind	NN	mind
and	CC	and
to	TO	to
allow	VB	allow
your	PP$	your
attention	NN	attention
to	TO	to
be	VB	be
a	DT	a
trusted	VBN	trust
guide	NN	guide
in	IN	in
your	PP$	your
own	JJ	own
life	NN	life
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
