Gayle	NP	Gayle
stepped	VBD	step
off	RP	off
,	,	,
and	CC	and
moments	NNS	moment
before	RB	before
,	,	,
we	PP	we
'	POS	'
re	NN	re
just	RB	just
—	:	-
It	PP	it
is	VBZ	be
what	WP	what
it	PP	it
is	VBZ	be
,	,	,
because	IN	because
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
,	,	,
she	PP	she
'	POS	'
ll	NN	ll
always	RB	always
be	VB	be
my	PP$	my
sister	NN	sister
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
play	VB	play
Australia	NP	Australia
in	IN	in
—	:	-
Well	UH	well
,	,	,
who	WP	who
knows	VBZ	know
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
playing	VBG	play
forever	RB	forever
,	,	,
but	CC	but
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
I	PP	I
'	''	'
ll	NN	ll
be	VB	be
playing	VBG	play
in	IN	in
50	CD	@card@
years	NNS	year
,	,	,
say	VBP	say
?	SENT	?
Let	VB	let
'	''	'
s	NN	S
be	VB	be
safe	JJ	safe
and	CC	and
say	VBP	say
50	CD	@card@
years	NNS	year
.	SENT	.
GK	NN	GK
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
Serena	NP	Serena
.	SENT	.
There	EX	there
'	''	'
s	RB	<unknown>
never	RB	never
been	VBN	be
anybody	NN	anybody
like	IN	like
you	PP	you
.	SENT	.
When	WRB	when
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
,	,	,
never	RB	never
been	VBN	be
anybody	NN	anybody
who	WP	who
has	VBZ	have
intersected	VBN	intersect
gender	NN	gender
and	CC	and
race	NN	race
the	DT	the
way	NN	way
you	PP	you
have	VBP	have
,	,	,
the	DT	the
dominance	NN	dominance
that	IN	that
you	PP	you
have	VBP	have
and	CC	and
the	DT	the
scrutiny	NN	scrutiny
that	IN	that
you	PP	you
have	VBP	have
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
were	VBD	be
growing	VBG	grow
up	RP	up
,	,	,
did	VBD	do
you	PP	you
say	VBP	say
,	,	,
"	``	"
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
like	IN	like
that	DT	that
"	''	"
?	SENT	?
Because	IN	because
now	RB	now
little	JJ	little
girls	NNS	girl
are	VBP	be
looking	VBG	look
at	IN	at
you	PP	you
saying	VBG	say
,	,	,
"	``	"
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
like	IN	like
that	DT	that
.	SENT	.
"	''	"
Who	WP	who
was	VBD	be
the	DT	the
"	``	"
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
like	JJ	like
that	IN	that
"	``	"
for	IN	for
you	PP	you
?	SENT	?
SW	NP	SW
:	:	:
Well	UH	well
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
glad	NN	glad
you	PP	you
brought	VBD	bring
that	IN	that
up	RB	up
.	SENT	.
For	IN	for
me	PP	me
,	,	,
when	WRB	when
I	PP	I
grew	VBD	grow
up	RP	up
,	,	,
I	PP	I
always	RB	always
wanted	VBD	want
to	TO	to
be	VB	be
the	DT	the
best	JJS	good
,	,	,
and	CC	and
I	PP	I
said	VBD	say
,	,	,
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
the	DT	the
best	JJS	good
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
emulate	VB	emulate
the	DT	the
best	JJS	good
.	SENT	.
So	RB	so
when	WRB	when
I	PP	I
started	VBD	start
to	TO	to
go	VB	go
on	IN	on
tour	NN	tour
when	WRB	when
I	PP	I
was	VBD	be
really	RB	really
young	JJ	young
,	,	,
I	PP	I
would	MD	would
see	VB	see
Steffi	NP	Steffi
Graf	NP	Graf
,	,	,
I	PP	I
would	MD	would
see	VB	see
Monica	NP	Monica
Seles	NP	<unknown>
,	,	,
and	CC	and
I	PP	I
would	MD	would
even	RB	even
see	VB	see
Pete	NP	Pete
Sampras	NP	Sampras
,	,	,
and	CC	and
I	PP	I
would	MD	would
see	VB	see
what	WP	what
they	PP	they
did	VBD	do
,	,	,
and	CC	and
I	PP	I
noticed	VBD	notice
that	IN	that
Steffi	NP	Steffi
and	CC	and
Monica	NP	Monica
didn	NP	<unknown>
'	POS	'
t	NN	t
really	RB	really
talk	VB	talk
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
other	JJ	other
players	NNS	player
,	,	,
and	CC	and
they	PP	they
kind	NN	kind
of	IN	of
were	VBD	be
on	IN	on
their	PP$	their
own	JJ	own
,	,	,
and	CC	and
they	PP	they
were	VBD	be
just	RB	just
so	RB	so
focused	VBN	focus
and	CC	and
I	PP	I
would	MD	would
see	VB	see
Pete	NP	Pete
Sampras	NP	Sampras
,	,	,
the	DT	the
technique	NN	technique
that	IN	that
he	PP	he
did	VBD	do
,	,	,
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
,	,	,
"	``	"
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
"	``	"
So	RB	so
I	PP	I
did	VBD	do
that	IN	that
,	,	,
and	CC	and
I	PP	I
felt	VBD	feel
that	IN	that
to	TO	to
be	VB	be
the	DT	the
best	JJS	good
,	,	,
and	CC	and
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
the	DT	the
best	JJS	good
,	,	,
you	PP	you
have	VBP	have
to	TO	to
hang	VB	hang
around	RP	around
people	NNS	people
and	CC	and
you	PP	you
have	VBP	have
to	TO	to
look	VB	look
at	IN	at
people	NNS	people
that	WDT	that
are	VBP	be
the	DT	the
best	JJS	good
,	,	,
because	IN	because
you	PP	you
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
be	VB	be
the	DT	the
best	JJS	good
if	IN	if
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
someone	NN	someone
that	RB	that
'	POS	'
s	NN	S
not	RB	not
at	IN	at
the	DT	the
top	JJ	top
level	NN	level
.	SENT	.
GK	NN	GK
:	:	:
People	NNS	people
say	VBP	say
nobody	NN	nobody
works	VBZ	work
as	RB	as
hard	JJ	hard
as	IN	as
you	PP	you
.	SENT	.
SW	NP	SW
:	:	:
I	PP	I
'	POS	'
m	NN	m
a	DT	a
very	RB	very
hard	JJ	hard
worker	NN	worker
.	SENT	.
GK	NN	GK
:	:	:
That	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
I	PP	I
heard	VBD	hear
.	SENT	.
SW	NP	SW
:	:	:
People	NNS	people
say	VBP	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
she	PP	she
'	POS	'
s	NNS	<unknown>
talented	JJ	talented
,	,	,
she	PP	she
'	POS	'
s	NNS	<unknown>
athletic	JJ	athletic
.	SENT	.
"	''	"
Actually	RB	actually
,	,	,
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
.	SENT	.
I	PP	I
was	VBD	be
really	RB	really
small	JJ	small
for	IN	for
my	PP$	my
age	NN	age
.	SENT	.
I	PP	I
grew	VBD	grow
up	RB	up
when	WRB	when
I	PP	I
got	VBD	get
older	JJR	old
,	,	,
and	CC	and
I	PP	I
had	VBD	have
to	TO	to
work	VB	work
really	RB	really
hard	JJ	hard
,	,	,
and	CC	and
I	PP	I
think	VBP	think
one	PP	one
of	IN	of
the	DT	the
reasons	NNS	reason
why	WRB	why
I	PP	I
fight	VBP	fight
so	RB	so
hard	JJ	hard
and	CC	and
I	PP	I
work	VBP	work
so	RB	so
hard	RB	hard
is	VBZ	be
because	IN	because
I	PP	I
was	VBD	be
really	RB	really
,	,	,
really	RB	really
,	,	,
really	RB	really
small	JJ	small
.	SENT	.
GK	NN	GK
:	:	:
Yeah	RB	yeah
.	SENT	.
You	PP	you
are	VBP	be
no	RB	no
longer	RBR	longer
small	JJ	small
.	SENT	.
SW	NP	SW
:	:	:
No	UH	no
,	,	,
I	PP	I
'	POS	'
m	NN	m
fully	RB	fully
grown	VBN	grow
now	RB	now
.	SENT	.
But	CC	but
I	PP	I
was	VBD	be
small	JJ	small
when	WRB	when
I	PP	I
was	VBD	be
really	RB	really
young	JJ	young
for	IN	for
whatever	WDT	whatever
reason	NN	reason
.	SENT	.
I	PP	I
think	VBP	think
Venus	NP	Venus
maybe	RB	maybe
ate	VBD	eat
all	PDT	all
the	DT	the
Wheaties	NP	Wheaties
.	SENT	.
GK	NN	GK
:	:	:
You	PP	you
know	VBP	know
,	,	,
the	DT	the
other	JJ	other
thing	NN	thing
people	NNS	people
talk	VBP	talk
about	RB	about
is	VBZ	be
your	PP$	your
body	NN	body
.	SENT	.
Your	PP$	your
body	NN	body
brings	VBZ	bring
men	NNS	man
and	CC	and
women	NNS	woman
to	TO	to
their	PP$	their
knees	NNS	knee
.	SENT	.
And	CC	and
I	PP	I
mean	VBP	mean
in	IN	in
a	DT	a
good	JJ	good
way	NN	way
.	SENT	.
A	DT	a
lot	NN	lot
has	VBZ	have
been	VBN	be
made	VBN	make
about	IN	about
your	PP$	your
body	NN	body
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
work	NN	work
of	IN	of
art	NN	art
,	,	,
it	PP	it
'	POS	'
s	NN	S
masculine	NN	masculine
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
glorious	JJ	glorious
,	,	,
there	EX	there
'	''	'
s	RB	<unknown>
never	RB	never
been	VBN	be
anything	NN	anything
like	IN	like
it	PP	it
.	SENT	.
Did	VBD	do
you	PP	you
have	VBP	have
body	NN	body
issues	NNS	issue
when	WRB	when
you	PP	you
were	VBD	be
growing	VBG	grow
up	RP	up
?	SENT	?
Have	VBP	have
you	PP	you
always	RB	always
been	VBN	be
comfortable	JJ	comfortable
with	IN	with
your	PP$	your
body	NN	body
?	SENT	?
SW	NP	SW
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
,	,	,
because	IN	because
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
a	DT	a
teenage	JJ	teenage
female	NN	female
growing	VBG	grow
up	RP	up
in	IN	in
the	DT	the
public	JJ	public
eye	NN	eye
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
scrutiny	NN	scrutiny
that	IN	that
you	PP	you
face	VBP	face
,	,	,
and	CC	and
as	IN	as
any	DT	any
female	NN	female
that	RB	that
'	POS	'
s	NNS	<unknown>
a	DT	a
teenager	NN	teenager
,	,	,
I	PP	I
definitely	RB	definitely
was	VBD	be
not	RB	not
comfortable	JJ	comfortable
in	IN	in
my	PP$	my
body	NN	body
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
like	IN	like
it	PP	it
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
understand	VB	understand
why	WRB	why
I	PP	I
had	VBD	have
muscles	NNS	muscle
.	SENT	.
And	CC	and
I	PP	I
stopped	VBD	stop
lifting	VBG	lift
weights	NNS	weight
.	SENT	.
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
do	VB	do
this	DT	this
.	SENT	.
But	CC	but
then	RB	then
after	IN	after
I	PP	I
won	VBD	win
the	DT	the
US	NP	US
Open	NP	Open
,	,	,
I	PP	I
realized	VBD	realize
that	IN	that
my	PP$	my
body	NN	body
helped	VBD	help
me	PP	me
reach	VB	reach
goals	NNS	goal
that	IN	that
I	PP	I
wanted	VBD	want
to	TO	to
reach	VB	reach
,	,	,
and	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
be	VB	be
happy	JJ	happy
with	IN	with
it	PP	it
,	,	,
and	CC	and
I	PP	I
was	VBD	be
so	RB	so
appreciative	JJ	appreciative
of	IN	of
it	PP	it
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
always	RB	always
healthy	JJ	healthy
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
really	RB	really
fortunate	JJ	fortunate
and	CC	and
superblessed	JJ	superblessed
,	,	,
and	CC	and
I	PP	I
felt	VBD	feel
like	IN	like
not	RB	not
only	RB	only
am	VBP	be
I	PP	I
happy	JJ	happy
with	IN	with
my	PP$	my
body	NN	body
,	,	,
but	CC	but
I	PP	I
want	VBP	want
other	JJ	other
people	NNS	people
and	CC	and
other	JJ	other
young	JJ	young
girls	NNS	girl
that	WDT	that
have	VBP	have
experienced	VBN	experience
what	WP	what
I	PP	I
'	POS	'
ve	NN	ve
experienced	VBD	experience
to	TO	to
be	VB	be
happy	JJ	happy
with	IN	with
themselves	PP	themselves
.	SENT	.
So	IN	so
whatever	WDT	whatever
people	NNS	people
say	VBP	say
—	:	-
masculine	NN	masculine
,	,	,
whatever	WDT	whatever
,	,	,
too	RB	too
much	RB	much
,	,	,
too	RB	too
little	JJ	little
—	:	-
I	PP	I
'	POS	'
m	NN	m
OK	JJ	OK
with	IN	with
it	PP	it
as	RB	as
long	RB	long
as	IN	as
I	PP	I
love	VBP	love
myself	PP	myself
.	SENT	.
GK	NN	GK
:	:	:
I	PP	I
know	VBP	know
you	PP	you
learn	VBP	learn
a	DT	a
lot	NN	lot
from	IN	from
winning	VBG	win
,	,	,
but	CC	but
what	WP	what
have	VBP	have
you	PP	you
learned	VBN	learn
from	IN	from
losing	VBG	lose
?	SENT	?
SW	NP	SW
:	:	:
I	PP	I
hate	VBP	hate
to	TO	to
lose	VB	lose
,	,	,
but	CC	but
I	PP	I
think	VBP	think
losing	NN	losing
has	VBZ	have
brought	VBN	bring
me	PP	me
here	RB	here
today	NN	today
.	SENT	.
The	DT	the
only	JJ	only
reason	NN	reason
I	PP	I
am	VBP	be
who	WP	who
I	PP	I
am	VBP	be
is	VBZ	be
because	IN	because
of	IN	of
my	PP$	my
losses	NNS	loss
,	,	,
and	CC	and
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
extremely	RB	extremely
painful	JJ	painful
,	,	,
but	CC	but
I	PP	I
wouldn	NP	<unknown>
'	POS	'
t	NN	t
take	VB	take
any	DT	any
of	IN	of
them	PP	them
away	RB	away
,	,	,
because	IN	because
every	DT	every
time	NN	time
I	PP	I
lose	VBP	lose
,	,	,
it	PP	it
takes	VBZ	take
a	DT	a
really	RB	really
long	JJ	long
time	NN	time
for	IN	for
me	PP	me
to	TO	to
lose	VB	lose
again	RB	again
because	IN	because
I	PP	I
learn	VBP	learn
so	RB	so
much	RB	much
from	IN	from
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
encourage	VBP	encourage
everyone	NN	everyone
that	IN	that
I	PP	I
talk	VBP	talk
to	TO	to
—	:	-
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
listen	VB	listen
,	,	,
if	IN	if
you	PP	you
lose	VBP	lose
or	CC	or
if	IN	if
something	NN	something
happens	VBZ	happen
—	:	-
not	RB	not
in	IN	in
sports	NNS	sport
—	:	-
in	IN	in
business	NN	business
or	CC	or
in	IN	in
school	NN	school
—	:	-
learn	VB	learn
from	IN	from
it	PP	it
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
live	JJ	live
in	IN	in
the	DT	the
past	JJ	past
,	,	,
live	JJ	live
in	IN	in
the	DT	the
present	JJ	present
,	,	,
and	CC	and
don	NN	don
'	POS	'
t	NN	t
make	VB	make
the	DT	the
same	JJ	same
mistakes	NNS	mistake
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
something	NN	something
that	IN	that
I	PP	I
always	RB	always
try	VBP	try
to	TO	to
live	VB	live
by	IN	by
.	SENT	.
GK	NN	GK
:	:	:
Now	RB	now
you	PP	you
'	''	'
re	IN	re
planning	VBG	plan
a	DT	a
wedding	NN	wedding
and	CC	and
I	PP	I
want	VBP	want
to	TO	to
know	VB	know
,	,	,
is	VBZ	be
it	PP	it
a	DT	a
destination	NN	destination
wedding	NN	wedding
in	IN	in
the	DT	the
Catskills	NNS	Catskill
or	CC	or
Poconos	NNS	Pocono
or	CC	or
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
do	VB	do
it	PP	it
in	IN	in
Florida	NP	Florida
?	SENT	?
What	WP	what
are	VBP	be
you	PP	you
thinking	VBG	think
?	SENT	?
Big	JJ	big
or	CC	or
small	JJ	small
?	SENT	?
SW	NP	SW
:	:	:
We	PP	we
'	POS	'
re	NN	re
thinking	VBG	think
medium	JJ	medium
size	NN	size
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
do	VB	do
too	RB	too
big	JJ	big
,	,	,
but	CC	but
then	RB	then
we	PP	we
'	POS	'
re	NN	re
like	IN	like
,	,	,
OK	UH	OK
,	,	,
we	PP	we
can	MD	can
'	''	'
t	NN	t
say	VBP	say
no	RB	no
to	TO	to
this	DT	this
person	NN	person
,	,	,
this	DT	this
person	NN	person
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
thinking	VBG	think
medium	JJ	medium
size	NN	size
and	CC	and
we	PP	we
'	POS	'
re	NN	re
just	RB	just
thinking	VBG	think
—	:	-
My	PP$	my
personality	NN	personality
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
fun	NN	fun
.	SENT	.
Hopefully	RB	hopefully
you	PP	you
can	MD	can
see	VB	see
that	DT	that
today	NN	today
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
too	RB	too
serious	JJ	serious
.	SENT	.
GK	NN	GK
:	:	:
And	CC	and
you	PP	you
like	VBP	like
to	TO	to
dance	VB	dance
.	SENT	.
And	CC	and
the	DT	the
next	JJ	next
chapter	NN	chapter
for	IN	for
Serena	NP	Serena
Williams	NP	Williams
is	VBZ	be
what	WP	what
?	SENT	?
SW	NP	SW
:	:	:
Oh	UH	oh
,	,	,
next	JJ	next
for	IN	for
me	PP	me
.	SENT	.
Obviously	RB	obviously
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
have	VB	have
a	DT	a
baby	NN	baby
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
stay	VB	stay
fit	NN	fit
and	CC	and
kind	NN	kind
of	IN	of
come	VBN	come
back	RB	back
and	CC	and
play	VB	play
tennis	NN	tennis
and	CC	and
keep	VB	keep
working	VBG	work
on	IN	on
my	PP$	my
fashion	NN	fashion
line	NN	line
.	SENT	.
That	IN	that
'	''	'
ll	NN	ll
be	VB	be
really	RB	really
fun	NN	fun
.	SENT	.
GK	NP	GK
:	:	:
Do	VBP	do
you	PP	you
know	VBP	know
if	IN	if
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
boy	NN	boy
or	CC	or
girl	NN	girl
?	SENT	?
SW	NP	SW
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
feeling	NN	feeling
of	IN	of
one	CD	one
or	CC	or
the	DT	the
other	JJ	other
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
50-50	CD	@card@
chance	NN	chance
,	,	,
but	CC	but
I	PP	I
have	VBP	have
a	DT	a
feeling	NN	feeling
.	SENT	.
GK	NN	GK
:	:	:
Gayle	NP	Gayle
is	VBZ	be
a	DT	a
unisex	JJ	unisex
name	NN	name
.	SENT	.
Whatever	WDT	whatever
you	PP	you
and	CC	and
Alexis	NP	Alexis
decide	VBP	decide
,	,	,
we	PP	we
are	VBP	be
cheering	VBG	cheer
you	PP	you
on	RP	on
!	SENT	!
SW	NP	SW
:	:	:
Thank	VB	thank
you	PP	you
for	IN	for
that	DT	that
.	SENT	.
GK	NN	GK
:	:	:
You	PP	you
'	POS	'
re	NN	re
welcome	NN	welcome
.	SENT	.
We	PP	we
are	VBP	be
cheering	VBG	cheer
you	PP	you
on	RP	on
,	,	,
Serena	NP	Serena
Williams	NP	Williams
.	SENT	.
SW	NP	SW
:	:	:
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
Thank	VB	thank
you	PP	you
guys	NNS	guy
.	SENT	.
