Alison	NP	Alison
net	JJ	net
worth	NN	worth
.	SENT	.
But	CC	but
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
that	IN	that
I	PP	I
do	VBP	do
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
my	PP$	my
Harvard	NP	Harvard
campaign	NN	campaign
was	VBD	be
not	RB	not
a	DT	a
disinvestment	NN	disinvestment
or	CC	or
you	PP	you
know	VBP	know
,	,	,
I	PP	I
never	RB	never
said	VBD	say
anything	NN	anything
about	IN	about
making	VBG	make
or	CC	or
not	RB	not
making	VBG	make
a	DT	a
donation	NN	donation
to	TO	to
Harvard	NP	Harvard
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
they	PP	they
should	MD	should
listen	VB	listen
to	TO	to
me	PP	me
more	JJR	more
or	CC	or
less	JJR	less
,	,	,
whether	IN	whether
I	PP	I
have	VBP	have
been	VBN	be
a	DT	a
contributor	NN	contributor
or	CC	or
not	RB	not
.	SENT	.
I	PP	I
think	VBP	think
what	WP	what
'	POS	'
s	NN	S
given	VBN	give
me	PP	me
voice	NN	voice
and	CC	and
followers	NNS	follower
,	,	,
if	IN	if
you	PP	you
will	MD	will
,	,	,
is	VBZ	be
just	RB	just
my	PP$	my
willingness	NN	willingness
to	TO	to
share	NN	share
points	NNS	point
of	IN	of
view	NN	view
on	IN	on
ideas	NNS	idea
.	SENT	.
And	CC	and
if	IN	if
people	NNS	people
think	VBP	think
those	DT	those
ideas	NNS	idea
are	VBP	be
interesting	JJ	interesting
,	,	,
I	PP	I
get	VBP	get
followership	NN	followership
.	SENT	.
If	IN	if
they	PP	they
weren	NNS	<unknown>
'	POS	'
t	NN	t
concerned	VBN	concern
with	IN	with
what	WP	what
I	PP	I
had	VBD	have
to	TO	to
say	VB	say
,	,	,
they	PP	they
would	MD	would
not	RB	not
follow	VB	follow
me	PP	me
.	SENT	.
But	CC	but
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
I	PP	I
have	VBP	have
more	JJR	more
voice	NN	voice
.	SENT	.
Maybe	RB	maybe
I	NP	I
'	POS	'
m	NN	m
naive	NN	naive
by	IN	by
this	DT	this
,	,	,
but	CC	but
I	PP	I
think	VBP	think
the	DT	the
reason	NN	reason
,	,	,
you	PP	you
know	VBP	know
,	,	,
plenty	RB	plenty
of	IN	of
other	JJ	other
people	NNS	people
in	IN	in
my	PP$	my
industry	NN	industry
,	,	,
of	IN	of
similar	JJ	similar
economic	JJ	economic
circumstance	NN	circumstance
have	VBP	have
very	RB	very
little	JJ	little
voice	NN	voice
because	IN	because
they	PP	they
'	POS	'
ve	NN	ve
not	RB	not
put	VBD	put
themselves	PP	themselves
out	RP	out
there	RB	there
and	CC	and
they	PP	they
'	POS	'
ve	NN	ve
not	RB	not
shared	VBD	share
their	PP$	their
views	NNS	view
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	JJ	<unknown>
done	VBN	do
that	IN	that
in	IN	in
some	DT	some
depth	NN	depth
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
criticized	VBN	criticize
for	IN	for
writing	VBG	write
the	DT	the
longest	JJS	long
posts	NNS	post
in	IN	in
history	NN	history
.	SENT	.
But	CC	but
at	IN	at
least	JJS	least
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
feel	VBP	feel
with	IN	with
particularity	NN	particularity
,	,	,
I	PP	I
guess	VBP	guess
.	SENT	.
AT	NN	at
:	:	:
And	CC	and
you	PP	you
certainly	RB	certainly
invite	VB	invite
disagreement	NN	disagreement
.	SENT	.
You	PP	you
invite	VBP	invite
debate	NN	debate
.	SENT	.
BA	NP	BA
:	:	:
Yeah	RB	yeah
,	,	,
I	PP	I
actually	RB	actually
put	VBD	put
ideas	NNS	idea
out	RP	out
there	RB	there
to	TO	to
learn	VB	learn
,	,	,
not	RB	not
because	IN	because
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
impose	VB	impose
my	PP$	my
will	NN	will
on	IN	on
others	NNS	other
.	SENT	.
I	PP	I
actually	RB	actually
read	VBP	read
the	DT	the
comments	NNS	comment
,	,	,
even	RB	even
the	DT	the
mean	JJ	mean
ones	NNS	one
,	,	,
because	IN	because
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
--	:	--
and	CC	and
actually	RB	actually
my	PP$	my
approach	NN	approach
to	TO	to
X	NP	X
,	,	,
I	PP	I
should	MD	should
call	VB	call
it	PP	it
X	NN	X
,	,	,
is	VBZ	be
I	PP	I
follow	VBP	follow
people	NNS	people
on	IN	on
both	DT	both
extremes	NNS	extreme
of	IN	of
many	JJ	many
important	JJ	important
debates	NNS	debate
,	,	,
and	CC	and
I	PP	I
try	VBP	try
to	TO	to
follow	VB	follow
the	DT	the
most	RBS	most
articulate	JJ	articulate
,	,	,
seemingly	RB	seemingly
intelligent	JJ	intelligent
ones	NNS	one
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
how	WRB	how
I	PP	I
find	VBP	find
the	DT	the
truth	NN	truth
,	,	,
right	RB	right
?	SENT	?
You	PP	you
know	VBP	know
,	,	,
just	RB	just
following	VBG	follow
people	NNS	people
that	WDT	that
support	VBP	support
my	PP$	my
beliefs	NNS	belief
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
feel	VBP	feel
like	IN	like
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
learn	VB	learn
very	RB	very
much	RB	much
.	SENT	.
Again	RB	again
,	,	,
going	VBG	go
back	RB	back
to	TO	to
the	DT	the
importance	NN	importance
of	IN	of
viewpoint	NN	viewpoint
diversity	NN	diversity
at	IN	at
universities	NNS	university
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
not	RB	not
hearing	VBG	hear
,	,	,
you	PP	you
know	VBP	know
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
18	CD	@card@
years	NNS	year
old	JJ	old
and	CC	and
you	PP	you
show	VBP	show
up	RP	up
on	IN	on
the	DT	the
Harvard	NP	Harvard
campus	NN	campus
,	,	,
you	PP	you
want	VBP	want
to	TO	to
hear	VB	hear
the	DT	the
full	JJ	full
spectrum	NN	spectrum
of	IN	of
views	NNS	view
,	,	,
from	IN	from
progressive	JJ	progressive
to	TO	to
the	DT	the
most	RBS	most
conservative	JJ	conservative
to	TO	to
find	VB	find
truth	NN	truth
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
education	NN	education
is	VBZ	be
,	,	,
about	RB	about
finding	VBG	find
the	DT	the
truth	NN	truth
.	SENT	.
How	WRB	how
can	MD	can
you	PP	you
find	VB	find
the	DT	the
truth	NN	truth
if	IN	if
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
limit	NN	limit
to	TO	to
what	WP	what
speech	NN	speech
is	VBZ	be
acceptable	JJ	acceptable
?	SENT	?
AT	NN	at
:	:	:
So	RB	so
you	PP	you
will	MD	will
put	VB	put
a	DT	a
provocative	JJ	provocative
position	NN	position
out	IN	out
there	RB	there
,	,	,
and	CC	and
then	RB	then
you	PP	you
will	MD	will
ask	VB	ask
to	TO	to
be	VB	be
challenged	VBN	challenge
,	,	,
ask	VBP	ask
to	TO	to
be	VB	be
corrected	VBN	correct
,	,	,
and	CC	and
you	PP	you
will	MD	will
look	VB	look
for	IN	for
information	NN	information
that	IN	that
challenges	NNS	challenge
what	WP	what
you	PP	you
thought	VBD	think
already	RB	already
.	SENT	.
BA	NP	BA
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
necessarily	RB	necessarily
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
provocative	JJ	provocative
,	,	,
right	RB	right
?	SENT	?
I	PP	I
try	VBP	try
to	TO	to
put	VB	put
out	RP	out
my	PP$	my
points	NNS	point
of	IN	of
view	NN	view
on	IN	on
things	NNS	thing
.	SENT	.
Other	JJ	other
people	NNS	people
may	MD	may
find	VB	find
them	PP	them
provocative	JJ	provocative
,	,	,
but	CC	but
I	PP	I
certainly	RB	certainly
welcome	VBP	welcome
criticism	NN	criticism
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
an	DT	an
alternative	JJ	alternative
point	NN	point
of	IN	of
view	NN	view
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
how	WRB	how
I	PP	I
learn	VBP	learn
.	SENT	.
AT	NN	at
:	:	:
Alright	RB	alright
,	,	,
so	RB	so
let	VBD	let
'	''	'
s	NNS	<unknown>
go	VBP	go
back	RB	back
to	TO	to
this	DT	this
topic	NN	topic
of	IN	of
influence	NN	influence
.	SENT	.
You	PP	you
said	VBD	say
you	PP	you
don	NN	don
'	POS	'
t	NN	t
think	VBP	think
you	PP	you
have	VBP	have
disproportionate	JJ	disproportionate
influence	NN	influence
.	SENT	.
Certainly	RB	certainly
something	NN	something
I	PP	I
hear	VBP	hear
and	CC	and
read	VBP	read
about	RB	about
and	CC	and
that	DT	that
is	VBZ	be
a	DT	a
big	JJ	big
topic	NN	topic
in	IN	in
current	JJ	current
discourse	NN	discourse
is	VBZ	be
the	DT	the
excessive	JJ	excessive
influence	NN	influence
of	IN	of
wealthy	JJ	wealthy
people	NNS	people
on	IN	on
our	PP$	our
democracy	NN	democracy
,	,	,
on	IN	on
technology	NN	technology
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
the	DT	the
speculation	NN	speculation
goes	VBZ	go
on	IN	on
.	SENT	.
Do	VB	do
you	PP	you
think	VB	think
this	DT	this
is	VBZ	be
a	DT	a
legitimate	JJ	legitimate
source	NN	source
of	IN	of
concern	NN	concern
,	,	,
and	CC	and
if	IN	if
so	RB	so
,	,	,
are	VBP	be
you	PP	you
part	NN	part
of	IN	of
this	DT	this
problem	NN	problem
or	CC	or
not	RB	not
?	SENT	?
BA	NP	BA
:	:	:
Yeah	RB	yeah
,	,	,
so	RB	so
let	VB	let
me	PP	me
sort	VB	sort
of	IN	of
address	NN	address
that	IN	that
two	CD	two
ways	NNS	way
.	SENT	.
One	CD	one
,	,	,
I	PP	I
think	VBP	think
the	DT	the
notion	NN	notion
that	IN	that
you	PP	you
can	MD	can
spend	VB	spend
an	DT	an
unlimited	JJ	unlimited
amount	NN	amount
of	IN	of
money	NN	money
on	IN	on
political	JJ	political
campaigns	NNS	campaign
,	,	,
in	IN	in
effect	NN	effect
,	,	,
through	IN	through
PACs	NNS	PAC
and	CC	and
otherwise	RB	otherwise
,	,	,
and	CC	and
you	PP	you
can	MD	can
even	RB	even
do	VB	do
it	PP	it
anonymously	RB	anonymously
,	,	,
I	PP	I
think	VBP	think
is	VBZ	be
a	DT	a
disaster	NN	disaster
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
wrong	JJ	wrong
.	SENT	.
I	PP	I
do	VBP	do
think	VB	think
wealthy	JJ	wealthy
people	NNS	people
can	MD	can
have	VB	have
more	JJR	more
influence	NN	influence
.	SENT	.
Absolutely	RB	absolutely
.	SENT	.
The	DT	the
point	NN	point
I	PP	I
was	VBD	be
making	VBG	make
was	VBD	be
,	,	,
I	PP	I
think	VBP	think
the	DT	the
influence	VB	influence
I	PP	I
'	POS	'
ve	NN	ve
had	VBD	have
has	VBZ	have
not	RB	not
come	VBN	come
from	IN	from
because	IN	because
I	PP	I
spent	VBD	spend
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
on	IN	on
you	PP	you
know	VBP	know
,	,	,
an	DT	an
XYZ	NP	XYZ
campaign	NN	campaign
,	,	,
but	CC	but
rather	RB	rather
because	IN	because
I	PP	I
put	VBD	put
out	RP	out
an	DT	an
idea	NN	idea
that	WDT	that
had	VBD	have
impact	NN	impact
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
the	DT	the
tweet	VBP	tweet
I	PP	I
wrote	VBD	write
on	IN	on
DEI	NP	dei
,	,	,
which	WDT	which
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
5	CD	@card@
,	,	,
200	CD	@card@
words	NNS	word
or	CC	or
whatever	WDT	whatever
,	,	,
has	VBZ	have
been	VBN	be
viewed	VBN	view
36	CD	@card@
million	CD	million
times	NNS	time
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NN	S
probably	RB	probably
the	DT	the
most	RBS	most
viewed	VBN	view
long	RB	long
tweet	VB	tweet
.	SENT	.
Maybe	RB	maybe
the	DT	the
only	RB	only
long	RB	long
tweet	VB	tweet
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
had	VBD	have
an	DT	an
impact	NN	impact
.	SENT	.
I	PP	I
happened	VBD	happen
to	TO	to
bump	VB	bump
into	IN	into
a	DT	a
governor	NN	governor
who	WP	who
said	VBD	say
it	PP	it
had	VBD	have
an	DT	an
impact	NN	impact
on	IN	on
changes	NNS	change
in	IN	in
policy	NN	policy
they	PP	they
made	VBD	make
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
it	PP	it
had	VBD	have
nothing	NN	nothing
to	TO	to
do	VB	do
with	IN	with
,	,	,
you	PP	you
know	VBP	know
,	,	,
how	WRB	how
many	JJ	many
stocks	NNS	stock
I	PP	I
own	VBP	own
or	CC	or
anything	NN	anything
like	IN	like
that	DT	that
.	SENT	.
AT	NN	at
:	:	:
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
hear	VBP	hear
an	DT	an
answer	NN	answer
to	TO	to
the	DT	the
question	NN	question
.	SENT	.
Do	VB	do
you	PP	you
think	VB	think
this	DT	this
excessive	JJ	excessive
influence	NN	influence
of	IN	of
rich	JJ	rich
people	NNS	people
in	IN	in
society	NN	society
is	VBZ	be
a	DT	a
genuine	JJ	genuine
problem	NN	problem
,	,	,
or	CC	or
is	VBZ	be
it	PP	it
exaggerated	JJ	exaggerated
?	SENT	?
BA	NP	BA
:	:	:
Look	VBP	look
,	,	,
I	PP	I
think	VBP	think
the	DT	the
notion	NN	notion
that	IN	that
someone	NN	someone
can	MD	can
spend	VB	spend
,	,	,
several	JJ	several
hundred	CD	hundred
million	CD	million
dollars	NNS	dollar
on	RB	on
,	,	,
you	PP	you
know	VBP	know
,	,	,
various	JJ	various
campaigns	NNS	campaign
at	IN	at
state	NN	state
levels	NNS	level
and	CC	and
otherwise	RB	otherwise
and	CC	and
impact	NN	impact
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
politics	NNS	politics
of	IN	of
attorneys	NNS	attorney
general	JJ	general
around	IN	around
the	DT	the
country	NN	country
,	,	,
I	PP	I
think	VBP	think
is	VBZ	be
not	RB	not
a	DT	a
good	JJ	good
thing	NN	thing
.	SENT	.
The	DT	the
democratic	JJ	democratic
process	NN	process
should	MD	should
be	VB	be
democratic	JJ	democratic
,	,	,
right	RB	right
?	SENT	?
In	IN	in
order	NN	order
for	IN	for
it	PP	it
to	TO	to
be	VB	be
democratic	JJ	democratic
,	,	,
you	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
one	CD	one
man	NN	man
,	,	,
one	CD	one
vote	NN	vote
.	SENT	.
Now	RB	now
,	,	,
all	PDT	all
that	DT	that
being	NN	being
said	VBD	say
,	,	,
people	NNS	people
look	VBP	look
at	IN	at
the	DT	the
Elon	NP	Elon
Musks	NNS	musk
of	IN	of
the	DT	the
world	NN	world
and	CC	and
the	DT	the
fact	NN	fact
that	IN	that
he	PP	he
had	VBD	have
the	DT	the
resources	NNS	resource
that	WDT	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
profits	VBZ	profit
he	PP	he
made	VBD	make
from	IN	from
PayPal	NP	<unknown>
is	VBZ	be
what	WP	what
enabled	VBD	enable
him	PP	him
to	TO	to
launch	VB	launch
Tesla	NN	tesla
,	,	,
you	PP	you
know	VBP	know
,	,	,
and	CC	and
SpaceX	NP	<unknown>
.	SENT	.
No	DT	no
venture	NN	venture
capitalist	NN	capitalist
would	MD	would
have	VB	have
put	VBN	put
up	RP	up
the	DT	the
capital	NN	capital
to	TO	to
launch	VB	launch
Tesla	NN	tesla
.	SENT	.
It	PP	it
was	VBD	be
the	DT	the
100	CD	@card@
million	CD	million
from	IN	from
Elon	NP	Elon
that	WDT	that
made	VBD	make
that	RB	that
happen	VB	happen
.	SENT	.
I	PP	I
think	VBP	think
,	,	,
you	PP	you
know	VBP	know
,	,	,
Jeff	NP	Jeff
Bezos	NP	<unknown>
and	CC	and
Blue	NP	Blue
Origin	NN	origin
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
Avi	NP	Avi
[	SYM	[
Loeb	NP	Loeb
]	SYM	]
'	POS	'
s	NNS	<unknown>
talking	VBG	talk
about	RB	about
,	,	,
you	PP	you
know	VBP	know
,	,	,
what	WP	what
could	MD	could
be	VB	be
accomplished	VBN	accomplish
with	IN	with
four	CD	four
trillion	CD	trillion
dollars	NNS	dollar
.	SENT	.
The	DT	the
fact	NN	fact
that	IN	that
people	NNS	people
who	WP	who
have	VBP	have
100-something	JJ	<unknown>
billion	NN	billion
dollars	NNS	dollar
are	VBP	be
prepared	VBN	prepare
to	TO	to
invest	VB	invest
that	IN	that
on	IN	on
space	NN	space
exploration	NN	exploration
,	,	,
I	PP	I
think	VBP	think
is	VBZ	be
a	DT	a
very	RB	very
positive	JJ	positive
thing	NN	thing
for	IN	for
society	NN	society
.	SENT	.
It	PP	it
does	VBZ	do
have	VBP	have
influence	NN	influence
and	CC	and
otherwise	RB	otherwise
.	SENT	.
What	WP	what
I	PP	I
worry	VBP	worry
about	RB	about
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
political	JJ	political
stuff	NN	stuff
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
Supreme	NP	Supreme
Court	NP	Court
decision	NN	decision
needs	VBZ	need
to	TO	to
be	VB	be
reversed	VBN	reverse
.	SENT	.
AT	NN	at
:	:	:
Alright	RB	alright
.	SENT	.
BA	NP	BA
:	:	:
Ironically	RB	ironically
,	,	,
it	PP	it
was	VBD	be
Citizens	NPS	Citizens
United	NP	United
,	,	,
is	VBZ	be
the	DT	the
decision	NN	decision
right	NN	right
?	SENT	?
And	CC	and
it	PP	it
'	POS	'
s	NN	S
disunited	VBD	disunite
the	DT	the
citizens	NNS	citizen
.	SENT	.
AT	NN	at
:	:	:
So	IN	so
voices	NNS	voice
,	,	,
legitimate	JJ	legitimate
within	IN	within
reason	NN	reason
,	,	,
we	PP	we
need	VBP	need
to	TO	to
have	VB	have
--	:	--
BA	NP	BA
:	:	:
No	UH	no
,	,	,
voices	NNS	voice
legitimate	JJ	legitimate
without	IN	without
reason	NN	reason
,	,	,
right	RB	right
?	SENT	?
You	PP	you
know	VBP	know
,	,	,
free	JJ	free
speech	NN	speech
,	,	,
share	VB	share
your	PP$	your
views	NNS	view
,	,	,
and	CC	and
let	VB	let
the	DT	the
most	RBS	most
powerful	JJ	powerful
ideas	NNS	idea
capture	VB	capture
the	DT	the
minds	NNS	mind
.	SENT	.
AT	IN	at
:	:	:
OK	UH	OK
,	,	,
and	CC	and
you	PP	you
believe	VBP	believe
that	WDT	that
is	VBZ	be
happening	VBG	happen
?	SENT	?
BA	NP	BA
:	:	:
Actually	RB	actually
,	,	,
I	PP	I
'	POS	'
m	NN	m
a	DT	a
big	JJ	big
fan	NN	fan
of	IN	of
X	NP	X
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
really	RB	really
is	VBZ	be
an	DT	an
open	JJ	open
,	,	,
free-speech	NN	free-speech
platform	NN	platform
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
learned	VBD	learn
a	DT	a
lot	NN	lot
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
affected	VBD	affect
my	PP$	my
views	NNS	view
,	,	,
my	PP$	my
politics	NNS	politics
,	,	,
my	PP$	my
insights	NNS	insight
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
one	CD	one
of	IN	of
the	DT	the
few	JJ	few
places	NNS	place
you	PP	you
can	MD	can
go	VB	go
and	CC	and
have	VBP	have
a	DT	a
true	JJ	true
free-speech	NN	free-speech
platform	NN	platform
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
the	DT	the
negative	NN	negative
is	VBZ	be
,	,	,
of	IN	of
course	NN	course
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
confront	VB	confront
hate	NN	hate
speech	NN	speech
and	CC	and
vile	JJ	vile
speech	NN	speech
and	CC	and
things	NNS	thing
that	WDT	that
are	VBP	be
the	DT	the
detritus	NN	detritus
of	IN	of
free	JJ	free
speech	NN	speech
.	SENT	.
But	CC	but
I	PP	I
still	RB	still
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
very	JJ	very
,	,	,
very	RB	very
good	JJ	good
thing	NN	thing
.	SENT	.
I	PP	I
no	RB	no
longer	RBR	longer
rely	VB	rely
on	IN	on
,	,	,
you	PP	you
know	VBP	know
,	,	,
just	RB	just
the	DT	the
Financial	NP	Financial
Times	NP	Times
,	,	,
The	DT	the
Wall	NP	Wall
Street	NP	Street
Journal	NP	Journal
,	,	,
The	DT	the
New	NP	New
York	NP	York
Times	NP	Times
and	CC	and
The	DT	the
Economist	NN	economist
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
and	CC	and
CNN	NP	CNN
or	CC	or
whatever	WDT	whatever
,	,	,
Fox	NP	Fox
News	NP	News
,	,	,
whatever	WDT	whatever
media	NNS	medium
you	PP	you
follow	VBP	follow
.	SENT	.
And	CC	and
I	PP	I
think	VB	think
being	VBG	be
able	JJ	able
to	TO	to
kind	NN	kind
of	IN	of
custom-select	JJ	custom-select
interesting	JJ	interesting
insights	NNS	insight
is	VBZ	be
good	JJ	good
for	IN	for
humanity	NN	humanity
.	SENT	.
AT	NN	at
:	:	:
Amazing	JJ	amazing
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
wrap	VB	wrap
up	RP	up
,	,	,
thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
