Last	JJ	last
had	VBD	have
the	DT	the
concept	NN	concept
of	IN	of
the	DT	the
code	NN	code
as	IN	as
a	DT	a
living	VBG	live
thing	NN	thing
;	:	;
Von	NP	Von
Neumann	NP	Neumann
saw	VBD	see
how	WRB	how
you	PP	you
could	MD	could
build	VB	build
the	DT	the
machines	NNS	machine
—	:	-
that	IN	that
now	RB	now
,	,	,
last	JJ	last
count	NN	count
,	,	,
four	CD	four
million	CD	million
of	IN	of
these	DT	these
Von	NP	Von
Neumann	NP	Neumann
machines	NNS	machine
is	VBZ	be
built	VBN	build
every	DT	every
24	CD	@card@
hours	NNS	hour
;	:	;
and	CC	and
Julian	NP	Julian
Bigelow	NP	Bigelow
,	,	,
who	WP	who
died	VBD	die
10	CD	@card@
days	NNS	day
ago	RB	ago
—	:	-
this	DT	this
is	VBZ	be
John	NP	John
Markoff	NP	Markoff
'	POS	'
s	JJ	<unknown>
obituary	NN	obituary
for	IN	for
him	PP	him
—	:	-
he	PP	he
was	VBD	be
the	DT	the
important	JJ	important
missing	JJ	missing
link	NN	link
,	,	,
the	DT	the
engineer	NN	engineer
who	WP	who
came	VBD	come
in	IN	in
and	CC	and
knew	VBD	know
how	WRB	how
to	TO	to
put	VB	put
those	DT	those
vacuum	NN	vacuum
tubes	NNS	tube
together	RB	together
and	CC	and
make	VB	make
it	PP	it
work	VB	work
.	SENT	.
And	CC	and
all	PDT	all
our	PP$	our
computers	NNS	computer
have	VBP	have
,	,	,
inside	IN	inside
them	PP	them
,	,	,
the	DT	the
copies	NNS	copy
of	IN	of
the	DT	the
architecture	NN	architecture
that	IN	that
he	PP	he
had	VBD	have
to	TO	to
just	RB	just
design	VB	design
one	CD	one
day	NN	day
,	,	,
sort	NN	sort
of	IN	of
on	IN	on
pencil	NN	pencil
and	CC	and
paper	NN	paper
.	SENT	.
And	CC	and
we	PP	we
owe	VBP	owe
a	DT	a
tremendous	JJ	tremendous
credit	NN	credit
to	TO	to
that	DT	that
.	SENT	.
And	CC	and
he	PP	he
explained	VBD	explain
,	,	,
in	IN	in
a	DT	a
very	RB	very
generous	JJ	generous
way	NN	way
,	,	,
the	DT	the
spirit	NN	spirit
that	WDT	that
brought	VBD	bring
all	PDT	all
these	DT	these
different	JJ	different
people	NNS	people
to	TO	to
the	DT	the
Institute	NP	Institute
for	IN	for
Advanced	NP	Advanced
Study	NP	Study
in	IN	in
the	DT	the
'	''	'
40s	JJ	<unknown>
to	TO	to
do	VB	do
this	DT	this
project	NN	project
,	,	,
and	CC	and
make	VB	make
it	PP	it
freely	RB	freely
available	JJ	available
with	IN	with
no	DT	no
patents	NNS	patent
,	,	,
no	DT	no
restrictions	NNS	restriction
,	,	,
no	DT	no
intellectual	JJ	intellectual
property	NN	property
disputes	NNS	dispute
to	TO	to
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
last	JJ	last
entry	NN	entry
in	IN	in
the	DT	the
logbook	NN	logbook
when	WRB	when
the	DT	the
machine	NN	machine
was	VBD	be
shut	VBN	shut
down	RP	down
,	,	,
July	NP	July
1958	CD	@card@
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
Julian	NP	Julian
Bigelow	NP	Bigelow
who	WP	who
was	VBD	be
running	VBG	run
it	PP	it
until	IN	until
midnight	NN	midnight
when	WRB	when
the	DT	the
machine	NN	machine
was	VBD	be
officially	RB	officially
turned	VBN	turn
off	RP	off
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
end	NN	end
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
