Tonight	RB	tonight
the	DT	the
Aral	NP	Aral
Sea	NP	Sea
,	,	,
now	RB	now
turned	VBD	turn
to	TO	to
desert	VB	desert
.	SENT	.
Or	CC	or
the	DT	the
Colorado	NP	Colorado
River	NP	River
,	,	,
which	WDT	which
no	DT	no
longer	JJR	long
flows	NNS	flow
to	TO	to
the	DT	the
ocean	NN	ocean
.	SENT	.
Fertilizers	NNS	fertilizer
have	VBP	have
more	RBR	more
than	IN	than
doubled	VBD	double
the	DT	the
phosphorus	NN	phosphorus
and	CC	and
nitrogen	NN	nitrogen
in	IN	in
the	DT	the
environment	NN	environment
.	SENT	.
The	DT	the
consequence	NN	consequence
?	SENT	?
Widespread	JJ	widespread
water	NN	water
pollution	NN	pollution
and	CC	and
massive	JJ	massive
degradation	NN	degradation
of	IN	of
lakes	NNS	lake
and	CC	and
rivers	NNS	river
.	SENT	.
Surprisingly	RB	surprisingly
,	,	,
agriculture	NN	agriculture
is	VBZ	be
the	DT	the
biggest	JJS	big
contributor	NN	contributor
to	TO	to
climate	NN	climate
change	NN	change
.	SENT	.
It	PP	it
generates	VBZ	generate
30	CD	@card@
%	NN	%
of	IN	of
greenhouse	NN	greenhouse
gas	NN	gas
emissions	NNS	emission
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
more	RBR	more
than	IN	than
the	DT	the
emissions	NNS	emission
from	IN	from
all	DT	all
electricity	NN	electricity
and	CC	and
industry	NN	industry
,	,	,
or	CC	or
from	IN	from
all	PDT	all
the	DT	the
world	NN	world
'	POS	'
s	NN	S
planes	NNS	plane
,	,	,
trains	NNS	train
and	CC	and
automobiles	NNS	automobile
.	SENT	.
Most	RBS	most
agricultural	JJ	agricultural
emissions	NNS	emission
come	VBN	come
from	IN	from
tropical	JJ	tropical
deforestation	NN	deforestation
,	,	,
methane	NN	methane
from	IN	from
animals	NNS	animal
and	CC	and
rice	NN	rice
fields	NNS	field
,	,	,
and	CC	and
nitrous	JJ	nitrous
oxide	NN	oxide
from	IN	from
over-fertilizing	VBG	over-fertilize
.	SENT	.
There	EX	there
is	VBZ	be
nothing	NN	nothing
we	PP	we
do	VBP	do
that	WDT	that
transforms	VBZ	transform
the	DT	the
world	NN	world
more	RBR	more
than	IN	than
agriculture	NN	agriculture
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
we	PP	we
do	VBP	do
that	WDT	that
is	VBZ	be
more	RBR	more
crucial	JJ	crucial
to	TO	to
our	PP$	our
survival	NN	survival
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
dilemma	NN	dilemma
.	SENT	.
.	SENT	.
.	SENT	.
As	IN	as
the	DT	the
world	NN	world
grows	VBZ	grow
by	IN	by
several	JJ	several
billion	NNS	billion
more	JJR	more
people	NNS	people
,	,	,
We	PP	we
'	POS	'
ll	NNS	<unknown>
need	VBP	need
to	TO	to
double	VB	double
,	,	,
maybe	RB	maybe
even	RB	even
triple	JJ	triple
,	,	,
global	JJ	global
food	NN	food
production	NN	production
.	SENT	.
So	RB	so
where	WRB	where
do	VBP	do
we	PP	we
go	VB	go
from	IN	from
here	RB	here
?	SENT	?
We	PP	we
need	VBP	need
a	DT	a
bigger	JJR	big
conversation	NN	conversation
,	,	,
an	DT	an
international	JJ	international
dialogue	NN	dialogue
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
invest	VB	invest
in	IN	in
real	JJ	real
solutions	NNS	solution
:	:	:
incentives	NNS	incentive
for	IN	for
farmers	NNS	farmer
,	,	,
precision	NN	precision
agriculture	NN	agriculture
,	,	,
new	JJ	new
crop	NN	crop
varieties	NNS	variety
,	,	,
drip	NN	drip
irrigation	NN	irrigation
,	,	,
gray	JJ	gray
water	NN	water
recycling	NN	recycling
,	,	,
better	JJR	good
tillage	NN	tillage
practices	NNS	practice
,	,	,
smarter	JJR	smart
diets	NNS	diet
.	SENT	.
We	PP	we
need	VBP	need
everyone	NN	everyone
at	IN	at
the	DT	the
table	NN	table
.	SENT	.
Advocates	NNS	advocate
of	IN	of
commercial	JJ	commercial
agriculture	NN	agriculture
,	,	,
environmental	JJ	environmental
conservation	NN	conservation
,	,	,
and	CC	and
organic	JJ	organic
farming	NN	farming
.	SENT	.
.	SENT	.
.	SENT	.
must	MD	must
work	VB	work
together	RB	together
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
single	JJ	single
solution	NN	solution
.	SENT	.
We	PP	we
need	VBP	need
collaboration	NN	collaboration
,	,	,
imagination	NN	imagination
,	,	,
determination	NN	determination
,	,	,
because	IN	because
failure	NN	failure
is	VBZ	be
not	RB	not
an	DT	an
option	NN	option
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
feed	VBP	feed
the	DT	the
world	NN	world
without	IN	without
destroying	VBG	destroy
it	PP	it
?	SENT	?
Yeah	RB	yeah
,	,	,
so	RB	so
we	PP	we
face	VBP	face
one	PP	one
of	IN	of
the	DT	the
greatest	JJS	great
grand	JJ	grand
challenges	NNS	challenge
in	IN	in
all	DT	all
of	IN	of
human	JJ	human
history	NN	history
today	NN	today
:	:	:
the	DT	the
need	NN	need
to	TO	to
feed	VB	feed
nine	CD	nine
billion	NN	billion
people	NNS	people
and	CC	and
do	VBP	do
so	RB	so
sustainably	RB	<unknown>
and	CC	and
equitably	RB	equitably
and	CC	and
justly	RB	justly
,	,	,
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
protecting	VBG	protect
our	PP$	our
planet	NN	planet
for	IN	for
this	DT	this
and	CC	and
future	JJ	future
generations	NNS	generation
.	SENT	.
This	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
one	CD	one
of	IN	of
the	DT	the
hardest	JJS	hard
things	NNS	thing
we	PP	we
ever	RB	ever
have	VBP	have
done	VBN	do
in	IN	in
human	JJ	human
history	NN	history
,	,	,
and	CC	and
we	PP	we
absolutely	RB	absolutely
have	VB	have
to	TO	to
get	VB	get
it	PP	it
right	RB	right
,	,	,
and	CC	and
we	PP	we
have	VBP	have
to	TO	to
get	VB	get
it	PP	it
right	JJ	right
on	IN	on
our	PP$	our
first	JJ	first
and	CC	and
only	RB	only
try	VB	try
.	SENT	.
So	RB	so
thanks	NNS	thanks
very	RB	very
much	RB	much
.	SENT	.
