Walk	VB	walk
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
speed	NN	speed
at	IN	at
which	WDT	which
this	DT	this
city	NN	city
is	VBZ	be
transforming	VBG	transform
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
see	VB	see
in	IN	in
the	DT	the
foreground	NN	foreground
of	IN	of
this	DT	this
picture	NN	picture
,	,	,
it	PP	it
'	POS	'
s	NN	S
still	RB	still
one	CD	one
of	IN	of
the	DT	the
last	JJ	last
areas	NNS	area
that	WDT	that
was	VBD	be
being	VBG	be
held	VBN	hold
up	RP	up
.	SENT	.
Right	RB	right
now	RB	now
that	RB	that
'	''	'
s	NNS	<unknown>
all	RB	all
cleared	VBD	clear
out	RP	out
â	NP	<unknown>
this	DT	this
was	VBD	be
done	VBN	do
about	IN	about
eight	CD	eight
months	NNS	month
ago	RB	ago
â	NP	<unknown>
and	CC	and
high-rises	NNS	high-rise
are	VBP	be
now	RB	now
going	VBG	go
up	RP	up
into	IN	into
that	DT	that
central	JJ	central
spot	NN	spot
.	SENT	.
So	IN	so
a	DT	a
skyscraper	NN	skyscraper
is	VBZ	be
built	VBN	build
,	,	,
literally	RB	literally
,	,	,
overnight	JJ	overnight
in	IN	in
Shanghai	NP	Shanghai
.	SENT	.
Most	RBS	most
recently	RB	recently
I	PP	I
went	VBD	go
in	IN	in
,	,	,
and	CC	and
I	PP	I
started	VBD	start
looking	VBG	look
at	IN	at
some	DT	some
of	IN	of
the	DT	the
biggest	JJS	big
industries	NNS	industry
in	IN	in
China	NP	China
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
Baosteel	JJ	<unknown>
,	,	,
right	JJ	right
outside	NN	outside
of	IN	of
Shanghai	NP	Shanghai
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
coal	NN	coal
supply	NN	supply
for	IN	for
the	DT	the
steel	NN	steel
factory	NN	factory
â	NP	<unknown>
18	CD	@card@
square	JJ	square
kilometers	NNS	kilometer
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
incredibly	RB	incredibly
massive	JJ	massive
operation	NN	operation
,	,	,
I	PP	I
think	VBP	think
15	CD	@card@
,	,	,
000	CD	@card@
workers	NNS	worker
,	,	,
five	CD	five
cupolas	NNS	cupola
,	,	,
and	CC	and
the	DT	the
sixth	JJ	sixth
one	CD	one
'	POS	'
s	NNS	<unknown>
coming	VBG	come
in	IN	in
here	RB	here
.	SENT	.
So	IN	so
they	PP	they
'	POS	'
re	NN	re
building	NN	building
very	RB	very
large	JJ	large
blast	NN	blast
furnaces	NNS	furnace
to	TO	to
try	VB	try
to	TO	to
deal	VB	deal
with	IN	with
the	DT	the
demand	NN	demand
for	IN	for
steel	NN	steel
in	IN	in
China	NP	China
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
three	CD	three
of	IN	of
the	DT	the
visible	JJ	visible
blast	NN	blast
furnaces	NNS	furnace
within	IN	within
that	DT	that
shot	NN	shot
.	SENT	.
And	CC	and
again	RB	again
,	,	,
looking	VBG	look
at	IN	at
these	DT	these
images	NNS	image
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
constant	JJ	constant
,	,	,
like	VBP	like
,	,	,
haze	VBP	haze
that	IN	that
you	PP	you
'	''	'
re	IN	re
seeing	VBG	see
.	SENT	.
This	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
,	,	,
real	JJ	real
time	NN	time
,	,	,
an	DT	an
assembler	NN	assembler
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
circuit	NN	circuit
breaker	NN	breaker
.	SENT	.
10	CD	@card@
hours	NNS	hour
a	DT	a
day	NN	day
at	IN	at
this	DT	this
speed	NN	speed
.	SENT	.
I	PP	I
think	VBP	think
one	PP	one
of	IN	of
the	DT	the
issues	NNS	issue
that	IN	that
we	PP	we
here	RB	here
are	VBP	be
facing	VBG	face
with	IN	with
China	NP	China
,	,	,
is	VBZ	be
that	IN	that
they	PP	they
'	''	'
re	IN	re
using	VBG	use
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
latest	JJS	late
production	NN	production
technology	NN	technology
.	SENT	.
In	IN	in
that	DT	that
one	CD	one
,	,	,
there	EX	there
were	VBD	be
400	CD	@card@
people	NNS	people
that	WDT	that
worked	VBD	work
on	IN	on
the	DT	the
floor	NN	floor
.	SENT	.
And	CC	and
I	PP	I
asked	VBD	ask
the	DT	the
manager	NN	manager
to	TO	to
point	VB	point
out	RP	out
five	CD	five
of	IN	of
your	PP$	your
fastest	JJS	fast
producers	NNS	producer
,	,	,
and	CC	and
then	RB	then
I	PP	I
went	VBD	go
and	CC	and
looked	VBD	look
at	IN	at
each	DT	each
one	CD	one
of	IN	of
them	PP	them
for	IN	for
about	RB	about
15	CD	@card@
or	CC	or
20	CD	@card@
minutes	NNS	minute
,	,	,
and	CC	and
picked	VBD	pick
this	DT	this
one	CD	one
woman	NN	woman
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
just	RB	just
lightning	NN	lightning
fast	RB	fast
;	:	;
the	DT	the
way	NN	way
she	PP	she
was	VBD	be
working	VBG	work
was	VBD	be
almost	RB	almost
unbelievable	JJ	unbelievable
.	SENT	.
But	CC	but
that	DT	that
is	VBZ	be
the	DT	the
trick	NN	trick
that	IN	that
they	PP	they
'	POS	'
ve	NN	ve
got	VBD	get
right	RB	right
now	RB	now
,	,	,
that	IN	that
they	PP	they
'	POS	'
re	NN	re
winning	VBG	win
with	IN	with
,	,	,
is	VBZ	be
that	IN	that
they	PP	they
'	''	'
re	IN	re
using	VBG	use
all	PDT	all
the	DT	the
latest	JJS	late
technologies	NNS	technology
and	CC	and
extrusion	NN	extrusion
machines	NNS	machine
,	,	,
and	CC	and
bringing	VBG	bring
all	PDT	all
the	DT	the
components	NNS	component
into	IN	into
play	NN	play
,	,	,
but	CC	but
the	DT	the
assembly	NN	assembly
is	VBZ	be
where	WRB	where
they	PP	they
'	POS	'
re	NN	re
actually	RB	actually
bringing	VBG	bring
in	IN	in
â	NP	<unknown>
the	DT	the
country	NN	country
workers	NNS	worker
are	VBP	be
very	RB	very
willing	JJ	willing
to	TO	to
work	VB	work
.	SENT	.
They	PP	they
want	VBP	want
to	TO	to
work	VB	work
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
massive	JJ	massive
backlog	NN	backlog
of	IN	of
people	NNS	people
wanting	VBG	want
their	PP$	their
jobs	NNS	job
.	SENT	.
That	DT	that
condition	NN	condition
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
there	RB	there
for	IN	for
the	DT	the
next	JJ	next
10	CD	@card@
to	TO	to
15	CD	@card@
years	NNS	year
if	IN	if
they	PP	they
realize	VBP	realize
what	WP	what
they	PP	they
want	VBP	want
,	,	,
which	WDT	which
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
400	CD	@card@
to	TO	to
500	CD	@card@
million	CD	million
more	JJR	more
people	NNS	people
coming	VBG	come
into	IN	into
the	DT	the
cities	NNS	city
.	SENT	.
In	IN	in
this	DT	this
particular	JJ	particular
case	NN	case
â	NP	<unknown>
this	DT	this
is	VBZ	be
the	DT	the
assembly	NN	assembly
line	NN	line
that	IN	that
you	PP	you
saw	VBD	see
;	:	;
this	DT	this
is	VBZ	be
a	DT	a
shot	NN	shot
of	IN	of
it	PP	it
.	SENT	.
I	PP	I
had	VBD	have
to	TO	to
use	VB	use
a	DT	a
very	RB	very
small	JJ	small
aperture	NN	aperture
to	TO	to
get	VB	get
the	DT	the
depth	NN	depth
of	IN	of
field	NN	field
.	SENT	.
I	PP	I
had	VBD	have
to	TO	to
have	VB	have
them	PP	them
freeze	VB	freeze
for	IN	for
10	CD	@card@
seconds	NNS	second
to	TO	to
get	VB	get
this	DT	this
shot	NN	shot
.	SENT	.
It	PP	it
took	VBD	take
me	PP	me
five	CD	five
fake	NN	fake
tries	VBZ	try
because	IN	because
they	PP	they
were	VBD	be
just	RB	just
going	VBG	go
.	SENT	.
To	TO	to
slow	VB	slow
them	PP	them
down	RB	down
was	VBD	be
literally	RB	literally
impossible	JJ	impossible
.	SENT	.
They	PP	they
were	VBD	be
just	RB	just
wound	VBN	wind
up	RP	up
doing	VBG	do
these	DT	these
things	NNS	thing
all	DT	all
day	NN	day
long	RB	long
,	,	,
until	IN	until
the	DT	the
manager	NN	manager
had	VBD	have
to	TO	to
,	,	,
with	IN	with
a	DT	a
stern	JJ	stern
voice	NN	voice
,	,	,
say	VBP	say
,	,	,
"	''	"
Okay	NP	Okay
,	,	,
everybody	NN	everybody
freeze	NN	freeze
.	SENT	.
"	``	"
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
too	RB	too
bad	JJ	bad
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
driven	VBN	drive
to	TO	to
produce	VB	produce
these	DT	these
things	NNS	thing
at	IN	at
an	DT	an
incredible	JJ	incredible
rate	NN	rate
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
textile	JJ	textile
mill	NN	mill
doing	VBG	do
synthetic	JJ	synthetic
silk	NN	silk
,	,	,
an	DT	an
oil	NN	oil
byproduct	NN	byproduct
.	SENT	.
And	CC	and
what	WP	what
you	PP	you
'	POS	'
re	NN	re
seeing	VBG	see
here	RB	here
is	VBZ	be
,	,	,
again	RB	again
,	,	,
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
state-of-the-art	JJ	state-of-the-art
textile	NN	textile
mills	NNS	mill
.	SENT	.
There	EX	there
are	VBP	be
500	CD	@card@
of	IN	of
these	DT	these
machines	NNS	machine
;	:	;
they	PP	they
'	POS	'
re	NN	re
worth	NN	worth
about	IN	about
200	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
each	DT	each
.	SENT	.
So	RB	so
you	PP	you
have	VBP	have
about	RB	about
12	CD	@card@
people	NNS	people
running	VBG	run
this	DT	this
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
just	RB	just
inspecting	VBG	inspect
it	PP	it
â	NP	<unknown>
and	CC	and
they	PP	they
'	POS	'
re	NN	re
just	RB	just
walking	VBG	walk
the	DT	the
lines	NNS	line
.	SENT	.
The	DT	the
machines	NNS	machine
are	VBP	be
all	RB	all
running	VBG	run
,	,	,
absolutely	RB	absolutely
incredible	JJ	incredible
to	TO	to
see	VB	see
what	WP	what
the	DT	the
scale	NN	scale
of	IN	of
industries	NNS	industry
are	VBP	be
.	SENT	.
And	CC	and
I	PP	I
started	VBD	start
getting	VBG	get
in	IN	in
further	RBR	further
and	CC	and
further	RBR	further
into	IN	into
the	DT	the
factories	NNS	factory
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
diptych	NN	diptych
.	SENT	.
I	PP	I
do	VBP	do
a	DT	a
lot	NN	lot
of	IN	of
pairings	NNS	pairing
to	TO	to
try	VB	try
and	CC	and
get	VB	get
the	DT	the
sense	NN	sense
of	IN	of
scale	NN	scale
in	IN	in
these	DT	these
places	NNS	place
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
line	NN	line
where	WRB	where
they	PP	they
get	VBP	get
the	DT	the
threads	NNS	thread
and	CC	and
they	PP	they
wind	VBP	wind
the	DT	the
threads	NNS	thread
together	RB	together
,	,	,
pre-going	VBG	pre-go
into	IN	into
the	DT	the
textile	JJ	textile
mills	NNS	mill
.	SENT	.
Here	RB	here
'	POS	'
s	NN	S
something	NN	something
that	RB	that
'	POS	'
s	NN	S
far	RB	far
more	RBR	more
labor-intensive	JJ	labor-intensive
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
making	NN	making
of	IN	of
shoes	NNS	shoe
.	SENT	.
This	DT	this
floor	NN	floor
has	VBZ	have
about	RB	about
1	CD	@card@
,	,	,
500	CD	@card@
workers	NNS	worker
on	IN	on
this	DT	this
floor	NN	floor
.	SENT	.
The	DT	the
company	NN	company
itself	PP	itself
had	VBD	have
about	RB	about
10	CD	@card@
,	,	,
000	CD	@card@
employees	NNS	employee
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
doing	VBG	do
domestic	JJ	domestic
shoes	NNS	shoe
.	SENT	.
It	PP	it
was	VBD	be
very	RB	very
hard	JJ	hard
to	TO	to
get	VB	get
into	IN	into
the	DT	the
international	JJ	international
companies	NNS	company
because	IN	because
I	PP	I
had	VBD	have
to	TO	to
get	VB	get
permission	NN	permission
from	IN	from
companies	NNS	company
like	IN	like
Nike	NP	Nike
and	CC	and
Adidas	NP	Adidas
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
very	RB	very
hard	JJ	hard
to	TO	to
get	VB	get
.	SENT	.
And	CC	and
they	PP	they
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
let	VB	let
me	PP	me
in	RP	in
.	SENT	.
But	CC	but
the	DT	the
domestic	JJ	domestic
was	VBD	be
much	RB	much
easier	JJR	easy
to	TO	to
do	VB	do
.	SENT	.
It	PP	it
just	RB	just
gives	VBZ	give
you	PP	you
a	DT	a
sense	NN	sense
of	IN	of
,	,	,
again	RB	again
â	NP	<unknown>
and	CC	and
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
,	,	,
really	RB	really
,	,	,
the	DT	the
whole	JJ	whole
migration	NN	migration
of	IN	of
jobs	NNS	job
started	VBD	start
going	VBG	go
over	RP	over
to	TO	to
China	NP	China
and	CC	and
making	VBG	make
the	DT	the
shoes	NNS	shoe
.	SENT	.
Nike	NP	Nike
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
early	JJ	early
ones	NNS	one
.	SENT	.
It	PP	it
was	VBD	be
such	JJ	such
a	DT	a
high	JJ	high
labor	NN	labor
component	NN	component
to	TO	to
it	PP	it
that	IN	that
it	PP	it
made	VBD	make
a	DT	a
lot	NN	lot
of	IN	of
sense	NN	sense
to	TO	to
go	VB	go
after	IN	after
that	DT	that
labor	NN	labor
market	NN	market
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
high-tech	JJ	high-tech
mobile	JJ	mobile
phone	NN	phone
:	:	:
Bird	NN	bird
mobile	JJ	mobile
phone	NN	phone
,	,	,
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
mobile	JJ	mobile
makers	NNS	maker
in	IN	in
China	NP	China
.	SENT	.
I	PP	I
think	VBP	think
mobile	JJ	mobile
phone	NN	phone
companies	NNS	company
are	VBP	be
popping	VBG	pop
up	RP	up
,	,	,
literally	RB	literally
,	,	,
on	IN	on
a	DT	a
weekly	JJ	weekly
basis	NN	basis
,	,	,
and	CC	and
they	PP	they
have	VBP	have
an	DT	an
explosive	JJ	explosive
growth	NN	growth
in	IN	in
mobile	JJ	mobile
phones	NNS	phone
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
textile	NN	textile
where	WRB	where
they	PP	they
'	POS	'
re	NN	re
doing	VBG	do
shirts	NNS	shirt
â	NP	<unknown>
Youngor	NP	<unknown>
,	,	,
the	DT	the
biggest	JJS	big
shirt	NN	shirt
factory	NN	factory
and	CC	and
clothing	NN	clothing
factory	NN	factory
in	IN	in
China	NP	China
.	SENT	.
And	CC	and
this	DT	this
next	JJ	next
shot	NN	shot
here	RB	here
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
lunchrooms	NNS	lunchroom
.	SENT	.
Everything	NN	everything
is	VBZ	be
very	RB	very
efficient	JJ	efficient
.	SENT	.
While	IN	while
setting	VBG	set
up	RP	up
this	DT	this
shot	NN	shot
,	,	,
people	NNS	people
on	IN	on
average	NN	average
would	MD	would
spend	VB	spend
eight	CD	eight
to	TO	to
10	CD	@card@
minutes	NNS	minute
having	VBG	have
a	DT	a
lunch	NN	lunch
.	SENT	.
This	DT	this
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
factories	NNS	factory
I	PP	I
'	POS	'
ve	NN	ve
ever	RB	ever
seen	VBN	see
.	SENT	.
They	PP	they
make	VBP	make
coffeemakers	NNS	coffeemaker
here	RB	here
,	,	,
the	DT	the
biggest	JJS	big
coffeemaker	NN	coffeemaker
and	CC	and
the	DT	the
biggest	JJS	big
iron	NN	iron
makers	NNS	maker
â	NP	<unknown>
they	PP	they
make	VBP	make
20	CD	@card@
million	CD	million
of	IN	of
them	PP	them
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
21	CD	@card@
,	,	,
000	CD	@card@
employees	NNS	employee
.	SENT	.
This	DT	this
one	CD	one
factory	NN	factory
â	NP	<unknown>
and	CC	and
they	PP	they
had	VBD	have
several	JJ	several
of	IN	of
them	PP	them
â	NP	<unknown>
is	VBZ	be
half	PDT	half
a	DT	a
kilometer	NN	kilometer
long	RB	long
.	SENT	.
These	DT	these
are	VBP	be
just	RB	just
recently	RB	recently
shot	VBD	shoot
â	NP	<unknown>
I	PP	I
just	RB	just
came	VBD	come
back	RB	back
about	IN	about
a	DT	a
month	NN	month
ago	RB	ago
,	,	,
so	IN	so
you	PP	you
'	''	'
re	IN	re
the	DT	the
first	JJ	first
ones	NNS	one
to	TO	to
be	VB	be
seeing	VBG	see
these	DT	these
,	,	,
these	DT	these
new	JJ	new
factory	NN	factory
pictures	VBZ	picture
I	PP	I
'	''	'
ve	NNS	<unknown>
taken	VBN	take
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
taken	VBN	take
me	PP	me
almost	RB	almost
a	DT	a
year	NN	year
to	TO	to
gain	VB	gain
access	NN	access
into	IN	into
these	DT	these
places	NNS	place
.	SENT	.
The	DT	the
other	JJ	other
aspect	NN	aspect
of	IN	of
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
in	IN	in
China	NP	China
is	VBZ	be
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
real	JJ	real
need	NN	need
for	IN	for
materials	NNS	material
there	RB	there
.	SENT	.
So	IN	so
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
recycled	JJ	recycled
materials	NNS	material
that	WDT	that
are	VBP	be
collected	VBN	collect
here	RB	here
are	VBP	be
being	VBG	be
recycled	VBN	recycle
and	CC	and
taken	VBN	take
to	TO	to
China	NP	China
by	IN	by
ships	NNS	ship
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
cubed	VBD	cube
metal	NN	metal
.	SENT	.
This	DT	this
is	VBZ	be
armatures	NNS	armature
,	,	,
electrical	JJ	electrical
armatures	NNS	armature
,	,	,
where	WRB	where
they	PP	they
'	POS	'
re	NN	re
getting	VBG	get
the	DT	the
copper	NN	copper
and	CC	and
the	DT	the
high-end	JJ	high-end
steel	NN	steel
from	IN	from
electrical	JJ	electrical
motors	NNS	motor
out	RB	out
,	,	,
and	CC	and
recycling	VBG	recycle
them	PP	them
.	SENT	.
This	DT	this
is	VBZ	be
certainly	RB	certainly
connected	VBN	connect
to	TO	to
California	NP	California
and	CC	and
Silicon	NP	Silicon
Valley	NP	Valley
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
what	WP	what
happens	VBZ	happen
to	TO	to
most	JJS	most
of	IN	of
the	DT	the
computers	NNS	computer
.	SENT	.
Fifty	CD	fifty
percent	NN	percent
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	NN	S
computers	NNS	computer
end	VBP	end
up	RP	up
in	IN	in
China	NP	China
to	TO	to
be	VB	be
recycled	VBN	recycle
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
referred	VBD	refer
to	TO	to
as	IN	as
"	``	"
e-waste	NP	e-waste
"	''	"
there	RB	there
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
problem	NN	problem
.	SENT	.
The	DT	the
way	NN	way
they	PP	they
recycle	VBP	recycle
the	DT	the
boards	NNS	board
is	VBZ	be
that	IN	that
they	PP	they
actually	RB	actually
use	VBP	use
the	DT	the
coal	NN	coal
briquettes	NNS	briquette
,	,	,
which	WDT	which
are	VBP	be
used	VBN	use
all	RB	all
through	IN	through
China	NP	China
,	,	,
but	CC	but
they	PP	they
heat	VBP	heat
up	RP	up
the	DT	the
boards	NNS	board
,	,	,
and	CC	and
with	IN	with
pairs	NNS	pair
of	IN	of
pliers	NNS	plier
they	PP	they
pull	VBP	pull
off	RP	off
all	PDT	all
the	DT	the
components	NNS	component
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
get	VB	get
all	PDT	all
the	DT	the
valued	VBN	value
metals	NNS	metal
out	RP	out
of	IN	of
those	DT	those
components	NNS	component
.	SENT	.
But	CC	but
the	DT	the
toxic	NN	toxic
smells	VBZ	smell
â	NP	<unknown>
when	WRB	when
you	PP	you
come	VBP	come
into	IN	into
a	DT	a
town	NN	town
that	RB	that
'	POS	'
s	NN	S
actually	RB	actually
doing	VBG	do
this	DT	this
kind	NN	kind
of	IN	of
burning	NN	burning
of	IN	of
the	DT	the
boards	NNS	board
,	,	,
you	PP	you
can	MD	can
smell	VB	smell
it	PP	it
a	DT	a
good	JJ	good
five	CD	five
or	CC	or
10	CD	@card@
kilometers	NNS	kilometer
before	IN	before
you	PP	you
get	VBP	get
there	RB	there
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
another	DT	another
operation	NN	operation
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
all	DT	all
cottage	NN	cottage
industries	NNS	industry
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
big	JJ	big
places	NNS	place
â	NP	<unknown>
it	PP	it
'	POS	'
s	NN	S
all	RB	all
in	IN	in
people	NNS	people
'	POS	'
s	NN	S
front	NN	front
porches	NNS	porch
,	,	,
in	IN	in
their	PP$	their
backyards	NNS	backyard
,	,	,
even	RB	even
in	IN	in
their	PP$	their
homes	NNS	home
they	PP	they
'	POS	'
re	NN	re
burning	NN	burning
boards	NNS	board
,	,	,
if	IN	if
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
concern	NN	concern
for	IN	for
somebody	NN	somebody
coming	VBG	come
by	IN	by
â	NP	<unknown>
because	IN	because
it	PP	it
is	VBZ	be
considered	VBN	consider
in	IN	in
China	NP	China
to	TO	to
be	VB	be
illegal	JJ	illegal
,	,	,
doing	VBG	do
it	PP	it
,	,	,
but	CC	but
they	PP	they
can	MD	can
'	''	'
t	NN	t
stop	VB	stop
the	DT	the
product	NN	product
from	IN	from
coming	VBG	come
in	RP	in
.	SENT	.
This	DT	this
portrait	NN	portrait
â	NP	<unknown>
I	NP	I
'	POS	'
m	NN	m
not	RB	not
usually	RB	usually
known	VBN	know
for	IN	for
portraits	NNS	portrait
,	,	,
but	CC	but
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
resist	VB	resist
this	DT	this
one	CD	one
,	,	,
where	WRB	where
she	PP	she
'	POS	'
s	RB	<unknown>
been	VBN	be
through	IN	through
Mao	NP	Mao
,	,	,
and	CC	and
she	PP	she
'	POS	'
s	RB	<unknown>
been	VBN	be
through	IN	through
the	DT	the
Great	NP	Great
Leap	NP	Leap
Forward	NP	Forward
,	,	,
and	CC	and
the	DT	the
Cultural	NP	Cultural
Revolution	NP	Revolution
,	,	,
and	CC	and
now	RB	now
she	PP	she
'	POS	'
s	NNS	<unknown>
sitting	VBG	sit
on	IN	on
her	PP$	her
porch	NN	porch
with	IN	with
this	DT	this
e-waste	NP	e-waste
beside	IN	beside
her	PP	her
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
quite	RB	quite
something	NN	something
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
road	NN	road
where	WRB	where
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
shored	VBN	shore
up	RP	up
by	IN	by
computer	NN	computer
boards	NNS	board
in	IN	in
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
towns	NNS	town
where	WRB	where
they	PP	they
'	POS	'
re	NN	re
recycling	NN	recycling
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
photographs	NNS	photograph
that	IN	that
I	PP	I
wanted	VBD	want
to	TO	to
show	VB	show
you	PP	you
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
dedicate	VB	dedicate
my	PP$	my
wishes	NNS	wish
to	TO	to
my	PP$	my
two	CD	two
girls	NNS	girl
.	SENT	.
They	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
sitting	VBG	sit
on	IN	on
my	PP$	my
shoulder	NN	shoulder
the	DT	the
whole	JJ	whole
time	NN	time
while	IN	while
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
thinking	VBG	think
.	SENT	.
One	NP	One
'	POS	'
s	JJ	<unknown>
Megan	NP	Megan
,	,	,
the	DT	the
one	CD	one
of	IN	of
the	DT	the
right	NN	right
,	,	,
and	CC	and
Katja	NP	Katja
there	RB	there
.	SENT	.
And	CC	and
to	TO	to
me	PP	me
the	DT	the
whole	JJ	whole
notion	NN	notion
â	NP	<unknown>
the	DT	the
things	NNS	thing
I	PP	I
'	POS	'
m	NN	m
photographing	VBG	photograph
are	VBP	be
out	RP	out
of	IN	of
a	DT	a
great	JJ	great
concern	NN	concern
about	IN	about
the	DT	the
scale	NN	scale
of	IN	of
our	PP$	our
progress	NN	progress
and	CC	and
what	WP	what
we	PP	we
call	VBP	call
progress	NN	progress
.	SENT	.
And	CC	and
as	RB	as
much	RB	much
as	IN	as
there	EX	there
are	VBP	be
great	JJ	great
things	NNS	thing
around	IN	around
the	DT	the
corner	JJ	corner
â	NP	<unknown>
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
palpable	JJ	palpable
in	IN	in
this	DT	this
room	NN	room
â	NP	<unknown>
of	IN	of
all	DT	all
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
are	VBP	be
just	RB	just
about	RB	about
to	TO	to
break	VB	break
that	WDT	that
can	MD	can
solve	VB	solve
so	RB	so
many	JJ	many
problems	NNS	problem
,	,	,
I	PP	I
'	POS	'
m	NN	m
really	RB	really
hoping	VBG	hope
that	IN	that
those	DT	those
things	NNS	thing
will	MD	will
spread	VB	spread
around	RP	around
the	DT	the
world	NN	world
and	CC	and
will	MD	will
start	VB	start
to	TO	to
have	VB	have
a	DT	a
positive	JJ	positive
effect	NN	effect
.	SENT	.
And	CC	and
it	PP	it
isn	NP	isn
'	POS	'
t	NN	t
something	NN	something
that	IN	that
isn	NP	isn
'	POS	'
t	NN	t
just	RB	just
affecting	VBG	affect
our	PP$	our
world	NN	world
,	,	,
but	CC	but
it	PP	it
starts	VBZ	start
to	TO	to
go	VB	go
up	RP	up
â	NP	<unknown>
because	IN	because
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
start	VB	start
correcting	VBG	correct
our	PP$	our
footprint	NN	footprint
and	CC	and
bring	VB	bring
it	PP	it
down	IN	down
â	NP	<unknown>
but	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
growing	VBG	grow
footprint	NN	footprint
that	RB	that
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
in	IN	in
Asia	NP	Asia
,	,	,
and	CC	and
is	VBZ	be
growing	VBG	grow
at	IN	at
a	DT	a
rapid	JJ	rapid
,	,	,
rapid	JJ	rapid
rate	NN	rate
,	,	,
and	CC	and
so	RB	so
I	PP	I
don	VB	don
'	''	'
t	NN	t
think	VBP	think
we	PP	we
can	MD	can
equalize	VB	equalize
it	PP	it
.	SENT	.
So	RB	so
ultimately	RB	ultimately
the	DT	the
strategy	NN	strategy
,	,	,
I	PP	I
think	VBP	think
,	,	,
here	RB	here
is	VBZ	be
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
