Marisa	NP	Marisa
as	IN	as
just	RB	just
part	NN	part
of	IN	of
our	PP$	our
personalities	NNS	personality
rather	RB	rather
than	IN	than
antithetical	JJ	antithetical
to	TO	to
the	DT	the
personality	NN	personality
that	IN	that
we	PP	we
want	VBP	want
to	TO	to
have	VB	have
.	SENT	.
And	CC	and
we	PP	we
are	VBP	be
able	JJ	able
to	TO	to
sort	VB	sort
of	IN	of
relinquish	VB	relinquish
all	DT	all
of	IN	of
the	DT	the
energies	NNS	energy
that	WDT	that
we	PP	we
spend	VBP	spend
trying	VBG	try
to	TO	to
push	VB	push
this	DT	this
thing	NN	thing
away	RB	away
.	SENT	.
And	CC	and
so	RB	so
in	IN	in
that	DT	that
way	NN	way
,	,	,
the	DT	the
experience	NN	experience
of	IN	of
experiencing	VBG	experience
that	DT	that
platonic	JJ	Platonic
love	NN	love
from	IN	from
our	PP$	our
friends	NNS	friend
,	,	,
especially	RB	especially
at	IN	at
that	DT	that
time	NN	time
in	IN	in
childhood	NN	childhood
,	,	,
teenagers	NNS	teenager
,	,	,
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
very	RB	very
high	JJ	high
in	IN	in
shame	NN	shame
,	,	,
we	PP	we
'	POS	'
re	NN	re
like	IN	like
highest	JJS	high
in	IN	in
shame	NN	shame
than	IN	than
throughout	IN	throughout
our	PP$	our
whole	JJ	whole
lifespan	NN	lifespan
,	,	,
right	RB	right
?	SENT	?
That	IN	that
our	PP$	our
friends	NNS	friend
are	VBP	be
there	RB	there
at	IN	at
that	DT	that
time	NN	time
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
so	RB	so
high	JJ	high
in	IN	in
shame	NN	shame
,	,	,
to	TO	to
help	VB	help
us	PP	us
integrate	VB	integrate
that	IN	that
and	CC	and
to	TO	to
help	VB	help
us	PP	us
connect	VB	connect
to	TO	to
all	DT	all
sides	NNS	side
of	IN	of
ourselves	PP	ourselves
so	RB	so
that	IN	that
we	PP	we
sort	RB	sort
of	IN	of
begin	VB	begin
to	TO	to
become	VB	become
who	WP	who
we	PP	we
fully	RB	fully
are	VBP	be
.	SENT	.
WPR	NN	WPR
:	:	:
It	PP	it
'	POS	'
s	NN	S
just	RB	just
so	RB	so
interesting	JJ	interesting
how	WRB	how
much	JJ	much
vulnerability	NN	vulnerability
and	CC	and
shame	NN	shame
play	NN	play
into	IN	into
this	DT	this
.	SENT	.
And	CC	and
in	IN	in
a	DT	a
way	NN	way
,	,	,
it	PP	it
seems	VBZ	seem
like	IN	like
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
,	,	,
as	IN	as
you	PP	you
get	VBP	get
more	RBR	more
confident	JJ	confident
,	,	,
you	PP	you
start	VBP	start
to	TO	to
lose	VB	lose
some	DT	some
of	IN	of
the	DT	the
ability	NN	ability
to	TO	to
make	VB	make
new	JJ	new
friends	NNS	friend
,	,	,
but	CC	but
also	RB	also
using	VBG	use
that	DT	that
confidence	NN	confidence
,	,	,
leaning	VBG	lean
into	IN	into
it	PP	it
to	TO	to
actually	RB	actually
make	VB	make
the	DT	the
friends	NNS	friend
is	VBZ	be
what	WP	what
you	PP	you
need	VBP	need
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NNS	<unknown>
fascinating	JJ	fascinating
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
want	VBP	want
to	TO	to
dive	VB	dive
into	IN	into
some	DT	some
of	IN	of
the	DT	the
member	NN	member
questions	VBZ	question
we	PP	we
'	''	'
re	IN	re
receiving	VBG	receive
because	IN	because
they	PP	they
'	POS	'
re	NN	re
also	RB	also
really	RB	really
interesting	JJ	interesting
.	SENT	.
So	RB	so
TED	VB	ted
member	NN	member
Arnoldo	NP	Arnoldo
,	,	,
they	PP	they
ask	VBP	ask
,	,	,
"	''	"
Married	JJ	married
people	NNS	people
often	RB	often
complain	VBP	complain
about	IN	about
lack	NN	lack
of	IN	of
time	NN	time
to	TO	to
cultivate	VB	cultivate
friendships	NNS	friendship
outside	JJ	outside
of	IN	of
the	DT	the
marital	JJ	marital
circle	NN	circle
.	SENT	.
What	WP	what
insights	NNS	insight
have	VBP	have
you	PP	you
gained	VBN	gain
in	IN	in
your	PP$	your
research	NN	research
about	IN	about
the	DT	the
effects	NNS	effect
of	IN	of
outside	JJ	outside
friendships	NNS	friendship
in	IN	in
a	DT	a
couple	NN	couple
'	POS	'
s	NN	S
relationship	NN	relationship
?	SENT	?
"	''	"
MF	NP	MF
:	:	:
Oh	UH	oh
,	,	,
I	PP	I
love	VBP	love
this	DT	this
question	NN	question
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
having	VBG	have
outside	JJ	outside
friendships	NNS	friendship
is	VBZ	be
necessary	JJ	necessary
for	IN	for
having	VBG	have
a	DT	a
healthy	JJ	healthy
marriage	NN	marriage
.	SENT	.
I	PP	I
do	VBP	do
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
where	WRB	where
I	PP	I
'	POS	'
m	NN	m
coming	VBG	come
from	IN	from
with	IN	with
that	DT	that
.	SENT	.
The	DT	the
research	NN	research
basically	RB	basically
finds	VBZ	find
that	IN	that
if	IN	if
I	PP	I
make	VBP	make
a	DT	a
friend	NN	friend
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
only	RB	only
less	RBR	less
depressed	JJ	depressed
,	,	,
but	CC	but
my	PP$	my
spouse	NN	spouse
is	VBZ	be
too	RB	too
.	SENT	.
It	PP	it
also	RB	also
finds	VBZ	find
that	IN	that
when	WRB	when
you	PP	you
get	VBP	get
into	IN	into
conflict	NN	conflict
with	IN	with
your	PP$	your
spouse	NN	spouse
,	,	,
it	PP	it
negatively	RB	negatively
impacts	VBZ	impact
your	PP$	your
release	NN	release
of	IN	of
a	DT	a
stress	NN	stress
hormone	NN	hormone
cortisol	NN	cortisol
,	,	,
right	RB	right
?	SENT	?
But	CC	but
if	IN	if
you	PP	you
have	VBP	have
quality	NN	quality
connection	NN	connection
outside	IN	outside
of	IN	of
that	DT	that
marriage	NN	marriage
,	,	,
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
.	SENT	.
Your	PP$	your
cortisol	NN	cortisol
release	NN	release
is	VBZ	be
normal	JJ	normal
,	,	,
right	RB	right
?	SENT	?
Other	JJ	other
research	NN	research
that	WDT	that
finds	VBZ	find
that	IN	that
,	,	,
particularly	RB	particularly
for	IN	for
women	NNS	woman
who	WP	who
tend	VBP	tend
to	TO	to
have	VB	have
more	JJR	more
close	JJ	close
intimate	JJ	intimate
relationships	NNS	relationship
,	,	,
when	WRB	when
they	PP	they
go	VBP	go
through	IN	through
difficulties	NNS	difficulty
within	IN	within
that	DT	that
partnership	NN	partnership
,	,	,
they	PP	they
are	VBP	be
more	RBR	more
resilient	JJ	resilient
to	TO	to
it	PP	it
when	WRB	when
they	PP	they
have	VBP	have
this	DT	this
outside	JJ	outside
support	NN	support
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	IN	so
it	PP	it
'	POS	'
s	NNS	<unknown>
just	RB	just
like	VBP	like
,	,	,
if	IN	if
I	PP	I
can	MD	can
access	VB	access
this	DT	this
other	JJ	other
person	NN	person
to	TO	to
center	VB	center
me	PP	me
during	IN	during
times	NNS	time
of	IN	of
stress	NN	stress
in	IN	in
my	PP$	my
marriage	NN	marriage
,	,	,
I	PP	I
can	MD	can
return	VB	return
to	TO	to
that	DT	that
marriage	NN	marriage
in	IN	in
a	DT	a
centered	VBN	center
and	CC	and
grounded	VBN	ground
way	NN	way
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
resource	NN	resource
for	IN	for
me	PP	me
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
resource	NN	resource
for	IN	for
my	PP$	my
spouse	NN	spouse
.	SENT	.
Where	WRB	where
we	PP	we
see	VBP	see
that	IN	that
people	NNS	people
that	WDT	that
only	RB	only
have	VBP	have
that	DT	that
close	JJ	close
connection	NN	connection
with	IN	with
their	PP$	their
spouse	NN	spouse
,	,	,
they	PP	they
have	VBP	have
high	JJ	high
rates	NNS	rate
of	IN	of
what	WP	what
'	POS	'
s	NN	S
called	VBD	call
concordance	NN	concordance
,	,	,
which	WDT	which
means	VBZ	mean
that	IN	that
,	,	,
however	RB	however
your	PP$	your
spouse	NN	spouse
feels	VBZ	feel
is	VBZ	be
kind	NN	kind
of	IN	of
how	WRB	how
you	PP	you
feel	VBP	feel
.	SENT	.
Their	PP$	their
,	,	,
sort	VB	sort
of	IN	of
,	,	,
energy	NN	energy
affects	VBZ	affect
you	PP	you
a	DT	a
lot	RB	lot
more	JJR	more
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
the	DT	the
only	JJ	only
person	NN	person
that	IN	that
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
to	TO	to
for	IN	for
support	NN	support
.	SENT	.
And	CC	and
so	IN	so
what	WP	what
happens	VBZ	happen
is	VBZ	be
like	JJ	like
,	,	,
the	DT	the
natural	JJ	natural
ebbs	NNS	ebb
and	CC	and
flows	NNS	flow
that	WDT	that
can	MD	can
happen	VB	happen
in	IN	in
a	DT	a
marriage	NN	marriage
,	,	,
they	PP	they
'	POS	'
re	NN	re
so	RB	so
much	RB	much
more	RBR	more
impacted	VBN	impact
,	,	,
and	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
so	RB	so
much	RB	much
more	RBR	more
devastated	JJ	devastated
during	IN	during
those	DT	those
times	NNS	time
of	IN	of
ebbs	NNS	ebb
because	IN	because
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
that	DT	that
support	NN	support
outside	IN	outside
of	IN	of
the	DT	the
relationship	NN	relationship
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
sometimes	RB	sometimes
we	PP	we
see	VBP	see
,	,	,
we	PP	we
think	VBP	think
of	IN	of
like	IN	like
,	,	,
"	``	"
Oh	UH	oh
,	,	,
are	VBP	be
my	PP$	my
friends	NNS	friend
a	DT	a
threat	NN	threat
to	TO	to
my	PP$	my
spouse	NN	spouse
?	SENT	?
My	PP$	my
spouse	NN	spouse
is	VBZ	be
spending	VBG	spend
time	NN	time
with	IN	with
their	PP$	their
friends	NNS	friend
,	,	,
they	PP	they
'	POS	'
re	NN	re
not	RB	not
spending	VBG	spend
time	NN	time
with	IN	with
me	PP	me
.	SENT	.
"	''	"
But	CC	but
if	IN	if
we	PP	we
understand	VBP	understand
more	RBR	more
broadly	RB	broadly
the	DT	the
importance	NN	importance
of	IN	of
friendship	NN	friendship
and	CC	and
how	WRB	how
it	PP	it
makes	VBZ	make
every	DT	every
other	JJ	other
relationship	NN	relationship
in	IN	in
our	PP$	our
life	NN	life
better	RBR	well
,	,	,
we	PP	we
will	MD	will
see	VB	see
that	IN	that
there	EX	there
'	''	'
s	NNS	<unknown>
actually	RB	actually
synergy	NN	synergy
between	IN	between
these	DT	these
relationships	NNS	relationship
.	SENT	.
That	IN	that
my	PP$	my
spouse	NN	spouse
having	VBG	have
friends	NNS	friend
outside	JJ	outside
of	IN	of
this	DT	this
relationship	NN	relationship
is	VBZ	be
what	WP	what
makes	VBZ	make
them	PP	them
a	DT	a
better	JJR	good
spouse	NN	spouse
for	IN	for
me	PP	me
.	SENT	.
WPR	NN	WPR
:	:	:
So	RB	so
,	,	,
so	RB	so
much	RB	much
of	IN	of
it	PP	it
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
the	DT	the
way	NN	way
we	PP	we
just	RB	just
think	VBP	think
about	IN	about
the	DT	the
role	NN	role
friendships	NNS	friendship
play	VBP	play
in	IN	in
our	PP$	our
lives	NNS	life
.	SENT	.
We	PP	we
have	VBP	have
lots	NNS	lot
of	IN	of
questions	NNS	question
that	WDT	that
are	VBP	be
coming	VBG	come
in	IN	in
about	RB	about
,	,	,
sort	NN	sort
of	IN	of
,	,	,
the	DT	the
steps	NNS	step
to	TO	to
actually	RB	actually
making	VBG	make
friends	NNS	friend
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
before	IN	before
we	PP	we
get	VBP	get
into	IN	into
some	DT	some
of	IN	of
those	DT	those
specific	JJ	specific
questions	NNS	question
,	,	,
I	PP	I
know	VBP	know
you	PP	you
,	,	,
in	IN	in
the	DT	the
talk	NN	talk
,	,	,
sort	NN	sort
of	IN	of
shared	VBN	share
--	:	--
you	PP	you
started	VBD	start
with	IN	with
two	CD	two
tips	NNS	tip
,	,	,
this	DT	this
idea	NN	idea
of	IN	of
first	JJ	first
,	,	,
assuming	VBG	assume
that	IN	that
people	NNS	people
like	IN	like
you	PP	you
and	CC	and
then	RB	then
overcoming	VBG	overcome
what	WP	what
you	PP	you
call	VBP	call
covert	JJ	covert
avoidance	NN	avoidance
or	CC	or
that	DT	that
urge	NN	urge
to	TO	to
sort	VB	sort
of	IN	of
mentally	RB	mentally
check	VB	check
out	RP	out
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
meeting	NN	meeting
someone	NN	someone
new	JJ	new
.	SENT	.
What	WP	what
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
other	JJ	other
ways	NNS	way
that	IN	that
you	PP	you
recommend	VBP	recommend
people	NNS	people
try	VBP	try
to	TO	to
use	VB	use
tools	NNS	tool
that	WDT	that
people	NNS	people
use	VBP	use
to	TO	to
build	VB	build
new	JJ	new
friendships	NNS	friendship
?	SENT	?
MF	NN	MF
:	:	:
So	RB	so
I	PP	I
can	MD	can
walk	VB	walk
through	IN	through
my	PP$	my
own	JJ	own
experience	NN	experience
of	IN	of
making	VBG	make
a	DT	a
bunch	NN	bunch
of	IN	of
friends	NNS	friend
and	CC	and
share	VB	share
this	DT	this
in	IN	in
a	DT	a
story	NN	story
.	SENT	.
I	PP	I
went	VBD	go
to	TO	to
Mexico	NP	Mexico
City	NP	City
alone	RB	alone
and	CC	and
was	VBD	be
there	RB	there
for	IN	for
10	CD	@card@
days	NNS	day
and	CC	and
was	VBD	be
like	IN	like
,	,	,
OK	UH	OK
,	,	,
if	IN	if
I	PP	I
spend	VBP	spend
ten	CD	ten
days	NNS	day
here	RB	here
and	CC	and
don	VB	don
'	''	'
t	NN	t
make	VB	make
any	DT	any
friends	NNS	friend
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
very	RB	very
lonely	JJ	lonely
.	SENT	.
So	RB	so
how	WRB	how
did	VBD	do
I	PP	I
make	VB	make
friends	NNS	friend
when	WRB	when
I	PP	I
was	VBD	be
there	RB	there
?	SENT	?
First	RB	first
I	PP	I
went	VBD	go
to	TO	to
a	DT	a
coffee	NN	coffee
shop	NN	shop
.	SENT	.
I	PP	I
heard	VBD	hear
another	DT	another
American	JJ	American
there	RB	there
and	CC	and
I	PP	I
knew	VBD	know
,	,	,
you	PP	you
know	VBP	know
,	,	,
he	PP	he
'	POS	'
s	NNS	<unknown>
less	RBR	less
likely	JJ	likely
to	TO	to
reject	VB	reject
me	PP	me
than	IN	than
I	PP	I
think	VBP	think
.	SENT	.
I	PP	I
also	RB	also
knew	VBD	know
the	DT	the
research	NN	research
on	IN	on
transitioners	NNS	transitioner
,	,	,
right	RB	right
?	SENT	?
People	NNS	people
that	WDT	that
are	VBP	be
in	IN	in
times	NNS	time
of	IN	of
transition	NN	transition
are	VBP	be
most	RBS	most
open	JJ	open
to	TO	to
friendship	NN	friendship
.	SENT	.
So	IN	so
people	NNS	people
that	WDT	that
are	VBP	be
traveling	VBG	travel
,	,	,
people	NNS	people
that	WDT	that
have	VBP	have
just	RB	just
moved	VBN	move
to	TO	to
the	DT	the
city	NN	city
,	,	,
people	NNS	people
that	WDT	that
have	VBP	have
just	RB	just
started	VBN	start
school	NN	school
,	,	,
people	NNS	people
that	WDT	that
have	VBP	have
just	RB	just
retired	VBN	retire
,	,	,
right	RB	right
?	SENT	?
Those	DT	those
are	VBP	be
the	DT	the
people	NNS	people
to	TO	to
try	VB	try
to	TO	to
connect	VB	connect
with	IN	with
versus	FW	versus
,	,	,
you	PP	you
know	VBP	know
,	,	,
someone	NN	someone
who	WP	who
'	POS	'
s	RB	<unknown>
been	VBN	be
here	RB	here
for	IN	for
a	DT	a
while	NN	while
and	CC	and
already	RB	already
has	VBZ	have
an	DT	an
established	JJ	established
network	NN	network
.	SENT	.
So	RB	so
I	PP	I
knew	VBD	know
this	DT	this
guy	NN	guy
'	POS	'
s	NNS	<unknown>
a	DT	a
transitioner	NN	<unknown>
and	CC	and
he	PP	he
'	POS	'
s	NNS	<unknown>
less	RBR	less
likely	JJ	likely
to	TO	to
reject	VB	reject
me	PP	me
than	IN	than
I	PP	I
think	VBP	think
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
engage	VB	engage
with	IN	with
him	PP	him
.	SENT	.
And	CC	and
I	PP	I
asked	VBD	ask
,	,	,
you	PP	you
know	VBP	know
,	,	,
where	WRB	where
are	VBP	be
you	PP	you
from	IN	from
?	SENT	?
Like	IN	like
,	,	,
I	PP	I
'	POS	'
m	NN	m
from	IN	from
the	DT	the
US	NP	US
too	RB	too
.	SENT	.
We	PP	we
start	VBP	start
chatting	VBG	chat
and	CC	and
I	PP	I
end	VBP	end
up	RP	up
inviting	VBG	invite
him	PP	him
to	TO	to
a	DT	a
meetup	NN	<unknown>
that	IN	that
night	NN	night
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
language	NN	language
exchange	NN	exchange
meetup	NNS	<unknown>
.	SENT	.
And	CC	and
at	IN	at
that	DT	that
language	NN	language
exchange	NN	exchange
meetup	NNS	<unknown>
,	,	,
I	PP	I
meet	VBP	meet
someone	NN	someone
else	RB	else
who	WP	who
'	POS	'
s	NN	S
cool	NN	cool
,	,	,
and	CC	and
I	PP	I
say	VBP	say
,	,	,
you	PP	you
know	VBP	know
,	,	,
"	``	"
Do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
come	VB	come
to	TO	to
this	DT	this
Lucha	NP	<unknown>
Libre	NP	Libre
wrestling	NN	wrestling
match	NN	match
with	IN	with
me	PP	me
?	SENT	?
"	``	"
Then	RB	then
he	PP	he
said	VBD	say
,	,	,
yes	UH	yes
,	,	,
and	CC	and
I	PP	I
think	VBP	think
.	SENT	.
.	SENT	.
.	SENT	.
You	PP	you
know	VBP	know
what	WP	what
I	PP	I
realized	VBD	realize
,	,	,
too	RB	too
,	,	,
from	IN	from
the	DT	the
research	NN	research
on	IN	on
friendship	NN	friendship
,	,	,
I	PP	I
used	VBD	use
to	TO	to
think	VB	think
that	IN	that
making	VBG	make
friends	NNS	friend
was	VBD	be
about	RB	about
being	VBG	be
interesting	JJ	interesting
,	,	,
being	JJ	being
smart	NN	smart
,	,	,
being	VBG	be
insightful	JJ	insightful
,	,	,
being	VBG	be
charismatic	JJ	charismatic
,	,	,
being	VBG	be
entertaining	JJ	entertaining
.	SENT	.
But	CC	but
in	IN	in
fact	NN	fact
,	,	,
people	NNS	people
report	VBP	report
that	IN	that
this	DT	this
entertainment	NN	entertainment
factor	NN	factor
is	VBZ	be
the	DT	the
least	JJS	least
important	JJ	important
quality	NN	quality
they	PP	they
look	VBP	look
for	IN	for
in	IN	in
a	DT	a
friend	NN	friend
.	SENT	.
And	CC	and
the	DT	the
most	RBS	most
important	JJ	important
quality	NN	quality
that	IN	that
they	PP	they
look	VBP	look
for	IN	for
is	VBZ	be
someone	NN	someone
who	WP	who
makes	VBZ	make
them	PP	them
feel	VBP	feel
like	IN	like
they	PP	they
matter	VBP	matter
.	SENT	.
So	RB	so
for	IN	for
me	PP	me
,	,	,
if	IN	if
I	PP	I
want	VBP	want
to	TO	to
connect	VB	connect
with	IN	with
someone	NN	someone
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
me	PP	me
trying	VBG	try
to	TO	to
impress	VB	impress
them	PP	them
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
me	PP	me
trying	VBG	try
to	TO	to
make	VB	make
them	PP	them
feel	VB	feel
valued	VBN	value
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
say	VBP	say
hello	NN	hello
to	TO	to
them	PP	them
and	CC	and
engage	VB	engage
with	IN	with
them	PP	them
and	CC	and
tell	VB	tell
them	PP	them
what	WP	what
I	PP	I
like	VBP	like
about	IN	about
them	PP	them
and	CC	and
tell	VB	tell
them	PP	them
what	WP	what
I	PP	I
appreciate	VBP	appreciate
about	IN	about
them	PP	them
,	,	,
right	RB	right
?	SENT	?
There	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
study	NN	study
that	WDT	that
looked	VBD	look
at	IN	at
friendship	NN	friendship
,	,	,
budding	VBG	bud
friendship	NN	friendship
groups	NNS	group
,	,	,
for	IN	for
like	IN	like
12	CD	@card@
weeks	NNS	week
,	,	,
which	WDT	which
of	IN	of
these	DT	these
pairs	NNS	pair
ended	VBD	end
up	RP	up
becoming	VBG	become
friends	NNS	friend
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
the	DT	the
ones	NNS	one
that	WDT	that
shared	VBD	share
the	DT	the
most	JJS	most
affirmation	NN	affirmation
and	CC	and
affection	NN	affection
towards	IN	towards
each	DT	each
other	JJ	other
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	RB	so
,	,	,
just	RB	just
to	TO	to
go	VB	go
even	RB	even
deeper	JJR	deep
into	IN	into
the	DT	the
research	NN	research
rabbit	NN	rabbit
hole	NN	hole
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
theory	NN	theory
called	VBN	call
"	``	"
risk	NN	risk
regulation	NN	regulation
theory	NN	theory
,	,	,
"	''	"
which	WDT	which
indicates	VBZ	indicate
that	IN	that
we	PP	we
decide	VBP	decide
how	WRB	how
much	JJ	much
to	TO	to
invest	VB	invest
in	IN	in
a	DT	a
relationship	NN	relationship
based	VBN	base
on	IN	on
our	PP$	our
view	NN	view
of	IN	of
how	WRB	how
likely	JJ	likely
we	PP	we
are	VBP	be
to	TO	to
get	VB	get
rejected	VBN	reject
.	SENT	.
So	RB	so
when	WRB	when
we	PP	we
show	VBP	show
people	NNS	people
"	``	"
I	PP	I
like	VBP	like
you	PP	you
,	,	,
"	''	"
we	PP	we
'	''	'
re	IN	re
telling	VBG	tell
them	PP	them
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
you	PP	you
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
get	VB	get
rejected	VBN	reject
if	IN	if
you	PP	you
try	VBP	try
to	TO	to
be	VB	be
friends	NNS	friend
with	IN	with
me	PP	me
.	SENT	.
"	''	"
And	CC	and
that	DT	that
makes	VBZ	make
people	NNS	people
really	RB	really
feel	VBP	feel
safe	JJ	safe
connecting	VBG	connect
with	IN	with
us	PP	us
,	,	,
right	RB	right
?	SENT	?
So	RB	so
I	PP	I
was	VBD	be
both	DT	both
engaging	JJ	engaging
with	IN	with
these	DT	these
people	NNS	people
and	CC	and
I	PP	I
was	VBD	be
trying	VBG	try
to	TO	to
make	VB	make
them	PP	them
feel	VB	feel
loved	VBN	love
and	CC	and
tell	VB	tell
them	PP	them
how	WRB	how
great	JJ	great
I	PP	I
thought	VBD	think
they	PP	they
were	VBD	be
and	CC	and
how	WRB	how
happy	JJ	happy
I	PP	I
am	VBP	be
to	TO	to
meet	VB	meet
them	PP	them
as	IN	as
I	PP	I
reached	VBD	reach
out	RP	out
to	TO	to
them	PP	them
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
went	VBD	go
to	TO	to
my	PP$	my
Spanish	JJ	Spanish
class	NN	class
,	,	,
which	WDT	which
,	,	,
if	IN	if
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
any	DT	any
friends	NNS	friend
,	,	,
what	WP	what
I	PP	I
recommend	VBP	recommend
is	VBZ	be
that	IN	that
you	PP	you
join	VB	join
something	NN	something
that	RB	that
'	POS	'
s	NN	S
repeated	VBD	repeat
over	IN	over
time	NN	time
.	SENT	.
And	CC	and
remember	VB	remember
,	,	,
I	PP	I
said	VBD	say
repeated	JJ	repeated
unplanned	JJ	unplanned
interaction	NN	interaction
and	CC	and
shared	JJ	shared
vulnerability	NN	vulnerability
is	VBZ	be
that	DT	that
infrastructure	NN	infrastructure
that	IN	that
kids	NNS	kid
have	VBP	have
for	IN	for
friends	NNS	friend
that	IN	that
we	PP	we
lack	VBP	lack
as	IN	as
adults	NNS	adult
.	SENT	.
So	RB	so
as	IN	as
adults	NNS	adult
,	,	,
we	PP	we
really	RB	really
need	VBP	need
to	TO	to
recreate	VB	recreate
that	DT	that
infrastructure	NN	infrastructure
.	SENT	.
And	CC	and
so	RB	so
if	IN	if
you	PP	you
join	VBP	join
like	IN	like
,	,	,
a	DT	a
social	JJ	social
group	NN	group
that	RB	that
'	POS	'
s	NN	S
repeated	VBD	repeat
over	IN	over
time	NN	time
,	,	,
turn	VB	turn
your	PP$	your
hobby	NN	hobby
into	IN	into
a	DT	a
community	NN	community
,	,	,
right	RB	right
,	,	,
that	IN	that
'	POS	'
s	NN	S
a	DT	a
really	RB	really
important	JJ	important
way	NN	way
to	TO	to
make	VB	make
friends	NNS	friend
.	SENT	.
So	RB	so
for	IN	for
me	PP	me
,	,	,
it	PP	it
'	POS	'
s	NN	S
I	PP	I
want	VBP	want
to	TO	to
take	VB	take
the	DT	the
Spanish	JJ	Spanish
class	NN	class
because	IN	because
I	PP	I
love	VBP	love
learning	VBG	learn
languages	NNS	language
.	SENT	.
For	IN	for
you	PP	you
,	,	,
it	PP	it
might	MD	might
be	VB	be
football	NN	football
team	NN	team
,	,	,
improv	NP	improv
team	NN	team
,	,	,
hiking	VBG	hike
team	NN	team
,	,	,
meditation	NN	meditation
group	NN	group
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
just	RB	just
finding	VBG	find
something	NN	something
,	,	,
finding	VBG	find
a	DT	a
group	NN	group
that	WDT	that
meets	VBZ	meet
around	IN	around
this	DT	this
hobby	NN	hobby
.	SENT	.
Because	IN	because
when	WRB	when
you	PP	you
find	VBP	find
something	NN	something
that	RB	that
'	POS	'
s	NN	S
repeated	VBD	repeat
over	IN	over
time	NN	time
,	,	,
what	WP	what
happens	VBZ	happen
is	VBZ	be
something	RB	something
called	VBN	call
the	DT	the
"	``	"
mere	JJ	mere
exposure	NN	exposure
effect	NN	effect
"	``	"
sets	VBZ	set
in	IN	in
.	SENT	.
The	DT	the
mere	JJ	mere
exposure	NN	exposure
effect	NN	effect
describes	VBZ	describe
our	PP$	our
tendency	NN	tendency
to	TO	to
unconsciously	RB	unconsciously
,	,	,
completely	RB	completely
unconsciously	RB	unconsciously
,	,	,
like	IN	like
people	NNS	people
just	RB	just
because	IN	because
they	PP	they
are	VBP	be
familiar	JJ	familiar
to	TO	to
us	PP	us
.	SENT	.
So	RB	so
,	,	,
for	IN	for
example	NN	example
,	,	,
this	DT	this
researcher	NN	researcher
found	VBD	find
that	IN	that
when	WRB	when
he	PP	he
planted	VBD	plant
women	NNS	woman
into	IN	into
a	DT	a
large	JJ	large
psychology	NN	psychology
lecture	NN	lecture
,	,	,
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
semester	NN	semester
,	,	,
none	NN	none
of	IN	of
the	DT	the
students	NNS	student
remembered	VBD	remember
the	DT	the
woman	NN	woman
,	,	,
but	CC	but
they	PP	they
reported	VBD	report
liking	VBG	like
the	DT	the
woman	NN	woman
who	WP	who
showed	VBD	show
up	RP	up
to	TO	to
the	DT	the
most	JJS	most
classes	NNS	class
,	,	,
20	CD	@card@
percent	NN	percent
more	JJR	more
than	IN	than
the	DT	the
woman	NN	woman
that	IN	that
didn	NP	<unknown>
