Corey	NP	Corey
how	WRB	how
bleak	JJ	bleak
that	DT	that
is	VBZ	be
,	,	,
people	NNS	people
are	VBP	be
asking	VBG	ask
,	,	,
what	WP	what
kinds	NNS	kind
of	IN	of
industries	NNS	industry
,	,	,
organizations	NNS	organization
,	,	,
companies	NNS	company
have	VBP	have
the	DT	the
best	JJS	good
prospects	NNS	prospect
of	IN	of
thriving	VBG	thrive
,	,	,
going	VBG	go
forward	RB	forward
?	SENT	?
RD	NP	RD
:	:	:
Well	UH	well
,	,	,
you	PP	you
see	VBP	see
,	,	,
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
beauty	NN	beauty
of	IN	of
it	PP	it
.	SENT	.
There	EX	there
are	VBP	be
two	CD	two
types	NNS	type
,	,	,
basically	RB	basically
.	SENT	.
There	EX	there
are	VBP	be
those	DT	those
that	WDT	that
are	VBP	be
stable	JJ	stable
,	,	,
meat-and-potatoes	NNS	meat-and-potato
,	,	,
not-leverage	JJ	<unknown>
kind	NN	kind
of	IN	of
companies	NNS	company
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
Campbell	NP	Campbell
soup	NN	soup
equivalent	NN	equivalent
,	,	,
you	PP	you
know	VBP	know
,	,	,
everybody	NN	everybody
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
use	VB	use
them	PP	them
all	PDT	all
the	DT	the
time	NN	time
,	,	,
kind	NN	kind
of	IN	of
thing	NN	thing
.	SENT	.
And	CC	and
then	RB	then
,	,	,
there	EX	there
are	VBP	be
the	DT	the
innovators	NNS	innovator
.	SENT	.
The	DT	the
innovators	NNS	innovator
like	VBP	like
,	,	,
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
Marko	NP	Marko
.	SENT	.
You	PP	you
had	VBD	have
Marko	NP	Marko
on	IN	on
before	RB	before
.	SENT	.
And	CC	and
that	DT	that
new	JJ	new
innovation	NN	innovation
,	,	,
those	DT	those
who	WP	who
can	MD	can
adapt	VB	adapt
well	RB	well
and	CC	and
innovate	VB	innovate
well	RB	well
,	,	,
and	CC	and
don	VB	don
'	''	'
t	NN	t
have	VBP	have
balance	NN	balance
sheet	NN	sheet
problems	NNS	problem
,	,	,
in	IN	in
other	JJ	other
words	NNS	word
,	,	,
they	PP	they
have	VBP	have
strong	JJ	strong
balance	NN	balance
sheets	NNS	sheet
so	IN	so
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
play	VB	play
the	DT	the
game	NN	game
without	IN	without
having	VBG	have
that	DT	that
.	SENT	.
They	PP	they
will	MD	will
be	VB	be
great	JJ	great
winners	NNS	winner
.	SENT	.
And	CC	and
so	RB	so
there	EX	there
'	''	'
s	NNS	<unknown>
always	RB	always
new	JJ	new
inventions	NNS	invention
,	,	,
new	JJ	new
creativity	NN	creativity
,	,	,
that	WDT	that
is	VBZ	be
the	DT	the
new	JJ	new
adaptation	NN	adaptation
that	WDT	that
becomes	VBZ	become
a	DT	a
company	NN	company
and	CC	and
an	DT	an
entrepreneur	NN	entrepreneur
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
great	JJ	great
,	,	,
plus	CC	plus
the	DT	the
stuff	NN	stuff
that	IN	that
we	PP	we
'	POS	'
re	NN	re
always	RB	always
going	VBG	go
to	TO	to
need	VB	need
.	SENT	.
Those	DT	those
are	VBP	be
the	DT	the
things	NNS	thing
that	WDT	that
are	VBP	be
going	VBG	go
to	TO	to
do	VB	do
great	JJ	great
.	SENT	.
CA	MD	ca
:	:	:
Thank	VB	thank
you	PP	you
,	,	,
Ray	NP	Ray
.	SENT	.
Corey	NP	Corey
.	SENT	.
CH	NP	CH
:	:	:
Thank	VB	thank
you	PP	you
,	,	,
Chris	NP	Chris
.	SENT	.
So	RB	so
I	PP	I
guess	VBP	guess
I	PP	I
'	''	'
d	SYM	d
like	IN	like
to	TO	to
stay	VB	stay
with	IN	with
the	DT	the
market	NN	market
for	IN	for
a	DT	a
minute	NN	minute
.	SENT	.
Obviously	RB	obviously
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
something	NN	something
that	IN	that
interests	NNS	interest
so	IN	so
many	JJ	many
people	NNS	people
.	SENT	.
The	DT	the
state	NN	state
of	IN	of
the	DT	the
market	NN	market
doesn	NN	<unknown>
'	POS	'
t	NN	t
always	RB	always
correlate	VBP	correlate
with	IN	with
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
in	IN	in
the	DT	the
economy	NN	economy
.	SENT	.
And	CC	and
the	DT	the
market	NN	market
and	CC	and
its	PP$	its
players	NNS	player
have	VBP	have
changed	VBN	change
so	RB	so
much	RB	much
over	IN	over
the	DT	the
past	NN	past
,	,	,
you	PP	you
know	VBP	know
,	,	,
70	CD	@card@
years	NNS	year
or	CC	or
so	RB	so
,	,	,
70	CD	@card@
,	,	,
90	CD	@card@
years	NNS	year
.	SENT	.
So	RB	so
many	JJ	many
more	JJR	more
algorithms	NNS	algorithm
,	,	,
and	CC	and
machines	NNS	machine
and	CC	and
passive	JJ	passive
investing	NN	investing
.	SENT	.
And	CC	and
how	WRB	how
do	VBP	do
you	PP	you
think	VBP	think
that	WDT	that
affects	VBZ	affect
how	WRB	how
the	DT	the
market	NN	market
is	VBZ	be
behaving	VBG	behave
right	RB	right
now	RB	now
,	,	,
how	WRB	how
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
recover	VB	recover
over	IN	over
the	DT	the
next	JJ	next
,	,	,
you	PP	you
know	VBP	know
,	,	,
few	JJ	few
years	NNS	year
,	,	,
as	IN	as
the	DT	the
economy	NN	economy
recovers	VBZ	recover
?	SENT	?
RD	NP	RD
:	:	:
The	DT	the
basic	JJ	basic
fundamentals	NNS	fundamental
of	IN	of
money	NN	money
credit	NN	credit
crisis	NN	crisis
,	,	,
who	WP	who
has	VBZ	have
what	WP	what
income	NN	income
,	,	,
who	WP	who
has	VBZ	have
what	WP	what
expenses	NNS	expense
,	,	,
who	WP	who
has	VBZ	have
what	WP	what
balance	NN	balance
sheet	NN	sheet
,	,	,
and	CC	and
how	WRB	how
do	VBP	do
we	PP	we
deal	VB	deal
with	IN	with
money	NN	money
and	CC	and
credit	NN	credit
--	:	--
those	DT	those
things	NNS	thing
,	,	,
which	WDT	which
people	NNS	people
often	RB	often
lose	VBP	lose
sight	NN	sight
of	IN	of
,	,	,
because	IN	because
they	PP	they
happen	VBP	happen
only	RB	only
once	RB	once
in	IN	in
one	CD	one
'	POS	'
s	NN	S
lifetime	NN	lifetime
.	SENT	.
This	DT	this
period	NN	period
,	,	,
you	PP	you
have	VBP	have
to	TO	to
go	VB	go
back	RB	back
to	TO	to
the	DT	the
1930s	NNS	1930s
as	IN	as
the	DT	the
last	JJ	last
period	NN	period
.	SENT	.
Those	DT	those
fundamentals	NNS	fundamental
of	IN	of
what	WP	what
a	DT	a
bank	NN	bank
is	VBZ	be
,	,	,
and	CC	and
the	DT	the
associated	VBN	associate
process	NN	process
,	,	,
have	VBP	have
existed	VBN	exist
all	RB	all
through	IN	through
time	NN	time
.	SENT	.
Then	RB	then
it	PP	it
'	POS	'
s	NN	S
,	,	,
like	VB	like
,	,	,
technology	NN	technology
changes	NNS	change
.	SENT	.
Technology	NP	Technology
evolves	VBZ	evolve
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
capacity	NN	capacity
to	TO	to
take	VB	take
one	CD	one
'	POS	'
s	NN	S
thinking	NN	thinking
and	CC	and
to	TO	to
put	VB	put
them	PP	them
in	IN	in
algorithms	NNS	algorithm
--	:	--
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
doing	VBG	do
this	DT	this
for	IN	for
25	CD	@card@
years	NNS	year
.	SENT	.
The	DT	the
way	NN	way
we	PP	we
operate	VBP	operate
is	VBZ	be
to	TO	to
take	VB	take
a	DT	a
principle	NN	principle
,	,	,
"	``	"
How	WRB	how
would	MD	would
I	PP	I
deal	VB	deal
with	IN	with
that	DT	that
situation	NN	situation
,	,	,
"	''	"
and	CC	and
write	VB	write
it	PP	it
down	RP	down
,	,	,
put	VB	put
it	PP	it
into	IN	into
an	DT	an
algorithm	NN	algorithm
,	,	,
and	CC	and
then	RB	then
,	,	,
because	IN	because
the	DT	the
capacity	NN	capacity
to	TO	to
think	VB	think
has	VBZ	have
been	VBN	be
radically	RB	radically
enhanced	VBN	enhance
,	,	,
because	IN	because
the	DT	the
human	JJ	human
mind	NN	mind
has	VBZ	have
a	DT	a
capacity	NN	capacity
problem	NN	problem
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
unique	JJ	unique
in	IN	in
inventing	VBG	invent
.	SENT	.
But	CC	but
it	PP	it
can	MD	can
only	RB	only
process	VB	process
so	RB	so
much	RB	much
in	IN	in
so	RB	so
[	SYM	[
much	RB	much
]	SYM	]
time	NN	time
.	SENT	.
So	RB	so
when	WRB	when
worked	VBN	work
in	IN	in
partnership	NN	partnership
with	IN	with
the	DT	the
computer	NN	computer
,	,	,
which	WDT	which
has	VBZ	have
the	DT	the
capacity	NN	capacity
to	TO	to
take	VB	take
that	DT	that
thinking	NN	thinking
and	CC	and
replicate	VB	replicate
it	PP	it
and	CC	and
do	VBP	do
all	DT	all
of	IN	of
that	DT	that
leverage	NN	leverage
thinking	NN	thinking
,	,	,
and	CC	and
thinking	VBG	think
in	IN	in
advanced	JJ	advanced
way	NN	way
,	,	,
that	WDT	that
is	VBZ	be
the	DT	the
advancement	NN	advancement
of	IN	of
our	PP$	our
time	NN	time
.	SENT	.
And	CC	and
so	IN	so
you	PP	you
'	POS	'
re	NN	re
seeing	VBG	see
that	DT	that
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
think	VBP	think
algorithmic	JJ	algorithmic
,	,	,
you	PP	you
know	VBP	know
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
break	VB	break
it	PP	it
down	RP	down
as	IN	as
to	TO	to
what	WP	what
it	PP	it
is	VBZ	be
.	SENT	.
Is	VBZ	be
it	PP	it
sensible	JJ	sensible
cause-effect	NN	cause-effect
relationships	NNS	relationship
that	WDT	that
are	VBP	be
being	VBG	be
dealt	VBN	deal
with	IN	with
?	SENT	?
It	PP	it
all	RB	all
comes	VBZ	come
back	RB	back
to	TO	to
"	``	"
Do	VB	do
you	PP	you
have	VBP	have
understanding	NN	understanding
,	,	,
and	CC	and
are	VBP	be
you	PP	you
successfully	RB	successfully
betting	VBG	bet
on	IN	on
a	DT	a
cause-effect	JJ	<unknown>
relationship	NN	relationship
?	SENT	?
"	''	"
Because	IN	because
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
only	JJ	only
way	NN	way
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
make	VB	make
money	NN	money
.	SENT	.
But	CC	but
the	DT	the
computer	NN	computer
can	MD	can
do	VB	do
it	PP	it
,	,	,
process	VB	process
that	DT	that
thing	NN	thing
,	,	,
in	IN	in
a	DT	a
much	RB	much
more	RBR	more
advanced	JJ	advanced
way	NN	way
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
.	SENT	.
There	EX	there
will	MD	will
be	VB	be
people	NNS	people
who	WP	who
will	MD	will
make	VB	make
the	DT	the
mistake	NN	mistake
of	IN	of
just	RB	just
applying	VBG	apply
machine	NN	machine
learning	VBG	learn
to	TO	to
the	DT	the
markets	NNS	market
.	SENT	.
And	CC	and
that	DT	that
generally	RB	generally
won	VBN	win
'	''	'
t	NN	t
work	NN	work
because	IN	because
of	IN	of
certain	JJ	certain
things	NNS	thing
.	SENT	.
I	PP	I
guess	VBP	guess
I	PP	I
should	MD	should
explain	VB	explain
,	,	,
because	IN	because
you	PP	you
asked	VBD	ask
,	,	,
so	RB	so
.	SENT	.
.	SENT	.
.	SENT	.
On	IN	on
algorithmic	JJ	algorithmic
decision-making	NN	decision-making
,	,	,
there	EX	there
are	VBP	be
two	CD	two
ways	NNS	way
you	PP	you
can	MD	can
get	VB	get
your	PP$	your
algorithm	NN	algorithm
.	SENT	.
You	PP	you
can	MD	can
specify	VB	specify
the	DT	the
instruction	NN	instruction
to	TO	to
the	DT	the
computer	NN	computer
and	CC	and
have	VB	have
it	PP	it
follow	VB	follow
that	IN	that
and	CC	and
that	WDT	that
will	MD	will
enable	VB	enable
your	PP$	your
thinking	NN	thinking
.	SENT	.
Or	CC	or
you	PP	you
can	MD	can
have	VB	have
the	DT	the
algorithm	NN	algorithm
come	VBN	come
from	IN	from
putting	VBG	put
a	DT	a
lot	NN	lot
of	IN	of
data	NNS	datum
into	IN	into
the	DT	the
computer	NN	computer
,	,	,
and	CC	and
asking	VBG	ask
,	,	,
"	''	"
Computer	NP	Computer
,	,	,
what	WP	what
would	MD	would
you	PP	you
do	VB	do
,	,	,
and	CC	and
what	WP	what
'	''	'
s	VBG	<unknown>
your	PP$	your
algorithm	NN	algorithm
?	SENT	?
"	``	"
The	DT	the
key	JJ	key
difference	NN	difference
between	IN	between
those	DT	those
is	VBZ	be
do	VB	do
you	PP	you
have	VBP	have
understanding	NN	understanding
of	IN	of
the	DT	the
cause-effect	JJ	<unknown>
relationships	NNS	relationship
?	SENT	?
You	PP	you
must	MD	must
have	VB	have
understanding	NN	understanding
of	IN	of
the	DT	the
cause-effect	JJ	<unknown>
relationships	NNS	relationship
to	TO	to
know	VB	know
what	WP	what
to	TO	to
believe	VB	believe
in	IN	in
.	SENT	.
Because	IN	because
you	PP	you
can	MD	can
'	''	'
t	NN	t
always	RB	always
get	VBP	get
that	IN	that
in	IN	in
your	PP$	your
sample	NN	sample
size	NN	size
.	SENT	.
For	IN	for
example	NN	example
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
now	RB	now
,	,	,
you	PP	you
could	MD	could
not	RB	not
have	VB	have
run	VBN	run
your	PP$	your
computer	NN	computer
and	CC	and
have	VBP	have
it	PP	it
in	IN	in
your	PP$	your
sample	NN	sample
size	NN	size
,	,	,
because	IN	because
you	PP	you
would	MD	would
have	VB	have
to	TO	to
go	VB	go
back	RB	back
to	TO	to
the	DT	the
1930s	NNS	1930s
to	TO	to
have	VB	have
an	DT	an
analogous	JJ	analogous
period	NN	period
.	SENT	.
So	RB	so
what	WP	what
you	PP	you
--	:	--
It	PP	it
is	VBZ	be
how	WRB	how
you	PP	you
do	VBP	do
that	IN	that
,	,	,
but	CC	but
the	DT	the
capacity	NN	capacity
to	TO	to
learn	VB	learn
,	,	,
to	TO	to
invent	VB	invent
,	,	,
and	CC	and
to	TO	to
get	VB	get
,	,	,
you	PP	you
know	VBP	know
,	,	,
that	DT	that
leverage	NN	leverage
in	IN	in
decision-making	NN	decision-making
,	,	,
is	VBZ	be
greater	JJR	great
than	IN	than
ever	RB	ever
before	RB	before
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
power	NN	power
of	IN	of
our	PP$	our
time	NN	time
.	SENT	.
Some	DT	some
will	MD	will
do	VB	do
it	PP	it
well	RB	well
,	,	,
some	DT	some
will	MD	will
do	VB	do
it	PP	it
poorly	RB	poorly
,	,	,
but	CC	but
it	PP	it
really	RB	really
comes	VBZ	come
down	RP	down
to	TO	to
do	VB	do
you	PP	you
have	VBP	have
the	DT	the
understanding	NN	understanding
of	IN	of
those	DT	those
cause-effect	JJ	<unknown>
relationships	NNS	relationship
,	,	,
so	IN	so
that	WDT	that
you	PP	you
know	VBP	know
how	WRB	how
to	TO	to
place	VB	place
the	DT	the
right	JJ	right
bet	NN	bet
.	SENT	.
CH	NP	CH
:	:	:
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
very	RB	very
different	JJ	different
from	IN	from
the	DT	the
passive	JJ	passive
investment	NN	investment
market	NN	market
,	,	,
which	WDT	which
is	VBZ	be
such	PDT	such
a	DT	a
huge	JJ	huge
part	NN	part
of	IN	of
it	PP	it
now	RB	now
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
where	WRB	where
most	JJS	most
people	NNS	people
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
average	JJ	average
person	NN	person
has	VBZ	have
their	PP$	their
money	NN	money
.	SENT	.
And	CC	and
I	PP	I
know	VBP	know
that	IN	that
everything	NN	everything
is	VBZ	be
changing	VBG	change
day-to-day	JJ	day-to-day
,	,	,
but	CC	but
I	PP	I
also	RB	also
know	VBP	know
that	IN	that
everyone	NN	everyone
is	VBZ	be
going	VBG	go
to	TO	to
have	VB	have
this	DT	this
question	NN	question
on	IN	on
their	PP$	their
minds	NNS	mind
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
ask	VB	ask
you	PP	you
--	:	--
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
ask	VB	ask
for	IN	for
specific	JJ	specific
investment	NN	investment
advice	NN	advice
,	,	,
but	CC	but
everyone	NN	everyone
'	POS	'
s	JJ	<unknown>
thinking	NN	thinking
about	IN	about
their	PP$	their
401s	JJ	<unknown>
.	SENT	.
Do	VB	do
you	PP	you
have	VBP	have
any	DT	any
general	JJ	general
thoughts	NNS	thought
about	RB	about
how	WRB	how
people	NNS	people
should	MD	should
approach	VB	approach
this	DT	this
time	NN	time
period	NN	period
with	IN	with
that	DT	that
kind	NN	kind
of	IN	of
money	NN	money
?	SENT	?
RD	NP	RD
:	:	:
Yeah	RB	yeah
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
.	SENT	.
.	SENT	.
.	SENT	.
an	DT	an
investor	NN	investor
must	MD	must
understand	VB	understand
that	IN	that
they	PP	they
probably	RB	probably
will	MD	will
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
play	VB	play
the	DT	the
game	NN	game
well	RB	well
.	SENT	.
They	PP	they
probably	RB	probably
will	MD	will
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
decide	VB	decide
how	WRB	how
to	TO	to
move	VB	move
in	RP	in
and	CC	and
out	RP	out
of	IN	of
things	NNS	thing
.	SENT	.
In	IN	in
order	NN	order
to	TO	to
be	VB	be
successful	JJ	successful
in	IN	in
the	DT	the
markets	NNS	market
,	,	,
it	PP	it
is	VBZ	be
more	RBR	more
difficult	JJ	difficult
than	IN	than
getting	VBG	get
a	DT	a
gold	JJ	gold
medal	NN	medal
in	IN	in
the	DT	the
Olympics	NPS	Olympics
.	SENT	.
You	PP	you
wouldn	NP	<unknown>
'	POS	'
t	NN	t
think	VBP	think
about	RB	about
competing	VBG	compete
in	IN	in
the	DT	the
Olympics	NPS	Olympics
,	,	,
but	CC	but
everybody	NN	everybody
thinks	VBZ	think
they	PP	they
can	MD	can
compete	VB	compete
in	IN	in
the	DT	the
markets	NNS	market
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
more	JJR	more
money	NN	money
competing	VBG	compete
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
zero-sum	NN	zero-sum
game	NN	game
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
more	JJR	more
money	NN	money
doing	VBG	do
it	PP	it
,	,	,
and	CC	and
the	DT	the
worst	JJS	bad
thing	NN	thing
you	PP	you
could	MD	could
do	VB	do
is	VBZ	be
think	VB	think
you	PP	you
can	MD	can
time	VB	time
all	DT	all
of	IN	of
these	DT	these
movements	NNS	movement
.	SENT	.
I	PP	I
guarantee	VBP	guarantee
you	PP	you
,	,	,
the	DT	the
game	NN	game
is	VBZ	be
a	DT	a
tough	JJ	tough
game	NN	game
.	SENT	.
We	PP	we
put	VBD	put
hundreds	NNS	hundred
of	IN	of
millions	NNS	million
of	IN	of
dollars	NNS	dollar
into	IN	into
the	DT	the
game	NN	game
every	DT	every
year	NN	year
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
tough	JJ	tough
.	SENT	.
So	RB	so
what	WP	what
the	DT	the
individual	JJ	individual
investor	NN	investor
needs	VBZ	need
to	TO	to
do	VB	do
is	VBZ	be
know	VB	know
how	WRB	how
to	TO	to
diversify	VB	diversify
well	RB	well
.	SENT	.
So	IN	so
the	DT	the
word	NN	word
that	IN	that
I	PP	I
would	MD	would
--	:	--
Know	VBP	know
how	WRB	how
to	TO	to
diversify	VB	diversify
well	RB	well
and	CC	and
in	IN	in
a	DT	a
balanced	JJ	balanced
way	NN	way
.	SENT	.
The	DT	the
greatest	JJS	great
mistake	NN	mistake
of	IN	of
all	DT	all
investors	NNS	investor
is	VBZ	be
to	TO	to
think	VB	think
that	IN	that
what	WP	what
has	VBZ	have
done	VBN	do
well	RB	well
lately	RB	lately
is	VBZ	be
a	DT	a
better	JJR	good
investment	NN	investment
,	,	,
rather	RB	rather
than	IN	than
more	JJR	more
expensive	JJ	expensive
.	SENT	.
And	CC	and
what	WP	what
has	VBZ	have
done	VBN	do
worse	RBR	worse
lately	RB	lately
is	VBZ	be
the	DT	the
worst	JJS	bad
investment	NN	investment
,	,	,
"	``	"
get	VB	get
me	PP	me
out	RP	out
of	IN	of
it	PP	it
,	,	,
"	''	"
rather	RB	rather
than	IN	than
"	``	"
it	PP	it
'	POS	'
s	NN	S
cheap	NN	cheap
.	SENT	.
"	''	"
And	CC	and
unless	IN	unless
you	PP	you
know	VBP	know
how	WRB	how
to	TO	to
deal	VB	deal
with	IN	with
the	DT	the
differences	NNS	difference
of	IN	of
those	DT	those
,	,	,
which	WDT	which
most	JJS	most
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
,	,	,
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
in	IN	in
trouble	NN	trouble
.	SENT	.
So	RB	so
understand	VB	understand
that	DT	that
wealth	NN	wealth
,	,	,
total	JJ	total
amount	NN	amount
of	IN	of
wealth	NN	wealth
in	IN	in
the	DT	the
world	NN	world
,	,	,
essentially	RB	essentially
doesn	NP	<unknown>
'	POS	'
t	NN	t
change	NN	change
very	RB	very
much	RB	much
,	,	,
OK	UH	OK
?	SENT	?
And	CC	and
that	DT	that
one	CD	one
thing	NN	thing
goes	VBZ	go
up	RP	up
,	,	,
another	DT	another
thing	NN	thing
goes	VBZ	go
down	RP	down
.	SENT	.
And	CC	and
to	TO	to
know	VB	know
how	WRB	how
to	TO	to
diversify	VB	diversify
.	SENT	.
To	TO	to
diversify	VB	diversify
it	PP	it
in	IN	in
asset	NN	asset
classes	NNS	class
,	,	,
to	TO	to
diversify	VB	diversify
it	PP	it
in	IN	in
countries	NNS	country
.	SENT	.
To	TO	to
diversify	VB	diversify
it	PP	it
in	IN	in
currencies	NNS	currency
.	SENT	.
To	TO	to
know	VB	know
how	WRB	how
to	TO	to
diversify	VB	diversify
that	IN	that
well	RB	well
,	,	,
so	IN	so
that	WDT	that
you	PP	you
have	VBP	have
wealth	NN	wealth
diversification	NN	diversification
,	,	,
is	VBZ	be
important	JJ	important
.	SENT	.
Do	VBP	do
not	RB	not
think	VB	think
that	IN	that
cash	NN	cash
is	VBZ	be
a	DT	a
safe	JJ	safe
investment	NN	investment
.	SENT	.
Most	JJS	most
people	NNS	people
think	VBP	think
,	,	,
"	``	"
Look	VB	look
,	,	,
I	PP	I
just	RB	just
want	VBP	want
safety	NN	safety
.	SENT	.
And	CC	and
those	DT	those
bonds	NNS	bond
aren	NN	<unknown>
'	POS	'
t	NN	t
giving	VBG	give
me	PP	me
an	DT	an
interest	NN	interest
rate	NN	rate
,	,	,
"	''	"
and	CC	and
so	RB	so
on	IN	on
,	,	,
"	''	"
So	RB	so
where	WRB	where
do	VBP	do
I	PP	I
get	VB	get
safe	JJ	safe
?	SENT	?
"	``	"
Cash	NN	cash
is	VBZ	be
a	DT	a
seductive	JJ	seductive
investment	NN	investment
,	,	,
because	IN	because
it	PP	it
doesn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
as	RB	as
much	JJ	much
volatility	NN	volatility
.	SENT	.
But	CC	but
it	PP	it
taxes	VBZ	tax
you	PP	you
and	CC	and
your	PP$	your
buying	VBG	buy
power	NN	power
about	IN	about
two	CD	two
percent	NN	percent
a	DT	a
year	NN	year
.	SENT	.
And	CC	and
so	RB	so
cash	NN	cash
is	VBZ	be
almost	RB	almost
always	RB	always
the	DT	the
worst	JJS	bad
investment	NN	investment
.	SENT	.
So	RB	so
you	PP	you
have	VBP	have
to	TO	to
think	VB	think
about	IN	about
that	DT	that
.	SENT	.
You	PP	you
should	MD	should
think	VB	think
a	DT	a
little	JJ	little
bit	NN	bit
unconventionally	RB	unconventionally
.	SENT	.
Do	VB	do
you	PP	you
have	VBP	have
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
gold	NN	gold
?	SENT	?
Do	VB	do
you	PP	you
have	VBP	have
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
,	,	,
in	IN	in
case	NN	case
this	DT	this
monetary	JJ	monetary
system	NN	system
breaks	NNS	break
down	RB	down
and	CC	and
money	NN	money
is	VBZ	be
redefined	VBN	redefin
,	,	,
do	VBP	do
you	PP	you
have	VBP	have
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
that	DT	that
?	SENT	?
I	PP	I
can	MD	can
'	''	'
t	NN	t
get	VB	get
into	IN	into
all	PDT	all
the	DT	the
different	JJ	different
ways	NNS	way
that	IN	that
one	PP	one
can	MD	can
diversify	VB	diversify
well	RB	well
.	SENT	.
I	PP	I
try	VBP	try
to	TO	to
convey	VB	convey
those	DT	those
things	NNS	thing
in	IN	in
my	PP$	my
books	NNS	book
,	,	,
or	CC	or
posts	NNS	post
on	IN	on
LinkedIn	NP	<unknown>
,	,	,
particularly	RB	particularly
.	SENT	.
But	CC	but
I	PP	I
would	MD	would
say	VB	say
,	,	,
diversify	VB	diversify
well	RB	well
,	,	,
be	VB	be
humble	JJ	humble
,	,	,
don	NN	don
'	POS	'
t	NN	t
market	NN	market
time	NN	time
and	CC	and
be	VB	be
conscious	JJ	conscious
of	IN	of
the	DT	the
dangers	NNS	danger
of	IN	of
cash	NN	cash
.	SENT	.
CH	NP	CH
:	:	:
Right	NN	right
,	,	,
that	WDT	that
'	POS	'
s	JJ	<unknown>
great	JJ	great
advice	NN	advice
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
ask	VB	ask
one	CD	one
more	JJR	more
,	,	,
sort	NN	sort
of	IN	of
,	,	,
big-picture	NN	big-picture
question	NN	question
before	IN	before
we	PP	we
start	VBP	start
getting	VBG	get
into	IN	into
how	WRB	how
we	PP	we
should	MD	should
fix	VB	fix
capitalism	NN	capitalism
.	SENT	.
We	PP	we
can	MD	can
talk	VB	talk
about	RB	about
that	IN	that
in	IN	in
a	DT	a
minute	NN	minute
,	,	,
tackle	VBP	tackle
that	IN	that
one	CD	one
.	SENT	.
But	CC	but
I	PP	I
have	VBP	have
been	VBN	be
reading	VBG	read
your	PP$	your
series	NN	series
on	IN	on
LinkedIn	NP	<unknown>
,	,	,
"	''	"
The	DT	the
Changing	VBG	change
World	NP	World
Order	NP	Order
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NN	S
really	RB	really
fascinating	JJ	fascinating
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
curious	JJ	curious
what	WP	what
you	PP	you
think	VBP	think
about	RB	about
,	,	,
there	EX	there
'	''	'
s	RB	<unknown>
been	VBN	be
,	,	,
sort	VB	sort
of	IN	of
,	,	,
this	DT	this
retreat	NN	retreat
from	IN	from
globalization	NN	globalization
as	IN	as
something	NN	something
we	PP	we
should	MD	should
all	RB	all
get	VB	get
behind	RB	behind
,	,	,
