Once	RB	once
S	NP	S
.	SENT	.
Capitol	NP	Capitol
,	,	,
in	IN	in
which	WDT	which
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
intercept	VB	intercept
and	CC	and
analyze	VB	analyze
communications	NNS	communication
,	,	,
traffic	NN	traffic
and	CC	and
personal	JJ	personal
data	NNS	datum
to	TO	to
try	VB	try
and	CC	and
figure	VB	figure
out	RP	out
who	WP	who
'	POS	'
s	NNS	<unknown>
the	DT	the
troublemaker	NN	troublemaker
in	IN	in
society	NN	society
.	SENT	.
Well	RB	well
,	,	,
to	TO	to
go	VB	go
back	RB	back
to	TO	to
our	PP$	our
original	JJ	original
story	NN	story
,	,	,
the	DT	the
parents	NNS	parent
have	VBP	have
panicked	VBN	panic
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
locked	VBD	lock
all	PDT	all
the	DT	the
doors	NNS	door
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
kitted	RB	kitted
out	IN	out
the	DT	the
house	NN	house
with	IN	with
CCTV	NP	<unknown>
cameras	NNS	camera
.	SENT	.
They	PP	they
'	''	'
re	IN	re
watching	VBG	watch
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
dug	VBD	dig
a	DT	a
basement	NN	basement
,	,	,
and	CC	and
they	PP	they
'	POS	'
ve	NN	ve
built	VBD	build
a	DT	a
spy	NN	spy
center	NN	center
to	TO	to
try	VB	try
and	CC	and
run	VB	run
algorithms	NNS	algorithm
and	CC	and
figure	NN	figure
out	IN	out
which	WDT	which
ones	NNS	one
of	IN	of
us	PP	us
are	VBP	be
troublesome	JJ	troublesome
,	,	,
and	CC	and
if	IN	if
any	DT	any
of	IN	of
us	PP	us
complain	VBP	complain
about	RB	about
that	RB	that
,	,	,
we	PP	we
'	POS	'
re	NN	re
arrested	VBN	arrest
for	IN	for
terrorism	NN	terrorism
.	SENT	.
Well	RB	well
,	,	,
is	VBZ	be
that	IN	that
a	DT	a
fairy	JJ	fairy
tale	NN	tale
or	CC	or
a	DT	a
living	VBG	live
nightmare	NN	nightmare
?	SENT	?
Some	DT	some
fairy	JJ	fairy
tales	NNS	tale
have	VBP	have
happy	JJ	happy
endings	NNS	ending
.	SENT	.
Some	DT	some
don	NN	don
'	POS	'
t	NN	t
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
'	''	'
ve	NNS	<unknown>
all	RB	all
read	VBP	read
the	DT	the
Grimms	NP	<unknown>
'	POS	'
fairy	JJ	fairy
tales	NNS	tale
,	,	,
which	WDT	which
are	VBP	be
,	,	,
indeed	RB	indeed
,	,	,
very	RB	very
grim	JJ	grim
.	SENT	.
But	CC	but
the	DT	the
world	NN	world
isn	NN	isn
'	POS	'
t	NN	t
a	DT	a
fairy	JJ	fairy
tale	NN	tale
,	,	,
and	CC	and
it	PP	it
could	MD	could
be	VB	be
more	RBR	more
brutal	JJ	brutal
than	IN	than
we	PP	we
want	VBP	want
to	TO	to
acknowledge	VB	acknowledge
.	SENT	.
Equally	RB	equally
,	,	,
it	PP	it
could	MD	could
be	VB	be
better	JJR	good
than	IN	than
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
led	VBN	lead
to	TO	to
believe	VB	believe
,	,	,
but	CC	but
either	DT	either
way	NN	way
,	,	,
we	PP	we
have	VBP	have
to	TO	to
start	VB	start
seeing	VBG	see
it	PP	it
exactly	RB	exactly
as	IN	as
it	PP	it
is	VBZ	be
,	,	,
with	IN	with
all	DT	all
of	IN	of
its	PP$	its
problems	NNS	problem
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
only	RB	only
by	IN	by
seeing	VBG	see
it	PP	it
with	IN	with
all	DT	all
of	IN	of
its	PP$	its
problems	NNS	problem
that	IN	that
we	PP	we
'	''	'
ll	NN	ll
be	VB	be
able	JJ	able
to	TO	to
fix	VB	fix
them	PP	them
and	CC	and
live	VB	live
in	IN	in
a	DT	a
world	NN	world
in	IN	in
which	WDT	which
we	PP	we
can	MD	can
all	RB	all
be	VB	be
happily	RB	happily
ever	RB	ever
after	IN	after
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
