Cyndi	NP	Cyndi
or	CC	or
the	DT	the
other	JJ	other
,	,	,
like	JJ	like
,	,	,
giving	VBG	give
out	RP	out
the	DT	the
truth	NN	truth
.	SENT	.
It	PP	it
would	MD	would
be	VB	be
strange	JJ	strange
,	,	,
though	RB	though
,	,	,
if	IN	if
television	NN	television
drama	NN	drama
was	VBD	be
how	WRB	how
we	PP	we
were	VBD	be
giving	VBG	give
the	DT	the
news	NN	news
.	SENT	.
CS	NP	CS
:	:	:
It	PP	it
would	MD	would
be	VB	be
strange	JJ	strange
,	,	,
but	CC	but
I	PP	I
gather	VBP	gather
a	DT	a
lot	NN	lot
of	IN	of
what	WP	what
you	PP	you
'	POS	'
ve	NNS	<unknown>
written	VBN	write
as	IN	as
fiction	NN	fiction
has	VBZ	have
become	VBN	become
prediction	NN	prediction
this	DT	this
season	NN	season
?	SENT	?
SR	NN	SR
:	:	:
You	PP	you
know	VBP	know
,	,	,
"	``	"
Scandal	NN	scandal
"	''	"
has	VBZ	have
been	VBN	be
very	RB	very
disturbing	JJ	disturbing
for	IN	for
that	DT	that
reason	NN	reason
.	SENT	.
We	PP	we
have	VBP	have
this	DT	this
show	NN	show
that	RB	that
'	POS	'
s	NN	S
about	IN	about
politics	NNS	politics
gone	VBN	go
mad	JJ	mad
,	,	,
and	CC	and
basically	RB	basically
the	DT	the
way	NN	way
we	PP	we
'	POS	'
ve	NN	ve
always	RB	always
told	VBD	tell
the	DT	the
show	NN	show
—	:	-
you	PP	you
know	VBP	know
,	,	,
everybody	NN	everybody
pays	VBZ	pay
attention	NN	attention
to	TO	to
the	DT	the
papers	NNS	paper
.	SENT	.
We	PP	we
read	VBP	read
everything	NN	everything
.	SENT	.
We	PP	we
talk	VBP	talk
about	IN	about
everything	NN	everything
.	SENT	.
We	PP	we
have	VBP	have
lots	NNS	lot
of	IN	of
friends	NNS	friend
in	IN	in
Washington	NP	Washington
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
d	NN	d
always	RB	always
sort	RB	sort
of	IN	of
done	VBN	do
our	PP$	our
show	NN	show
as	IN	as
a	DT	a
speculation	NN	speculation
.	SENT	.
We	PP	we
'	POS	'
d	NN	d
sit	NN	sit
in	IN	in
the	DT	the
room	NN	room
and	CC	and
think	VB	think
,	,	,
what	WP	what
would	MD	would
happen	VB	happen
if	IN	if
the	DT	the
wheels	NNS	wheel
came	VBD	come
off	RP	off
the	DT	the
bus	NN	bus
and	CC	and
everything	NN	everything
went	VBD	go
crazy	JJ	crazy
?	SENT	?
And	CC	and
that	DT	that
was	VBD	be
always	RB	always
great	JJ	great
,	,	,
except	IN	except
now	RB	now
it	PP	it
felt	VBD	feel
like	IN	like
the	DT	the
wheels	NNS	wheel
were	VBD	be
coming	VBG	come
off	RP	off
the	DT	the
bus	NN	bus
and	CC	and
things	NNS	thing
were	VBD	be
actually	RB	actually
going	VBG	go
crazy	JJ	crazy
,	,	,
so	RB	so
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
were	VBD	be
speculating	VBG	speculate
were	VBD	be
really	RB	really
coming	VBG	come
true	JJ	true
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
our	PP$	our
season	NN	season
this	DT	this
year	NN	year
was	VBD	be
going	VBG	go
to	TO	to
end	VB	end
with	IN	with
the	DT	the
Russians	NPS	Russians
controlling	VBG	control
the	DT	the
American	JJ	American
election	NN	election
,	,	,
and	CC	and
we	PP	we
'	POS	'
d	NN	d
written	VBN	write
it	PP	it
,	,	,
we	PP	we
'	POS	'
d	NN	d
planned	VBD	plan
for	IN	for
it	PP	it
,	,	,
it	PP	it
was	VBD	be
all	RB	all
there	RB	there
,	,	,
and	CC	and
then	RB	then
the	DT	the
Russians	NPS	Russians
were	VBD	be
suspected	VBN	suspect
of	IN	of
being	VBG	be
involved	VBN	involve
in	IN	in
the	DT	the
American	JJ	American
election	NN	election
and	CC	and
we	PP	we
suddenly	RB	suddenly
had	VBD	have
to	TO	to
change	VB	change
what	WP	what
we	PP	we
were	VBD	be
going	VBG	go
to	TO	to
do	VB	do
for	IN	for
our	PP$	our
season	NN	season
.	SENT	.
I	PP	I
walked	VBD	walk
in	IN	in
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
"	''	"
That	DT	that
scene	NN	scene
where	WRB	where
our	PP$	our
mystery	NN	mystery
woman	NN	woman
starts	VBZ	start
speaking	VBG	speak
Russian	JJ	Russian
?	SENT	?
We	PP	we
have	VBP	have
to	TO	to
fix	VB	fix
that	IN	that
and	CC	and
figure	VB	figure
out	RP	out
what	WP	what
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
.	SENT	.
"	''	"
That	WDT	that
just	RB	just
comes	VBZ	come
from	IN	from
extrapolating	VBG	extrapolate
out	RP	out
from	IN	from
what	WP	what
we	PP	we
thought	VBD	think
was	VBD	be
going	VBG	go
to	TO	to
happen	VB	happen
,	,	,
or	CC	or
what	WP	what
we	PP	we
thought	VBD	think
was	VBD	be
crazy	JJ	crazy
.	SENT	.
CS	NP	CS
:	:	:
That	WDT	that
'	POS	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
So	RB	so
where	WRB	where
else	RB	else
in	IN	in
US	NP	US
or	CC	or
elsewhere	RB	elsewhere
in	IN	in
the	DT	the
world	NN	world
do	VBP	do
you	PP	you
look	VBP	look
?	SENT	?
Who	WP	who
is	VBZ	be
doing	VBG	do
interesting	JJ	interesting
storytelling	NN	storytelling
right	RB	right
now	RB	now
?	SENT	?
SR	NN	SR
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
interesting	JJ	interesting
stuff	NN	stuff
out	IN	out
there	RB	there
.	SENT	.
Obviously	RB	obviously
British	JJ	British
television	NN	television
is	VBZ	be
always	RB	always
amazing	JJ	amazing
and	CC	and
always	RB	always
does	VBZ	do
interesting	JJ	interesting
things	NNS	thing
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
get	VBP	get
to	TO	to
watch	VB	watch
a	DT	a
lot	NN	lot
of	IN	of
TV	NN	TV
,	,	,
mainly	RB	mainly
because	IN	because
I	PP	I
'	POS	'
m	NN	m
busy	JJ	busy
working	NN	working
.	SENT	.
And	CC	and
I	PP	I
pretty	RB	pretty
much	RB	much
try	VB	try
not	RB	not
to	TO	to
watch	VB	watch
very	RB	very
much	JJ	much
television	NN	television
at	IN	at
all	DT	all
,	,	,
even	RB	even
American	JJ	American
television	NN	television
,	,	,
until	IN	until
I	PP	I
'	POS	'
m	NN	m
done	VBN	do
with	IN	with
a	DT	a
season	NN	season
,	,	,
because	IN	because
things	NNS	thing
start	VBP	start
to	TO	to
creep	VB	creep
into	IN	into
my	PP$	my
head	NN	head
otherwise	RB	otherwise
.	SENT	.
I	PP	I
start	VBP	start
to	TO	to
wonder	VB	wonder
,	,	,
like	VB	like
,	,	,
why	WRB	why
can	MD	can
'	''	'
t	NN	t
our	PP$	our
characters	NNS	character
wear	VBP	wear
crowns	NNS	crown
and	CC	and
talk	NN	talk
about	IN	about
being	VBG	be
on	IN	on
a	DT	a
throne	NN	throne
?	SENT	?
It	PP	it
gets	VBZ	get
crazy	JJ	crazy
.	SENT	.
So	RB	so
I	PP	I
try	VBP	try
not	RB	not
to	TO	to
watch	VB	watch
much	RB	much
until	IN	until
the	DT	the
seasons	NNS	season
are	VBP	be
over	RB	over
.	SENT	.
But	CC	but
I	PP	I
do	VBP	do
think	VB	think
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
interesting	JJ	interesting
European	JJ	European
television	NN	television
out	IN	out
there	RB	there
.	SENT	.
I	PP	I
was	VBD	be
at	IN	at
the	DT	the
International	NP	International
Emmys	NNS	Emmy
and	CC	and
looking	VBG	look
around	RP	around
and	CC	and
seeing	VBG	see
the	DT	the
stuff	NN	stuff
that	IN	that
they	PP	they
were	VBD	be
showing	VBG	show
,	,	,
and	CC	and
I	PP	I
was	VBD	be
kind	NN	kind
of	IN	of
fascinated	VBN	fascinate
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
some	DT	some
stuff	NN	stuff
I	PP	I
want	VBP	want
to	TO	to
watch	VB	watch
and	CC	and
check	VB	check
out	RP	out
.	SENT	.
CS	NP	CS
:	:	:
Can	MD	can
you	PP	you
imagine	VB	imagine
—	:	-
I	PP	I
know	VBP	know
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
spend	VB	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
thinking	VBG	think
about	IN	about
tech	NN	tech
stuff	NN	stuff
,	,	,
but	CC	but
you	PP	you
know	VBP	know
how	WRB	how
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
we	PP	we
had	VBD	have
someone	NN	someone
here	RB	here
at	IN	at
TED	VB	ted
talking	VBG	talk
about	IN	about
seeing	VBG	see
,	,	,
wearing	VBG	wear
Google	NP	<unknown>
Glass	NP	Glass
and	CC	and
seeing	VBG	see
your	PP$	your
TV	NN	TV
shows	VBZ	show
essentially	RB	essentially
in	IN	in
your	PP$	your
eye	NN	eye
?	SENT	?
Do	VB	do
you	PP	you
ever	RB	ever
fantasize	VB	fantasize
when	WRB	when
,	,	,
you	PP	you
know	VBP	know
—	:	-
the	DT	the
little	JJ	little
girl	NN	girl
who	WP	who
sat	VBD	sit
on	IN	on
the	DT	the
pantry	NN	pantry
floor	NN	floor
in	IN	in
your	PP$	your
parents	NNS	parent
'	POS	'
house	NN	house
,	,	,
did	VBD	do
you	PP	you
ever	RB	ever
imagine	VB	imagine
any	DT	any
other	JJ	other
medium	NN	medium
?	SENT	?
Or	CC	or
would	MD	would
you	PP	you
now	RB	now
?	SENT	?
SR	NN	SR
:	:	:
Any	DT	any
other	JJ	other
medium	NN	medium
.	SENT	.
For	IN	for
storytelling	NN	storytelling
,	,	,
other	JJ	other
than	IN	than
books	NNS	book
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
grew	VBD	grow
up	RP	up
wanting	VBG	want
to	TO	to
be	VB	be
Toni	NP	Toni
Morrison	NP	Morrison
,	,	,
so	RB	so
no	RB	no
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
didn	NNS	<unknown>
'	POS	'
t	NN	t
even	RB	even
imagine	VB	imagine
television	NN	television
.	SENT	.
So	IN	so
the	DT	the
idea	NN	idea
that	IN	that
there	EX	there
could	MD	could
be	VB	be
some	DT	some
bigger	JJR	big
world	NN	world
,	,	,
some	DT	some
more	RBR	more
magical	JJ	magical
way	NN	way
of	IN	of
making	VBG	make
things	NNS	thing
—	:	-
-	NP	<unknown>
I	NP	I
'	POS	'
m	NN	m
always	RB	always
excited	VBN	excite
when	WRB	when
new	JJ	new
technology	NN	technology
comes	VBZ	come
out	RP	out
and	CC	and
I	PP	I
'	POS	'
m	NN	m
always	RB	always
the	DT	the
first	JJ	first
one	CD	one
to	TO	to
want	VB	want
to	TO	to
try	VB	try
it	PP	it
.	SENT	.
The	DT	the
possibilities	NNS	possibility
feel	VBP	feel
endless	JJ	endless
and	CC	and
exciting	JJ	exciting
right	NN	right
now	RB	now
,	,	,
which	WDT	which
is	VBZ	be
what	WP	what
excites	VBZ	excite
me	PP	me
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
in	IN	in
this	DT	this
sort	NN	sort
of	IN	of
Wild	NP	Wild
West	NP	West
period	NN	period
,	,	,
to	TO	to
me	PP	me
,	,	,
it	PP	it
feels	VBZ	feel
like	IN	like
,	,	,
because	IN	because
nobody	NN	nobody
knows	VBZ	know
what	WP	what
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
settle	VB	settle
on	RP	on
.	SENT	.
You	PP	you
can	MD	can
put	VB	put
stories	NNS	story
anywhere	RB	anywhere
right	RB	right
now	RB	now
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
cool	VBP	cool
to	TO	to
me	PP	me
,	,	,
and	CC	and
it	PP	it
feels	VBZ	feel
like	IN	like
once	RB	once
we	PP	we
figure	VBP	figure
out	IN	out
how	WRB	how
to	TO	to
get	VB	get
the	DT	the
technology	NN	technology
and	CC	and
the	DT	the
creativity	NN	creativity
of	IN	of
storytelling	NN	storytelling
to	TO	to
meet	VB	meet
,	,	,
the	DT	the
possibilities	NNS	possibility
are	VBP	be
endless	JJ	endless
.	SENT	.
CS	NP	CS
:	:	:
And	CC	and
also	RB	also
the	DT	the
technology	NN	technology
has	VBZ	have
enabled	VBN	enable
the	DT	the
thing	NN	thing
I	PP	I
briefly	RB	briefly
flew	VBD	fly
by	IN	by
earlier	RBR	earlier
,	,	,
binge-viewing	NN	binge-viewing
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
recent	JJ	recent
phenomenon	NN	phenomenon
,	,	,
since	IN	since
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
doing	VBG	do
shows	NNS	show
,	,	,
right	RB	right
?	SENT	?
And	CC	and
how	WRB	how
do	VBP	do
you	PP	you
think	VBP	think
does	VBZ	do
that	RB	that
change	VB	change
the	DT	the
storytelling	JJ	storytelling
process	NN	process
at	IN	at
all	DT	all
?	SENT	?
You	PP	you
always	RB	always
had	VBD	have
a	DT	a
bible	NN	bible
for	IN	for
the	DT	the
whole	JJ	whole
season	NN	season
beforehand	RB	beforehand
,	,	,
right	RB	right
?	SENT	?
SR	NN	SR
:	:	:
No	UH	no
,	,	,
I	PP	I
just	RB	just
always	RB	always
knew	VBD	know
where	WRB	where
we	PP	we
were	VBD	be
going	VBG	go
to	TO	to
end	VB	end
.	SENT	.
So	RB	so
for	IN	for
me	PP	me
,	,	,
the	DT	the
only	JJ	only
way	NN	way
I	PP	I
can	MD	can
really	RB	really
comment	VB	comment
on	IN	on
that	WDT	that
is	VBZ	be
that	IN	that
I	PP	I
have	VBP	have
a	DT	a
show	NN	show
that	RB	that
'	POS	'
s	RB	<unknown>
been	VBN	be
going	VBG	go
on	IN	on
for	IN	for
14	CD	@card@
seasons	NNS	season
and	CC	and
so	RB	so
there	EX	there
are	VBP	be
the	DT	the
people	NNS	people
who	WP	who
have	VBP	have
been	VBN	be
watching	VBG	watch
it	PP	it
for	IN	for
14	CD	@card@
seasons	NNS	season
,	,	,
and	CC	and
then	RB	then
there	EX	there
are	VBP	be
the	DT	the
12-year-old	JJ	12-year-old
girls	NNS	girl
I	PP	I
'	POS	'
d	NN	d
encounter	NN	encounter
in	IN	in
the	DT	the
grocery	NN	grocery
store	NN	store
who	WP	who
had	VBD	have
watched	VBN	watch
297	CD	@card@
episodes	NNS	episode
in	IN	in
three	CD	three
weeks	NNS	week
.	SENT	.
Seriously	RB	seriously
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
a	DT	a
very	RB	very
different	JJ	different
experience	NN	experience
for	IN	for
them	PP	them
,	,	,
because	IN	because
they	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
inside	JJ	inside
of	IN	of
something	NN	something
really	RB	really
intensely	RB	intensely
for	IN	for
a	DT	a
very	RB	very
short	JJ	short
period	NN	period
of	IN	of
time	NN	time
in	IN	in
a	DT	a
very	RB	very
intense	JJ	intense
way	NN	way
,	,	,
and	CC	and
to	TO	to
them	PP	them
the	DT	the
story	NN	story
has	VBZ	have
a	DT	a
completely	RB	completely
different	JJ	different
arc	NN	arc
and	CC	and
a	DT	a
completely	RB	completely
different	JJ	different
meaning	NN	meaning
because	IN	because
it	PP	it
never	RB	never
had	VBD	have
any	DT	any
breaks	NNS	break
.	SENT	.
CS	NP	CS
:	:	:
It	PP	it
'	POS	'
s	NN	S
like	IN	like
visiting	VBG	visit
a	DT	a
country	NN	country
and	CC	and
then	RB	then
leaving	VBG	leave
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
strange	JJ	strange
—	:	-
SR	NN	SR
:	:	:
It	PP	it
'	POS	'
s	NN	S
like	IN	like
reading	VBG	read
an	DT	an
amazing	JJ	amazing
novel	NN	novel
and	CC	and
then	RB	then
putting	VBG	put
it	PP	it
down	RP	down
.	SENT	.
I	PP	I
think	VBP	think
that	DT	that
is	VBZ	be
the	DT	the
beauty	NN	beauty
of	IN	of
the	DT	the
experience	NN	experience
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
necessarily	RB	necessarily
have	VBP	have
to	TO	to
watch	VB	watch
something	NN	something
for	IN	for
14	CD	@card@
seasons	NNS	season
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
necessarily	RB	necessarily
the	DT	the
way	NN	way
everything	NN	everything
'	POS	'
s	NNS	<unknown>
supposed	VBN	suppose
to	TO	to
be	VB	be
.	SENT	.
CS	NP	CS
:	:	:
Is	VBZ	be
there	RB	there
any	DT	any
topic	NN	topic
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
think	VBP	think
we	PP	we
should	MD	should
touch	VB	touch
?	SENT	?
SR	NN	SR
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
I	PP	I
think	VBP	think
of	IN	of
story	NN	story
that	DT	that
way	NN	way
.	SENT	.
I	PP	I
think	VBP	think
of	IN	of
story	NN	story
in	IN	in
terms	NNS	term
of	IN	of
character	NN	character
and	CC	and
what	WP	what
characters	NNS	character
would	MD	would
do	VB	do
and	CC	and
what	WP	what
characters	NNS	character
need	VBP	need
to	TO	to
do	VB	do
in	IN	in
order	NN	order
to	TO	to
make	VB	make
them	PP	them
move	VB	move
forward	RB	forward
,	,	,
so	IN	so
I	PP	I
'	POS	'
m	NN	m
never	RB	never
really	RB	really
thinking	VBG	think
of	IN	of
story	NN	story
in	IN	in
terms	NNS	term
of	IN	of
just	JJ	just
plot	NN	plot
,	,	,
and	CC	and
when	WRB	when
writers	NNS	writer
come	VBP	come
into	IN	into
my	PP$	my
writer	NN	writer
'	POS	'
s	NN	S
room	NN	room
and	CC	and
pitch	VB	pitch
me	PP	me
plot	VB	plot
,	,	,
I	PP	I
say	VBP	say
,	,	,
"	''	"
You	PP	you
'	POS	'
re	NN	re
not	RB	not
speaking	VBG	speak
English	JJ	English
.	SENT	.
"	''	"
Like	IN	like
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
thing	NN	thing
I	PP	I
say	VBP	say
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
not	RB	not
speaking	VBG	speak
English	NP	English
.	SENT	.
I	PP	I
need	VBP	need
to	TO	to
hear	VB	hear
what	WP	what
'	POS	'
s	NNS	<unknown>
real	JJ	real
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
don	VB	don
'	''	'
t	NN	t
think	VBP	think
of	IN	of
it	PP	it
that	DT	that
way	NN	way
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
way	NN	way
to	TO	to
think	VB	think
there	RB	there
'	''	'
s	NN	S
something	NN	something
I	PP	I
wouldn	NP	<unknown>
'	POS	'
t	NN	t
do	VBP	do
because	IN	because
that	WDT	that
feels	VBZ	feel
like	IN	like
I	PP	I
'	POS	'
m	NN	m
plucking	VBG	pluck
pieces	NNS	piece
of	IN	of
plot	NN	plot
off	IN	off
a	DT	a
wall	NN	wall
or	CC	or
something	NN	something
.	SENT	.
CS	NP	CS
:	:	:
That	WDT	that
'	POS	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
To	TO	to
what	WP	what
extent	NN	extent
do	VBP	do
you	PP	you
think	VBP	think
you	PP	you
will	MD	will
use	VB	use
—	:	-
You	PP	you
know	VBP	know
,	,	,
you	PP	you
recently	RB	recently
went	VBD	go
on	IN	on
the	DT	the
board	NN	board
of	IN	of
Planned	NP	Planned
Parenthood	NP	Parenthood
and	CC	and
got	VBD	get
involved	VBN	involve
in	IN	in
the	DT	the
Hillary	NP	Hillary
Clinton	NP	Clinton
campaign	NN	campaign
.	SENT	.
To	TO	to
what	WP	what
extent	NN	extent
do	VBP	do
you	PP	you
think	VBP	think
you	PP	you
will	MD	will
use	VB	use
your	PP$	your
storytelling	NN	storytelling
in	IN	in
the	DT	the
real	JJ	real
world	NN	world
to	TO	to
effect	NN	effect
change	NN	change
?	SENT	?
SR	NN	SR
:	:	:
Well	RB	well
,	,	,
you	PP	you
know	VBP	know
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
—	:	-
That	DT	that
'	''	'
s	VBG	<unknown>
an	DT	an
intense	JJ	intense
subject	NN	subject
to	TO	to
me	PP	me
,	,	,
because	IN	because
I	PP	I
feel	VBP	feel
like	IN	like
the	DT	the
lack	NN	lack
of	IN	of
narrative	NN	narrative
that	IN	that
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
have	VBP	have
is	VBZ	be
difficult	JJ	difficult
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
like	VBP	like
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
organizations	NNS	organization
that	DT	that
don	NN	don
'	POS	'
t	NN	t
have	VBP	have
a	DT	a
positive	JJ	positive
narrative	NN	narrative
that	IN	that
they	PP	they
'	POS	'
ve	NN	ve
created	VBD	create
for	IN	for
themselves	PP	themselves
that	WDT	that
would	MD	would
help	VB	help
them	PP	them
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
campaigns	NNS	campaign
that	WDT	that
could	MD	could
be	VB	be
helped	VBN	help
with	IN	with
a	DT	a
better	JJR	good
narrative	NN	narrative
.	SENT	.
The	DT	the
Democrats	NPS	Democrats
could	MD	could
do	VB	do
a	DT	a
lot	NN	lot
with	IN	with
a	DT	a
very	RB	very
strong	JJ	strong
narrative	NN	narrative
for	IN	for
themselves	PP	themselves
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
things	NNS	thing
that	WDT	that
could	MD	could
happen	VB	happen
in	IN	in
terms	NNS	term
of	IN	of
using	VBG	use
storytelling	NN	storytelling
voice	NN	voice
,	,	,
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
mean	VBP	mean
that	IN	that
in	IN	in
a	DT	a
fiction	NN	fiction
way	NN	way
,	,	,
I	PP	I
mean	VBP	mean
that	IN	that
in	IN	in
a	DT	a
same	JJ	same
way	NN	way
that	IN	that
any	DT	any
speechwriter	NN	speechwriter
would	MD	would
mean	VB	mean
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
see	VBP	see
that	IN	that
,	,	,
but	CC	but
I	PP	I
don	NN	don
'	POS	'
t	NN	t
necessarily	RB	necessarily
know	VBP	know
that	IN	that
that	DT	that
'	''	'
s	NNS	<unknown>
,	,	,
like	VB	like
,	,	,
my	PP$	my
job	NN	job
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
CS	NP	CS
:	:	:
All	DT	all
right	NN	right
.	SENT	.
Please	UH	please
help	VB	help
me	PP	me
thank	VB	thank
Shonda	NP	Shonda
.	SENT	.
SR	NN	SR
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
