Human	JJ	human
knowledge	NN	knowledge
and	CC	and
general	JJ	general
thinking	NN	thinking
than	IN	than
any	DT	any
kind	NN	kind
of	IN	of
narrow	JJ	narrow
specialization	NN	specialization
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
there	EX	there
'	''	'
s	NN	S
sort	NN	sort
of	IN	of
an	DT	an
unexpected	JJ	unexpected
human	JJ	human
centeredness	NN	centeredness
to	TO	to
all	DT	all
of	IN	of
this	DT	this
.	SENT	.
We	PP	we
might	MD	might
have	VB	have
thought	VBN	think
that	IN	that
with	IN	with
the	DT	the
advance	NN	advance
of	IN	of
science	NN	science
and	CC	and
technology	NN	technology
,	,	,
the	DT	the
particulars	NNS	particular
of	IN	of
us	PP	us
humans	NNS	human
would	MD	would
become	VB	become
ever	RB	ever
less	RBR	less
relevant	JJ	relevant
.	SENT	.
But	CC	but
we	PP	we
'	POS	'
ve	NN	ve
discovered	VBD	discover
that	IN	that
that	DT	that
'	''	'
s	NNS	<unknown>
not	RB	not
true	JJ	true
,	,	,
and	CC	and
that	IN	that
,	,	,
in	IN	in
fact	NN	fact
,	,	,
everything	NN	everything
,	,	,
even	RB	even
our	PP$	our
physics	NN	physics
,	,	,
depends	VBZ	depend
on	IN	on
how	WRB	how
we	PP	we
humans	NNS	human
happen	VBP	happen
to	TO	to
have	VB	have
sampled	VBN	sample
the	DT	the
ruliad	NN	<unknown>
.	SENT	.
Before	IN	before
our	PP$	our
physics	NN	physics
project	NN	project
,	,	,
we	PP	we
didn	NNS	<unknown>
'	POS	'
t	NN	t
know	VBP	know
if	IN	if
our	PP$	our
universe	NN	universe
really	RB	really
was	VBD	be
computational	JJ	computational
,	,	,
but	CC	but
now	RB	now
it	PP	it
'	POS	'
s	NN	S
pretty	RB	pretty
clear	JJ	clear
that	IN	that
it	PP	it
is	VBZ	be
.	SENT	.
And	CC	and
from	IN	from
that	DT	that
,	,	,
we	PP	we
'	POS	'
re	NN	re
sort	NN	sort
of	IN	of
inexorably	RB	inexorably
led	VBN	lead
to	TO	to
the	DT	the
ruliad	NN	<unknown>
,	,	,
with	IN	with
all	PDT	all
its	PP$	its
kind	NN	kind
of	IN	of
vastness	NN	vastness
so	RB	so
hugely	RB	hugely
greater	JJR	great
than	IN	than
the	DT	the
physical	JJ	physical
space	NN	space
in	IN	in
our	PP$	our
universe	NN	universe
.	SENT	.
So	RB	so
where	WRB	where
will	MD	will
we	PP	we
go	VB	go
in	IN	in
the	DT	the
ruliad	NN	<unknown>
?	SENT	?
Computational	JJ	computational
language	NN	language
is	VBZ	be
what	WP	what
lets	VBZ	let
us	PP	us
chart	VB	chart
our	PP$	our
path	NN	path
.	SENT	.
It	PP	it
lets	VBZ	let
us	PP	us
humans	NNS	human
define	VB	define
our	PP$	our
goals	NNS	goal
and	CC	and
our	PP$	our
journeys	NNS	journey
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NN	S
amazing	JJ	amazing
is	VBZ	be
that	IN	that
all	PDT	all
the	DT	the
power	NN	power
and	CC	and
depth	NN	depth
of	IN	of
what	WP	what
'	POS	'
s	NNS	<unknown>
out	RP	out
there	RB	there
in	IN	in
the	DT	the
ruliad	NN	<unknown>
is	VBZ	be
accessible	JJ	accessible
to	TO	to
everyone	NN	everyone
.	SENT	.
One	PP	one
just	RB	just
has	VBZ	have
to	TO	to
learn	VB	learn
to	TO	to
harness	VB	harness
those	DT	those
computational	JJ	computational
superpowers	NNS	superpower
,	,	,
which	WDT	which
kind	NN	kind
of	IN	of
starts	NNS	start
here	RB	here
,	,	,
you	PP	you
know	VBP	know
,	,	,
our	PP$	our
portal	NN	portal
to	TO	to
the	DT	the
ruliad	NN	<unknown>
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
