David david
weaponized weaponized
. .
There there
are be
a a
lot lot
of of
people people
who who
associate associate
care care
and and
empathy empathy
with with
emotional emotional
intelligence intelligence
, ,
but but
by by
definition definition
, ,
emotional emotional
intelligence intelligence
is be
a a
set set
of of
abilities ability
, ,
not not
a a
set set
of of
motivations motivation
or or
values value
. .
And and
that that
means mean
that that
how how
emotionally emotionally
intelligent intelligent
you you
are be
, ,
how how
good good
you you
are be
at at
recognizing recognize
and and
using use
and and
managing manage
emotions emotion
in in
yourself yourself
and and
others other
, ,
that that
' '
s s
completely completely
independent independent
of of
whether whether
you you
are be
more more
of of
a a
giver giver
or or
a a
taker taker
. .
And and
sure sure
enough enough
there there
is be
some some
research research
by by
Stéphane stéphane
Côté côté
and and
his his
colleagues colleague
, ,
showing show
that that
the the
most most
dangerous dangerous
colleagues colleague
are be
emotionally emotionally
intelligent intelligent
takers taker
, ,
because because
they they
' '
re re
very very
good good
at at
manipulating manipulate
you you
for for
their their
own own
gain gain
, ,
but but
convincing convince
you you
that that
it it
' '
s s
for for
your your
benefit benefit
, ,
and and
maybe maybe
to to
your your
point point
they they
' '
ve ve
even even
convinced convince
themselves themselves
it it
is be
for for
your your
benefit benefit
. .
DF df
: :
Yeah yeah
, ,
it it
' '
s s
really really
easy easy
for for
folks folk
of of
that that
profile profile
to to
fake fake
empathy empathy
. .
Because because
they they
can can
intellectually intellectually
understand understand
, ,
but but
I i
don don
' '
t t
think think
they they
really really
feel feel
it it
. .
AG ag
: :
Yeah yeah
, ,
so so
that that
would would
be be
, ,
well well
in in
some some
language language
cognitive cognitive
empathy empathy
, ,
but but
not not
emotional emotional
empathy empathy
. .
DF df
: :
Right right
. .
AG ag
: :
Very very
interesting interesting
. .
They they
can can
take take
your your
perspective perspective
, ,
they they
know know
what what
you you
' '
re re
feeling feeling
, ,
and and
that that
makes make
it it
very very
easy easy
to to
get get
you you
to to
do do
what what
they they
want want
you you
to to
do do
. .
DF df
: :
Yeah yeah
. .
AG ag
: :
Let let
me me
ask ask
you you
this this
then then
, ,
when when
this this
all all
came come
crashing crash
down down
during during
the the
IPO ipo
, ,
what what
was be
your your
emotional emotional
reaction reaction
? ?
DF df
: :
I i
was be
really really
sad sad
. .
I i
was be
sad sad
, ,
because because
a a
lot lot
of of
my my
friends friend
and and
people people
I i
really really
care care
deeply deeply
about about
and and
have have
a a
ton ton
of of
respect respect
for for
were be
very very
directly directly
affected affect
by by
it it
. .
I i
was be
sad sad
, ,
because because
a a
lot lot
of of
what what
the the
company company
stood stand
for for
and and
the the
way way
that that
it it
treated treat
its its
customers customer
and and
members member
were be
still still
very very
much much
true true
. .
None none
of of
the the
media medium
was be
about about
that that
. .
Like like
the the
product product
was be
good good
. .
The the
achievements achievement
that that
we we
were be
able able
to to
accomplish accomplish
were be
amazing amazing
, ,
and and
people people
did do
really really
incredible incredible
work work
and and
people people
went go
from from
one one
day day
being be
very very
proud proud
and and
excited excited
to to
say say
they they
worked work
at at
the the
company company
when when
they they
were be
at at
a a
party party
, ,
to to
the the
next next
day day
maybe maybe
not not
so so
much much
. .
And and
I i
think think
that that
was be
really really
sad sad
, ,
because because
I i
think think
so so
much much
of of
our our
personal personal
identity identity
and and
our our
personal personal
brand brand
, ,
which which
ultimately ultimately
shapes shape
our our
career career
, ,
is be
connected connect
to to
where where
we we
work work
, ,
and and
I i
think think
a a
lot lot
of of
people people
had have
made make
a a
huge huge
investment investment
in in
that that
connection connection
. .
And and
for for
me me
that that
was be
really really
sad sad
that that
without without
their their
doing do
that that
just just
changed change
so so
drastically drastically
for for
them them
. .
Like like
, ,
by by
association association
, ,
you you
just just
get get
painted paint
with with
that that
. .
And and
I i
think think
that that
' '
s s
what what
was be
really really
sad sad
for for
me me
, ,
is be
that that
the the
sequence sequence
of of
events event
that that
really really
had have
very very
little little
to to
do do
with with
the the
people people
working work
there there
and and
the the
effort effort
and and
energy energy
that that
they they
put put
into into
building building
something something
amazing amazing
, ,
now now
affected affect
them them
all all
. .
AG ag
: :
That that
' '
s s
such such
an an
-- --
well well
I i
don don
' '
t t
want want
to to
call call
it it
interesting interesting
because because
it it
' '
s s
painful painful
, ,
but but
from from
a a
psychological psychological
perspective perspective
, ,
it it
' '
s s
a a
challenging challenging
situation situation
. .
Because because
in in
a a
way way
it it
feels feel
like like
somebody somebody
' '
s s
house house
just just
burned burn
down down
, ,
only only
, ,
number number
one one
, ,
you you
don don
' '
t t
have have
any any
insurance insurance
when when
it it
comes come
to to
your your
company company
having have
gone go
up up
in in
flames flame
. .
Number number
two two
, ,
you you
can can
' '
t t
just just
move move
to to
a a
new new
house house
without without
talking talk
about about
the the
old old
one one
. .
You you
have have
to to
account account
for for
where where
you you
spent spend
those those
three three
or or
four four
years year
, ,
and and
so so
it it
' '
s s
almost almost
like like
you you
are be
forced force
to to
wear wear
a a
badge badge
with with
a a
bunch bunch
of of
stigma stigma
attached attach
to to
it it
. .
DF df
: :
Yeah yeah
, ,
absolutely absolutely
. .
You you
know know
, ,
if if
you you
were be
in in
the the
middle middle
of of
a a
job job
hunt hunt
in in
that that
process process
you you
went go
from from
being be
highly highly
coveted covet
one one
day day
to to
needing need
to to
explain explain
why why
that that
happened happen
the the
next next
, ,
and and
were be
you you
involved involve
? ?
You you
almost almost
had have
to to
defend defend
your your
career career
decisions decision
in in
this this
way way
that that
was be
completely completely
unexpected unexpected
, ,
and and
you you
had have
zero zero
input input
or or
effect effect
on on
that that
being be
the the
case case
. .
So so
I i
think think
that that
was be
really really
tricky tricky
, ,
and and
that that
is be
part part
of of
why why
, ,
I i
think think
, ,
career career
decisions decision
and and
job job
decisions decision
are be
so so
heavy heavy
for for
people people
, ,
because because
there there
is be
this this
aspect aspect
of of
the the
unknown unknown
that that
' '
s s
out out
of of
your your
control control
. .
You you
don don
' '
t t
know know
how how
well well
the the
company company
is be
going go
to to
do do
. .
You you
don don
' '
t t
really really
know know
how how
much much
money money
it it
has have
, ,
you you
don don
' '
t t
really really
know know
the the
things thing
that that
the the
executives executive
are be
talking talk
about about
. .
And and
I i
think think
that that
there there
is be
a a
tremendous tremendous
amount amount
of of
trust trust
that that
people people
put put
into into
organizations organization
, ,
in in
that that
they they
' '
re re
going go
to to
take take
care care
of of
them them
and and
take take
care care
of of
their their
career career
. .
AG ag
: :
What what
advice advice
do do
you you
have have
, ,
Dave dave
, ,
for for
people people
who who
go go
through through
that that
kind kind
of of
stigmatization stigmatization
experience experience
? ?
DF df
: :
Focus focus
on on
what what
you you
learned learn
, ,
and and
the the
people people
that that
you you
met meet
. .
Because because
what what
no no
one one
can can
take take
from from
you you
is be
your your
knowledge knowledge
and and
your your
relationships relationship
. .
And and
if if
you you
invest invest
in in
those those
, ,
and and
you you
manage manage
those those
correctly correctly
, ,
you you
' '
ll ll
be be
able able
to to
cash cash
them them
in in
later later
. .
So so
whether whether
the the
brand brand
becomes become
tarnished tarnish
or or
the the
company company
doesn doesn
' '
t t
do do
well well
, ,
if if
you you
' '
ve ve
built build
person-to-person person-to-person
relationship relationship
rather rather
than than
person-to-brand person-to-brand
relationship relationship
, ,
then then
you you
' '
ll ll
be be
able able
to to
leverage leverage
that that
later later
. .
And and
not not
in in
, ,
like like
, ,
a a
capitalistic capitalistic
, ,
opportunistic opportunistic
way way
, ,
like like
, ,
work work
together together
, ,
because because
those those
things thing
transcend transcend
companies company
. .
Whether whether
it it
was be
a a
truly truly
work work
relationship relationship
, ,
perform perform
, ,
do do
well well
. .
I i
think think
too too
many many
people people
really really
feel feel
like like
the the
work work
that that
they they
' '
re re
doing do
is be
, ,
like like
, ,
for for
the the
company company
. .
" "
I i
worked work
for for
the the
company company
. .
" "
No no
, ,
I i
think think
what what
most most
people people
need need
to to
recognize recognize
is be
that that
you you
work work
for for
yourself yourself
, ,
and and
your your
best good
investment investment
is be
you you
, ,
and and
what what
you you
leave leave
behind behind
is be
the the
reputation reputation
of of
the the
work work
you you
did do
while while
you you
were be
there there
. .
So so
you you
might might
be be
angry angry
and and
you you
might might
be be
sort sort
of of
, ,
mailing mail
it it
in in
, ,
but but
people people
aren aren
' '
t t
going go
to to
give give
you you
the the
benefit benefit
of of
the the
doubt doubt
that that
you you
were be
mailing mail
it it
in in
because because
the the
company company
wasn wasn
' '
t t
doing do
great great
, ,
they they
' '
re re
just just
going go
to to
remember remember
that that
you you
mailed mail
it it
in in
. .
And and
so so
I i
think think
always always
remember remember
that that
you you
are be
managing manage
your your
identity identity
and and
your your
reputation reputation
and and
that that
travels travel
with with
you you
. .
And and
so so
when when
things thing
get get
bad bad
, ,
do do
right right
by by
people people
. .
Even even
if if
that that
' '
s s
not not
what what
the the
company company
is be
doing do
, ,
stand stand
your your
ground ground
for for
the the
things thing
that that
matter matter
to to
you you
, ,
because because
that that
will will
travel travel
with with
you you
. .
AG ag
: :
As as
WeWork wework
' '
s s
IPO ipo
was be
collapsing collapse
last last
fall fall
and and
several several
thousand thousand
people people
were be
being be
laid lay
off off
, ,
Dave dave
stood stand
his his
ground ground
for for
something something
that that
mattered matter
to to
him him
. .
He he
tweeted tweet
that that
he he
was be
willing willing
to to
serve serve
as as
a a
personal personal
reference reference
for for
anyone anyone
at at
the the
company company
. .
The the
post-mortem post-mortem
on on
WeWork wework
has have
only only
just just
begun begin
, ,
but but
my my
biggest big
takeaway takeaway
is be
that that
we we
should should
all all
be be
a a
little little
skeptical skeptical
when when
companies company
claim claim
to to
be be
changing change
the the
world world
. .
Even even
if if
their their
intentions intention
are be
good good
, ,
sometimes sometimes
they they
' '
ll ll
fall fall
short short
of of
their their
lofty lofty
ambitions ambition
. .
But but
the the
bigger big
danger danger
is be
that that
they they
' '
ll ll
reach reach
those those
ambitions ambition
. .
They they
may may
well well
end end
up up
changing change
the the
world world
but but
that that
doesn doesn
' '
t t
mean mean
they they
' '
ll ll
change change
it it
for for
the the
better well
. .
Next next
time time
on on
WorkLife worklife
. .
Arthur arthur
Brooks brooks
: :
It it
was be
a a
wreck wreck
, ,
it it
was be
a a
slow slow
moving move
wreck wreck
in in
my my
career career
itself itself
. .
I i
was be
in in
decline decline
. .
AG ag
: :
Is be
career career
decline decline
inevitable inevitable
? ?
WorkLife worklife
is be
hosted host
by by
me me
, ,
Adam adam
Grant grant
. .
The the
show show
is be
produced produce
by by
TED ted
with with
Transmitter transmitter
Media media
. .
Our our
team team
includes include
Colin colin
Helms helms
, ,
Gretta gretta
Cohn cohn
, ,
Jessica jessica
Glazer glazer
, ,
Constanza constanza
Gallardo gallardo
, ,
Grace grace
Rubenstein rubenstein
, ,
Michelle michelle
Quint quint
, ,
Angela angela
Cheng cheng
and and
Anna anna
Phelan phelan
. .
Our our
show show
is be
mixed mix
by by
Rick rick
Kwan kwan
. .
Original original
music music
by by
Hahnsdale hahnsdale
Hsu hsu
and and
Allison allison
Leyton-Brown leyton-brown
. .
Ad ad
stories story
produced produce
by by
Pineapple pineapple
Street street
Studios studios
. .
This this
episode episode
was be
produced produce
by by
Dan dan
O o
' '
Donnell donnell
. .
Special special
thanks thanks
to to
our our
sponsors sponsor
. .
Accenture accenture
, ,
BetterUp betterup
, ,
Hilton hilton
and and
SAP sap
. .
For for
their their
research research
, ,
thanks thanks
to to
Aaron aaron
Kay kay
and and
colleagues colleague
on on
the the
passion passion
tax tax
. .
Jenny jenny
Chatman chatman
, ,
Charles charles
O o
' '
Reilly reilly
and and
Jesper jesper
Sørensen sørensen
on on
strong strong
cultures culture
. .
Frank frank
Flynn flynn
and and
Barry barry
Staw staw
on on
charismatic charismatic
leadership leadership
. .
Jim jim
Baron baron
and and
colleagues colleague
on on
founder founder
blueprints blueprint
. .
Sandra sandra
Cha cha
and and
Amy amy
Edmondson edmondson
on on
hypocrisy hypocrisy
. .
Arijit arijit
Chatterjee chatterjee
and and
Don don
Hambrick hambrick
on on
CEO ceo
narcissism narcissism
. .
Ed ed
Locke locke
and and
Gary gary
Latham latham
on on
goal goal
setting setting
, ,
Maurice maurice
Schweitzer schweitzer
and and
colleagues colleague
on on
the the
dark dark
side side
of of
goals goal
, ,
and and
Stéphane stéphane
Côté côté
and and
colleagues colleague
on on
the the
dark dark
side side
of of
emotional emotional
intelligence intelligence
. .
And and
thanks thanks
to to
Dave dave
Fano fano
for for
joining join
. .
His his
new new
company company
is be
called call
Teal teal
. .
It it
' '
s s
focused focus
on on
helping help
people people
build build
fulfilling fulfill
careers career
. .
DF df
: :
How how
was be
the the
sound sound
, ,
everything everything
, ,
no no
crazy crazy
background background
sound sound
? ?
I i
tried try
to to
make make
, ,
like like
, ,
a a
makeshift makeshift
sound sound
booth booth
here here
. .
AG ag
: :
Of of
course course
you you
did do
. .
I i
' '
m m
thinking thinking
, ,
OK ok
, ,
this this
is be
the the
guy guy
who who
designed design
all all
those those
cool cool
spaces space
, ,
he he
better better
have have
a a
great great
studio studio
setup setup
at at
home home
. .
DF df
: :
Well well
, ,
if if
that that
includes include
a a
blanket blanket
hanging hang
from from
a a
rafter rafter
and and
my my
daughter daughter
' '
s s
purple purple
headphones headphones
as as
my my
headset headset
, ,
then then
yes yes
. .
