Hey hey
if if
so so
, ,
where where
have have
you you
turn turn
to to
to to
rediscover rediscover
it it
? ?
I i
never never
totally totally
lost lose
it it
. .
You you
can can
' '
t t
look look
around around
the the
world world
today today
and and
really really
look look
around around
and and
see see
what what
' '
s s
happening happening
and and
really really
read read
about about
what what
' '
s s
happening happen
to to
the the
environment environment
and and
to to
society society
and and
not not
feel feel
depressed depress
. .
I i
defy defy
anybody anybody
with with
any any
kind kind
of of
intelligence intelligence
not not
to to
feel feel
depressed depressed
, ,
but but
when when
I i
get get
those those
feelings feeling
, ,
something something
pops pop
up up
in in
me me
to to
say say
, ,
well well
, ,
I i
' '
m m
not not
going go
to to
be be
browbeaten browbeat
by by
this this
. .
I i
just just
won win
' '
t t
. .
I i
suppose suppose
I i
was be
a a
born bear
fighter fighter
. .
Maybe maybe
it it
' '
s s
my my
genes gene
. .
I i
had have
an an
amazing amazing
grandmother grandmother
, ,
an an
incredible incredible
mother mother
. .
I i
think think
that that
' '
s s
such such
a a
heartening hearten
message message
to to
say say
I i
will will
not not
be be
browbeaten browbeat
by by
this this
. .
Yeah yeah
. .
I i
mean mean
, ,
I i
wouldn wouldn
' '
t t
let let
the the
Trumps trumps
and and
balseros balseros
browbeat browbeat
me me
into into
saying say
, ,
well well
, ,
they they
' '
ve ve
done do
so so
much much
damage damage
, ,
there there
' '
s s
nothing nothing
I i
can can
do do
. .
So so
I i
' '
m m
not not
going go
to to
do do
anything anything
. .
That that
' '
s s
the the
danger danger
. .
People people
do do
nothing nothing
because because
they they
feel feel
powerless powerless
and and
helpless helpless
and and
hopeless hopeless
. .
And and
that that
' '
s s
why why
I i
started start
the the
youth youth
program program
recently recently
, ,
which which
because because
so so
many many
young young
people people
telling tell
me me
that that
they they
felt feel
depressed depressed
or or
angry angry
or or
mostly mostly
apathetic apathetic
because because
we we
' '
ve ve
compromised compromise
their their
future future
, ,
there there
' '
s s
nothing nothing
they they
can can
do do
about about
it it
. .
And and
so so
, ,
yes yes
, ,
we we
have have
compromised compromise
their their
future future
. .
We we
' '
ve ve
been be
stealing steal
it it
. .
We we
' '
re re
still still
stealing steal
it it
today today
, ,
actually actually
. .
But but
I i
believe believe
firmly firmly
that that
we we
have have
a a
window window
of of
time time
. .
And and
if if
we we
get get
together together
and and
put put
our our
brains brain
together together
, ,
that that
we we
can can
at at
least least
heal heal
some some
of of
the the
harm harm
that that
we we
' '
ve ve
inflicted inflict
and and
slow slow
down down
climate climate
change change
. .
But but
we we
' '
ve ve
got get
to to
do do
it it
now now
. .
And and
that that
' '
s s
why why
I i
was be
travelling travel
all all
over over
the the
place place
. .
And and
that that
' '
s s
why why
I i
' '
m m
trying try
to to
create create
this this
virtual virtual
Jane jane
who who
actually actually
reaches reach
far far
more more
people people
. .
Well well
, ,
I i
love love
virtual virtual
Jane jane
. .
It it
certainly certainly
seems seem
it it
seems seem
more more
efficient efficient
and and
convenient convenient
for for
you you
. .
But but
I i
do do
I i
do do
hope hope
you you
can can
get get
back back
out out
in in
nature nature
in in
the the
near near
future future
. .
Jane jane
, ,
it it
' '
s s
been be
such such
an an
honor honor
to to
speak speak
with with
you you
. .
You you
' '
ve ve
done do
so so
much much
for for
humanity humanity
, ,
for for
animals animal
, ,
for for
the the
planet planet
. .
Are be
just just
really really
grateful grateful
that that
you you
' '
re re
willing willing
to to
take take
the the
time time
to to
do do
this this
. .
So so
thank thank
you you
so so
much much
. .
Well well
, ,
thank thank
you you
to to
I i
think think
everybody everybody
listening listening
should should
remember remember
that that
every every
single single
day day
we we
live live
, ,
each each
one one
of of
us us
makes make
an an
impact impact
on on
the the
planet planet
. .
And and
we we
have have
a a
choice choice
as as
to to
what what
kind kind
of of
impact impact
we we
make make
. .
That that
' '
s s
a a
really really
important important
thing thing
to to
remember remember
. .
Scientists scientist
, ,
conservationist conservationist
, ,
activist activist
Jane jane
Goodall goodall
now now
has have
a a
new new
title title
to to
add add
to to
her her
collection collection
podcast podcast
, ,
her her
her her
new new
show show
is be
called call
The the
Jane jane
Goodall goodall
Hope hope
Cast cast
. .
It it
' '
s s
currently currently
available available
in in
English english
, ,
but but
I i
' '
m m
hoping hope
for for
a a
chimpanzee chimpanzee
version version
since since
. .
Taken take
for for
granted granted
is be
a a
member member
of of
the the
TED ted
Audio audio
Collective collective
. .
The the
show show
is be
hosted host
by by
me me
, ,
Adam adam
Grant grant
, ,
and and
produced produce
by by
Ted ted
with with
Transmitter transmitter
Media media
. .
Our our
team team
includes include
Colin colin
Helms helms
, ,
Redken redken
, ,
Dan dan
O o
' '
Donnell donnell
, ,
Jessica jessica
Glaser glaser
, ,
Joanne joanne
DeLuna deluna
, ,
Grace grace
Rubenstein rubenstein
, ,
Michelle michelle
Quint quint
and and
Ben ben
Chang chang
and and
Anna anna
Feeling feel
. .
This this
episode episode
was be
produced produce
by by
Constanza constanza
Gelada gelada
. .
Our our
show show
is be
mixed mixed
by by
Requite requite
Original original
Music music
by by
Handsell handsell
, ,
Sue sue
and and
Allison allison
Layton layton
Brown brown
and and
huge huge
gratitude gratitude
to to
Melissa melissa
Shifta shifta
for for
introducing introduce
me me
to to
Jane jane
. .
