Bigger	JJR	big
I	PP	I
bumped	VBD	bump
into	IN	into
Rachel	NP	Rachel
,	,	,
and	CC	and
then	RB	then
we	PP	we
started	VBD	start
talking	VBG	talk
,	,	,
and	CC	and
next	JJ	next
thing	NN	thing
you	PP	you
know	VBP	know
,	,	,
she	PP	she
'	POS	'
s	NNS	<unknown>
tweeting	VBG	tweet
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
friends	NNS	friend
.	SENT	.
And	CC	and
â	NP	<unknown>
boom	NN	boom
!	SENT	!
Get	VB	get
outside	RB	outside
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
magic	NN	magic
is	VBZ	be
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
one	CD	one
in	IN	in
four	CD	four
hundred	CD	hundred
trillion	NN	trillion
exists	VBZ	exist
.	SENT	.
So	IN	so
everything	NN	everything
I	PP	I
do	VBP	do
â	NP	<unknown>
oh	UH	oh
,	,	,
OK	UH	OK
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
last	JJ	last
part	NN	part
.	SENT	.
Sorry	RB	sorry
.	SENT	.
So	RB	so
one	CD	one
more	JJR	more
thing	NN	thing
that	IN	that
you	PP	you
can	MD	can
use	VB	use
,	,	,
I	PP	I
call	VBP	call
it	PP	it
the	DT	the
five-second-rule	NN	<unknown>
.	SENT	.
Your	PP$	your
mind	NN	mind
can	MD	can
process	VB	process
a	DT	a
facial	JJ	facial
expression	NN	expression
in	IN	in
33	CD	@card@
milliseconds	NNS	millisecond
.	SENT	.
It	PP	it
can	MD	can
move	VB	move
pretty	RB	pretty
damn	RB	damn
quick	JJ	quick
.	SENT	.
The	DT	the
other	JJ	other
thing	NN	thing
that	IN	that
it	PP	it
does	VBZ	do
very	RB	very
quickly	RB	quickly
is	VBZ	be
if	IN	if
you	PP	you
have	VBP	have
one	CD	one
of	IN	of
those	DT	those
little	JJ	little
impulses	NNS	impulse
that	WDT	that
are	VBP	be
pulling	VBG	pull
you	PP	you
,	,	,
if	IN	if
you	PP	you
don	VBP	don
'	''	'
t	NN	t
marry	VB	marry
it	PP	it
with	IN	with
an	DT	an
action	NN	action
within	IN	within
five	CD	five
seconds	NNS	second
,	,	,
you	PP	you
pull	VBP	pull
the	DT	the
emergency	NN	emergency
brake	NN	brake
and	CC	and
kill	VB	kill
the	DT	the
idea	NN	idea
.	SENT	.
Kill	VB	kill
it	PP	it
!	SENT	!
If	IN	if
you	PP	you
have	VBP	have
the	DT	the
impulse	NN	impulse
to	TO	to
get	VB	get
up	RP	up
and	CC	and
come	VB	come
dance	NN	dance
while	IN	while
the	DT	the
band	NN	band
is	VBZ	be
playing	VBG	play
,	,	,
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
stand	VBP	stand
up	RP	up
in	IN	in
five	CD	five
seconds	NNS	second
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
pull	VB	pull
the	DT	the
emergency	NN	emergency
brake	NN	brake
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
an	DT	an
impulse	NN	impulse
about	RB	about
,	,	,
you	PP	you
were	VBD	be
inspired	VBN	inspire
by	IN	by
somebody	NN	somebody
'	POS	'
s	JJ	<unknown>
speech	NN	speech
today	NN	today
,	,	,
and	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
do	VBP	do
something	NN	something
within	IN	within
five	CD	five
seconds	NNS	second
âÂ	NP	<unknown>
write	VB	write
a	DT	a
note	NN	note
,	,	,
send	VB	send
yourself	PP	yourself
a	DT	a
text	NN	text
â	NP	<unknown>
anything	NN	anything
physical	JJ	physical
to	TO	to
marry	VB	marry
it	PP	it
with	IN	with
the	DT	the
idea	NN	idea
,	,	,
you	PP	you
will	MD	will
pull	VB	pull
the	DT	the
emergency	NN	emergency
brake	NN	brake
and	CC	and
kill	VB	kill
the	DT	the
idea	NN	idea
.	SENT	.
Your	PP$	your
problem	NN	problem
isn	NN	isn
'	POS	'
t	NN	t
ideas	NNS	idea
.	SENT	.
Your	PP$	your
problem	NN	problem
is	VBZ	be
you	PP	you
don	VBP	don
'	''	'
t	NN	t
act	NN	act
on	IN	on
them	PP	them
.	SENT	.
You	PP	you
kill	VBP	kill
them	PP	them
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
not	RB	not
my	PP$	my
fault	NN	fault
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
anybody	NN	anybody
'	POS	'
s	NN	S
fault	NN	fault
.	SENT	.
You	PP	you
'	''	'
re	IN	re
doing	VBG	do
it	PP	it
to	TO	to
yourself	PP	yourself
.	SENT	.
Stop	VB	stop
it	PP	it
!	SENT	!
I	NP	I
'	POS	'
m	NN	m
counting	VBG	count
on	IN	on
you	PP	you
.	SENT	.
One	CD	one
in	IN	in
four	CD	four
hundred	CD	hundred
trillion	CD	trillion
.	SENT	.
You	PP	you
got	VBD	get
stuff	NN	stuff
to	TO	to
do	VB	do
!	SENT	!
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
to	TO	to
happen	VB	happen
in	IN	in
your	PP$	your
head	NN	head
.	SENT	.
So	RB	so
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
practice	VB	practice
this	DT	this
today	NN	today
.	SENT	.
When	WRB	when
we	PP	we
go	VBP	go
off	RP	off
to	TO	to
party	NN	party
,	,	,
thank	VB	thank
God	NP	God
it	PP	it
'	POS	'
s	NNS	<unknown>
coming	VBG	come
soon	RB	soon
,	,	,
because	IN	because
I	PP	I
think	VBP	think
we	PP	we
all	RB	all
could	MD	could
use	VB	use
a	DT	a
cocktail	NN	cocktail
,	,	,
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
practice	VB	practice
the	DT	the
five-second-rule	NN	<unknown>
.	SENT	.
You	PP	you
see	VBP	see
somebody	NN	somebody
and	CC	and
you	PP	you
think	VBP	think
you	PP	you
have	VBP	have
an	DT	an
impulse	NN	impulse
,	,	,
they	PP	they
look	VBP	look
interesting	JJ	interesting
?	SENT	?
Walk	VB	walk
over	IN	over
there	RB	there
!	SENT	!
You	PP	you
were	VBD	be
inspired	VBN	inspire
by	IN	by
somebody	NN	somebody
and	CC	and
you	PP	you
have	VBP	have
a	DT	a
request	NN	request
?	SENT	?
Make	VB	make
it	PP	it
!	SENT	!
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
you	PP	you
'	POS	'
re	NN	re
here	RB	here
!	SENT	!
Experiment	NN	experiment
with	IN	with
it	PP	it
,	,	,
and	CC	and
I	PP	I
think	VBP	think
you	PP	you
'	''	'
ll	NN	ll
be	VB	be
shocked	VBN	shock
about	IN	about
what	WP	what
happens	VBZ	happen
.	SENT	.
And	CC	and
one	CD	one
more	JJR	more
thing	NN	thing
,	,	,
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
know	VB	know
that	DT	that
everything	NN	everything
that	IN	that
I	PP	I
do	VBP	do
,	,	,
whether	IN	whether
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
radio	NN	radio
show	NN	show
,	,	,
or	CC	or
the	DT	the
television	NN	television
show	NN	show
,	,	,
or	CC	or
the	DT	the
book	NN	book
that	IN	that
I	PP	I
wrote	VBD	write
,	,	,
or	CC	or
the	DT	the
column	NN	column
,	,	,
it	PP	it
'	POS	'
s	NN	S
for	IN	for
you	PP	you
.	SENT	.
And	CC	and
if	IN	if
there	EX	there
is	VBZ	be
anything	NN	anything
that	IN	that
I	PP	I
can	MD	can
do	VB	do
,	,	,
if	IN	if
I	PP	I
can	MD	can
do	VB	do
anything	NN	anything
to	TO	to
make	VB	make
you	PP	you
do	VB	do
the	DT	the
things	NNS	thing
you	PP	you
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
do	VB	do
,	,	,
so	RB	so
you	PP	you
can	MD	can
have	VB	have
what	WP	what
you	PP	you
want	VBP	want
,	,	,
I	PP	I
will	MD	will
do	VB	do
it	PP	it
.	SENT	.
But	CC	but
you	PP	you
need	VBP	need
to	TO	to
walk	VB	walk
over	RP	over
,	,	,
you	PP	you
need	VBP	need
to	TO	to
open	VB	open
your	PP$	your
mouth	NN	mouth
,	,	,
and	CC	and
you	PP	you
need	VBP	need
to	TO	to
make	VB	make
the	DT	the
request	NN	request
.	SENT	.
You	PP	you
got	VBD	get
it	PP	it
?	SENT	?
Good	JJ	good
.	SENT	.
Go	VB	go
do	VB	do
it	PP	it
.	SENT	.
Thank	VB	thank
you	PP	you
!	SENT	!
Thank	VB	thank
you	PP	you
,	,	,
yes	UH	yes
!	SENT	!
Stand	VB	stand
up	RB	up
!	SENT	!
You	PP	you
have	VBP	have
the	DT	the
impulse	NN	impulse
,	,	,
stand	VBP	stand
up	RP	up
!	SENT	!
Thank	VB	thank
you	PP	you
!	SENT	!
