You	PP	you
commodities	NNS	commodity
.	SENT	.
Ethiopia	NP	Ethiopia
'	POS	'
s	JJ	<unknown>
domestic	JJ	domestic
market	NN	market
is	VBZ	be
about	RB	about
one	CD	one
billion	NN	billion
dollars	NNS	dollar
of	IN	of
value	NN	value
.	SENT	.
And	CC	and
we	PP	we
feel	VBP	feel
that	IN	that
over	IN	over
the	DT	the
next	JJ	next
five	CD	five
years	NNS	year
,	,	,
if	IN	if
Ethiopia	NP	Ethiopia
can	MD	can
capture	VB	capture
even	RB	even
40	CD	@card@
percent	NN	percent
,	,	,
just	RB	just
40	CD	@card@
percent	NN	percent
,	,	,
of	IN	of
the	DT	the
domestic	JJ	domestic
market	NN	market
,	,	,
and	CC	and
add	VB	add
just	RB	just
25	CD	@card@
percent	NN	percent
value	NN	value
to	TO	to
that	DT	that
market	NN	market
,	,	,
the	DT	the
value	NN	value
of	IN	of
the	DT	the
market	NN	market
doubles	VBZ	double
.	SENT	.
Ethiopia	NP	Ethiopia
'	POS	'
s	JJ	<unknown>
agricultural	JJ	agricultural
market	NN	market
is	VBZ	be
30	CD	@card@
percent	NN	percent
higher	JJR	high
than	IN	than
South	NP	South
Africa	NP	Africa
'	POS	'
s	JJ	<unknown>
grain	NN	grain
production	NN	production
,	,	,
and	CC	and
,	,	,
in	IN	in
fact	NN	fact
,	,	,
Ethiopia	NP	Ethiopia
is	VBZ	be
the	DT	the
second	JJ	second
largest	JJS	large
maize	NN	maize
producer	NN	producer
in	IN	in
Africa	NP	Africa
.	SENT	.
So	IN	so
the	DT	the
potential	NN	potential
is	VBZ	be
there	RB	there
.	SENT	.
The	DT	the
will	NN	will
is	VBZ	be
there	RB	there
.	SENT	.
The	DT	the
commitment	NN	commitment
is	VBZ	be
there	RB	there
.	SENT	.
So	RB	so
we	PP	we
feel	VBP	feel
that	IN	that
we	PP	we
have	VBP	have
a	DT	a
winning	JJ	winning
value	NN	value
proposition	NN	proposition
to	TO	to
transform	VB	transform
farmers	NNS	farmer
'	POS	'
choices	NNS	choice
,	,	,
to	TO	to
grow	VB	grow
our	PP$	our
agriculture	NN	agriculture
,	,	,
and	CC	and
to	TO	to
change	VB	change
Africa	NP	Africa
.	SENT	.
So	RB	so
,	,	,
we	PP	we
are	VBP	be
in	IN	in
the	DT	the
business	NN	business
of	IN	of
finding	VBG	find
our	PP$	our
happiness	NN	happiness
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
