Charlie	NP	Charlie
bikes	NNS	bike
from	IN	from
cars	NNS	car
with	IN	with
minimal	JJ	minimal
cost	NN	cost
.	SENT	.
Anyway	RB	anyway
,	,	,
it	PP	it
looks	VBZ	look
totally	RB	totally
crazy	JJ	crazy
,	,	,
but	CC	but
I	PP	I
was	VBD	be
actually	RB	actually
thinking	VBG	think
about	IN	about
our	PP$	our
campus	NN	campus
,	,	,
working	VBG	work
with	IN	with
the	DT	the
Zippies	NP	<unknown>
and	CC	and
stuff	NN	stuff
,	,	,
and	CC	and
just	RB	just
trying	VBG	try
to	TO	to
get	VB	get
a	DT	a
lot	NN	lot
more	JJR	more
bike	NN	bike
usage	NN	usage
,	,	,
and	CC	and
I	PP	I
was	VBD	be
thinking	VBG	think
about	RB	about
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
cost-effectively	RB	cost-effectively
separate	VBP	separate
the	DT	the
bikes	NNS	bike
from	IN	from
traffic	NN	traffic
?	SENT	?
And	CC	and
I	PP	I
went	VBD	go
and	CC	and
searched	VBD	search
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
found	VBD	find
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
not	RB	not
actually	RB	actually
working	VBG	work
on	IN	on
this	DT	this
,	,	,
that	DT	that
particular	JJ	particular
thing	NN	thing
,	,	,
but	CC	but
it	PP	it
gets	VBZ	get
your	PP$	your
imagination	NN	imagination
going	VBG	go
.	SENT	.
CR	NN	CR
:	:	:
Let	VB	let
me	PP	me
close	VB	close
with	IN	with
this	DT	this
.	SENT	.
Give	VB	give
me	PP	me
a	DT	a
sense	NN	sense
of	IN	of
the	DT	the
philosophy	NN	philosophy
of	IN	of
your	PP$	your
own	JJ	own
mind	NN	mind
.	SENT	.
You	PP	you
have	VBP	have
this	DT	this
idea	NN	idea
of	IN	of
[	SYM	[
Google	NP	<unknown>
X	NP	X
]	SYM	]
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
simply	RB	simply
want	VBP	want
to	TO	to
go	VB	go
in	IN	in
some	DT	some
small	JJ	small
,	,	,
measurable	JJ	measurable
arena	NN	arena
of	IN	of
progress	NN	progress
.	SENT	.
LP	NP	LP
:	:	:
Yeah	RB	yeah
,	,	,
I	PP	I
think	VBP	think
many	JJ	many
of	IN	of
the	DT	the
things	NNS	thing
we	PP	we
just	RB	just
talked	VBD	talk
about	RB	about
are	VBP	be
like	JJ	like
that	IN	that
,	,	,
where	WRB	where
they	PP	they
'	POS	'
re	NN	re
really	RB	really
â	NP	<unknown>
I	PP	I
almost	RB	almost
use	VBP	use
the	DT	the
economic	JJ	economic
concept	NN	concept
of	IN	of
additionality	NN	<unknown>
,	,	,
which	WDT	which
means	VBZ	mean
that	IN	that
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
something	NN	something
that	IN	that
wouldn	NP	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
unless	IN	unless
you	PP	you
were	VBD	be
actually	RB	actually
doing	VBG	do
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
the	DT	the
more	RBR	more
you	PP	you
can	MD	can
do	VB	do
things	NNS	thing
like	IN	like
that	DT	that
,	,	,
the	DT	the
bigger	JJR	big
impact	NN	impact
you	PP	you
have	VBP	have
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
about	IN	about
doing	VBG	do
things	NNS	thing
that	IN	that
people	NNS	people
might	MD	might
not	RB	not
think	VB	think
are	VBP	be
possible	JJ	possible
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
amazed	VBN	amaze
,	,	,
the	DT	the
more	RBR	more
I	PP	I
learn	VBP	learn
about	IN	about
technology	NN	technology
,	,	,
the	DT	the
more	RBR	more
I	PP	I
realize	VBP	realize
I	PP	I
don	VB	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
because	IN	because
this	DT	this
technological	JJ	technological
horizon	NN	horizon
,	,	,
the	DT	the
thing	NN	thing
that	IN	that
you	PP	you
can	MD	can
see	VB	see
to	TO	to
do	VB	do
next	JJ	next
,	,	,
the	DT	the
more	RBR	more
you	PP	you
learn	VBP	learn
about	IN	about
technology	NN	technology
,	,	,
the	DT	the
more	RBR	more
you	PP	you
learn	VBP	learn
what	WP	what
'	POS	'
s	NNS	<unknown>
possible	JJ	possible
.	SENT	.
You	PP	you
learn	VBP	learn
that	IN	that
the	DT	the
balloons	NNS	balloon
are	VBP	be
possible	JJ	possible
because	IN	because
there	EX	there
'	''	'
s	VBG	<unknown>
some	DT	some
material	NN	material
that	WDT	that
will	MD	will
work	VB	work
for	IN	for
them	PP	them
.	SENT	.
CR	NN	CR
:	:	:
What	WP	what
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
about	IN	about
you	PP	you
too	RB	too
,	,	,
though	RB	though
,	,	,
for	IN	for
me	PP	me
,	,	,
is	VBZ	be
that	IN	that
,	,	,
we	PP	we
have	VBP	have
lots	NNS	lot
of	IN	of
people	NNS	people
who	WP	who
are	VBP	be
thinking	VBG	think
about	IN	about
the	DT	the
future	NN	future
,	,	,
and	CC	and
they	PP	they
are	VBP	be
going	VBG	go
and	CC	and
looking	VBG	look
and	CC	and
they	PP	they
'	POS	'
re	NN	re
coming	VBG	come
back	RB	back
,	,	,
but	CC	but
we	PP	we
never	RB	never
see	VBP	see
the	DT	the
implementation	NN	implementation
.	SENT	.
I	PP	I
think	VBP	think
of	IN	of
somebody	NN	somebody
you	PP	you
knew	VBD	know
and	CC	and
read	VBD	read
about	RB	about
,	,	,
Tesla	NN	tesla
.	SENT	.
The	DT	the
principle	NN	principle
of	IN	of
that	DT	that
for	IN	for
you	PP	you
is	VBZ	be
what	WP	what
?	SENT	?
LP	NP	LP
:	:	:
Well	UH	well
,	,	,
I	PP	I
think	VBP	think
invention	NN	invention
is	VBZ	be
not	RB	not
enough	JJ	enough
.	SENT	.
If	IN	if
you	PP	you
invent	VBP	invent
something	NN	something
,	,	,
Tesla	NN	tesla
invented	VBD	invent
electric	JJ	electric
power	NN	power
that	IN	that
we	PP	we
use	VBP	use
,	,	,
but	CC	but
he	PP	he
struggled	VBD	struggle
to	TO	to
get	VB	get
it	PP	it
out	RP	out
to	TO	to
people	NNS	people
.	SENT	.
That	DT	that
had	VBD	have
to	TO	to
be	VB	be
done	VBN	do
by	IN	by
other	JJ	other
people	NNS	people
.	SENT	.
It	PP	it
took	VBD	take
a	DT	a
long	JJ	long
time	NN	time
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
if	IN	if
we	PP	we
can	MD	can
actually	RB	actually
combine	VB	combine
both	DT	both
things	NNS	thing
,	,	,
where	WRB	where
we	PP	we
have	VBP	have
an	DT	an
innovation	NN	innovation
and	CC	and
invention	NN	invention
focus	NN	focus
,	,	,
plus	CC	plus
the	DT	the
ability	NN	ability
to	TO	to
really	RB	really
â	NP	<unknown>
a	DT	a
company	NN	company
that	WDT	that
can	MD	can
really	RB	really
commercialize	VB	commercialize
things	NNS	thing
and	CC	and
get	VB	get
them	PP	them
to	TO	to
people	NNS	people
in	IN	in
a	DT	a
way	NN	way
that	RB	that
'	POS	'
s	NNS	<unknown>
positive	JJ	positive
for	IN	for
the	DT	the
world	NN	world
and	CC	and
to	TO	to
give	VB	give
people	NNS	people
hope	VBP	hope
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
amazed	VBN	amaze
with	IN	with
the	DT	the
Loon	NP	Loon
Project	NP	Project
just	RB	just
how	WRB	how
excited	JJ	excited
people	NNS	people
were	VBD	be
about	RB	about
that	IN	that
,	,	,
because	IN	because
it	PP	it
gave	VBD	give
them	PP	them
hope	VBP	hope
for	IN	for
the	DT	the
two	CD	two
thirds	NNS	third
of	IN	of
the	DT	the
world	NN	world
that	IN	that
doesn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
Internet	NN	Internet
right	RB	right
now	RB	now
that	RB	that
'	''	'
s	VBG	<unknown>
any	DT	any
good	JJ	good
.	SENT	.
CR	NN	CR
:	:	:
Which	WDT	which
is	VBZ	be
a	DT	a
second	JJ	second
thing	NN	thing
about	IN	about
corporations	NNS	corporation
.	SENT	.
You	PP	you
are	VBP	be
one	CD	one
of	IN	of
those	DT	those
people	NNS	people
who	WP	who
believe	VBP	believe
that	IN	that
corporations	NNS	corporation
are	VBP	be
an	DT	an
agent	NN	agent
of	IN	of
change	NN	change
if	IN	if
they	PP	they
are	VBP	be
run	VBN	run
well	RB	well
.	SENT	.
LP	NP	LP
:	:	:
Yeah	RB	yeah
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
really	RB	really
dismayed	VBD	dismay
most	JJS	most
people	NNS	people
think	VBP	think
companies	NNS	company
are	VBP	be
basically	RB	basically
evil	JJ	evil
.	SENT	.
They	PP	they
get	VBP	get
a	DT	a
bad	JJ	bad
rap	NN	rap
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
somewhat	RB	somewhat
correct	JJ	correct
.	SENT	.
Companies	NNS	company
are	VBP	be
doing	VBG	do
the	DT	the
same	JJ	same
incremental	JJ	incremental
thing	NN	thing
that	IN	that
they	PP	they
did	VBD	do
50	CD	@card@
years	NNS	year
ago	RB	ago
or	CC	or
20	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
really	RB	really
what	WP	what
we	PP	we
need	VBP	need
.	SENT	.
We	PP	we
need	VBP	need
,	,	,
especially	RB	especially
in	IN	in
technology	NN	technology
,	,	,
we	PP	we
need	VBP	need
revolutionary	JJ	revolutionary
change	NN	change
,	,	,
not	RB	not
incremental	JJ	incremental
change	NN	change
.	SENT	.
CR	NN	CR
:	:	:
You	PP	you
once	RB	once
said	VBD	say
,	,	,
actually	RB	actually
,	,	,
as	IN	as
I	PP	I
think	VBP	think
I	PP	I
'	''	'
ve	NNS	<unknown>
got	VBD	get
this	DT	this
about	RB	about
right	JJ	right
,	,	,
that	IN	that
you	PP	you
might	MD	might
consider	VB	consider
,	,	,
rather	RB	rather
than	IN	than
giving	VBG	give
your	PP$	your
money	NN	money
,	,	,
if	IN	if
you	PP	you
were	VBD	be
leaving	VBG	leave
it	PP	it
to	TO	to
some	DT	some
cause	NN	cause
,	,	,
just	RB	just
simply	RB	simply
giving	VBG	give
it	PP	it
to	TO	to
Elon	NP	Elon
Musk	NN	musk
,	,	,
because	IN	because
you	PP	you
had	VBD	have
confidence	NN	confidence
that	IN	that
he	PP	he
would	MD	would
change	VB	change
the	DT	the
future	NN	future
,	,	,
and	CC	and
that	IN	that
you	PP	you
would	MD	would
therefore	RB	therefore
â	NP	<unknown>
LP	NP	LP
:	:	:
Yeah	RB	yeah
,	,	,
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
go	VB	go
Mars	NP	Mars
,	,	,
he	PP	he
wants	VBZ	want
to	TO	to
go	VB	go
to	TO	to
Mars	NP	Mars
,	,	,
to	TO	to
back	VB	back
up	RP	up
humanity	NN	humanity
,	,	,
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
worthy	JJ	worthy
goal	NN	goal
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
company	NN	company
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
philanthropical	JJ	philanthropical
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
we	PP	we
aim	VBP	aim
to	TO	to
do	VB	do
kind	NN	kind
of	IN	of
similar	JJ	similar
things	NNS	thing
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
,	,	,
you	PP	you
ask	VBP	ask
,	,	,
we	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
employees	NNS	employee
at	IN	at
Google	NP	<unknown>
who	WP	who
have	VBP	have
become	VBN	become
pretty	RB	pretty
wealthy	JJ	wealthy
.	SENT	.
People	NNS	people
make	VBP	make
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
in	IN	in
technology	NN	technology
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
in	IN	in
the	DT	the
room	NN	room
are	VBP	be
pretty	RB	pretty
wealthy	JJ	wealthy
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
working	VBG	work
because	IN	because
you	PP	you
want	VBP	want
to	TO	to
change	VB	change
the	DT	the
world	NN	world
.	SENT	.
You	PP	you
want	VBP	want
to	TO	to
make	VB	make
it	PP	it
better	JJR	good
.	SENT	.
Why	WRB	why
isn	NP	isn
'	POS	'
t	NN	t
the	DT	the
company	NN	company
that	IN	that
you	PP	you
work	VBP	work
for	IN	for
worthy	JJ	worthy
not	RB	not
just	RB	just
of	IN	of
your	PP$	your
time	NN	time
but	CC	but
your	PP$	your
money	NN	money
as	IN	as
well	RB	well
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
but	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
concept	NN	concept
of	IN	of
that	DT	that
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
not	RB	not
how	WRB	how
we	PP	we
think	VBP	think
about	IN	about
companies	NNS	company
,	,	,
and	CC	and
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
sad	JJ	sad
,	,	,
because	IN	because
companies	NNS	company
are	VBP	be
most	JJS	most
of	IN	of
our	PP$	our
effort	NN	effort
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
where	WRB	where
most	JJS	most
of	IN	of
people	NNS	people
'	POS	'
s	NN	S
time	NN	time
is	VBZ	be
,	,	,
where	WRB	where
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
money	NN	money
is	VBZ	be
,	,	,
and	CC	and
so	RB	so
I	PP	I
think	VBP	think
I	PP	I
'	''	'
d	NN	d
like	IN	like
for	IN	for
us	PP	us
to	TO	to
help	VB	help
out	RP	out
more	JJR	more
than	IN	than
we	PP	we
are	VBP	be
.	SENT	.
CR	NN	CR
:	:	:
When	WRB	when
I	PP	I
close	VBP	close
conversations	NNS	conversation
with	IN	with
lots	NNS	lot
of	IN	of
people	NNS	people
,	,	,
I	PP	I
always	RB	always
ask	VBP	ask
this	DT	this
question	NN	question
:	:	:
What	WP	what
state	NN	state
of	IN	of
mind	NN	mind
,	,	,
what	WP	what
quality	NN	quality
of	IN	of
mind	NN	mind
is	VBZ	be
it	PP	it
that	RB	that
has	VBZ	have
served	VBN	serve
you	PP	you
best	RBS	well
?	SENT	?
People	NNS	people
like	IN	like
Rupert	NP	Rupert
Murdoch	NP	Murdoch
have	VBP	have
said	VBN	say
curiosity	NN	curiosity
,	,	,
and	CC	and
other	JJ	other
people	NNS	people
in	IN	in
the	DT	the
media	NNS	medium
have	VBP	have
said	VBN	say
that	RB	that
.	SENT	.
Bill	NP	Bill
Gates	NP	Gates
and	CC	and
Warren	NP	Warren
Buffett	NP	Buffett
have	VBP	have
said	VBN	say
focus	NN	focus
.	SENT	.
What	WP	what
quality	NN	quality
of	IN	of
mind	NN	mind
,	,	,
as	IN	as
I	PP	I
leave	VBP	leave
this	DT	this
audience	NN	audience
,	,	,
has	VBZ	have
enabled	VBN	enable
you	PP	you
to	TO	to
think	VB	think
about	IN	about
the	DT	the
future	NN	future
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
change	VB	change
the	DT	the
present	NN	present
?	SENT	?
LP	NP	LP
:	:	:
You	PP	you
know	VBP	know
,	,	,
I	PP	I
think	VBP	think
the	DT	the
most	RBS	most
important	JJ	important
thing	NN	thing
â	NP	<unknown>
I	NP	I
looked	VBD	look
at	IN	at
lots	NNS	lot
of	IN	of
companies	NNS	company
and	CC	and
why	WRB	why
I	PP	I
thought	VBD	think
they	PP	they
don	NN	don
'	POS	'
t	NN	t
succeed	VB	succeed
over	IN	over
time	NN	time
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
more	RBR	more
rapid	JJ	rapid
turnover	NN	turnover
of	IN	of
companies	NNS	company
.	SENT	.
And	CC	and
I	PP	I
said	VBD	say
,	,	,
what	WP	what
did	VBD	do
they	PP	they
fundamentally	RB	fundamentally
do	VBP	do
wrong	JJ	wrong
?	SENT	?
What	WP	what
did	VBD	do
those	DT	those
companies	NNS	company
all	RB	all
do	VBP	do
wrong	JJ	wrong
?	SENT	?
And	CC	and
usually	RB	usually
it	PP	it
'	POS	'
s	NN	S
just	RB	just
that	IN	that
they	PP	they
missed	VBD	miss
the	DT	the
future	NN	future
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
think	VBP	think
,	,	,
for	IN	for
me	PP	me
,	,	,
I	PP	I
just	RB	just
try	VBP	try
to	TO	to
focus	VB	focus
on	IN	on
that	DT	that
and	CC	and
say	VBP	say
,	,	,
what	WP	what
is	VBZ	be
that	DT	that
future	NN	future
really	RB	really
going	VBG	go
to	TO	to
be	VB	be
and	CC	and
how	WRB	how
do	VBP	do
we	PP	we
create	VB	create
it	PP	it
,	,	,
and	CC	and
how	WRB	how
do	VBP	do
we	PP	we
cause	VB	cause
our	PP$	our
organization	NN	organization
,	,	,
to	TO	to
really	RB	really
focus	VB	focus
on	IN	on
that	DT	that
and	CC	and
drive	VBP	drive
that	IN	that
at	IN	at
a	DT	a
really	RB	really
high	JJ	high
rate	NN	rate
?	SENT	?
And	CC	and
so	RB	so
that	RB	that
'	''	'
s	RB	<unknown>
been	VBN	be
curiosity	NN	curiosity
,	,	,
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
looking	VBG	look
at	IN	at
things	NNS	thing
people	NNS	people
might	MD	might
not	RB	not
think	VB	think
about	RB	about
,	,	,
working	VBG	work
on	IN	on
things	NNS	thing
that	IN	that
no	DT	no
one	CD	one
else	RB	else
is	VBZ	be
working	VBG	work
on	RP	on
,	,	,
because	IN	because
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
additionality	NN	<unknown>
really	RB	really
is	VBZ	be
,	,	,
and	CC	and
be	VB	be
willing	JJ	willing
to	TO	to
do	VB	do
that	IN	that
,	,	,
to	TO	to
take	VB	take
that	DT	that
risk	NN	risk
.	SENT	.
Look	VB	look
at	IN	at
Android	NN	android
.	SENT	.
I	PP	I
felt	VBD	feel
guilty	JJ	guilty
about	IN	about
working	VBG	work
on	IN	on
Android	NN	android
when	WRB	when
it	PP	it
was	VBD	be
starting	VBG	start
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
little	JJ	little
startup	NN	startup
we	PP	we
bought	VBD	buy
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
really	RB	really
what	WP	what
we	PP	we
were	VBD	be
really	RB	really
working	VBG	work
on	IN	on
.	SENT	.
And	CC	and
I	PP	I
felt	VBD	feel
guilty	JJ	guilty
about	IN	about
spending	VBG	spend
time	NN	time
on	IN	on
that	DT	that
.	SENT	.
That	DT	that
was	VBD	be
stupid	JJ	stupid
.	SENT	.
That	DT	that
was	VBD	be
the	DT	the
future	NN	future
,	,	,
right	RB	right
?	SENT	?
That	DT	that
was	VBD	be
a	DT	a
good	JJ	good
thing	NN	thing
to	TO	to
be	VB	be
working	VBG	work
on	IN	on
.	SENT	.
CR	NN	CR
:	:	:
It	PP	it
is	VBZ	be
great	JJ	great
to	TO	to
see	VB	see
you	PP	you
here	RB	here
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
great	JJ	great
to	TO	to
hear	VB	hear
from	IN	from
you	PP	you
,	,	,
and	CC	and
a	DT	a
pleasure	NN	pleasure
to	TO	to
sit	VB	sit
at	IN	at
this	DT	this
table	NN	table
with	IN	with
you	PP	you
.	SENT	.
Thanks	NNS	thanks
,	,	,
Larry	NP	Larry
.	SENT	.
LP	NP	LP
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
CR	NN	CR
:	:	:
Larry	NP	Larry
Page	NP	Page
.	SENT	.
