Diminish	VB	diminish
You	PP	you
can	MD	can
always	RB	always
find	VB	find
me	PP	me
at	IN	at
my	PP$	my
other	JJ	other
job	NN	job
as	IN	as
host	NN	host
of	IN	of
NPR	NP	NPR
'	POS	'
s	NNS	<unknown>
TED	VBP	ted
Radio	NP	Radio
Hour	NN	hour
.	SENT	.
Oh	UH	oh
yeah	RB	yeah
.	SENT	.
You	PP	you
can	MD	can
also	RB	also
email	VB	<unknown>
me	PP	me
any	DT	any
time	NN	time
at	IN	at
Zig-Zag	NN	zig-zag
at	IN	at
Stable	JJ	stable
Dotcom	NP	<unknown>
.	SENT	.
Tell	VB	tell
me	PP	me
how	WRB	how
this	DT	this
Zig-Zag	NN	zig-zag
project	NN	project
thing	NN	thing
is	VBZ	be
going	VBG	go
for	IN	for
you	PP	you
.	SENT	.
Many	JJ	many
thanks	NNS	thanks
to	TO	to
audio	JJ	audio
engineers	NNS	engineer
and	CC	and
composers	NNS	composer
David	NP	David
Herman	NP	Herman
and	CC	and
Dan	NP	Dan
Tesla	NN	tesla
,	,	,
to	TO	to
Lauren	NP	Lauren
Reimer	NP	Reimer
for	IN	for
this	DT	this
season	NN	season
'	POS	'
s	NN	S
illustration	NN	illustration
,	,	,
Zig-Zag	NN	zig-zag
as	IN	as
a	DT	a
member	NN	member
of	IN	of
the	DT	the
TED	VBP	ted
Audio	JJ	audio
Collective	JJ	collective
and	CC	and
comes	VBZ	come
from	IN	from
Stable	JJ	stable
Genius	NN	genius
Productions	NP	Productions
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
newcomer	NN	newcomer
and	CC	and
thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
listening	VBG	listen
.	SENT	.
