Sheryl	NP	Sheryl
slip	NN	slip
in	IN	in
it	PP	it
.	SENT	.
And	CC	and
so	RB	so
,	,	,
I	PP	I
run	VBP	run
on	IN	on
these	DT	these
,	,	,
and	CC	and
have	VBP	have
shocked	VBN	shock
half	PDT	half
the	DT	the
world	NN	world
on	IN	on
these	DT	these
.	SENT	.
These	DT	these
are	VBP	be
supposed	VBN	suppose
to	TO	to
simulate	VB	simulate
the	DT	the
actual	JJ	actual
form	NN	form
of	IN	of
a	DT	a
sprinter	NN	sprinter
when	WRB	when
they	PP	they
run	VBP	run
.	SENT	.
If	IN	if
you	PP	you
ever	RB	ever
watch	VBP	watch
a	DT	a
sprinter	NN	sprinter
,	,	,
the	DT	the
ball	NN	ball
of	IN	of
their	PP$	their
foot	NN	foot
is	VBZ	be
the	DT	the
only	JJ	only
thing	NN	thing
that	WDT	that
ever	RB	ever
hits	VBZ	hit
the	DT	the
track	NN	track
.	SENT	.
So	RB	so
when	WRB	when
I	PP	I
stand	VBP	stand
in	IN	in
these	DT	these
legs	NNS	leg
,	,	,
my	PP$	my
hamstring	NN	hamstring
and	CC	and
my	PP$	my
glutes	NNS	glute
are	VBP	be
contracted	VBN	contract
,	,	,
as	IN	as
they	PP	they
would	MD	would
be	VB	be
had	VBN	have
I	PP	I
had	VBD	have
feet	NNS	foot
and	CC	and
were	VBD	be
standing	VBG	stand
on	IN	on
the	DT	the
ball	NN	ball
of	IN	of
my	PP$	my
feet	NNS	foot
.	SENT	.
AM	NP	AM
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
company	NN	company
in	IN	in
San	NP	San
Diego	NP	Diego
called	VBD	call
Flex-Foot	NN	<unknown>
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
a	DT	a
guinea	NN	guinea
pig	NN	pig
,	,	,
as	IN	as
I	PP	I
hope	VBP	hope
to	TO	to
continue	VB	continue
to	TO	to
be	VB	be
in	IN	in
every	DT	every
new	JJ	new
form	NN	form
of	IN	of
prosthetic	JJ	prosthetic
limbs	NNS	limb
that	WDT	that
come	VBP	come
out	RP	out
.	SENT	.
But	CC	but
actually	RB	actually
these	DT	these
,	,	,
like	IN	like
I	PP	I
said	VBD	say
,	,	,
are	VBP	be
still	RB	still
the	DT	the
actual	JJ	actual
prototype	NN	prototype
.	SENT	.
I	PP	I
need	VBP	need
to	TO	to
get	VB	get
some	DT	some
new	JJ	new
ones	NNS	one
because	IN	because
the	DT	the
last	JJ	last
meet	NN	meet
I	PP	I
was	VBD	be
at	IN	at
,	,	,
they	PP	they
were	VBD	be
everywhere	RB	everywhere
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
big	JJ	big
â	NP	<unknown>
it	PP	it
'	POS	'
s	NNS	<unknown>
come	VBP	come
full	JJ	full
circle	NN	circle
.	SENT	.
Moderator	NN	moderator
:	:	:
Aimee	NP	Aimee
and	CC	and
the	DT	the
designer	NN	designer
of	IN	of
them	PP	them
will	MD	will
be	VB	be
at	IN	at
TEDMED	NP	<unknown>
2	CD	@card@
,	,	,
and	CC	and
we	PP	we
'	POS	'
ll	JJ	<unknown>
talk	NN	talk
about	IN	about
the	DT	the
design	NN	design
of	IN	of
them	PP	them
.	SENT	.
AM	NP	AM
:	:	:
Yes	UH	yes
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
do	VBP	do
that	DT	that
.	SENT	.
SS	NP	SS
:	:	:
Yes	UH	yes
,	,	,
there	RB	there
you	PP	you
go	VBP	go
.	SENT	.
AM	NP	AM
:	:	:
So	RB	so
,	,	,
these	DT	these
are	VBP	be
the	DT	the
sprint	NN	sprint
legs	NNS	leg
,	,	,
and	CC	and
I	PP	I
can	MD	can
put	VB	put
my	PP$	my
other	JJ	other
.	SENT	.
.	SENT	.
.	SENT	.
SS	NP	SS
:	:	:
Can	MD	can
you	PP	you
tell	VB	tell
about	RB	about
who	WP	who
designed	VBD	design
your	PP$	your
other	JJ	other
legs	NNS	leg
?	SENT	?
AM	NP	AM
:	:	:
Yes	UH	yes
.	SENT	.
These	DT	these
I	PP	I
got	VBD	get
in	IN	in
a	DT	a
place	NN	place
called	VBN	call
Bournemouth	NP	Bournemouth
,	,	,
England	NP	England
,	,	,
about	RB	about
two	CD	two
hours	NNS	hour
south	RB	south
of	IN	of
London	NP	London
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
the	DT	the
only	JJ	only
person	NN	person
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
with	IN	with
these	DT	these
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
crime	NN	crime
because	IN	because
they	PP	they
are	VBP	be
so	RB	so
beautiful	JJ	beautiful
.	SENT	.
And	CC	and
I	PP	I
don	NN	don
'	POS	'
t	NN	t
even	RB	even
mean	VB	mean
,	,	,
like	VB	like
,	,	,
because	IN	because
of	IN	of
the	DT	the
toes	NNS	toe
and	CC	and
everything	NN	everything
.	SENT	.
For	IN	for
me	PP	me
,	,	,
while	IN	while
I	PP	I
'	''	'
m	NN	m
such	PDT	such
a	DT	a
serious	JJ	serious
athlete	NN	athlete
on	IN	on
the	DT	the
track	NN	track
,	,	,
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
feminine	JJ	feminine
off	IN	off
the	DT	the
track	NN	track
,	,	,
and	CC	and
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
so	RB	so
important	JJ	important
not	RB	not
to	TO	to
be	VB	be
limited	VBN	limit
in	IN	in
any	DT	any
capacity	NN	capacity
,	,	,
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
,	,	,
you	PP	you
know	VBP	know
,	,	,
your	PP$	your
mobility	NN	mobility
or	CC	or
even	RB	even
fashion	NN	fashion
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
love	VBP	love
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
can	MD	can
go	VB	go
in	IN	in
anywhere	RB	anywhere
and	CC	and
pick	VB	pick
out	RP	out
what	WP	what
I	PP	I
want	VBP	want
â	NP	<unknown>
the	DT	the
shoes	NNS	shoe
I	PP	I
want	VBP	want
,	,	,
the	DT	the
skirts	NNS	skirt
I	PP	I
want	VBP	want
â	NP	<unknown>
and	CC	and
I	NP	I
'	POS	'
m	NN	m
hoping	VBG	hope
to	TO	to
try	VB	try
to	TO	to
bring	VB	bring
these	DT	these
over	IN	over
here	RB	here
and	CC	and
make	VB	make
them	PP	them
accessible	JJ	accessible
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
also	RB	also
silicon	NN	silicon
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
really	RB	really
basic	JJ	basic
,	,	,
basic	JJ	basic
prosthetic	JJ	prosthetic
limb	NN	limb
under	IN	under
here	RB	here
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
Barbie	NP	Barbie
foot	NN	foot
under	IN	under
this	DT	this
.	SENT	.
It	PP	it
is	VBZ	be
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
stuck	VBN	stick
in	IN	in
this	DT	this
position	NN	position
,	,	,
so	RB	so
I	PP	I
have	VBP	have
to	TO	to
wear	VB	wear
a	DT	a
two-inch	JJ	two-inch
heel	NN	heel
.	SENT	.
And	CC	and
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
'	POS	'
s	NN	S
really	RB	really
â	NP	<unknown>
let	VBD	let
me	PP	me
take	VB	take
this	DT	this
off	RB	off
so	RB	so
you	PP	you
can	MD	can
see	VB	see
it	PP	it
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
how	WRB	how
good	JJ	good
you	PP	you
can	MD	can
see	VB	see
it	PP	it
,	,	,
but	CC	but
,	,	,
like	IN	like
,	,	,
it	PP	it
really	RB	really
is	VBZ	be
.	SENT	.
There	EX	there
'	''	'
re	IN	re
veins	NNS	vein
on	IN	on
the	DT	the
feet	NNS	foot
,	,	,
and	CC	and
then	RB	then
my	PP$	my
heel	NN	heel
is	VBZ	be
pink	JJ	pink
,	,	,
and	CC	and
my	PP$	my
Achilles	NP	Achilles
'	POS	'
tendon	NN	tendon
â	NP	<unknown>
that	WDT	that
moves	VBZ	move
a	DT	a
little	JJ	little
bit	NN	bit
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
really	RB	really
an	DT	an
amazing	JJ	amazing
store	NN	store
.	SENT	.
I	PP	I
got	VBD	get
them	PP	them
a	DT	a
year	NN	year
and	CC	and
two	CD	two
weeks	NNS	week
ago	RB	ago
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
just	RB	just
a	DT	a
silicon	NN	silicon
piece	NN	piece
of	IN	of
skin	NN	skin
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
what	WDT	what
happened	VBD	happen
was	VBD	be
,	,	,
two	CD	two
years	NNS	year
ago	RB	ago
this	DT	this
man	NN	man
in	IN	in
Belgium	NP	Belgium
was	VBD	be
saying	VBG	say
,	,	,
"	''	"
God	NP	God
,	,	,
if	IN	if
I	PP	I
can	MD	can
go	VB	go
to	TO	to
Madame	NN	Madame
Tussauds	NP	<unknown>
'	POS	'
wax	NN	wax
museum	NN	museum
and	CC	and
see	VB	see
Jerry	NP	Jerry
Hall	NP	Hall
replicated	VBD	replicate
down	RP	down
to	TO	to
the	DT	the
color	NN	color
of	IN	of
her	PP$	her
eyes	NNS	eye
,	,	,
looking	VBG	look
so	RB	so
real	JJ	real
as	RB	as
if	IN	if
she	PP	she
breathed	VBD	breathe
,	,	,
why	WRB	why
can	NN	can
'	POS	'
t	NN	t
they	PP	they
build	VBP	build
a	DT	a
limb	NN	limb
for	IN	for
someone	NN	someone
that	WDT	that
looks	VBZ	look
like	IN	like
a	DT	a
leg	NN	leg
,	,	,
or	CC	or
an	DT	an
arm	NN	arm
,	,	,
or	CC	or
a	DT	a
hand	NN	hand
?	SENT	?
"	``	"
I	PP	I
mean	VBP	mean
,	,	,
they	PP	they
make	VBP	make
ears	NNS	ear
for	IN	for
burn	NN	burn
victims	NNS	victim
.	SENT	.
They	PP	they
do	VBP	do
amazing	JJ	amazing
stuff	NN	stuff
with	IN	with
silicon	NN	silicon
.	SENT	.
SS	NP	SS
:	:	:
Two	CD	two
weeks	NNS	week
ago	RB	ago
,	,	,
Aimee	NP	Aimee
was	VBD	be
up	RB	up
for	IN	for
the	DT	the
Arthur	NP	Arthur
Ashe	NP	Ashe
award	NN	award
at	IN	at
the	DT	the
ESPYs	NP	<unknown>
.	SENT	.
And	CC	and
she	PP	she
came	VBD	come
into	IN	into
town	NN	town
and	CC	and
she	PP	she
rushed	VBD	rush
around	RP	around
and	CC	and
she	PP	she
said	VBD	say
,	,	,
"	``	"
I	PP	I
have	VBP	have
to	TO	to
buy	VB	buy
some	DT	some
new	JJ	new
shoes	NNS	shoe
!	SENT	!
"	``	"
We	PP	we
'	''	'
re	IN	re
an	DT	an
hour	NN	hour
before	IN	before
the	DT	the
ESPYs	NP	<unknown>
,	,	,
and	CC	and
she	PP	she
thought	VBD	think
she	PP	she
'	''	'
d	SYM	d
gotten	VBN	get
a	DT	a
two-inch	JJ	two-inch
heel	NN	heel
but	CC	but
she	PP	she
'	POS	'
d	NN	d
actually	RB	actually
bought	VBD	buy
a	DT	a
three-inch	JJ	three-inch
heel	NN	heel
.	SENT	.
AM	NP	AM
:	:	:
And	CC	and
this	DT	this
poses	VBZ	pose
a	DT	a
problem	NN	problem
for	IN	for
me	PP	me
,	,	,
because	IN	because
it	PP	it
means	VBZ	mean
I	PP	I
'	''	'
m	NN	m
walking	VBG	walk
like	IN	like
that	IN	that
all	DT	all
night	NN	night
long	RB	long
.	SENT	.
SS	NP	SS
:	:	:
For	IN	for
45	CD	@card@
minutes	NNS	minute
.	SENT	.
Luckily	RB	luckily
,	,	,
the	DT	the
hotel	NN	hotel
was	VBD	be
terrific	JJ	terrific
.	SENT	.
They	PP	they
got	VBD	get
someone	NN	someone
to	TO	to
come	VB	come
in	RP	in
and	CC	and
saw	VBD	see
off	RP	off
the	DT	the
shoes	NNS	shoe
.	SENT	.
AM	NP	AM
:	:	:
I	PP	I
said	VBD	say
to	TO	to
the	DT	the
receptionist	NN	receptionist
â	NP	<unknown>
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
am	VBP	be
just	RB	just
harried	VBN	harry
,	,	,
and	CC	and
Sheryl	NP	Sheryl
'	POS	'
s	NN	S
at	IN	at
my	PP$	my
side	JJ	side
â	NP	<unknown>
I	PP	I
said	VBD	say
,	,	,
"	``	"
Look	VB	look
,	,	,
do	VBP	do
you	PP	you
have	VBP	have
anybody	NN	anybody
here	RB	here
who	WP	who
could	MD	could
help	VB	help
me	PP	me
?	SENT	?
Because	IN	because
I	PP	I
have	VBP	have
this	DT	this
problem	NN	problem
.	SENT	.
.	SENT	.
.	SENT	.
"	``	"
You	PP	you
know	VBP	know
,	,	,
at	IN	at
first	RB	first
they	PP	they
were	VBD	be
just	RB	just
going	VBG	go
to	TO	to
write	VB	write
me	PP	me
off	RP	off
,	,	,
like	VB	like
,	,	,
"	``	"
If	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
like	IN	like
your	PP$	your
shoes	NNS	shoe
,	,	,
sorry	RB	sorry
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
too	RB	too
late	RB	late
.	SENT	.
"	''	"
"	``	"
No	UH	no
,	,	,
no	UH	no
,	,	,
no	UH	no
,	,	,
no	UH	no
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
these	DT	these
special	JJ	special
feet	NNS	foot
that	WDT	that
need	VBP	need
a	DT	a
two-inch	JJ	two-inch
heel	NN	heel
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
three-inch	JJ	three-inch
heel	NN	heel
.	SENT	.
I	PP	I
need	VBP	need
a	DT	a
little	JJ	little
bit	NN	bit
off	RB	off
.	SENT	.
"	``	"
They	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
even	RB	even
want	VBP	want
to	TO	to
go	VB	go
there	RB	there
.	SENT	.
They	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
even	RB	even
want	VBP	want
to	TO	to
touch	VB	touch
that	IN	that
one	CD	one
.	SENT	.
They	PP	they
just	RB	just
did	VBD	do
it	PP	it
.	SENT	.
No	RB	no
,	,	,
these	DT	these
legs	NNS	leg
are	VBP	be
great	JJ	great
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
actually	RB	actually
going	VBG	go
back	RB	back
in	IN	in
a	DT	a
couple	NN	couple
of	IN	of
weeks	NNS	week
to	TO	to
get	VB	get
some	DT	some
improvements	NNS	improvement
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
get	VB	get
legs	NNS	leg
like	IN	like
these	DT	these
made	VBN	make
for	IN	for
flat	JJ	flat
feet	NNS	foot
so	IN	so
I	PP	I
can	MD	can
wear	VB	wear
sneakers	NN	sneakers
,	,	,
because	IN	because
I	PP	I
can	MD	can
'	''	'
t	NN	t
with	IN	with
these	DT	these
ones	NNS	one
.	SENT	.
So	RB	so
.	SENT	.
.	SENT	.
.	SENT	.
Moderator	NN	moderator
:	:	:
That	DT	that
'	''	'
s	VBG	<unknown>
it	PP	it
.	SENT	.
SS	NP	SS
:	:	:
That	WDT	that
'	POS	'
s	NN	S
Aimee	NP	Aimee
Mullins	NP	Mullins
.	SENT	.
