Lindsay	NP	Lindsay
a	DT	a
relatively	RB	relatively
new	JJ	new
CEO	NN	CEO
,	,	,
I	PP	I
have	VBP	have
a	DT	a
chance	NN	chance
to	TO	to
disrupt	VB	disrupt
structural	JJ	structural
biology	NN	biology
,	,	,
electron	NN	electron
microscopy	NN	microscopy
,	,	,
I	PP	I
have	VBP	have
a	DT	a
chance	NN	chance
to	TO	to
invent	VB	invent
medicines	NNS	medicine
and	CC	and
druggable	JJ	<unknown>
targets	NNS	target
that	WDT	that
were	VBD	be
never	RB	never
touched	VBN	touch
before	RB	before
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
chance	NN	chance
to	TO	to
take	VB	take
away	RP	away
the	DT	the
sort	NN	sort
of	IN	of
,	,	,
I	PP	I
should	MD	should
put	VB	put
it	PP	it
,	,	,
the	DT	the
heavy	JJ	heavy
lifting	NN	lifting
,	,	,
unglamorous	JJ	unglamorous
work	NN	work
that	IN	that
people	NNS	people
don	VB	don
'	''	'
t	NN	t
like	IN	like
doing	VBG	do
.	SENT	.
I	NP	I
'	POS	'
ve	NNS	<unknown>
a	DT	a
chance	NN	chance
to	TO	to
reinvent	VB	reinvent
everything	NN	everything
,	,	,
to	TO	to
do	VB	do
it	PP	it
more	RBR	more
efficiently	RB	efficiently
,	,	,
reinvest	VBP	reinvest
in	IN	in
R	NP	R
and	CC	and
D	NP	D
.	SENT	.
And	CC	and
I	PP	I
have	VBP	have
a	DT	a
chance	NN	chance
to	TO	to
get	VB	get
ahead	RB	ahead
of	IN	of
the	DT	the
competition	NN	competition
while	IN	while
they	PP	they
'	''	'
re	IN	re
all	DT	all
worrying	JJ	worrying
,	,	,
we	PP	we
have	VBP	have
governance	NN	governance
,	,	,
but	CC	but
every	DT	every
step	NN	step
forward	RB	forward
by	IN	by
us	PP	us
is	VBZ	be
a	DT	a
step	NN	step
of	IN	of
leaving	VBG	leave
behind	IN	behind
those	DT	those
that	WDT	that
are	VBP	be
overly	RB	overly
sensitive	JJ	sensitive
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
happy	JJ	happy
to	TO	to
share	NN	share
.	SENT	.
But	CC	but
we	PP	we
can	MD	can
do	VB	do
incredible	JJ	incredible
things	NNS	thing
for	IN	for
patients	NNS	patient
and	CC	and
for	IN	for
the	DT	the
people	NNS	people
in	IN	in
the	DT	the
company	NN	company
by	IN	by
being	VBG	be
more	JJR	more
bold	JJ	bold
about	IN	about
stepping	VBG	step
into	IN	into
the	DT	the
new	JJ	new
world	NN	world
.	SENT	.
LL	NP	LL
:	:	:
Your	PP$	your
passion	NN	passion
is	VBZ	be
infectious	JJ	infectious
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
,	,	,
Paul	NP	Paul
.	SENT	.
PH	NN	PH
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
