Once	RB	once
back	JJ	back
seat	NN	seat
anyway	RB	anyway
except	IN	except
for	IN	for
kids	NNS	kid
?	SENT	?
But	CC	but
essentially	RB	essentially
,	,	,
do	VBP	do
something	NN	something
like	IN	like
this	DT	this
,	,	,
which	WDT	which
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
exactly	RB	exactly
how	WRB	how
much	JJ	much
it	PP	it
would	MD	would
cost	VB	cost
to	TO	to
do	VB	do
,	,	,
but	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
reason	NN	reason
I	PP	I
could	MD	could
see	VB	see
why	WRB	why
this	DT	this
should	MD	should
be	VB	be
much	RB	much
more	RBR	more
expensive	JJ	expensive
than	IN	than
a	DT	a
regular	JJ	regular
car	NN	car
seat	NN	seat
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
actually	RB	actually
—	:	-
you	PP	you
see	VBP	see
,	,	,
this	DT	this
is	VBZ	be
folding	VBG	fold
up	RP	up
—	:	-
it	PP	it
'	POS	'
s	NN	S
behind	IN	behind
the	DT	the
seat	NN	seat
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
regular	JJ	regular
seat	NN	seat
for	IN	for
adults	NNS	adult
,	,	,
and	CC	and
then	RB	then
you	PP	you
fold	VBP	fold
it	PP	it
down	RP	down
,	,	,
and	CC	and
the	DT	the
kid	NN	kid
sits	VBZ	sit
on	IN	on
top	NN	top
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
integrated	JJ	integrated
.	SENT	.
It	PP	it
seems	VBZ	seem
to	TO	to
me	PP	me
that	IN	that
this	DT	this
can	NN	can
'	POS	'
t	NN	t
be	VB	be
a	DT	a
very	RB	very
expensive	JJ	expensive
solution	NN	solution
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
to	TO	to
work	VB	work
better	JJR	good
than	IN	than
what	WP	what
we	PP	we
already	RB	already
have	VBP	have
.	SENT	.
So	IN	so
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
is	VBZ	be
there	RB	there
any	DT	any
hope	NN	hope
for	IN	for
adoption	NN	adoption
of	IN	of
something	NN	something
like	IN	like
this	DT	this
,	,	,
which	WDT	which
would	MD	would
presumably	RB	presumably
save	VB	save
a	DT	a
lot	NN	lot
of	IN	of
lives	NNS	life
?	SENT	?
And	CC	and
I	PP	I
think	VBP	think
the	DT	the
answer	NN	answer
,	,	,
perhaps	RB	perhaps
,	,	,
lies	VBZ	lie
in	IN	in
a	DT	a
story	NN	story
.	SENT	.
The	DT	the
answer	NN	answer
both	CC	both
to	TO	to
why	WRB	why
has	VBZ	have
a	DT	a
car	NN	car
seat	NN	seat
been	VBN	be
so	RB	so
successful	JJ	successful
,	,	,
and	CC	and
why	WRB	why
this	DT	this
may	MD	may
someday	RB	someday
be	VB	be
adopted	VBN	adopt
or	CC	or
not	RB	not
,	,	,
lies	VBZ	lie
in	IN	in
a	DT	a
story	NN	story
that	IN	that
my	PP$	my
dad	NN	dad
told	VBD	tell
me	PP	me
,	,	,
relating	VBG	relate
to	TO	to
when	WRB	when
he	PP	he
was	VBD	be
a	DT	a
doctor	NN	doctor
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
Air	NP	Air
Force	NP	Force
in	IN	in
England	NP	England
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
:	:	:
you	PP	you
were	VBD	be
allowed	VBN	allow
to	TO	to
do	VB	do
things	NNS	thing
then	RB	then
you	PP	you
can	MD	can
'	''	'
t	NN	t
do	VBP	do
today	NN	today
.	SENT	.
So	RB	so
,	,	,
my	PP$	my
father	NN	father
would	MD	would
have	VB	have
patients	NNS	patient
come	VBN	come
in	IN	in
who	WP	who
he	PP	he
thought	VBD	think
were	VBD	be
not	RB	not
really	RB	really
sick	JJ	sick
.	SENT	.
And	CC	and
he	PP	he
had	VBD	have
a	DT	a
big	JJ	big
jar	NN	jar
full	JJ	full
of	IN	of
placebo	NN	placebo
pills	NNS	pill
that	IN	that
he	PP	he
would	MD	would
give	VB	give
them	PP	them
,	,	,
and	CC	and
he	PP	he
'	POS	'
d	NN	d
say	VBP	say
,	,	,
"	''	"
Come	VBN	come
back	RB	back
in	IN	in
a	DT	a
week	NN	week
,	,	,
if	IN	if
you	PP	you
still	RB	still
feel	VBP	feel
lousy	JJ	lousy
.	SENT	.
"	``	"
OK	UH	OK
,	,	,
and	CC	and
most	JJS	most
of	IN	of
them	PP	them
would	MD	would
not	RB	not
come	VB	come
back	RB	back
,	,	,
but	CC	but
some	DT	some
of	IN	of
them	PP	them
would	MD	would
come	VB	come
back	RB	back
.	SENT	.
And	CC	and
when	WRB	when
they	PP	they
came	VBD	come
back	RB	back
,	,	,
he	PP	he
,	,	,
still	RB	still
convinced	VBD	convince
they	PP	they
were	VBD	be
not	RB	not
sick	JJ	sick
,	,	,
had	VBD	have
another	DT	another
jar	NN	jar
of	IN	of
pills	NNS	pill
.	SENT	.
In	IN	in
this	DT	this
jar	NN	jar
were	VBD	be
huge	JJ	huge
horse	NN	horse
pills	NNS	pill
.	SENT	.
They	PP	they
were	VBD	be
almost	RB	almost
impossible	JJ	impossible
to	TO	to
swallow	VB	swallow
.	SENT	.
And	CC	and
these	DT	these
,	,	,
to	TO	to
me	PP	me
,	,	,
are	VBP	be
the	DT	the
analogy	NN	analogy
for	IN	for
the	DT	the
car	NN	car
seats	NNS	seat
.	SENT	.
People	NNS	people
would	MD	would
look	VB	look
at	IN	at
these	DT	these
and	CC	and
say	VBP	say
,	,	,
"	''	"
Man	NP	Man
,	,	,
this	DT	this
thing	NN	thing
is	VBZ	be
so	RB	so
big	JJ	big
and	CC	and
so	RB	so
hard	JJ	hard
to	TO	to
swallow	VB	swallow
.	SENT	.
If	IN	if
this	DT	this
doesn	NN	<unknown>
'	POS	'
t	NN	t
make	VBP	make
me	PP	me
feel	VBP	feel
better	JJR	good
,	,	,
you	PP	you
know	VBP	know
,	,	,
what	WP	what
possibly	RB	possibly
could	MD	could
?	SENT	?
"	``	"
And	CC	and
it	PP	it
turned	VBD	turn
out	RP	out
that	IN	that
most	JJS	most
people	NNS	people
wouldn	NN	<unknown>
'	POS	'
t	NN	t
come	VBP	come
back	RB	back
,	,	,
because	IN	because
it	PP	it
worked	VBD	work
.	SENT	.
But	CC	but
every	DT	every
once	RB	once
in	IN	in
a	DT	a
while	NN	while
,	,	,
there	EX	there
was	VBD	be
still	RB	still
a	DT	a
patient	NN	patient
convinced	VBD	convince
that	IN	that
he	PP	he
was	VBD	be
sick	JJ	sick
,	,	,
and	CC	and
he	PP	he
'	POS	'
d	NN	d
come	VBP	come
back	RB	back
.	SENT	.
And	CC	and
my	PP$	my
dad	NN	dad
had	VBD	have
a	DT	a
third	JJ	third
jar	NN	jar
of	IN	of
pills	NNS	pill
.	SENT	.
And	CC	and
the	DT	the
jar	NN	jar
of	IN	of
pills	NNS	pill
he	PP	he
had	VBD	have
,	,	,
he	PP	he
said	VBD	say
,	,	,
were	VBD	be
the	DT	the
tiniest	JJS	tiny
little	JJ	little
pills	NNS	pill
he	PP	he
could	MD	could
find	VB	find
,	,	,
so	RB	so
small	JJ	small
you	PP	you
could	MD	could
barely	RB	barely
see	VB	see
them	PP	them
.	SENT	.
And	CC	and
he	PP	he
would	MD	would
say	VB	say
,	,	,
listen	VB	listen
,	,	,
I	PP	I
know	VBP	know
I	PP	I
gave	VBD	give
you	PP	you
that	IN	that
huge	JJ	huge
pill	NN	pill
,	,	,
that	WDT	that
complicated	JJ	complicated
,	,	,
hard-to-swallow	JJ	<unknown>
pill	NN	pill
before	IN	before
,	,	,
but	CC	but
now	RB	now
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
one	PP	one
that	IN	that
'	POS	'
s	NN	S
so	RB	so
potent	JJ	potent
,	,	,
that	WDT	that
is	VBZ	be
really	RB	really
tiny	JJ	tiny
and	CC	and
small	JJ	small
and	CC	and
almost	RB	almost
invisible	JJ	invisible
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
almost	RB	almost
like	IN	like
this	DT	this
thing	NN	thing
here	RB	here
,	,	,
which	WDT	which
you	PP	you
can	MD	can
'	''	'
t	NN	t
even	RB	even
see	VB	see
.	SENT	.
"	``	"
And	CC	and
it	PP	it
turned	VBD	turn
out	RP	out
that	IN	that
never	RB	never
,	,	,
in	IN	in
all	PDT	all
the	DT	the
times	NNS	time
my	PP$	my
dad	NN	dad
gave	VBD	give
out	RP	out
this	DT	this
pill	NN	pill
,	,	,
the	DT	the
really	RB	really
tiny	JJ	tiny
pill	NN	pill
,	,	,
did	VBD	do
anyone	NN	anyone
ever	RB	ever
come	VBN	come
back	RB	back
still	RB	still
complaining	VBG	complain
of	IN	of
sickness	NN	sickness
.	SENT	.
So	RB	so
,	,	,
my	PP$	my
dad	NN	dad
always	RB	always
took	VBD	take
that	IN	that
as	IN	as
evidence	NN	evidence
that	IN	that
this	DT	this
little	JJ	little
,	,	,
teeny	JJ	teeny
,	,	,
powerful	JJ	powerful
pill	NN	pill
had	VBD	have
the	DT	the
ultimate	JJ	ultimate
placebo	NN	placebo
effect	NN	effect
.	SENT	.
And	CC	and
in	IN	in
some	DT	some
sense	NN	sense
,	,	,
if	IN	if
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
right	JJ	right
story	NN	story
,	,	,
I	PP	I
think	VBP	think
integrated	JJ	integrated
car	NN	car
seats	NNS	seat
you	PP	you
will	MD	will
see	VB	see
,	,	,
very	RB	very
quickly	RB	quickly
,	,	,
becoming	VBG	become
something	NN	something
that	IN	that
everyone	NN	everyone
has	VBZ	have
.	SENT	.
The	DT	the
other	JJ	other
possible	JJ	possible
conclusion	NN	conclusion
is	VBZ	be
,	,	,
well	RB	well
,	,	,
maybe	RB	maybe
after	IN	after
coming	VBG	come
to	TO	to
my	PP$	my
father	NN	father
three	CD	three
times	NNS	time
,	,	,
getting	VBG	get
sent	VBN	send
home	NN	home
with	IN	with
placebos	NNS	placebo
,	,	,
he	PP	he
still	RB	still
felt	VBD	feel
sick	JJ	sick
,	,	,
he	PP	he
went	VBD	go
and	CC	and
found	VBD	find
another	DT	another
doctor	NN	doctor
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
completely	RB	completely
possible	JJ	possible
.	SENT	.
And	CC	and
if	IN	if
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
case	NN	case
,	,	,
then	RB	then
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
stuck	VBN	stick
with	IN	with
conventional	JJ	conventional
car	NN	car
seats	NNS	seat
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
to	TO	to
come	VB	come
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Steven	NP	Steven
Levitt	NP	Levitt
:	:	:
Yeah	RB	yeah
,	,	,
that	IN	that
'	POS	'
s	NN	S
a	DT	a
great	JJ	great
question	NN	question
.	SENT	.
In	IN	in
my	PP$	my
data	NNS	datum
,	,	,
and	CC	and
in	IN	in
another	DT	another
data	NNS	datum
set	VB	set
I	PP	I
'	POS	'
ve	NN	ve
looked	VBD	look
at	IN	at
for	IN	for
New	NP	New
Jersey	NP	Jersey
crashes	VBZ	crash
,	,	,
I	PP	I
find	VBP	find
very	RB	very
small	JJ	small
differences	NNS	difference
in	IN	in
injury	NN	injury
.	SENT	.
So	RB	so
in	IN	in
this	DT	this
data	NNS	datum
,	,	,
it	PP	it
'	POS	'
s	NN	S
statistically	RB	statistically
insignificant	JJ	insignificant
differences	NNS	difference
in	IN	in
injury	NN	injury
between	IN	between
car	NN	car
seats	NNS	seat
and	CC	and
lap-and-shoulder	NN	lap-and-shoulder
belts	NNS	belt
.	SENT	.
In	IN	in
the	DT	the
New	NP	New
Jersey	NP	Jersey
data	NNS	datum
,	,	,
which	WDT	which
is	VBZ	be
different	JJ	different
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
fatal	JJ	fatal
crashes	NNS	crash
,	,	,
but	CC	but
all	DT	all
crashes	NNS	crash
in	IN	in
New	NP	New
Jersey	NP	Jersey
that	WDT	that
are	VBP	be
reported	VBN	report
,	,	,
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
there	EX	there
is	VBZ	be
a	DT	a
10	CD	@card@
percent	NN	percent
difference	NN	difference
in	IN	in
injuries	NNS	injury
,	,	,
but	CC	but
generally	RB	generally
they	PP	they
'	''	'
re	IN	re
the	DT	the
minor	JJ	minor
injuries	NNS	injury
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
,	,	,
I	PP	I
should	MD	should
say	VB	say
this	DT	this
as	IN	as
a	DT	a
disclaimer	NN	disclaimer
,	,	,
there	EX	there
is	VBZ	be
medical	JJ	medical
literature	NN	literature
that	WDT	that
is	VBZ	be
very	RB	very
difficult	JJ	difficult
to	TO	to
resolve	VB	resolve
with	IN	with
this	DT	this
other	JJ	other
data	NNS	datum
,	,	,
which	WDT	which
suggests	VBZ	suggest
that	IN	that
car	NN	car
seats	NNS	seat
are	VBP	be
dramatically	RB	dramatically
better	RBR	well
.	SENT	.
And	CC	and
they	PP	they
use	VBP	use
a	DT	a
completely	RB	completely
different	JJ	different
methodology	NN	methodology
that	WDT	that
involves	VBZ	involve
—	:	-
after	IN	after
the	DT	the
crash	NN	crash
occurs	VBZ	occur
,	,	,
they	PP	they
get	VBP	get
from	IN	from
the	DT	the
insurance	NN	insurance
companies	NNS	company
the	DT	the
names	NNS	name
of	IN	of
the	DT	the
people	NNS	people
who	WP	who
were	VBD	be
in	IN	in
the	DT	the
crash	NN	crash
,	,	,
and	CC	and
they	PP	they
call	VBP	call
them	PP	them
on	IN	on
the	DT	the
phone	NN	phone
,	,	,
and	CC	and
they	PP	they
asked	VBD	ask
them	PP	them
what	WP	what
happened	VBN	happen
.	SENT	.
And	CC	and
I	PP	I
really	RB	really
can	MD	can
'	''	'
t	NN	t
resolve	NN	resolve
,	,	,
yet	RB	yet
,	,	,
and	CC	and
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
work	VB	work
with	IN	with
these	DT	these
medical	JJ	medical
researchers	NNS	researcher
to	TO	to
try	VB	try
to	TO	to
understand	VB	understand
how	WRB	how
there	EX	there
can	MD	can
be	VB	be
these	DT	these
differences	NNS	difference
,	,	,
which	WDT	which
are	VBP	be
completely	RB	completely
at	IN	at
odds	NNS	odd
with	IN	with
one	CD	one
another	DT	another
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
obviously	RB	obviously
a	DT	a
critical	JJ	critical
question	NN	question
.	SENT	.
The	DT	the
question	NN	question
is	VBZ	be
even	RB	even
if	IN	if
—	:	-
are	VBP	be
there	RB	there
enough	RB	enough
serious	JJ	serious
injuries	NNS	injury
to	TO	to
make	VB	make
these	DT	these
cost-effective	JJ	cost-effective
?	SENT	?
It	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
tricky	JJ	tricky
.	SENT	.
Even	RB	even
if	IN	if
they	PP	they
'	POS	'
re	NN	re
right	NN	right
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
so	RB	so
clear	JJ	clear
that	IN	that
they	PP	they
'	POS	'
re	NN	re
so	RB	so
cost-effective	JJ	cost-effective
.	SENT	.
