Now	RB	now
northern	JJ	northern
Namibia	NP	Namibia
on	IN	on
the	DT	the
border	NN	border
of	IN	of
Angola	NP	Angola
,	,	,
and	CC	and
I	PP	I
'	POS	'
d	NN	d
been	VBN	be
there	RB	there
a	DT	a
few	JJ	few
times	NNS	time
before	RB	before
,	,	,
and	CC	and
I	PP	I
'	POS	'
d	NN	d
gone	VBN	go
back	RB	back
to	TO	to
present	VB	present
this	DT	this
book	NN	book
I	PP	I
'	POS	'
d	NN	d
made	VBD	make
,	,	,
to	TO	to
show	VB	show
them	PP	them
the	DT	the
pictures	NNS	picture
,	,	,
to	TO	to
get	VB	get
into	IN	into
a	DT	a
discussion	NN	discussion
with	IN	with
them	PP	them
,	,	,
to	TO	to
say	VB	say
,	,	,
"	``	"
This	DT	this
is	VBZ	be
how	WRB	how
I	PP	I
saw	VBD	see
you	PP	you
.	SENT	.
This	DT	this
is	VBZ	be
how	WRB	how
I	PP	I
love	VBP	love
you	PP	you
.	SENT	.
This	DT	this
is	VBZ	be
how	WRB	how
I	PP	I
respect	VBP	respect
you	PP	you
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
think	VBP	think
?	SENT	?
Am	VBP	be
I	PP	I
right	JJ	right
?	SENT	?
Am	VBP	be
I	PP	I
wrong	JJ	wrong
?	SENT	?
"	``	"
So	RB	so
I	PP	I
wanted	VBD	want
this	DT	this
debate	NN	debate
.	SENT	.
It	PP	it
was	VBD	be
very	RB	very
,	,	,
very	RB	very
,	,	,
very	RB	very
emotional	JJ	emotional
,	,	,
and	CC	and
one	CD	one
night	NN	night
we	PP	we
were	VBD	be
sitting	VBG	sit
around	RP	around
the	DT	the
campfire	NN	campfire
,	,	,
and	CC	and
I	PP	I
have	VBP	have
to	TO	to
be	VB	be
honest	JJ	honest
,	,	,
I	PP	I
think	VBP	think
I	PP	I
'	POS	'
d	NN	d
had	VBD	have
a	DT	a
little	JJ	little
bit	NN	bit
too	RB	too
much	JJ	much
to	TO	to
drink	VB	drink
,	,	,
and	CC	and
I	PP	I
was	VBD	be
sort	NN	sort
of	IN	of
sitting	VBG	sit
under	IN	under
the	DT	the
stars	NNS	star
going	VBG	go
,	,	,
"	``	"
This	DT	this
is	VBZ	be
great	JJ	great
,	,	,
you	PP	you
'	POS	'
ve	RB	<unknown>
seen	VBN	see
my	PP$	my
pictures	NNS	picture
,	,	,
we	PP	we
love	VBP	love
each	DT	each
other	JJ	other
.	SENT	.
"	``	"
And	CC	and
I	PP	I
'	POS	'
m	NN	m
a	DT	a
little	JJ	little
bit	NN	bit
slow	JJ	slow
,	,	,
and	CC	and
I	PP	I
looked	VBD	look
around	IN	around
me	PP	me
,	,	,
and	CC	and
I	PP	I
said	VBD	say
,	,	,
I	PP	I
thought	VBD	think
,	,	,
maybe	RB	maybe
,	,	,
the	DT	the
fence	NN	fence
is	VBZ	be
missing	VBG	miss
.	SENT	.
Wasn	NP	<unknown>
'	POS	'
t	NN	t
there	RB	there
a	DT	a
fence	NN	fence
here	RB	here
last	JJ	last
time	NN	time
I	PP	I
came	VBD	come
?	SENT	?
You	PP	you
know	VBP	know
,	,	,
this	DT	this
big	JJ	big
protective	JJ	protective
fence	NN	fence
around	IN	around
the	DT	the
village	NN	village
,	,	,
and	CC	and
they	PP	they
sort	VBP	sort
of	IN	of
looked	VBN	look
at	IN	at
me	PP	me
and	CC	and
go	VB	go
,	,	,
"	''	"
Yeah	RB	yeah
,	,	,
chief	JJ	chief
die	NN	die
.	SENT	.
"	``	"
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
okay	JJ	okay
,	,	,
chief	JJ	chief
dying	VBG	die
,	,	,
right	RB	right
,	,	,
you	PP	you
know	VBP	know
,	,	,
look	VBP	look
up	RP	up
at	IN	at
the	DT	the
stars	NNS	star
again	RB	again
,	,	,
look	VBP	look
at	IN	at
the	DT	the
campfire	NN	campfire
.	SENT	.
Chief	JJ	chief
die	NN	die
.	SENT	.
What	WP	what
on	IN	on
Earth	NP	Earth
does	VBZ	do
chief	JJ	chief
die	NN	die
have	VBP	have
to	TO	to
do	VB	do
with	IN	with
the	DT	the
fence	NN	fence
?	SENT	?
"	''	"
Chief	JJ	chief
die	NN	die
.	SENT	.
First	RB	first
we	PP	we
destroy	VBP	destroy
,	,	,
yeah	RB	yeah
?	SENT	?
Then	RB	then
we	PP	we
reflect	VBP	reflect
.	SENT	.
Then	RB	then
we	PP	we
rebuild	VB	rebuild
.	SENT	.
Then	RB	then
we	PP	we
respect	VB	respect
.	SENT	.
"	``	"
And	CC	and
I	PP	I
burst	VBD	burst
out	RP	out
in	IN	in
tears	NNS	tear
,	,	,
because	IN	because
my	PP$	my
father	NN	father
had	VBD	have
only	RB	only
just	RB	just
died	VBD	die
prior	RB	prior
to	TO	to
this	DT	this
journey	NN	journey
,	,	,
and	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
ever	RB	ever
acknowledge	VBP	acknowledge
him	PP	him
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
ever	RB	ever
appreciate	VB	appreciate
him	PP	him
for	IN	for
the	DT	the
fact	NN	fact
that	IN	that
I	NP	I
'	POS	'
m	NN	m
probably	RB	probably
standing	VBG	stand
here	RB	here
today	NN	today
because	IN	because
of	IN	of
him	PP	him
.	SENT	.
These	DT	these
people	NNS	people
taught	VBD	teach
me	PP	me
that	IN	that
we	PP	we
are	VBP	be
only	RB	only
who	WP	who
we	PP	we
are	VBP	be
because	IN	because
of	IN	of
our	PP$	our
parents	NNS	parent
and	CC	and
our	PP$	our
grandparents	NNS	grandparent
and	CC	and
our	PP$	our
forefathers	NNS	forefather
going	VBG	go
on	IN	on
and	CC	and
on	IN	on
and	CC	and
on	IN	on
before	IN	before
that	DT	that
,	,	,
and	CC	and
I	PP	I
,	,	,
no	DT	no
matter	NN	matter
how	WRB	how
romantic	JJ	romantic
or	CC	or
how	WRB	how
idealistic	JJ	idealistic
I	PP	I
am	VBP	be
on	IN	on
this	DT	this
journey	NN	journey
,	,	,
I	PP	I
did	VBD	do
not	RB	not
know	VB	know
that	IN	that
until	IN	until
two	CD	two
weeks	NNS	week
ago	RB	ago
.	SENT	.
I	PP	I
did	VBD	do
not	RB	not
know	VB	know
that	IN	that
until	IN	until
two	CD	two
weeks	NNS	week
ago	RB	ago
.	SENT	.
So	RB	so
what	WP	what
'	POS	'
s	NN	S
this	DT	this
all	RB	all
about	RB	about
?	SENT	?
Well	RB	well
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
image	NN	image
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
show	VB	show
you	PP	you
,	,	,
quite	RB	quite
a	DT	a
special	JJ	special
image	NN	image
,	,	,
and	CC	and
it	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
essentially	RB	essentially
the	DT	the
image	NN	image
I	PP	I
wanted	VBD	want
to	TO	to
choose	VB	choose
.	SENT	.
I	PP	I
was	VBD	be
sitting	VBG	sit
there	RB	there
the	DT	the
other	JJ	other
day	NN	day
,	,	,
and	CC	and
I	PP	I
have	VBP	have
to	TO	to
finish	VB	finish
on	IN	on
a	DT	a
strong	JJ	strong
image	NN	image
.	SENT	.
And	CC	and
somebody	NN	somebody
said	VBD	say
,	,	,
"	``	"
You	PP	you
have	VBP	have
to	TO	to
show	VB	show
them	PP	them
the	DT	the
picture	NN	picture
of	IN	of
the	DT	the
Nenets	NNS	<unknown>
.	SENT	.
The	DT	the
Nenets	NNS	<unknown>
.	SENT	.
"	``	"
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
yeah	RB	yeah
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NNS	<unknown>
not	RB	not
my	PP$	my
favorite	JJ	favorite
picture	NN	picture
.	SENT	.
She	PP	she
went	VBD	go
,	,	,
"	``	"
No	UH	no
no	UH	no
no	UH	no
no	UH	no
no	UH	no
no	UH	no
no	UH	no
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
amazing	JJ	amazing
picture	NN	picture
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
in	IN	in
his	PP$	his
eyes	NNS	eye
.	SENT	.
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
What	WP	what
do	VBP	do
you	PP	you
mean	VB	mean
I	PP	I
'	POS	'
m	NN	m
in	IN	in
his	PP$	his
eyes	NNS	eye
?	SENT	?
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
picture	NN	picture
of	IN	of
the	DT	the
Nenets	NNS	<unknown>
.	SENT	.
"	''	"
She	PP	she
said	VBD	say
,	,	,
"	``	"
No	UH	no
,	,	,
look	VB	look
,	,	,
look	VB	look
closely	RB	closely
,	,	,
you	PP	you
'	POS	'
re	NN	re
in	IN	in
his	PP$	his
eyes	NNS	eye
.	SENT	.
"	``	"
And	CC	and
when	WRB	when
you	PP	you
look	VBP	look
closely	RB	closely
at	IN	at
this	DT	this
picture	NN	picture
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
reflection	NN	reflection
of	IN	of
me	PP	me
in	IN	in
his	PP$	his
eyes	NNS	eye
,	,	,
so	RB	so
I	PP	I
think	VBP	think
perhaps	RB	perhaps
he	PP	he
has	VBZ	have
my	PP$	my
soul	NN	soul
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
in	IN	in
his	PP$	his
soul	NN	soul
,	,	,
and	CC	and
whilst	IN	whilst
these	DT	these
pictures	NNS	picture
look	VBP	look
at	IN	at
you	PP	you
,	,	,
I	PP	I
ask	VBP	ask
you	PP	you
to	TO	to
look	VB	look
at	IN	at
them	PP	them
.	SENT	.
You	PP	you
may	MD	may
not	RB	not
be	VB	be
reflected	VBN	reflect
in	IN	in
his	PP$	his
eyes	NNS	eye
,	,	,
but	CC	but
there	EX	there
is	VBZ	be
something	NN	something
extraordinarily	RB	extraordinarily
important	JJ	important
about	IN	about
these	DT	these
people	NNS	people
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
ultimately	RB	ultimately
have	VBP	have
the	DT	the
answers	NNS	answer
,	,	,
as	IN	as
I	PP	I
'	POS	'
ve	NN	ve
just	RB	just
shared	VBN	share
with	IN	with
you	PP	you
,	,	,
but	CC	but
you	PP	you
must	MD	must
do	VB	do
.	SENT	.
There	EX	there
must	MD	must
be	VB	be
something	NN	something
there	RB	there
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
can	MD	can
briefly	RB	briefly
reflect	VB	reflect
on	IN	on
what	WP	what
I	PP	I
was	VBD	be
discussing	VBG	discuss
about	IN	about
beauty	NN	beauty
and	CC	and
about	RB	about
belonging	VBG	belong
and	CC	and
about	RB	about
our	PP$	our
ancestors	NNS	ancestor
and	CC	and
our	PP$	our
roots	NNS	root
,	,	,
and	CC	and
I	PP	I
need	VBP	need
you	PP	you
all	DT	all
to	TO	to
stand	VB	stand
for	IN	for
me	PP	me
,	,	,
please	UH	please
.	SENT	.
Now	RB	now
you	PP	you
have	VBP	have
no	DT	no
excuse	NN	excuse
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
almost	RB	almost
lunchtime	NN	lunchtime
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
standing	NN	standing
ovation	NN	ovation
,	,	,
so	IN	so
don	NN	don
'	POS	'
t	NN	t
worry	NN	worry
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
fishing	VBG	fish
for	IN	for
compliments	NNS	compliment
.	SENT	.
But	CC	but
you	PP	you
were	VBD	be
given	VBN	give
a	DT	a
compliment	NN	compliment
a	DT	a
few	JJ	few
minutes	NNS	minute
ago	RB	ago
.	SENT	.
Now	RB	now
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
stand	VB	stand
tall	JJ	tall
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
breathe	VB	breathe
in	IN	in
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
I	PP	I
say	VBP	say
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
get	VB	get
on	IN	on
my	PP$	my
knees	NNS	knee
for	IN	for
two	CD	two
weeks	NNS	week
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
ask	VB	ask
you	PP	you
to	TO	to
carry	VB	carry
a	DT	a
goat	NN	goat
,	,	,
and	CC	and
I	PP	I
know	VBP	know
you	PP	you
don	VB	don
'	''	'
t	NN	t
have	VBP	have
any	DT	any
camels	NNS	camel
.	SENT	.
Photography	NP	Photography
'	POS	'
s	NN	S
extraordinarily	RB	extraordinarily
powerful	JJ	powerful
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
language	NN	language
which	WDT	which
we	PP	we
now	RB	now
all	RB	all
understand	VB	understand
.	SENT	.
We	PP	we
truly	RB	truly
do	VBP	do
all	RB	all
understand	VB	understand
it	PP	it
,	,	,
and	CC	and
we	PP	we
have	VBP	have
this	DT	this
global	JJ	global
digital	JJ	digital
fireplace	NN	fireplace
,	,	,
don	NN	don
'	POS	'
t	NN	t
we	PP	we
,	,	,
but	CC	but
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
you	PP	you
with	IN	with
the	DT	the
world	NN	world
,	,	,
because	IN	because
you	PP	you
are	VBP	be
also	RB	also
a	DT	a
tribe	NN	tribe
.	SENT	.
You	PP	you
are	VBP	be
the	DT	the
TED	VBP	ted
tribe	NN	tribe
,	,	,
yeah	RB	yeah
?	SENT	?
But	CC	but
you	PP	you
have	VBP	have
to	TO	to
remember	VB	remember
that	DT	that
compliment	NN	compliment
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
stand	VB	stand
tall	JJ	tall
,	,	,
breathe	VB	breathe
in	IN	in
through	IN	through
your	PP$	your
nose	NN	nose
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
photograph	VB	photograph
you	PP	you
.	SENT	.
Okay	JJ	okay
?	SENT	?
I	PP	I
need	VBP	need
to	TO	to
do	VB	do
a	DT	a
panoramic	JJ	panoramic
shot	NN	shot
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
take	VB	take
a	DT	a
minute	NN	minute
,	,	,
so	RB	so
you	PP	you
have	VBP	have
to	TO	to
concentrate	VB	concentrate
,	,	,
okay	JJ	okay
?	SENT	?
Breathe	VB	breathe
in	IN	in
,	,	,
stand	VB	stand
tall	JJ	tall
,	,	,
no	RB	no
laughing	VBG	laugh
.	SENT	.
Shh	NP	Shh
,	,	,
breathe	VBP	breathe
through	IN	through
your	PP$	your
nose	NN	nose
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
photograph	NN	photograph
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
