Anna	NP	Anna
,	,	,
this	DT	this
little	JJ	little
boy	NN	boy
.	SENT	.
So	IN	so
she	PP	she
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
to	TO	to
call	VB	call
them	PP	them
to	TO	to
help	VB	help
her	PP	her
in	IN	in
this	DT	this
situation	NN	situation
.	SENT	.
So	RB	so
she	PP	she
just	RB	just
endures	VBZ	endure
this	DT	this
abuse	NN	abuse
all	RB	all
on	IN	on
her	PP$	her
own	JJ	own
.	SENT	.
So	RB	so
what	WP	what
are	VBP	be
systems	NNS	system
we	PP	we
can	MD	can
think	VB	think
about	RB	about
in	IN	in
terms	NNS	term
of	IN	of
should	MD	should
there	RB	there
be	VB	be
other	JJ	other
people	NNS	people
we	PP	we
can	MD	can
call	VB	call
who	WP	who
are	VBP	be
not	RB	not
police	NN	police
officers	NNS	officer
?	SENT	?
Should	MD	should
there	RB	there
be	VB	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
more	JJR	more
support	NN	support
even	RB	even
for	IN	for
social	JJ	social
workers	NNS	worker
that	WDT	that
could	MD	could
come	VB	come
out	RP	out
?	SENT	?
That	IN	that
'	POS	'
s	JJ	<unknown>
something	NN	something
to	TO	to
think	VB	think
about	RB	about
and	CC	and
to	TO	to
reflect	VB	reflect
on	RP	on
.	SENT	.
And	CC	and
then	RB	then
as	IN	as
an	DT	an
example	NN	example
for	IN	for
Louise	NP	Louise
Little	NP	Little
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
all	RB	all
three	CD	three
of	IN	of
them	PP	them
have	VBP	have
these	DT	these
different	JJ	different
painful	JJ	painful
traumas	NNS	trauma
that	IN	that
they	PP	they
experience	VBP	experience
.	SENT	.
And	CC	and
for	IN	for
Louise	NP	Louise
,	,	,
one	CD	one
of	IN	of
the	DT	the
major	JJ	major
ones	NNS	one
is	VBZ	be
that	IN	that
she	PP	she
is	VBZ	be
put	VBN	put
in	IN	in
an	DT	an
institution	NN	institution
against	IN	against
her	PP$	her
will	NN	will
for	IN	for
25	CD	@card@
years	NNS	year
of	IN	of
her	PP$	her
life	NN	life
because	IN	because
she	PP	she
was	VBD	be
this	DT	this
activist	NN	activist
,	,	,
radical	JJ	radical
activist	NN	activist
,	,	,
who	WP	who
spoke	VBD	speak
up	RP	up
against	IN	against
white	JJ	white
supremacy	NN	supremacy
,	,	,
who	WP	who
stands	VBZ	stand
and	CC	and
faces-off	VBZ	face-off
with	IN	with
the	DT	the
KKK	NN	KKK
,	,	,
literally	RB	literally
.	SENT	.
And	CC	and
a	DT	a
white	JJ	white
male	JJ	male
physician	NN	physician
was	VBD	be
sent	VBN	send
to	TO	to
her	PP$	her
house	NN	house
to	TO	to
evaluate	VB	evaluate
her	PP	her
after	IN	after
her	PP$	her
husband	NN	husband
had	VBD	have
been	VBN	be
murdered	VBN	murder
.	SENT	.
And	CC	and
he	PP	he
concludes	VBZ	conclude
that	IN	that
she	PP	she
'	POS	'
s	JJ	<unknown>
experiencing	VBG	experience
dementia	NN	dementia
.	SENT	.
And	CC	and
in	IN	in
his	PP$	his
doctor	NN	doctor
'	POS	'
s	NN	S
note	NN	note
,	,	,
he	PP	he
says	VBZ	say
that	IN	that
she	PP	she
is	VBZ	be
,	,	,
quote	VB	quote
,	,	,
"	''	"
imagining	VBG	imagine
being	VBG	be
discriminated	VBN	discriminate
against	IN	against
.	SENT	.
"	''	"
"	``	"
Imagining	VBG	imagine
being	VBG	be
discriminated	VBN	discriminate
against	IN	against
"	``	"
as	IN	as
a	DT	a
Black	NP	Black
woman	NN	woman
,	,	,
Black	NP	Black
immigrant	NN	immigrant
woman	NN	woman
living	VBG	live
in	IN	in
the	DT	the
Midwest	NN	Midwest
,	,	,
and	CC	and
that	WDT	that
is	VBZ	be
enough	JJ	enough
to	TO	to
put	VB	put
her	PP	her
away	RP	away
in	IN	in
an	DT	an
institution	NN	institution
against	IN	against
her	PP$	her
will	NN	will
.	SENT	.
So	RB	so
in	IN	in
terms	NNS	term
of	IN	of
us	PP	us
thinking	VBG	think
about	IN	about
the	DT	the
biases	NNS	bias
that	IN	that
Black	NP	Black
women	NNS	woman
are	VBP	be
facing	VBG	face
when	WRB	when
they	PP	they
don	VBP	don
'	''	'
t	NN	t
ask	VB	ask
for	IN	for
help	NN	help
,	,	,
even	RB	even
,	,	,
and	CC	and
people	NNS	people
just	RB	just
decide	VBP	decide
they	PP	they
'	''	'
re	IN	re
going	VBG	go
to	TO	to
come	VB	come
in	RP	in
and	CC	and
evaluate	VB	evaluate
them	PP	them
,	,	,
especially	RB	especially
even	RB	even
when	WRB	when
they	PP	they
do	VBP	do
,	,	,
that	IN	that
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
misunderstood	VBN	misunderstand
,	,	,
that	IN	that
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
told	VBD	tell
they	PP	they
'	''	'
re	IN	re
imagining	VBG	imagine
things	NNS	thing
,	,	,
these	DT	these
are	VBP	be
things	NNS	thing
we	PP	we
need	VBP	need
to	TO	to
address	VB	address
.	SENT	.
So	RB	so
we	PP	we
also	RB	also
have	VB	have
to	TO	to
do	VB	do
an	DT	an
evaluation	NN	evaluation
of	IN	of
our	PP$	our
health	NN	health
care	NN	care
systems	NNS	system
and	CC	and
the	DT	the
biases	NNS	bias
that	WDT	that
still	RB	still
exist	VBP	exist
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
like	IN	like
this	DT	this
endless	JJ	endless
list	NN	list
,	,	,
and	CC	and
I	PP	I
definitely	RB	definitely
don	VBP	don
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
end	VB	end
on	IN	on
such	PDT	such
a	DT	a
heavy	JJ	heavy
and	CC	and
hard	JJ	hard
note	NN	note
.	SENT	.
But	CC	but
in	IN	in
that	DT	that
concluding	VBG	conclude
chapter	NN	chapter
,	,	,
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
"	``	"
Our	PP$	our
Lives	NNS	life
Will	MD	will
Not	RB	not
Be	VB	be
Erased	VBN	erase
,	,	,
"	''	"
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
I	PP	I
go	VBP	go
with	IN	with
it	PP	it
,	,	,
is	VBZ	be
policy	NN	policy
,	,	,
and	CC	and
what	WP	what
we	PP	we
can	MD	can
do	VB	do
.	SENT	.
Kind	NN	kind
of	IN	of
,	,	,
some	DT	some
tangible	JJ	tangible
next	JJ	next
steps	NNS	step
.	SENT	.
WPR	NP	WPR
:	:	:
Well	UH	well
,	,	,
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
so	IN	so
important	JJ	important
and	CC	and
so	RB	so
valuable	JJ	valuable
.	SENT	.
And	CC	and
to	TO	to
your	PP$	your
point	NN	point
of	IN	of
not	RB	not
ending	VBG	end
in	IN	in
such	PDT	such
a	DT	a
heavy	JJ	heavy
place	NN	place
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
guess	VBP	guess
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
feel	VBP	feel
,	,	,
though	RB	though
,	,	,
about	IN	about
the	DT	the
progress	NN	progress
we	PP	we
are	VBP	be
making	VBG	make
?	SENT	?
M	NP	M
.	SENT	.
Watson	NP	Watson
asks	VBZ	ask
,	,	,
do	VBP	do
you	PP	you
feel	VBP	feel
that	IN	that
the	DT	the
Black	NP	Black
women	NNS	woman
narrative	NN	narrative
is	VBZ	be
progressing	VBG	progress
?	SENT	?
AMT	NP	AMT
:	:	:
I	PP	I
am	VBP	be
an	DT	an
optimist	NN	optimist
,	,	,
and	CC	and
I	PP	I
often	RB	often
say	VBP	say
that	IN	that
my	PP$	my
optimism	NN	optimism
lies	VBZ	lie
in	IN	in
this	DT	this
incredible	JJ	incredible
activism	NN	activism
that	IN	that
Black	NP	Black
women	NNS	woman
have	VBP	have
held	VBN	hold
for	IN	for
so	RB	so
long	JJ	long
and	CC	and
we	PP	we
continue	VBP	continue
to	TO	to
envision	VB	envision
new	JJ	new
realities	NNS	reality
for	IN	for
this	DT	this
world	NN	world
.	SENT	.
And	CC	and
that	DT	that
makes	VBZ	make
me	PP	me
really	RB	really
hopeful	JJ	hopeful
.	SENT	.
To	TO	to
study	VB	study
Alberta	NP	Alberta
,	,	,
Berdis	NP	<unknown>
and	CC	and
Louise	NP	Louise
,	,	,
who	WP	who
again	RB	again
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
ancient	JJ	ancient
history	NN	history
.	SENT	.
Berdis	NNS	<unknown>
passed	VBD	pass
away	RB	away
in	IN	in
1999	CD	@card@
,	,	,
Louise	NP	Louise
passed	VBD	pass
away	RB	away
in	IN	in
1991	CD	@card@
.	SENT	.
So	IN	so
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
like	IN	like
ancient	JJ	ancient
ancient	JJ	ancient
history	NN	history
,	,	,
but	CC	but
they	PP	they
did	VBD	do
face	VB	face
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
that	IN	that
I	PP	I
no	RB	no
longer	RBR	longer
face	VB	face
as	IN	as
a	DT	a
result	NN	result
of	IN	of
their	PP$	their
work	NN	work
and	CC	and
a	DT	a
result	NN	result
of	IN	of
what	WP	what
they	PP	they
were	VBD	be
able	JJ	able
to	TO	to
accomplish	VB	accomplish
and	CC	and
how	WRB	how
they	PP	they
taught	VBD	teach
their	PP$	their
children	NNS	child
to	TO	to
accomplish	VB	accomplish
these	DT	these
things	NNS	thing
and	CC	and
change	VB	change
the	DT	the
world	NN	world
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
not	RB	not
the	DT	the
kind	NN	kind
of	IN	of
person	NN	person
who	WP	who
thinks	VBZ	think
we	PP	we
are	VBP	be
stuck	JJ	stuck
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
forward	JJ	forward
progress	NN	progress
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
made	VBD	make
.	SENT	.
I	PP	I
feel	VBP	feel
like	IN	like
that	WDT	that
would	MD	would
be	VB	be
really	RB	really
disrespectful	JJ	disrespectful
to	TO	to
them	PP	them
if	IN	if
I	PP	I
felt	VBD	feel
that	DT	that
way	NN	way
because	IN	because
they	PP	they
gave	VBD	give
as	RB	as
much	RB	much
as	IN	as
they	PP	they
could	MD	could
to	TO	to
that	DT	that
progression	NN	progression
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	VBG	<unknown>
my	PP$	my
turn	NN	turn
to	TO	to
carry	VB	carry
that	IN	that
forward	RB	forward
as	RB	as
well	RB	well
.	SENT	.
But	CC	but
what	WP	what
I	PP	I
do	VBP	do
hope	NN	hope
is	VBZ	be
that	IN	that
more	JJR	more
people	NNS	people
join	VB	join
us	PP	us
in	IN	in
this	DT	this
and	CC	and
that	DT	that
Black	NP	Black
women	NNS	woman
are	VBP	be
not	RB	not
continuing	VBG	continue
to	TO	to
have	VB	have
to	TO	to
do	VB	do
this	DT	this
on	IN	on
our	PP$	our
own	JJ	own
.	SENT	.
That	DT	that
more	JJR	more
people	NNS	people
will	MD	will
be	VB	be
aware	JJ	aware
of	IN	of
history	NN	history
,	,	,
I	PP	I
sound	VBP	sound
like	IN	like
a	DT	a
broken	VBN	break
record	NN	record
,	,	,
but	CC	but
be	VB	be
aware	JJ	aware
of	IN	of
history	NN	history
so	RB	so
that	IN	that
we	PP	we
can	MD	can
move	VB	move
forward	RB	forward
and	CC	and
fight	VB	fight
anything	NN	anything
that	WDT	that
tries	VBZ	try
to	TO	to
keep	VB	keep
us	PP	us
from	IN	from
telling	VBG	tell
accurate	JJ	accurate
and	CC	and
full	JJ	full
representations	NNS	representation
of	IN	of
our	PP$	our
country	NN	country
'	POS	'
s	NN	S
history	NN	history
.	SENT	.
Because	IN	because
I	PP	I
think	VBP	think
if	IN	if
we	PP	we
'	POS	'
re	NN	re
aware	JJ	aware
of	IN	of
it	PP	it
,	,	,
then	RB	then
we	PP	we
won	VBD	win
'	''	'
t	NN	t
want	VBP	want
to	TO	to
repeat	VB	repeat
it	PP	it
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
more	JJR	more
people	NNS	people
who	WP	who
will	MD	will
want	VB	want
to	TO	to
be	VB	be
allies	NNS	ally
in	IN	in
this	DT	this
fight	NN	fight
.	SENT	.
And	CC	and
in	IN	in
my	PP$	my
contribution	NN	contribution
to	TO	to
this	DT	this
,	,	,
I	PP	I
'	POS	'
m	NN	m
just	RB	just
hoping	VBG	hope
I	PP	I
'	POS	'
m	NN	m
giving	VBG	give
more	JJR	more
of	IN	of
us	PP	us
tools	VBZ	tool
to	TO	to
join	VB	join
the	DT	the
conversation	NN	conversation
and	CC	and
think	VB	think
about	RB	about
how	WRB	how
we	PP	we
can	MD	can
carry	VB	carry
it	PP	it
forward	RB	forward
.	SENT	.
[	SYM	[
Get	VB	get
access	NN	access
to	TO	to
thought	VBN	think
provoking	JJ	provoking
events	NNS	event
you	PP	you
won	VBD	win
'	''	'
t	NN	t
want	VBP	want
to	TO	to
miss	VB	miss
.	SENT	.
]	SYM	]
[	SYM	[
Become	VBN	become
a	DT	a
TED	VBP	ted
Member	NP	Member
at	IN	at
ted	VB	ted
.	SENT	.
com	NN	com
/	SYM	/
membership	NN	membership
]	SYM	]
