Monique	NP	Monique
.	SENT	.
And	CC	and
time	NN	time
and	CC	and
again	RB	again
,	,	,
I	PP	I
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
in	IN	in
the	DT	the
last	JJ	last
hour	NN	hour
of	IN	of
these	DT	these
two-and-a-half-day	JJ	<unknown>
retreats	NNS	retreat
,	,	,
they	PP	they
will	MD	will
all	RB	all
go	VB	go
in	IN	in
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
infectious	JJ	infectious
generosity	NN	generosity
.	SENT	.
Someone	NN	someone
says	VBZ	say
,	,	,
"	``	"
I	PP	I
'	POS	'
m	NN	m
in	IN	in
.	SENT	.
"	``	"
Someone	NN	someone
says	VBZ	say
,	,	,
"	``	"
Well	UH	well
,	,	,
then	RB	then
I	NP	I
'	POS	'
m	NN	m
in	IN	in
.	SENT	.
"	''	"
And	CC	and
literally	RB	literally
at	IN	at
the	DT	the
last	JJ	last
retreat	NN	retreat
,	,	,
this	DT	this
process	NN	process
raised	VBD	raise
more	JJR	more
than	IN	than
a	DT	a
billion	NN	billion
dollars	NNS	dollar
for	IN	for
10	CD	@card@
different	JJ	different
projects	NNS	project
that	WDT	that
were	VBD	be
all	RB	all
funded	VBN	fund
.	SENT	.
MRB	NP	MRB
:	:	:
So	IN	so
they	PP	they
'	POS	'
re	NN	re
not	RB	not
just	RB	just
getting	VBG	get
funding	NN	funding
for	IN	for
thousands	NNS	thousand
,	,	,
but	CC	but
millions	NNS	million
.	SENT	.
CA	MD	ca
:	:	:
Yeah	RB	yeah
,	,	,
typically	RB	typically
,	,	,
these	DT	these
projects	NNS	project
then	RB	then
have	VBP	have
funding	NN	funding
for	IN	for
the	DT	the
next	JJ	next
five	CD	five
years	NNS	year
,	,	,
you	PP	you
know	VBP	know
,	,	,
say	VBP	say
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
50	CD	@card@
or	CC	or
100	CD	@card@
million	CD	million
dollars-plus	NN	<unknown>
commitment	NN	commitment
over	IN	over
those	DT	those
five	CD	five
years	NNS	year
so	RB	so
they	PP	they
can	MD	can
get	VB	get
on	RP	on
and	CC	and
do	VB	do
the	DT	the
work	NN	work
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
bit	NN	bit
like	IN	like
a	DT	a
kind	NN	kind
of	IN	of
an	DT	an
IPO	NN	IPO
moment	NN	moment
for	IN	for
a	DT	a
nonprofit	JJ	nonprofit
.	SENT	.
And	CC	and
Monique	NP	Monique
,	,	,
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
so	RB	so
joyful	JJ	joyful
to	TO	to
see	VB	see
this	DT	this
take	VB	take
off	RP	off
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
in	IN	in
the	DT	the
online	JJ	online
world	NN	world
,	,	,
everything	NN	everything
either	CC	either
reaches	VBZ	reach
critical	JJ	critical
mass	NN	mass
and	CC	and
then	RB	then
lifts	NNS	lift
and	CC	and
you	PP	you
get	VBP	get
a	DT	a
positive	JJ	positive
cycle	NN	cycle
spinning	NN	spinning
or	CC	or
it	PP	it
fizzles	VBZ	fizzle
.	SENT	.
Here	RB	here
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
positive	JJ	positive
cycle	NN	cycle
spinning	NN	spinning
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
really	RB	really
so	RB	so
excited	JJ	excited
about	IN	about
it	PP	it
and	CC	and
where	WRB	where
it	PP	it
could	MD	could
lead	VB	lead
.	SENT	.
MRB	NP	MRB
:	:	:
It	PP	it
'	POS	'
s	NN	S
absolutely	RB	absolutely
amazing	JJ	amazing
that	IN	that
we	PP	we
get	VBP	get
to	TO	to
participate	VB	participate
in	IN	in
something	NN	something
like	IN	like
that	WDT	that
to	TO	to
change	VB	change
the	DT	the
world	NN	world
,	,	,
one	CD	one
idea	NN	idea
at	IN	at
a	DT	a
time	NN	time
,	,	,
right	RB	right
?	SENT	?
Final	JJ	final
question	NN	question
.	SENT	.
We	PP	we
just	RB	just
celebrated	VBD	celebrate
40	CD	@card@
years	NNS	year
.	SENT	.
What	WP	what
does	VBZ	do
the	DT	the
next	JJ	next
40	CD	@card@
years	NNS	year
of	IN	of
TED	VBP	ted
look	VB	look
like	IN	like
?	SENT	?
CA	MD	ca
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
shaped	VBN	shape
by	IN	by
ideas	NNS	idea
,	,	,
and	CC	and
many	JJ	many
of	IN	of
those	DT	those
ideas	NNS	idea
won	VBD	win
'	''	'
t	NN	t
be	VB	be
mine	JJ	mine
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
'	POS	'
m	NN	m
.	SENT	.
.	SENT	.
.	SENT	.
I	PP	I
think	VBP	think
I	PP	I
'	''	'
m	NN	m
67	CD	@card@
now	RB	now
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
67	CD	@card@
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ll	NN	ll
definitely	RB	definitely
be	VB	be
in	IN	in
the	DT	the
picture	NN	picture
for	IN	for
quite	PDT	quite
a	DT	a
while	NN	while
yet	RB	yet
,	,	,
dreaming	VBG	dream
,	,	,
doing	VBG	do
my	PP$	my
bit	NN	bit
to	TO	to
dream	VB	dream
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
so	IN	so
aware	JJ	aware
that	WDT	that
TED	VBP	ted
needs	NNS	need
to	TO	to
be	VB	be
made	VBN	make
ready	JJ	ready
for	IN	for
the	DT	the
next	JJ	next
generation	NN	generation
.	SENT	.
It	PP	it
needs	VBZ	need
to	TO	to
be	VB	be
carried	VBN	carry
forward	RB	forward
.	SENT	.
And	CC	and
ultimately	RB	ultimately
,	,	,
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
learned	VBD	learn
at	IN	at
TED	VBP	ted
again	RB	again
and	CC	and
again	RB	again
is	VBZ	be
that	IN	that
when	WRB	when
you	PP	you
let	VBP	let
go	VB	go
,	,	,
amazing	JJ	amazing
things	NNS	thing
happen	VBP	happen
.	SENT	.
TEDx	NP	<unknown>
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
that	WDT	that
is	VBZ	be
an	DT	an
astonishing	JJ	astonishing
,	,	,
an	DT	an
astonishing	JJ	astonishing
,	,	,
unexpected	JJ	unexpected
global	JJ	global
phenomenon	NN	phenomenon
.	SENT	.
MRB	NP	MRB
:	:	:
3	CD	@card@
,	,	,
000	CD	@card@
events	NNS	event
globally	RB	globally
.	SENT	.
CA	MD	ca
:	:	:
Which	WDT	which
happened	VBD	happen
because	IN	because
we	PP	we
let	VBP	let
go	VB	go
.	SENT	.
We	PP	we
said	VBD	say
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
do	VBP	do
have	VB	have
opinions	NNS	opinion
on	IN	on
how	WRB	how
you	PP	you
should	MD	should
do	VB	do
a	DT	a
TED	VBP	ted
event	NN	event
,	,	,
but	CC	but
you	PP	you
know	VBP	know
what	WP	what
?	SENT	?
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
trust	VB	trust
you	PP	you
to	TO	to
do	VB	do
them	PP	them
.	SENT	.
Thank	VB	thank
you	PP	you
for	IN	for
listening	VBG	listen
to	TO	to
our	PP$	our
advice	NN	advice
,	,	,
now	RB	now
it	PP	it
'	POS	'
s	NN	S
over	IN	over
to	TO	to
you	PP	you
,	,	,
you	PP	you
do	VBP	do
it	PP	it
.	SENT	.
And	CC	and
these	DT	these
3	CD	@card@
,	,	,
000	CD	@card@
teams	NNS	team
around	IN	around
the	DT	the
world	NN	world
have	VBP	have
amazed	VBN	amaze
and	CC	and
delighted	VBN	delight
us	PP	us
with	IN	with
what	WP	what
they	PP	they
'	POS	'
ve	NN	ve
given	VBN	give
us	PP	us
back	RB	back
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
some	DT	some
kind	NN	kind
of	IN	of
version	NN	version
of	IN	of
that	DT	that
in	IN	in
the	DT	the
future	NN	future
of	IN	of
TED	VB	ted
,	,	,
over	IN	over
the	DT	the
next	JJ	next
40	CD	@card@
years	NNS	year
of	IN	of
letting	VBG	let
this	DT	this
thing	NN	thing
go	VB	go
to	TO	to
an	DT	an
incredible	JJ	incredible
community	NN	community
and	CC	and
being	VBG	be
astounded	VBN	astound
at	IN	at
the	DT	the
imagination	NN	imagination
that	RB	that
.	SENT	.
.	SENT	.
.	SENT	.
carries	VBZ	carry
it	PP	it
forward	RB	forward
and	CC	and
allows	VBZ	allow
it	PP	it
to	TO	to
continue	VB	continue
to	TO	to
shape	VB	shape
history	NN	history
as	IN	as
ideas	NNS	idea
always	RB	always
have	VBP	have
and	CC	and
,	,	,
I	PP	I
hope	VBP	hope
,	,	,
they	PP	they
always	RB	always
will	MD	will
.	SENT	.
MRB	NP	MRB
:	:	:
Well	UH	well
,	,	,
I	PP	I
appreciate	VBP	appreciate
you	PP	you
sharing	VBG	share
the	DT	the
way	NN	way
you	PP	you
did	VBD	do
today	NN	today
,	,	,
and	CC	and
I	PP	I
look	VBP	look
forward	RB	forward
to	TO	to
the	DT	the
next	JJ	next
40	CD	@card@
years	NNS	year
of	IN	of
TED	VB	ted
.	SENT	.
CA	MD	ca
:	:	:
Thank	VB	thank
you	PP	you
,	,	,
Monique	NP	Monique
,	,	,
and	CC	and
for	IN	for
all	RB	all
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
at	IN	at
TED	VB	ted
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
wonderful	JJ	wonderful
to	TO	to
have	VB	have
you	PP	you
as	IN	as
part	NN	part
of	IN	of
the	DT	the
team	NN	team
.	SENT	.
