Catherine	NP	Catherine
much	RB	much
more	RBR	more
conducive	JJ	conducive
.	SENT	.
The	DT	the
R	NN	R
in	IN	in
SPARK	NN	spark
may	MD	may
be	VB	be
my	PP$	my
favorite	NN	favorite
.	SENT	.
It	PP	it
is	VBZ	be
for	IN	for
rebel	NN	rebel
.	SENT	.
DB	NP	DB
:	:	:
Yes	UH	yes
!	SENT	!
Yes	UH	yes
!	SENT	!
CP	NP	CP
:	:	:
Not	RB	not
like	IN	like
"	``	"
get	VB	get
yourself	PP	yourself
in	IN	in
jail	NN	jail
"	''	"
rebellion	NN	rebellion
,	,	,
to	TO	to
clarify	VB	clarify
.	SENT	.
But	CC	but
when	WRB	when
I	PP	I
was	VBD	be
reading	VBG	read
through	IN	through
people	NNS	people
'	POS	'
s	NN	S
anecdotes	NNS	anecdote
,	,	,
there	EX	there
was	VBD	be
this	DT	this
repeated	JJ	repeated
theme	NN	theme
of	IN	of
playful	JJ	playful
deviance	NN	deviance
is	VBZ	be
what	WP	what
I	PP	I
'	POS	'
ll	NNS	<unknown>
call	VBP	call
it	PP	it
,	,	,
of	IN	of
breaking	VBG	break
the	DT	the
rules	NNS	rule
,	,	,
just	RB	just
like	JJ	like
,	,	,
a	DT	a
little	JJ	little
bit	NN	bit
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
I	PP	I
mean	VBP	mean
skinny	JJ	skinny
dipping	VBG	dip
would	MD	would
be	VB	be
an	DT	an
example	NN	example
of	IN	of
that	DT	that
.	SENT	.
But	CC	but
even	RB	even
someone	NN	someone
who	WP	who
said	VBD	say
that	IN	that
they	PP	they
had	VBD	have
snuck	VBN	sneak
into	IN	into
a	DT	a
pool	NN	pool
,	,	,
you	PP	you
know	VBP	know
,	,	,
at	IN	at
night	NN	night
,	,	,
I	PP	I
think	VBP	think
fully	RB	fully
clothed	VBN	clothe
,	,	,
with	IN	with
like	JJ	like
,	,	,
a	DT	a
laundry	NN	laundry
basket	NN	basket
and	CC	and
some	DT	some
pool	NN	pool
noodles	NNS	noodle
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
and	CC	and
like	IN	like
,	,	,
they	PP	they
'	POS	'
d	NN	d
had	VBD	have
a	DT	a
great	JJ	great
time	NN	time
.	SENT	.
Or	CC	or
really	RB	really
anything	NN	anything
,	,	,
like	IN	like
if	IN	if
you	PP	you
normally	RB	normally
listen	VBP	listen
to	TO	to
educational	JJ	educational
podcasts	NNS	podcast
,	,	,
maybe	RB	maybe
you	PP	you
can	MD	can
drive	VB	drive
around	RP	around
in	IN	in
your	PP$	your
car	NN	car
and	CC	and
turn	VB	turn
off	RP	off
the	DT	the
podcast	NN	<unknown>
and	CC	and
the	DT	the
news	NN	news
and	CC	and
just	RB	just
like	IN	like
blast	VB	blast
the	DT	the
song	NN	song
you	PP	you
loved	VBD	love
when	WRB	when
you	PP	you
were	VBD	be
17	CD	@card@
and	CC	and
sing	VB	sing
along	RP	along
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
or	CC	or
just	RB	just
take	VB	take
a	DT	a
little	JJ	little
break	NN	break
from	IN	from
your	PP$	your
workday	NN	workday
to	TO	to
do	VB	do
something	NN	something
that	WDT	that
will	MD	will
bring	VB	bring
you	PP	you
a	DT	a
sense	NN	sense
of	IN	of
delight	NN	delight
.	SENT	.
So	IN	so
rebellion	NN	rebellion
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
can	MD	can
'	''	'
t	NN	t
think	VBP	think
of	IN	of
a	DT	a
way	NN	way
to	TO	to
do	VB	do
that	IN	that
,	,	,
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
also	RB	also
kind	RB	kind
of	IN	of
fun	NN	fun
to	TO	to
think	VB	think
about	IN	about
ways	NNS	way
to	TO	to
do	VB	do
something	NN	something
delightful	JJ	delightful
for	IN	for
somebody	NN	somebody
else	RB	else
,	,	,
a	DT	a
way	NN	way
to	TO	to
do	VB	do
something	NN	something
that	RB	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
surprise	VB	surprise
them	PP	them
.	SENT	.
So	RB	so
maybe	RB	maybe
this	DT	this
is	VBZ	be
a	DT	a
little	JJ	little
bit	NN	bit
separate	JJ	separate
,	,	,
but	CC	but
I	PP	I
find	VBP	find
that	IN	that
that	WDT	that
can	MD	can
be	VB	be
a	DT	a
way	NN	way
if	IN	if
you	PP	you
'	POS	'
re	NN	re
still	RB	still
thinking	VBG	think
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
think	VBP	think
of	IN	of
something	NN	something
to	TO	to
do	VB	do
in	IN	in
my	PP$	my
own	JJ	own
life	NN	life
,	,	,
do	VBP	do
something	NN	something
to	TO	to
delight	VB	delight
someone	NN	someone
else	RB	else
.	SENT	.
And	CC	and
then	RB	then
lastly	RB	lastly
,	,	,
the	DT	the
K	NN	K
of	IN	of
SPARK	NN	spark
is	VBZ	be
keep	VB	keep
at	IN	at
it	PP	it
,	,	,
which	WDT	which
basically	RB	basically
means	VBZ	mean
that	IN	that
fun	NN	fun
is	VBZ	be
much	JJ	much
like	IN	like
exercise	NN	exercise
,	,	,
like	VB	like
,	,	,
you	PP	you
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
do	VB	do
it	PP	it
once	RB	once
and	CC	and
then	RB	then
that	RB	that
'	''	'
s	VBG	<unknown>
it	PP	it
,	,	,
you	PP	you
'	POS	'
re	NN	re
done	VBN	do
.	SENT	.
You	PP	you
actually	RB	actually
have	VB	have
to	TO	to
keep	VB	keep
prioritizing	VBG	<unknown>
it	PP	it
because	IN	because
life	NN	life
is	VBZ	be
going	VBG	go
to	TO	to
keep	VB	keep
throwing	VBG	throw
like	IN	like
,	,	,
not	RB	not
fun	NN	fun
things	NNS	thing
your	PP$	your
way	NN	way
.	SENT	.
And	CC	and
unless	IN	unless
you	PP	you
'	POS	'
re	NN	re
working	VBG	work
to	TO	to
keep	VB	keep
that	IN	that
as	IN	as
a	DT	a
priority	NN	priority
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
priority	NN	priority
.	SENT	.
And	CC	and
the	DT	the
way	NN	way
that	IN	that
I	PP	I
personally	RB	personally
think	VBP	think
about	IN	about
approaching	VBG	approach
that	DT	that
is	VBZ	be
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
I	PP	I
call	VBP	call
microdoses	NNS	microdose
and	CC	and
then	RB	then
booster	NN	booster
shots	NNS	shot
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
know	VBP	know
that	IN	that
there	EX	there
'	''	'
s	NN	S
something	NN	something
small	JJ	small
,	,	,
a	DT	a
little	JJ	little
microdose	NN	<unknown>
that	IN	that
you	PP	you
could	MD	could
work	VB	work
into	IN	into
your	PP$	your
schedule	NN	schedule
regularly	RB	regularly
that	IN	that
you	PP	you
enjoy	VBP	enjoy
,	,	,
that	WDT	that
might	MD	might
lead	VB	lead
to	TO	to
playful	JJ	playful
connected	JJ	connected
flow	NN	flow
,	,	,
like	IN	like
a	DT	a
regular	JJ	regular
coffee	NN	coffee
date	NN	date
or	CC	or
a	DT	a
walk	NN	walk
with	IN	with
a	DT	a
friend	NN	friend
who	WP	who
you	PP	you
'	POS	'
ve	NN	ve
realized	VBN	realize
is	VBZ	be
a	DT	a
fun	NN	fun
magnet	NN	magnet
for	IN	for
you	PP	you
.	SENT	.
Or	CC	or
in	IN	in
my	PP$	my
case	NN	case
,	,	,
like	VB	like
,	,	,
my	PP$	my
weekly	JJ	weekly
guitar	NN	guitar
class	NN	class
is	VBZ	be
definitely	RB	definitely
regular	JJ	regular
microdoses	NNS	microdose
.	SENT	.
Build	VB	build
that	IN	that
into	IN	into
your	PP$	your
schedule	NN	schedule
,	,	,
carve	VB	carve
out	RP	out
the	DT	the
time	NN	time
for	IN	for
it	PP	it
.	SENT	.
And	CC	and
then	RB	then
a	DT	a
booster	NN	booster
shot	NN	shot
would	MD	would
be	VB	be
something	NN	something
that	WDT	that
takes	VBZ	take
more	JJR	more
time	NN	time
,	,	,
more	JJR	more
energy	NN	energy
,	,	,
maybe	RB	maybe
more	JJR	more
money	NN	money
.	SENT	.
Although	IN	although
again	RB	again
,	,	,
fun	NN	fun
doesn	NN	<unknown>
'	POS	'
t	NN	t
necessarily	RB	necessarily
require	VBP	require
money	NN	money
.	SENT	.
But	CC	but
,	,	,
you	PP	you
know	VBP	know
,	,	,
if	IN	if
you	PP	you
know	VBP	know
that	IN	that
every	DT	every
time	NN	time
you	PP	you
get	VBP	get
together	RB	together
with	IN	with
this	DT	this
particular	JJ	particular
group	NN	group
of	IN	of
friends	NNS	friend
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
outrageously	RB	outrageously
fun	NN	fun
,	,	,
then	RB	then
,	,	,
like	VB	like
,	,	,
actually	RB	actually
go	VB	go
to	TO	to
the	DT	the
work	NN	work
of	IN	of
organizing	VBG	organize
and	CC	and
figuring	VBG	figure
out	RP	out
how	WRB	how
to	TO	to
get	VB	get
childcare	NP	childcare
and	CC	and
whatever	WDT	whatever
so	IN	so
you	PP	you
can	MD	can
spend	VB	spend
time	NN	time
with	IN	with
them	PP	them
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
if	IN	if
you	PP	you
can	MD	can
sprinkle	VB	sprinkle
these	DT	these
microdoses	NNS	microdose
and	CC	and
booster	NN	booster
shots	NNS	shot
into	IN	into
your	PP$	your
life	NN	life
regularly	RB	regularly
,	,	,
you	PP	you
will	MD	will
build	VB	build
the	DT	the
framework	NN	framework
for	IN	for
a	DT	a
life	NN	life
that	WDT	that
is	VBZ	be
conducive	JJ	conducive
to	TO	to
fun	NN	fun
.	SENT	.
DB	NP	DB
:	:	:
So	RB	so
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
I	PP	I
found	VBD	find
fun	NN	fun
in	IN	in
your	PP$	your
book	NN	book
is	VBZ	be
that	IN	that
you	PP	you
called	VBD	call
for	IN	for
a	DT	a
fun	NN	fun
audit	NN	audit
.	SENT	.
CP	NP	CP
:	:	:
You	PP	you
thought	VBD	think
that	IN	that
sounded	VBN	sound
fun	NN	fun
,	,	,
David	NP	David
,	,	,
I	PP	I
think	VBP	think
that	IN	that
sounds	NNS	sound
incredibly	RB	incredibly
unfun	JJ	<unknown>
.	SENT	.
DB	NP	DB
:	:	:
Well	UH	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
saying	VBG	say
it	PP	it
sounds	VBZ	sound
like	IN	like
an	DT	an
oxymoron	NN	oxymoron
,	,	,
right	RB	right
?	SENT	?
But	CC	but
actually	RB	actually
,	,	,
a	DT	a
fun	NN	fun
audit	NN	audit
can	MD	can
be	VB	be
a	DT	a
good	JJ	good
thing	NN	thing
to	TO	to
do	VB	do
if	IN	if
you	PP	you
'	POS	'
re	NN	re
feeling	NN	feeling
stuck	VBD	stick
.	SENT	.
So	RB	so
tell	VB	tell
us	PP	us
about	IN	about
a	DT	a
fun	NN	fun
audit	NN	audit
.	SENT	.
CP	NP	CP
:	:	:
The	DT	the
fun	NN	fun
audit	NN	audit
involves	VBZ	involve
looking	VBG	look
,	,	,
reviewing	VBG	review
your	PP$	your
own	JJ	own
life	NN	life
and	CC	and
just	RB	just
noticing	VBG	notice
how	WRB	how
much	JJ	much
fun	NN	fun
you	PP	you
are	VBP	be
or	CC	or
are	VBP	be
not	RB	not
having	VBG	have
,	,	,
scanning	VBG	scan
through	IN	through
your	PP$	your
leisure	NN	leisure
activities	NNS	activity
and	CC	and
identifying	VBG	identify
those	DT	those
sources	NNS	source
of	IN	of
fake	JJ	fake
fun	NN	fun
that	IN	that
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	RB	about
so	RB	so
that	IN	that
you	PP	you
can	MD	can
begin	VB	begin
to	TO	to
reduce	VB	reduce
or	CC	or
eliminate	VB	eliminate
them	PP	them
.	SENT	.
And	CC	and
then	RB	then
very	RB	very
importantly	RB	importantly
,	,	,
figuring	VBG	figure
out	RP	out
some	DT	some
activities	NNS	activity
or	CC	or
something	NN	something
to	TO	to
do	VB	do
to	TO	to
replace	VB	replace
the	DT	the
time	NN	time
that	IN	that
you	PP	you
were	VBD	be
spending	VBG	spend
on	IN	on
the	DT	the
time-sucking	JJ	time-sucking
fake	JJ	fake
fun	NN	fun
.	SENT	.
DB	NP	DB
:	:	:
But	CC	but
,	,	,
you	PP	you
know	VBP	know
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
struggle	NN	struggle
for	IN	for
some	DT	some
folks	NNS	folk
.	SENT	.
And	CC	and
Kat	NP	Kat
wants	VBZ	want
to	TO	to
know	VB	know
how	WRB	how
we	PP	we
can	MD	can
create	VB	create
fun	NN	fun
while	IN	while
grappling	VBG	grapple
with	IN	with
things	NNS	thing
like	IN	like
climate	NN	climate
change	NN	change
or	CC	or
nuclear	JJ	nuclear
war	NN	war
or	CC	or
all	PDT	all
the	DT	the
other	JJ	other
,	,	,
you	PP	you
know	VBP	know
,	,	,
frankly	RB	frankly
,	,	,
existential	JJ	existential
threats	NNS	threat
that	WDT	that
are	VBP	be
out	RB	out
there	RB	there
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
CP	NP	CP
:	:	:
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
really	RB	really
important	JJ	important
.	SENT	.
I	PP	I
think	VBP	think
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
feel	VBP	feel
that	IN	that
way	NN	way
and	CC	and
that	IN	that
we	PP	we
do	VBP	do
get	VB	get
consumed	VBN	consume
.	SENT	.
And	CC	and
the	DT	the
media	NNS	medium
landscape	NN	landscape
is	VBZ	be
designed	VBN	design
to	TO	to
make	VB	make
us	PP	us
feel	VB	feel
that	DT	that
way	NN	way
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
another	DT	another
thing	NN	thing
to	TO	to
acknowledge	VB	acknowledge
,	,	,
is	VBZ	be
that	IN	that
not	RB	not
only	JJ	only
are	VBP	be
our	PP$	our
brains	NNS	brain
naturally	RB	naturally
primed	VBN	prime
to	TO	to
notice	VB	notice
those	DT	those
things	NNS	thing
,	,	,
but	CC	but
you	PP	you
know	VBP	know
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
expression	NN	expression
in	IN	in
journalism	NN	journalism
:	:	:
if	IN	if
it	PP	it
bleeds	VBZ	bleed
,	,	,
it	PP	it
leads	VBZ	lead
.	SENT	.
Like	IN	like
,	,	,
you	PP	you
never	RB	never
open	VB	open
up	RP	up
your	PP$	your
favorite	JJ	favorite
newspaper	NN	newspaper
and	CC	and
see	VB	see
an	DT	an
article	NN	article
about	IN	about
how	WRB	how
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
real	JJ	real
explosion	NN	explosion
in	IN	in
puppies	NNS	puppy
,	,	,
like	VB	like
,	,	,
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
also	RB	also
being	VBG	be
more	RBR	more
judicious	JJ	judicious
about	IN	about
what	WP	what
you	PP	you
allow	VBP	allow
into	IN	into
your	PP$	your
brain	NN	brain
because	IN	because
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
any	DT	any
time	NN	time
you	PP	you
pick	VBP	pick
up	RP	up
your	PP$	your
phone	NN	phone
,	,	,
I	PP	I
think	VBP	think
of	IN	of
it	PP	it
as	IN	as
a	DT	a
Pandora	NP	Pandora
'	POS	'
s	JJ	<unknown>
box	NN	box
of	IN	of
emotions	NNS	emotion
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
result	VB	result
in	IN	in
an	DT	an
emotion	NN	emotion
.	SENT	.
What	WP	what
emotion	NN	emotion
is	VBZ	be
that	IN	that
going	VBG	go
to	TO	to
be	VB	be
,	,	,
and	CC	and
do	VBP	do
you	PP	you
want	VBP	want
that	IN	that
in	IN	in
your	PP$	your
brain	NN	brain
?	SENT	?
If	IN	if
you	PP	you
check	VBP	check
the	DT	the
news	NN	news
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
have	VB	have
an	DT	an
impact	NN	impact
on	IN	on
your	PP$	your
mental	JJ	mental
state	NN	state
.	SENT	.
If	IN	if
you	PP	you
check	VBP	check
your	PP$	your
email	NN	<unknown>
,	,	,
if	IN	if
you	PP	you
check	VBP	check
social	JJ	social
media	NNS	medium
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
saying	VBG	say
I	PP	I
know	VBP	know
what	WP	what
that	DT	that
reaction	NN	reaction
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
for	IN	for
you	PP	you
,	,	,
but	CC	but
there	EX	there
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
one	CD	one
.	SENT	.
So	RB	so
as	IN	as
an	DT	an
example	NN	example
,	,	,
I	PP	I
used	VBD	use
to	TO	to
have	VB	have
the	DT	the
news	NN	news
app	NN	app
on	IN	on
my	PP$	my
phone	NN	phone
,	,	,
and	CC	and
I	PP	I
would	MD	would
find	VB	find
myself	PP	myself
reading	VBG	read
the	DT	the
same	JJ	same
articles	NNS	article
again	RB	again
and	CC	and
again	RB	again
,	,	,
hoping	VBG	hope
something	NN	something
would	MD	would
have	VB	have
changed	VBN	change
,	,	,
which	WDT	which
it	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
.	SENT	.
Then	RB	then
I	PP	I
realized	VBD	realize
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
have	VB	have
the	DT	the
news	NN	news
app	NN	app
on	IN	on
my	PP$	my
phone	NN	phone
.	SENT	.
Think	VB	think
about	IN	about
notifications	NNS	notification
as	IN	as
interruptions	NNS	interruption
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
really	RB	really
what	WP	what
they	PP	they
'	''	'
re	IN	re
doing	VBG	do
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
would	MD	would
suggest	VB	suggest
asking	VBG	ask
yourself	PP	yourself
what	WP	what
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
interrupted	VBN	interrupt
for	IN	for
.	SENT	.
Because	IN	because
notifications	NNS	notification
are	VBP	be
there	RB	there
for	IN	for
the	DT	the
benefit	NN	benefit
of	IN	of
the	DT	the
people	NNS	people
making	VBG	make
the	DT	the
app	NN	app
that	WDT	that
sent	VBD	send
you	PP	you
the	DT	the
notification	NN	notification
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
for	IN	for
you	PP	you
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
many	JJ	many
of	IN	of
us	PP	us
feel	VBP	feel
very	RB	very
,	,	,
very	RB	very
trapped	VBN	trap
in	IN	in
this	DT	this
feeling	NN	feeling
that	IN	that
the	DT	the
world	NN	world
is	VBZ	be
dark	JJ	dark
and	CC	and
horrible	JJ	horrible
and	CC	and
that	IN	that
we	PP	we
'	POS	'
re	NN	re
powerless	JJ	powerless
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
horrible	JJ	horrible
place	NN	place
to	TO	to
be	VB	be
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
it	PP	it
takes	VBZ	take
a	DT	a
lot	NN	lot
of	IN	of
work	NN	work
to	TO	to
bring	VB	bring
yourself	PP	yourself
out	RP	out
of	IN	of
that	DT	that
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	JJ	<unknown>
worth	NN	worth
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
actually	RB	actually
is	VBZ	be
good	JJ	good
for	IN	for
trying	VBG	try
to	TO	to
address	VB	address
some	DT	some
of	IN	of
those	DT	those
things	NNS	thing
.	SENT	.
DB	NP	DB
:	:	:
I	PP	I
think	VBP	think
fun	NN	fun
is	VBZ	be
probably	RB	probably
best	RBS	well
shared	VBN	share
,	,	,
as	IN	as
you	PP	you
noted	VBD	note
earlier	RBR	earlier
.	SENT	.
Any	DT	any
tips	NNS	tip
on	IN	on
how	WRB	how
to	TO	to
share	VB	share
fun	NN	fun
with	IN	with
the	DT	the
folks	NNS	folk
in	IN	in
our	PP$	our
lives	NNS	life
?	SENT	?
I	PP	I
think	VBP	think
Jim	NP	Jim
wanted	VBD	want
to	TO	to
know	VB	know
that	DT	that
.	SENT	.
CP	NP	CP
:	:	:
Well	UH	well
,	,	,
I	PP	I
think	VBP	think
picking	VBG	pick
the	DT	the
right	JJ	right
people	NNS	people
is	VBZ	be
important	JJ	important
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
certain	JJ	certain
people	NNS	people
that	WDT	that
really	RB	really
are	VBP	be
not	RB	not
conducive	JJ	conducive
to	TO	to
fun	NN	fun
,	,	,
and	CC	and
hopefully	RB	hopefully
you	PP	you
can	MD	can
help	VB	help
them	PP	them
to	TO	to
change	VB	change
,	,	,
right	RB	right
?	SENT	?
But	CC	but
as	IN	as
a	DT	a
first	JJ	first
step	NN	step
,	,	,
if	IN	if
you	PP	you
have	VBP	have
the	DT	the
choice	NN	choice
between	IN	between
hanging	VBG	hang
out	RP	out
with	IN	with
someone	NN	someone
who	WP	who
consistently	RB	consistently
makes	VBZ	make
you	PP	you
feel	VBP	feel
comfortable	JJ	comfortable
and	CC	and
you	PP	you
enjoyed	VBD	enjoy
being	VBG	be
in	IN	in
the	DT	the
presence	NN	presence
of	IN	of
and	CC	and
generates	VBZ	generate
fun	NN	fun
,	,	,
versus	CC	versus
someone	NN	someone
who	WP	who
'	POS	'
s	NN	S
a	DT	a
wet	JJ	wet
blanket	NN	blanket
,	,	,
pick	VBP	pick
that	IN	that
one	CD	one
,	,	,
right	RB	right
?	SENT	?
Again	RB	again
,	,	,
I	PP	I
talked	VBD	talk
about	IN	about
doing	VBG	do
things	NNS	thing
together	RB	together
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
things	NNS	thing
like	IN	like
cooking	VBG	cook
a	DT	a
meal	NN	meal
together	RB	together
or	CC	or
trying	VBG	try
something	NN	something
new	JJ	new
together	RB	together
or	CC	or
seeing	VBG	see
if	IN	if
your	PP$	your
friends	NNS	friend
want	VBP	want
to	TO	to
go	VB	go
to	TO	to
a	DT	a
class	NN	class
together	RB	together
or	CC	or
,	,	,
you	PP	you
know	VBP	know
,	,	,
all	PDT	all
those	DT	those
things	NNS	thing
are	VBP	be
very	RB	very
conducive	JJ	conducive
to	TO	to
opening	VBG	open
people	NNS	people
up	RP	up
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
helps	VBZ	help
people	NNS	people
have	VBP	have
fun	NN	fun
.	SENT	.
I	PP	I
think	VBP	think
also	RB	also
trying	VBG	try
to	TO	to
find	VB	find
people	NNS	people
who	WP	who
are	VBP	be
already	RB	already
having	VBG	have
fun	NN	fun
and	CC	and
joining	VBG	join
that	DT	that
group	NN	group
.	SENT	.
DB	NP	DB
:	:	:
I	PP	I
want	VBP	want
to	TO	to
thank	VB	thank
all	PDT	all
the	DT	the
members	NNS	member
for	IN	for
coming	VBG	come
.	SENT	.
I	PP	I
also	RB	also
want	VBP	want
to	TO	to
apologize	VB	apologize
for	IN	for
not	RB	not
getting	VBG	get
to	TO	to
all	DT	all
of	IN	of
your	PP$	your
questions	NNS	question
,	,	,
but	CC	but
the	DT	the
time	NN	time
just	RB	just
kind	NN	kind
of	IN	of
flew	NN	flew
by	IN	by
because	RB	because
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
were	VBD	be
having	VBG	have
fun	NN	fun
.	SENT	.
So	RB	so
thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
joining	VBG	join
us	PP	us
today	NN	today
,	,	,
and	CC	and
go	VBP	go
have	VB	have
some	DT	some
fun	NN	fun
.	SENT	.
CP	NP	CP
:	:	:
Thanks	NNS	thanks
,	,	,
David	NP	David
,	,	,
you	PP	you
too	RB	too
.	SENT	.
[	SYM	[
Want	NP	Want
to	TO	to
support	VB	support
TED	VB	ted
?	SENT	?
]	SYM	]
[	SYM	[
Become	VBN	become
a	DT	a
TED	VBP	ted
Member	NP	Member
!	SENT	!
]	SYM	]
[	SYM	[
Learn	NP	Learn
more	RBR	more
at	IN	at
ted	VB	ted
.	SENT	.
com	NN	com
/	SYM	/
membership	NN	membership
]	SYM	]
