Cultural	JJ	cultural
'	POS	'
re	NN	re
hitting	VBG	hit
the	DT	the
third	JJ	third
replicator	NN	<unknown>
point	NN	point
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
even	RB	even
more	RBR	more
dangerous	JJ	dangerous
—	:	-
well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
dangerous	JJ	dangerous
again	RB	again
.	SENT	.
Why	WRB	why
?	SENT	?
Because	IN	because
the	DT	the
temes	NNS	<unknown>
are	VBP	be
selfish	JJ	selfish
replicators	NNS	<unknown>
and	CC	and
they	PP	they
don	NN	don
'	POS	'
t	NN	t
care	NN	care
about	IN	about
us	PP	us
,	,	,
or	CC	or
our	PP$	our
planet	NN	planet
,	,	,
or	CC	or
anything	NN	anything
else	RB	else
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
just	RB	just
information	NN	information
,	,	,
why	WRB	why
would	MD	would
they	PP	they
?	SENT	?
They	PP	they
are	VBP	be
using	VBG	use
us	PP	us
to	TO	to
suck	VB	suck
up	RP	up
the	DT	the
planet	NN	planet
'	POS	'
s	NN	S
resources	NNS	resource
to	TO	to
produce	VB	produce
more	JJR	more
computers	NNS	computer
,	,	,
and	CC	and
more	JJR	more
of	IN	of
all	PDT	all
these	DT	these
amazing	JJ	amazing
things	NNS	thing
we	PP	we
'	POS	'
re	NN	re
hearing	NN	hearing
about	RB	about
here	RB	here
at	IN	at
TED	VB	ted
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
think	VBP	think
,	,	,
"	``	"
Oh	UH	oh
,	,	,
we	PP	we
created	VBD	create
the	DT	the
Internet	NN	Internet
for	IN	for
our	PP$	our
own	JJ	own
benefit	NN	benefit
.	SENT	.
"	``	"
That	RB	that
'	''	'
s	NN	S
how	WRB	how
it	PP	it
seems	VBZ	seem
to	TO	to
us	PP	us
.	SENT	.
Think	VB	think
,	,	,
temes	NNS	<unknown>
spreading	VBG	spread
because	IN	because
they	PP	they
must	MD	must
.	SENT	.
We	PP	we
are	VBP	be
the	DT	the
old	JJ	old
machines	NNS	machine
.	SENT	.
Now	RB	now
,	,	,
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
pull	VB	pull
through	RP	through
?	SENT	?
What	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
?	SENT	?
What	WP	what
does	VBZ	do
it	PP	it
mean	VBP	mean
to	TO	to
pull	VB	pull
through	RP	through
?	SENT	?
Well	RB	well
,	,	,
there	EX	there
are	VBP	be
kind	NN	kind
of	IN	of
two	CD	two
ways	NNS	way
of	IN	of
pulling	VBG	pull
through	RP	through
.	SENT	.
One	CD	one
that	WDT	that
is	VBZ	be
obviously	RB	obviously
happening	VBG	happen
all	DT	all
around	IN	around
us	PP	us
now	RB	now
,	,	,
is	VBZ	be
that	IN	that
the	DT	the
temes	NNS	<unknown>
turn	VBP	turn
us	PP	us
into	IN	into
teme	NN	<unknown>
machines	NNS	machine
,	,	,
with	IN	with
these	DT	these
implants	NNS	implant
,	,	,
with	IN	with
the	DT	the
drugs	NNS	drug
,	,	,
with	IN	with
us	PP	us
merging	VBG	merge
with	IN	with
the	DT	the
technology	NN	technology
.	SENT	.
And	CC	and
why	WRB	why
would	MD	would
they	PP	they
do	VB	do
that	DT	that
?	SENT	?
Because	IN	because
we	PP	we
are	VBP	be
self-replicating	VBG	self-replicate
.	SENT	.
We	PP	we
have	VBP	have
babies	NNS	baby
.	SENT	.
We	PP	we
make	VBP	make
new	JJ	new
ones	NNS	one
,	,	,
and	CC	and
so	IN	so
it	PP	it
'	POS	'
s	NN	S
convenient	JJ	convenient
to	TO	to
piggyback	NN	piggyback
on	IN	on
us	PP	us
,	,	,
because	IN	because
we	PP	we
'	POS	'
re	NN	re
not	RB	not
yet	RB	yet
at	IN	at
the	DT	the
stage	NN	stage
on	IN	on
this	DT	this
planet	NN	planet
where	WRB	where
the	DT	the
other	JJ	other
option	NN	option
is	VBZ	be
viable	JJ	viable
.	SENT	.
Although	IN	although
it	PP	it
'	POS	'
s	NNS	<unknown>
closer	RBR	closer
,	,	,
I	PP	I
heard	VBD	hear
this	DT	this
morning	NN	morning
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
closer	RBR	closer
than	IN	than
I	PP	I
thought	VBD	think
it	PP	it
was	VBD	be
.	SENT	.
Where	WRB	where
the	DT	the
teme	NN	<unknown>
machines	NNS	machine
themselves	PP	themselves
will	MD	will
replicate	VB	replicate
themselves	PP	themselves
.	SENT	.
That	DT	that
way	NN	way
,	,	,
it	PP	it
wouldn	NNS	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
if	IN	if
the	DT	the
planet	NN	planet
'	POS	'
s	NN	S
climate	NN	climate
was	VBD	be
utterly	RB	utterly
destabilized	VBN	destabilize
,	,	,
and	CC	and
it	PP	it
was	VBD	be
no	RB	no
longer	RBR	longer
possible	JJ	possible
for	IN	for
humans	NNS	human
to	TO	to
live	VB	live
here	RB	here
.	SENT	.
Because	IN	because
those	DT	those
teme	NN	<unknown>
machines	NNS	machine
,	,	,
they	PP	they
wouldn	NNS	<unknown>
'	POS	'
t	NN	t
need	NN	need
—	:	-
they	PP	they
'	POS	'
re	NN	re
not	RB	not
squishy	JJ	squishy
,	,	,
wet	JJ	wet
,	,	,
oxygen-breathing	NN	oxygen-breathing
,	,	,
warmth-requiring	VBG	warmth-require
creatures	NNS	creature
.	SENT	.
They	PP	they
could	MD	could
carry	VB	carry
on	IN	on
without	IN	without
us	PP	us
.	SENT	.
So	RB	so
,	,	,
those	DT	those
are	VBP	be
the	DT	the
two	CD	two
possibilities	NNS	possibility
.	SENT	.
The	DT	the
second	JJ	second
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
we	PP	we
'	''	'
re	IN	re
that	DT	that
close	NN	close
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
coming	VBG	come
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
not	RB	not
there	RB	there
yet	RB	yet
.	SENT	.
The	DT	the
first	JJ	first
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
coming	VBG	come
too	RB	too
.	SENT	.
But	CC	but
the	DT	the
damage	NN	damage
that	WDT	that
is	VBZ	be
already	RB	already
being	VBG	be
done	VBN	do
to	TO	to
the	DT	the
planet	NN	planet
is	VBZ	be
showing	VBG	show
us	PP	us
how	WRB	how
dangerous	JJ	dangerous
the	DT	the
third	JJ	third
point	NN	point
is	VBZ	be
,	,	,
that	DT	that
third	JJ	third
danger	NN	danger
point	NN	point
,	,	,
getting	VBG	get
a	DT	a
third	JJ	third
replicator	NN	<unknown>
.	SENT	.
And	CC	and
will	MD	will
we	PP	we
get	VB	get
through	IN	through
this	DT	this
third	JJ	third
danger	NN	danger
point	NN	point
,	,	,
like	IN	like
we	PP	we
got	VBD	get
through	IN	through
the	DT	the
second	JJ	second
and	CC	and
like	IN	like
we	PP	we
got	VBD	get
through	IN	through
the	DT	the
first	JJ	first
?	SENT	?
Maybe	RB	maybe
we	PP	we
will	MD	will
,	,	,
maybe	RB	maybe
we	PP	we
won	VBD	win
'	''	'
t	NN	t
.	SENT	.
I	PP	I
have	VBP	have
no	DT	no
idea	NN	idea
.	SENT	.
Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
That	WDT	that
was	VBD	be
an	DT	an
incredible	JJ	incredible
talk	NN	talk
.	SENT	.
SB	NN	SB
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
I	PP	I
scared	VBD	scare
myself	PP	myself
.	SENT	.
CA	MD	ca
:	:	:
