Nadia	NP	Nadia
.	SENT	.
More	JJR	more
water	NN	water
on	IN	on
Jupiter	NP	Jupiter
'	POS	'
s	NN	S
moon	NN	moon
,	,	,
more	JJR	more
water	NN	water
inside	IN	inside
Jupiter	NP	Jupiter
'	POS	'
s	NN	S
moon	NN	moon
,	,	,
Europa	NP	Europa
,	,	,
that	WDT	that
we	PP	we
have	VBP	have
on	IN	on
the	DT	the
surface	NN	surface
of	IN	of
the	DT	the
Earth	NN	earth
,	,	,
which	WDT	which
is	VBZ	be
kind	NN	kind
of	IN	of
crazy	JJ	crazy
.	SENT	.
Think	VB	think
about	IN	about
it	PP	it
.	SENT	.
ND	NN	ND
:	:	:
It	PP	it
'	POS	'
s	NN	S
mind-boggling	JJ	mind-boggling
to	TO	to
think	VB	think
about	RB	about
.	SENT	.
HH	NP	HH
:	:	:
The	DT	the
question	NN	question
is	VBZ	be
,	,	,
could	MD	could
life	NN	life
form	NN	form
in	IN	in
that	DT	that
water	NN	water
?	SENT	?
And	CC	and
it	PP	it
gets	VBZ	get
back	RB	back
to	TO	to
what	WP	what
are	VBP	be
the	DT	the
ingredients	NNS	ingredient
you	PP	you
need	VBP	need
for	IN	for
life	NN	life
?	SENT	?
You	PP	you
need	VBP	need
water	NN	water
,	,	,
but	CC	but
you	PP	you
also	RB	also
need	VBP	need
some	DT	some
kind	NN	kind
of	IN	of
an	DT	an
energy	NN	energy
source	NN	source
.	SENT	.
You	PP	you
need	VBP	need
some	DT	some
kind	NN	kind
of	IN	of
a	DT	a
surface	NN	surface
on	IN	on
which	WDT	which
life	NN	life
can	MD	can
do	VB	do
its	PP$	its
chemical	JJ	chemical
thing	NN	thing
to	TO	to
form	VB	form
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
an	DT	an
astrobiologist	NN	astrobiologist
,	,	,
so	RB	so
I	PP	I
don	VB	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
the	DT	the
right	JJ	right
lingo	NN	lingo
is	VBZ	be
,	,	,
but	CC	but
you	PP	you
need	VBP	need
to	TO	to
have	VB	have
a	DT	a
surface	NN	surface
for	IN	for
stuff	NN	stuff
to	TO	to
happen	VB	happen
.	SENT	.
And	CC	and
does	VBZ	do
Europa	NP	Europa
have	VBP	have
those	DT	those
things	NNS	thing
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
them	PP	them
on	IN	on
its	PP$	its
surface	NN	surface
.	SENT	.
Its	PP$	its
surface	NN	surface
is	VBZ	be
just	RB	just
ice	NN	ice
.	SENT	.
But	CC	but
we	PP	we
know	VBP	know
from	IN	from
our	PP$	our
various	JJ	various
flybys	NNS	flyby
of	IN	of
this	DT	this
--	:	--
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
map	VB	map
out	RP	out
its	PP$	its
structure	NN	structure
,	,	,
its	PP$	its
internal	JJ	internal
structure	NN	structure
,	,	,
by	IN	by
looking	VBG	look
at	IN	at
the	DT	the
magnetic	JJ	magnetic
field	NN	field
and	CC	and
how	WRB	how
it	PP	it
interacts	VBZ	interact
with	IN	with
it	PP	it
,	,	,
by	IN	by
looking	VBG	look
at	IN	at
gravitational	JJ	gravitational
deflection	NN	deflection
--	:	--
we	PP	we
know	VBP	know
that	IN	that
it	PP	it
probably	RB	probably
has	VBZ	have
a	DT	a
solid	JJ	solid
core	NN	core
,	,	,
and	CC	and
we	PP	we
also	RB	also
know	VBP	know
that	IN	that
Europa	NP	Europa
is	VBZ	be
warm	JJ	warm
.	SENT	.
Now	RB	now
,	,	,
why	WRB	why
would	MD	would
this	DT	this
moon	NN	moon
out	RB	out
there	RB	there
at	IN	at
Jupiter	NP	Jupiter
'	POS	'
s	NN	S
distance	NN	distance
,	,	,
why	WRB	why
would	MD	would
it	PP	it
be	VB	be
warm	JJ	warm
,	,	,
right	RB	right
?	SENT	?
Why	WRB	why
would	MD	would
Jupiter	NP	Jupiter
'	POS	'
s	JJ	<unknown>
other	JJ	other
moon	NN	moon
,	,	,
Io	NP	Io
,	,	,
have	VBP	have
active	JJ	active
volcanoes	NNS	volcano
?	SENT	?
That	IN	that
'	POS	'
s	NN	S
really	RB	really
warm	JJ	warm
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
crazy	JJ	crazy
warm	NN	warm
.	SENT	.
And	CC	and
the	DT	the
answer	NN	answer
is	VBZ	be
these	DT	these
moons	NNS	moon
actually	RB	actually
interact	VBP	interact
with	IN	with
one	CD	one
another	DT	another
.	SENT	.
They	PP	they
do	VBP	do
like	IN	like
a	DT	a
little	JJ	little
resonant	JJ	resonant
dance	NN	dance
with	IN	with
each	DT	each
other	JJ	other
as	IN	as
they	PP	they
orbit	VBP	orbit
Jupiter	NP	Jupiter
.	SENT	.
And	CC	and
as	IN	as
they	PP	they
orbit	VBP	orbit
one	CD	one
another	DT	another
and	CC	and
interact	VBP	interact
with	IN	with
one	CD	one
another	DT	another
,	,	,
the	DT	the
gravity	NN	gravity
of	IN	of
these	DT	these
moons	NNS	moon
makes	VBZ	make
very	RB	very
tiny	JJ	tiny
flexes	NNS	flex
in	IN	in
the	DT	the
shape	NN	shape
of	IN	of
the	DT	the
moons	NNS	moon
,	,	,
but	CC	but
the	DT	the
flexes	NNS	flex
repeat	NN	repeat
over	IN	over
time	NN	time
and	CC	and
that	DT	that
repeating	VBG	repeat
warms	VBZ	warm
the	DT	the
planet	NN	planet
.	SENT	.
I	PP	I
used	VBD	use
to	TO	to
illustrate	VB	illustrate
this	DT	this
for	IN	for
kids	NNS	kid
with	IN	with
old	JJ	old
credit	NN	credit
cards	NNS	card
.	SENT	.
If	IN	if
you	PP	you
take	VBP	take
an	DT	an
old	JJ	old
credit	NN	credit
card	NN	card
and	CC	and
you	PP	you
bend	VBP	bend
it	PP	it
,	,	,
bend	VB	bend
it	PP	it
,	,	,
bend	VB	bend
it	PP	it
,	,	,
bend	VB	bend
it	PP	it
,	,	,
and	CC	and
you	PP	you
feel	VBP	feel
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
bending	VBG	bend
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
warm	JJ	warm
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
the	DT	the
same	JJ	same
process	NN	process
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
that	IN	that
flexing	VBG	flex
is	VBZ	be
what	WP	what
warms	VBZ	warm
these	DT	these
.	SENT	.
So	RB	so
for	IN	for
Europa	NN	Europa
in	IN	in
orbit	NN	orbit
around	IN	around
Jupiter	NP	Jupiter
,	,	,
we	PP	we
have	VBP	have
the	DT	the
water	NN	water
,	,	,
we	PP	we
have	VBP	have
the	DT	the
rocky	JJ	rocky
surface	NN	surface
deep	RB	deep
inside	RB	inside
.	SENT	.
We	PP	we
have	VBP	have
warmth	NN	warmth
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
this	DT	this
energy	NN	energy
source	NN	source
thing	NN	thing
.	SENT	.
So	RB	so
is	VBZ	be
it	PP	it
possible	JJ	possible
that	IN	that
life	NN	life
has	VBZ	have
formed	VBN	form
there	RB	there
?	SENT	?
Sure	JJ	sure
.	SENT	.
Who	WP	who
am	VBP	be
I	PP	I
to	TO	to
say	VB	say
no	RB	no
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
what	WP	what
do	VBP	do
I	PP	I
know	VBP	know
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
universe	NN	universe
is	VBZ	be
much	RB	much
more	RBR	more
complex	JJ	complex
than	IN	than
I	PP	I
can	MD	can
imagine	VB	imagine
.	SENT	.
So	RB	so
we	PP	we
are	VBP	be
building	VBG	build
a	DT	a
spacecraft	NN	spacecraft
called	VBD	call
the	DT	the
Clipper	NP	Clipper
spacecraft	NN	spacecraft
,	,	,
which	WDT	which
is	VBZ	be
going	VBG	go
to	TO	to
go	VB	go
to	TO	to
the	DT	the
Jupiter	NP	Jupiter
system	NN	system
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
orbit	VB	orbit
Jupiter	NP	Jupiter
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
do	VB	do
multiple	JJ	multiple
flybys	NNS	flyby
of	IN	of
the	DT	the
moon	NN	moon
Europa	NN	Europa
.	SENT	.
ND	NN	ND
:	:	:
So	RB	so
,	,	,
Heidi	NP	Heidi
,	,	,
word	NN	word
on	IN	on
the	DT	the
street	NN	street
is	VBZ	be
that	IN	that
you	PP	you
have	VBP	have
a	DT	a
favorite	JJ	favorite
moon	NN	moon
.	SENT	.
What	WP	what
is	VBZ	be
it	PP	it
?	SENT	?
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
only	RB	only
one	CD	one
right	NN	right
answer	NN	answer
to	TO	to
this	DT	this
question	NN	question
.	SENT	.
HH	NP	HH
:	:	:
My	PP$	my
favorite	JJ	favorite
moon	NN	moon
is	VBZ	be
Triton	NP	Triton
.	SENT	.
ND	NN	ND
:	:	:
It	PP	it
'	POS	'
s	NN	S
a	DT	a
pretty	RB	pretty
good	JJ	good
one	CD	one
.	SENT	.
HH	NP	HH
:	:	:
It	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
right	JJ	right
one	CD	one
,	,	,
though	RB	though
?	SENT	?
ND	NN	ND
:	:	:
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
say	VB	say
Iapetus	NP	<unknown>
.	SENT	.
HH	NP	HH
:	:	:
No	UH	no
,	,	,
no	UH	no
,	,	,
no	UH	no
,	,	,
no	UH	no
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
a	DT	a
long	JJ	long
conversation	NN	conversation
about	IN	about
that	DT	that
.	SENT	.
ND	NN	ND
:	:	:
Tell	VB	tell
me	PP	me
why	WRB	why
Triton	NP	Triton
is	VBZ	be
better	JJR	good
.	SENT	.
HH	NP	HH
:	:	:
Triton	NP	Triton
is	VBZ	be
such	PDT	such
a	DT	a
cool	JJ	cool
moon	NN	moon
.	SENT	.
It	PP	it
goes	VBZ	go
in	IN	in
a	DT	a
retrograde	JJ	retrograde
orbit	NN	orbit
backwards	RB	backwards
around	IN	around
the	DT	the
planet	NN	planet
.	SENT	.
We	PP	we
think	VBP	think
it	PP	it
was	VBD	be
actually	RB	actually
a	DT	a
Kuiper	NP	Kuiper
Belt	NP	Belt
object	NN	object
that	WDT	that
got	VBD	get
too	RB	too
close	VB	close
to	TO	to
Neptune	NP	Neptune
and	CC	and
was	VBD	be
captured	VBN	capture
by	IN	by
Neptune	NP	Neptune
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
moon	NN	moon
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
if	IN	if
you	PP	you
want	VBP	want
Pluto	NN	Pluto
to	TO	to
be	VB	be
a	DT	a
planet	NN	planet
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VB	know
where	WRB	where
you	PP	you
stand	VBP	stand
on	IN	on
that	DT	that
issue	NN	issue
,	,	,
but	CC	but
Triton	NP	Triton
is	VBZ	be
twin	JJ	twin
to	TO	to
Pluto	NN	Pluto
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
planet	NN	planet
in	IN	in
orbit	NN	orbit
around	IN	around
another	DT	another
planet	NN	planet
.	SENT	.
ND	NN	ND
:	:	:
But	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
backwards	RB	backwards
.	SENT	.
HH	NP	HH
:	:	:
But	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
backwards	RB	backwards
around	IN	around
the	DT	the
planet	NN	planet
.	SENT	.
And	CC	and
when	WRB	when
Voyager	NP	Voyager
flew	VBD	fly
by	IN	by
in	IN	in
1989	CD	@card@
,	,	,
it	PP	it
actually	RB	actually
flew	VBD	fly
kind	NN	kind
of	IN	of
close	NN	close
,	,	,
so	RB	so
we	PP	we
got	VBD	get
a	DT	a
good	JJ	good
view	NN	view
of	IN	of
one	CD	one
half	NN	half
of	IN	of
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
remarkable	JJ	remarkable
terrain	NN	terrain
and	CC	and
it	PP	it
has	VBZ	have
active	JJ	active
cryovolcanoes	NNS	cryovolcano
on	IN	on
it	PP	it
.	SENT	.
There	EX	there
are	VBP	be
volcanoes	NNS	volcano
,	,	,
ice	NN	ice
volcanoes	NNS	volcano
,	,	,
erupting	VBG	erupt
on	IN	on
Triton	NP	Triton
,	,	,
like	IN	like
,	,	,
in	IN	in
real	JJ	real
time	NN	time
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
pretty	RB	pretty
amazing	JJ	amazing
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
an	DT	an
atmosphere	NN	atmosphere
,	,	,
right	RB	right
?	SENT	?
And	CC	and
it	PP	it
could	MD	could
have	VB	have
a	DT	a
liquid	JJ	liquid
water	NN	water
ocean	NN	ocean
inside	IN	inside
it	PP	it
.	SENT	.
So	RB	so
it	PP	it
may	MD	may
be	VB	be
an	DT	an
ocean	NN	ocean
world	NN	world
.	SENT	.
And	CC	and
since	IN	since
we	PP	we
know	VBP	know
it	PP	it
'	''	'
s	NNS	<unknown>
active	JJ	active
,	,	,
because	IN	because
we	PP	we
saw	VBD	see
it	PP	it
with	IN	with
Voyager	NP	Voyager
,	,	,
that	WDT	that
may	MD	may
be	VB	be
another	DT	another
abode	NN	abode
for	IN	for
life	NN	life
.	SENT	.
ND	NN	ND
:	:	:
So	RB	so
,	,	,
Heidi	NP	Heidi
,	,	,
how	WRB	how
did	VBD	do
you	PP	you
become	VB	become
interested	JJ	interested
in	IN	in
astronomy	NN	astronomy
?	SENT	?
What	WP	what
was	VBD	be
it	PP	it
that	RB	that
lit	VBD	light
that	DT	that
fire	NN	fire
for	IN	for
you	PP	you
?	SENT	?
HH	NP	HH
:	:	:
It	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
a	DT	a
goofy	JJ	goofy
story	NN	story
,	,	,
but	CC	but
I	PP	I
think	VBP	think
in	IN	in
one	CD	one
sense	NN	sense
,	,	,
I	PP	I
became	VBD	become
an	DT	an
astronomer	NN	astronomer
because	IN	because
I	PP	I
used	VBD	use
to	TO	to
get	VB	get
carsick	JJ	carsick
.	SENT	.
ND	NN	ND
:	:	:
Seriously	RB	seriously
?	SENT	?
HH	NP	HH
:	:	:
My	PP$	my
family	NN	family
would	MD	would
go	VB	go
on	IN	on
road	NN	road
trips	NNS	trip
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
would	MD	would
be	VB	be
in	IN	in
the	DT	the
back	NN	back
of	IN	of
the	DT	the
car	NN	car
and	CC	and
I	PP	I
'	POS	'
d	NN	d
be	VB	be
so	RB	so
sick	JJ	sick
and	CC	and
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
read	VBD	read
.	SENT	.
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
do	VBP	do
anything	NN	anything
except	IN	except
stare	NN	stare
out	IN	out
the	DT	the
window	NN	window
.	SENT	.
And	CC	and
at	IN	at
night	NN	night
,	,	,
staring	VBG	stare
out	RP	out
the	DT	the
window	NN	window
,	,	,
I	PP	I
started	VBD	start
to	TO	to
recognize	VB	recognize
star	NN	star
patterns	NNS	pattern
like	IN	like
the	DT	the
Big	NP	Big
Dipper	NP	Dipper
and	CC	and
Orion	NP	Orion
.	SENT	.
And	CC	and
I	PP	I
became	VBD	become
more	RBR	more
familiar	JJ	familiar
with	IN	with
them	PP	them
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
all	RB	all
I	PP	I
could	MD	could
do	VB	do
is	VBZ	be
to	TO	to
stare	VB	stare
out	RP	out
at	IN	at
the	DT	the
sky	NN	sky
.	SENT	.
And	CC	and
so	RB	so
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
think	VBP	think
that	DT	that
sort	NN	sort
of	IN	of
kindled	VBN	kindle
an	DT	an
interest	NN	interest
for	IN	for
me	PP	me
.	SENT	.
But	CC	but
I	PP	I
had	VBD	have
a	DT	a
math	NN	math
teacher	NN	teacher
who	WP	who
one	CD	one
day	NN	day
took	VBD	take
her	PP$	her
class	NN	class
of	IN	of
four	CD	four
students	NNS	student
aside	RB	aside
and	CC	and
said	VBD	say
,	,	,
"	``	"
Where	WRB	where
are	VBP	be
you	PP	you
young	JJ	young
people	NNS	people
planning	VBG	plan
to	TO	to
go	VB	go
to	TO	to
college	NN	college
?	SENT	?
"	``	"
And	CC	and
when	WRB	when
it	PP	it
came	VBD	come
to	TO	to
my	PP$	my
turn	NN	turn
,	,	,
I	PP	I
said	VBD	say
,	,	,
"	``	"
Penn	NP	Penn
State	NP	State
.	SENT	.
"	``	"
She	PP	she
said	VBD	say
,	,	,
"	``	"
Why	WRB	why
?	SENT	?
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
my	PP$	my
dad	NN	dad
went	VBD	go
to	TO	to
Penn	NP	Penn
State	NP	State
and	CC	and
I	PP	I
live	VBP	live
in	IN	in
Pennsylvania	NP	Pennsylvania
.	SENT	.
"	``	"
She	PP	she
said	VBD	say
,	,	,
"	``	"
I	PP	I
think	VBP	think
you	PP	you
should	MD	should
apply	VB	apply
to	TO	to
MIT	NP	MIT
.	SENT	.
"	``	"
ND	NN	ND
:	:	:
Wow	NN	wow
.	SENT	.
HH	NP	HH
:	:	:
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
even	RB	even
know	VBP	know
what	WP	what
that	DT	that
is	VBZ	be
.	SENT	.
"	``	"
So	RB	so
she	PP	she
encouraged	VBD	encourage
me	PP	me
and	CC	and
I	PP	I
applied	VBD	apply
.	SENT	.
When	WRB	when
it	PP	it
came	VBD	come
time	NN	time
for	IN	for
letters	NNS	letter
of	IN	of
recommendation	NN	recommendation
,	,	,
I	PP	I
asked	VBD	ask
my	PP$	my
chemistry	NN	chemistry
teacher	NN	teacher
to	TO	to
write	VB	write
me	PP	me
a	DT	a
letter	NN	letter
,	,	,
and	CC	and
he	PP	he
said	VBD	say
no	RB	no
.	SENT	.
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Why	WRB	why
not	RB	not
?	SENT	?
"	''	"
He	PP	he
said	VBD	say
,	,	,
"	``	"
You	PP	you
'	POS	'
ll	NNS	<unknown>
never	RB	never
get	VBP	get
into	IN	into
MIT	NP	MIT
.	SENT	.
"	``	"
So	RB	so
I	PP	I
asked	VBD	ask
my	PP$	my
history	NN	history
teacher	NN	teacher
instead	RB	instead
,	,	,
and	CC	and
she	PP	she
did	VBD	do
write	VB	write
a	DT	a
letter	NN	letter
and	CC	and
I	PP	I
did	VBD	do
get	VB	get
into	IN	into
MIT	NP	MIT
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
brought	VBD	bring
back	RB	back
my	PP$	my
acceptance	NN	acceptance
letter	NN	letter
and	CC	and
showed	VBD	show
it	PP	it
to	TO	to
my	PP$	my
chemistry	NN	chemistry
teacher	NN	teacher
--	:	--
"	``	"
Look	VB	look
,	,	,
I	PP	I
got	VBD	get
into	IN	into
MIT	NP	MIT
.	SENT	.
"	''	"
--	:	--
he	PP	he
said	VBD	say
,	,	,
"	``	"
It	PP	it
'	POS	'
s	NN	S
only	RB	only
because	IN	because
you	PP	you
'	''	'
re	IN	re
a	DT	a
woman	NN	woman
.	SENT	.
They	PP	they
have	VBP	have
quotas	NNS	quota
to	TO	to
fill	VB	fill
.	SENT	.
"	``	"
This	DT	this
is	VBZ	be
in	IN	in
1978	CD	@card@
when	WRB	when
people	NNS	people
said	VBD	say
things	NNS	thing
like	IN	like
that	WDT	that
to	TO	to
your	PP$	your
face	NN	face
.	SENT	.
That	IN	that
made	VBN	make
me	PP	me
angry	JJ	angry
more	JJR	more
than	IN	than
anything	NN	anything
.	SENT	.
So	RB	so
I	PP	I
was	VBD	be
determined	VBN	determine
to	TO	to
go	VB	go
to	TO	to
MIT	NP	MIT
and	NP	and
--	:	--
graduate	NN	graduate
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
ND	NN	ND
:	:	:
What	WP	what
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
nagging	JJ	nagging
unanswered	JJ	unanswered
questions	NNS	question
in	IN	in
your	PP$	your
mind	NN	mind
that	WDT	that
exist	VBP	exist
in	IN	in
astronomy	NN	astronomy
?	SENT	?
Any	DT	any
field	NN	field
in	IN	in
astronomy	NN	astronomy
,	,	,
could	MD	could
be	VB	be
anywhere	RB	anywhere
in	IN	in
the	DT	the
universe	NN	universe
,	,	,
close	JJ	close
to	TO	to
home	NN	home
,	,	,
far	RB	far
away	RB	away
.	SENT	.
What	WP	what
bugs	VBZ	bug
you	PP	you
?	SENT	?
What	WP	what
keeps	VBZ	keep
you	PP	you
up	RP	up
at	IN	at
night	NN	night
?	SENT	?
HH	NP	HH
:	:	:
How	WRB	how
did	VBD	do
the	DT	the
first	JJ	first
stars	NNS	star
and	CC	and
galaxies	NNS	galaxy
form	NN	form
in	IN	in
the	DT	the
universe	NN	universe
?	SENT	?
We	PP	we
have	VBP	have
lots	NNS	lot
of	IN	of
models	NNS	model
and	CC	and
theories	NNS	theory
,	,	,
but	CC	but
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
make	VB	make
actual	JJ	actual
observations	NNS	observation
as	IN	as
early	JJ	early
as	IN	as
we	PP	we
can	MD	can
,	,	,
to	TO	to
tie	VB	tie
together	RB	together
some	DT	some
of	IN	of
the	DT	the
disparate	JJ	disparate
observations	NNS	observation
we	PP	we
have	VBP	have
with	IN	with
a	DT	a
coherent	JJ	coherent
story	NN	story
.	SENT	.
I	PP	I
think	VBP	think
that	DT	that
is	VBZ	be
an	DT	an
area	NN	area
that	WDT	that
is	VBZ	be
very	RB	very
,	,	,
very	RB	very
interesting	JJ	interesting
right	RB	right
now	RB	now
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
James	NP	James
Webb	NP	Webb
Space	NP	Space
Telescope	NN	telescope
was	VBD	be
built	VBN	build
,	,	,
to	TO	to
add	VB	add
a	DT	a
piece	NN	piece
to	TO	to
that	DT	that
story	NN	story
.	SENT	.
ND	NN	ND
:	:	:
Uh-huh	NP	Uh-huh
.	SENT	.
HH	NP	HH
:	:	:
I	PP	I
think	VBP	think
I	PP	I
'	''	'
m	NN	m
also	RB	also
interested	JJ	interested
in	IN	in
how	WRB	how
our	PP$	our
planetary	JJ	planetary
system	NN	system
that	IN	that
we	PP	we
live	VBP	live
in	IN	in
,	,	,
how	WRB	how
did	VBD	do
it	PP	it
in	IN	in
particular	JJ	particular
come	VBP	come
to	TO	to
be	VB	be
and	CC	and
how	WRB	how
did	VBD	do
it	PP	it
come	VBP	come
to	TO	to
be	VB	be
habitable	JJ	habitable
?	SENT	?
We	PP	we
know	VBP	know
this	DT	this
is	VBZ	be
the	DT	the
only	JJ	only
one	CD	one
.	SENT	.
.	SENT	.
.	SENT	.
the	DT	the
only	JJ	only
system	NN	system
that	IN	that
we	PP	we
know	VBP	know
is	VBZ	be
inhabited	VBN	inhabit
,	,	,
right	RB	right
,	,	,
is	VBZ	be
our	PP$	our
solar	JJ	solar
system	NN	system
.	SENT	.
ND	NN	ND
:	:	:
Right	RB	right
.	SENT	.
HH	NP	HH
:	:	:
Is	VBZ	be
it	PP	it
required	JJ	required
that	IN	that
you	PP	you
have	VBP	have
giant	JJ	giant
planets	NNS	planet
in	IN	in
the	DT	the
outer	JJ	outer
system	NN	system
and	CC	and
small	JJ	small
planets	NNS	planet
in	IN	in
the	DT	the
inner	JJ	inner
solar	JJ	solar
system	NN	system
to	TO	to
make	VB	make
habitability	NN	habitability
?	SENT	?
Or	CC	or
is	VBZ	be
it	PP	it
just	RB	just
by	IN	by
happenstance	NN	happenstance
?	SENT	?
Did	VBD	do
you	PP	you
have	VBP	have
to	TO	to
have	VB	have
a	DT	a
Jupiter	NP	Jupiter
to	TO	to
make	VB	make
it	PP	it
habitable	JJ	habitable
?	SENT	?
Did	VBD	do
you	PP	you
have	VBP	have
to	TO	to
have	VB	have
a	DT	a
Neptune	NP	Neptune
to	TO	to
sweep	VB	sweep
out	RP	out
through	IN	through
the	DT	the
Kuiper	NP	Kuiper
Belt	NP	Belt
and	CC	and
deliver	VB	deliver
volatiles	NNS	volatile
to	TO	to
the	DT	the
inner	JJ	inner
solar	JJ	solar
system	NN	system
,	,	,
water	NN	water
and	CC	and
stuff	NN	stuff
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
that	IN	that
'	POS	'
s	NN	S
so	RB	so
interesting	JJ	interesting
.	SENT	.
And	CC	and
.	SENT	.
.	SENT	.
.	SENT	.
And	CC	and
it	PP	it
touches	VBZ	touch
us	PP	us
as	IN	as
humans	NNS	human
.	SENT	.
Like	IN	like
,	,	,
how	WRB	how
did	VBD	do
we	PP	we
come	VBP	come
to	TO	to
be	VB	be
?	SENT	?
It	PP	it
'	POS	'
s	JJ	<unknown>
part	NN	part
of	IN	of
our	PP$	our
story	NN	story
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
part	NN	part
of	IN	of
our	PP$	our
life	NN	life
story	NN	story
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
very	RB	very
interested	JJ	interested
in	IN	in
that	DT	that
question	NN	question
as	IN	as
well	RB	well
.	SENT	.
And	CC	and
we	PP	we
still	RB	still
have	VBP	have
so	RB	so
many	JJ	many
observations	NNS	observation
left	VBD	leave
to	TO	to
make	VB	make
,	,	,
both	CC	both
within	IN	within
our	PP$	our
solar	JJ	solar
system	NN	system
and	CC	and
in	IN	in
the	DT	the
greater	JJR	great
universe	NN	universe
.	SENT	.
I	PP	I
think	VBP	think
astronomers	NNS	astronomer
will	MD	will
be	VB	be
busy	JJ	busy
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
to	TO	to
come	VB	come
.	SENT	.
