Each	DT	each
confront	VB	confront
the	DT	the
idea	NN	idea
that	IN	that
our	PP$	our
destiny	NN	destiny
is	VBZ	be
to	TO	to
be	VB	be
one	CD	one
world	NN	world
with	IN	with
one	CD	one
language	NN	language
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Matt	NP	Matt
Ridley	NP	Ridley
:	:	:
Mark	NP	Mark
,	,	,
one	CD	one
question	NN	question
.	SENT	.
Svante	NP	Svante
found	VBD	find
that	IN	that
the	DT	the
FOXP2	NP	<unknown>
gene	NN	gene
,	,	,
which	WDT	which
seems	VBZ	seem
to	TO	to
be	VB	be
associated	VBN	associate
with	IN	with
language	NN	language
,	,	,
was	VBD	be
also	RB	also
shared	VBN	share
in	IN	in
the	DT	the
same	JJ	same
form	NN	form
in	IN	in
Neanderthals	NNS	Neanderthal
as	IN	as
us	PP	us
.	SENT	.
Do	VB	do
we	PP	we
have	VBP	have
any	DT	any
idea	NN	idea
how	WRB	how
we	PP	we
could	MD	could
have	VB	have
defeated	VBN	defeat
Neanderthals	NNS	Neanderthal
if	IN	if
they	PP	they
also	RB	also
had	VBD	have
language	NN	language
?	SENT	?
Mark	NP	Mark
Pagel	NP	Pagel
:	:	:
This	DT	this
is	VBZ	be
a	DT	a
very	RB	very
good	JJ	good
question	NN	question
.	SENT	.
So	RB	so
many	JJ	many
of	IN	of
you	PP	you
will	MD	will
be	VB	be
familiar	JJ	familiar
with	IN	with
the	DT	the
idea	NN	idea
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
gene	NN	gene
called	VBN	call
FOXP2	NP	<unknown>
that	WDT	that
seems	VBZ	seem
to	TO	to
be	VB	be
implicated	VBN	implicate
in	IN	in
some	DT	some
ways	NNS	way
in	IN	in
the	DT	the
fine	JJ	fine
motor	NN	motor
control	NN	control
that	RB	that
'	POS	'
s	NNS	<unknown>
associated	VBN	associate
with	IN	with
language	NN	language
.	SENT	.
The	DT	the
reason	NN	reason
why	WRB	why
I	PP	I
don	VBP	don
'	''	'
t	NN	t
believe	VBP	believe
that	WDT	that
tells	VBZ	tell
us	PP	us
that	IN	that
the	DT	the
Neanderthals	NNS	Neanderthal
had	VBD	have
language	NN	language
is	VBZ	be
—	:	-
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
simple	JJ	simple
analogy	NN	analogy
:	:	:
Ferraris	NP	Ferraris
are	VBP	be
cars	NNS	car
that	WDT	that
have	VBP	have
engines	NNS	engine
.	SENT	.
My	PP$	my
car	NN	car
has	VBZ	have
an	DT	an
engine	NN	engine
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
Ferrari	NP	Ferrari
.	SENT	.
Now	RB	now
the	DT	the
simple	JJ	simple
answer	NN	answer
then	RB	then
is	VBZ	be
that	IN	that
genes	NNS	gene
alone	RB	alone
don	VBP	don
'	POS	'
t	NN	t
,	,	,
all	RB	all
by	IN	by
themselves	PP	themselves
,	,	,
determine	VB	determine
the	DT	the
outcome	NN	outcome
of	IN	of
very	RB	very
complicated	VBN	complicate
things	NNS	thing
like	IN	like
language	NN	language
.	SENT	.
What	WP	what
we	PP	we
know	VBP	know
about	IN	about
this	DT	this
FOXP2	NP	<unknown>
and	CC	and
Neanderthals	NNS	Neanderthal
is	VBZ	be
that	IN	that
they	PP	they
may	MD	may
have	VB	have
had	VBN	have
fine	JJ	fine
motor	NN	motor
control	NN	control
of	IN	of
their	PP$	their
mouths	NNS	mouth
—	:	-
who	WP	who
knows	VBZ	know
.	SENT	.
But	CC	but
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
tell	VB	tell
us	PP	us
they	PP	they
necessarily	RB	necessarily
had	VBD	have
language	NN	language
.	SENT	.
MR	NP	Mr
:	:	:
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
.	SENT	.
