Charles	NP	Charles
would	MD	would
carry	VB	carry
a	DT	a
lot	NN	lot
more	JJR	more
weight	NN	weight
than	IN	than
someone	NN	someone
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
I	PP	I
give	VBP	give
this	DT	this
talk	NN	talk
sometimes	RB	sometimes
with	IN	with
Angela	NP	Angela
,	,	,
who	WP	who
was	VBD	be
just	RB	just
re-elected	VBN	re-elect
to	TO	to
the	DT	the
board	NN	board
from	IN	from
the	DT	the
community	NN	community
â	NP	<unknown>
to	TO	to
the	DT	the
Board	NP	Board
of	IN	of
the	DT	the
Foundation	NP	Foundation
,	,	,
with	IN	with
more	JJR	more
than	IN	than
twice	RB	twice
the	DT	the
votes	NNS	vote
of	IN	of
the	DT	the
person	NN	person
who	WP	who
didn	NP	<unknown>
'	POS	'
t	NN	t
make	VB	make
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
always	RB	always
embarrass	VB	embarrass
her	PP	her
because	IN	because
I	PP	I
say	VBP	say
,	,	,
"	``	"
Well	UH	well
,	,	,
Angela	NP	Angela
,	,	,
for	IN	for
example	NN	example
,	,	,
could	MD	could
get	VB	get
away	RB	away
with	IN	with
doing	VBG	do
absolutely	RB	absolutely
anything	NN	anything
within	IN	within
Wikipedia	NP	<unknown>
,	,	,
because	IN	because
she	PP	she
'	POS	'
s	NN	S
so	RB	so
admired	VBN	admire
and	CC	and
so	RB	so
powerful	JJ	powerful
.	SENT	.
"	''	"
But	CC	but
the	DT	the
irony	NN	irony
is	VBZ	be
,	,	,
of	IN	of
course	NN	course
,	,	,
that	WDT	that
Angela	NP	Angela
can	MD	can
do	VB	do
this	DT	this
because	IN	because
she	PP	she
'	POS	'
s	NN	S
the	DT	the
one	CD	one
person	NN	person
who	WP	who
you	PP	you
know	VBP	know
would	MD	would
never	RB	never
,	,	,
ever	RB	ever
break	VB	break
any	DT	any
rules	NNS	rule
of	IN	of
Wikipedia	NP	<unknown>
.	SENT	.
And	CC	and
I	PP	I
also	RB	also
like	VBP	like
to	TO	to
say	VB	say
she	PP	she
'	POS	'
s	NN	S
the	DT	the
only	JJ	only
person	NN	person
who	WP	who
actually	RB	actually
knows	VBZ	know
all	PDT	all
the	DT	the
rules	NNS	rule
of	IN	of
Wikipedia	NP	<unknown>
,	,	,
so	RB	so
.	SENT	.
.	SENT	.
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	NN	S
monarchy	NN	monarchy
,	,	,
and	CC	and
that	IN	that
'	''	'
s	VBG	<unknown>
my	PP$	my
role	NN	role
on	IN	on
the	DT	the
community	NN	community
,	,	,
so	RB	so
.	SENT	.
.	SENT	.
.	SENT	.
I	PP	I
was	VBD	be
describing	VBG	describe
this	DT	this
in	IN	in
Berlin	NP	Berlin
once	RB	once
,	,	,
and	CC	and
the	DT	the
next	JJ	next
day	NN	day
in	IN	in
the	DT	the
newspaper	NN	newspaper
the	DT	the
headline	NN	headline
said	VBD	say
,	,	,
"	``	"
I	PP	I
am	VBP	be
the	DT	the
Queen	NP	Queen
of	IN	of
England	NP	England
.	SENT	.
"	''	"
And	CC	and
that	IN	that
'	POS	'
s	NN	S
not	RB	not
exactly	RB	exactly
what	WP	what
I	PP	I
said	VBD	say
,	,	,
but	CC	but
â	NP	<unknown>
the	DT	the
point	NN	point
is	VBZ	be
my	PP$	my
role	NN	role
in	IN	in
the	DT	the
community	NN	community
â	NP	<unknown>
Within	IN	within
the	DT	the
free	JJ	free
software	NN	software
world	NN	world
,	,	,
there	EX	there
'	''	'
s	RB	<unknown>
been	VBN	be
a	DT	a
long-standing	JJ	long-standing
tradition	NN	tradition
of	IN	of
the	DT	the
"	``	"
benevolent	JJ	benevolent
dictator	NN	dictator
"	''	"
model	NN	model
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
most	JJS	most
of	IN	of
the	DT	the
major	JJ	major
free	JJ	free
software	NN	software
projects	NNS	project
,	,	,
they	PP	they
have	VBP	have
one	CD	one
single	JJ	single
person	NN	person
in	IN	in
charge	NN	charge
who	WP	who
everyone	NN	everyone
agrees	VBZ	agree
is	VBZ	be
the	DT	the
benevolent	JJ	benevolent
dictator	NN	dictator
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
like	IN	like
the	DT	the
term	NN	term
"	``	"
benevolent	JJ	benevolent
dictator	NN	dictator
,	,	,
"	``	"
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
that	IN	that
it	PP	it
'	''	'
s	VBG	<unknown>
my	PP$	my
job	NN	job
or	CC	or
my	PP$	my
role	NN	role
in	IN	in
the	DT	the
world	NN	world
of	IN	of
ideas	NNS	idea
to	TO	to
be	VB	be
the	DT	the
dictator	NN	dictator
of	IN	of
the	DT	the
future	NN	future
of	IN	of
all	DT	all
human	JJ	human
knowledge	NN	knowledge
compiled	VBN	compile
by	IN	by
the	DT	the
world	NN	world
.	SENT	.
It	PP	it
just	RB	just
isn	NN	isn
'	POS	'
t	NN	t
appropriate	JJ	appropriate
.	SENT	.
But	CC	but
there	EX	there
is	VBZ	be
a	DT	a
need	NN	need
still	RB	still
for	IN	for
a	DT	a
certain	JJ	certain
amount	NN	amount
of	IN	of
monarchy	NN	monarchy
,	,	,
a	DT	a
certain	JJ	certain
amount	NN	amount
of	IN	of
â	NP	<unknown>
sometimes	RB	sometimes
we	PP	we
have	VBP	have
to	TO	to
make	VB	make
a	DT	a
decision	NN	decision
and	CC	and
we	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
get	VB	get
bogged	RB	bogged
down	RB	down
too	RB	too
heavily	RB	heavily
in	IN	in
formal	JJ	formal
decision-making	NN	decision-making
processes	NNS	process
.	SENT	.
So	RB	so
as	IN	as
an	DT	an
example	NN	example
of	IN	of
how	WRB	how
this	DT	this
can	MD	can
be	VB	be
important	JJ	important
:	:	:
we	PP	we
recently	RB	recently
had	VBD	have
a	DT	a
situation	NN	situation
where	WRB	where
a	DT	a
neo-Nazi	NP	neo-Nazi
website	NN	website
discovered	VBN	discover
Wikipedia	NP	<unknown>
,	,	,
and	CC	and
they	PP	they
said	VBD	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
well	UH	well
,	,	,
this	DT	this
is	VBZ	be
horrible	JJ	horrible
,	,	,
this	DT	this
Jewish	JJ	Jewish
conspiracy	NN	conspiracy
of	IN	of
a	DT	a
website	NN	website
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
get	VB	get
certain	JJ	certain
articles	NNS	article
deleted	VBD	delete
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
like	IN	like
.	SENT	.
And	CC	and
we	PP	we
see	VBP	see
they	PP	they
have	VBP	have
a	DT	a
voting	NN	voting
process	NN	process
,	,	,
so	IN	so
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
send	VB	send
â	NP	<unknown>
we	PP	we
have	VBP	have
40	CD	@card@
,	,	,
000	CD	@card@
members	NNS	member
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
send	VB	send
them	PP	them
over	RP	over
and	CC	and
they	PP	they
'	POS	'
re	NN	re
all	RB	all
going	VBG	go
to	TO	to
vote	VB	vote
and	CC	and
get	VB	get
these	DT	these
pages	NNS	page
deleted	VBN	delete
.	SENT	.
"	''	"
Well	RB	well
,	,	,
they	PP	they
managed	VBD	manage
to	TO	to
get	VB	get
18	CD	@card@
people	NNS	people
to	TO	to
show	VB	show
up	RP	up
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
neo-Nazi	NP	neo-Nazi
math	NN	math
for	IN	for
you	PP	you
.	SENT	.
They	PP	they
always	RB	always
think	VBP	think
they	PP	they
'	''	'
ve	NNS	<unknown>
got	VBD	get
40	CD	@card@
,	,	,
000	CD	@card@
members	NNS	member
when	WRB	when
they	PP	they
'	POS	'
ve	NN	ve
got	VBD	get
18	CD	@card@
.	SENT	.
But	CC	but
they	PP	they
managed	VBD	manage
to	TO	to
get	VB	get
18	CD	@card@
people	NNS	people
to	TO	to
come	VB	come
and	CC	and
vote	VB	vote
in	IN	in
a	DT	a
fairly	RB	fairly
absurd	JJ	absurd
way	NN	way
to	TO	to
delete	VB	delete
a	DT	a
perfectly	RB	perfectly
valid	JJ	valid
article	NN	article
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
the	DT	the
vote	NN	vote
ended	VBD	end
up	RP	up
being	VBG	be
about	RB	about
85	CD	@card@
to	TO	to
18	CD	@card@
,	,	,
so	CC	so
there	EX	there
was	VBD	be
no	DT	no
real	JJ	real
danger	NN	danger
to	TO	to
our	PP$	our
democratic	JJ	democratic
processes	NNS	process
.	SENT	.
On	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
people	NNS	people
said	VBD	say
,	,	,
"	''	"
But	CC	but
what	WP	what
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
do	VB	do
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
this	DT	this
could	MD	could
happen	VB	happen
.	SENT	.
What	WP	what
if	IN	if
some	DT	some
group	NN	group
gets	VBZ	get
really	RB	really
seriously	RB	seriously
organized	VBN	organize
and	CC	and
comes	VBZ	come
in	IN	in
and	CC	and
wants	VBZ	want
to	TO	to
vote	VB	vote
?	SENT	?
"	``	"
Then	RB	then
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
fuck	VB	fuck
it	PP	it
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
just	RB	just
change	VBP	change
the	DT	the
rules	NNS	rule
.	SENT	.
"	``	"
That	RB	that
'	''	'
s	VBG	<unknown>
my	PP$	my
job	NN	job
in	IN	in
the	DT	the
community	NN	community
:	:	:
to	TO	to
say	VB	say
we	PP	we
won	NN	won
'	POS	'
t	NN	t
allow	VB	allow
our	PP$	our
openness	NN	openness
and	CC	and
freedom	NN	freedom
to	TO	to
undermine	VB	undermine
the	DT	the
quality	NN	quality
of	IN	of
the	DT	the
content	NN	content
.	SENT	.
And	CC	and
so	RB	so
,	,	,
as	RB	as
long	RB	long
as	IN	as
people	NNS	people
trust	VBP	trust
me	PP	me
in	IN	in
my	PP$	my
role	NN	role
,	,	,
then	RB	then
that	RB	that
'	''	'
s	VBG	<unknown>
a	DT	a
valid	JJ	valid
place	NN	place
for	IN	for
me	PP	me
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
because	IN	because
of	IN	of
the	DT	the
free	JJ	free
licensing	NN	licensing
,	,	,
if	IN	if
I	PP	I
do	VBP	do
a	DT	a
bad	JJ	bad
job	NN	job
,	,	,
the	DT	the
volunteers	NNS	volunteer
are	VBP	be
more	JJR	more
than	IN	than
happy	JJ	happy
to	TO	to
take	VB	take
and	CC	and
leave	VB	leave
â	NP	<unknown>
I	PP	I
can	MD	can
'	''	'
t	NN	t
tell	VB	tell
anyone	NN	anyone
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
So	IN	so
the	DT	the
final	JJ	final
point	NN	point
here	RB	here
is	VBZ	be
that	IN	that
to	TO	to
understand	VB	understand
how	WRB	how
Wikipedia	NP	<unknown>
works	VBZ	work
,	,	,
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
understand	VB	understand
that	IN	that
our	PP$	our
wiki	NP	<unknown>
model	NN	model
is	VBZ	be
the	DT	the
way	NN	way
we	PP	we
work	VBP	work
,	,	,
but	CC	but
we	PP	we
are	VBP	be
not	RB	not
fanatical	JJ	fanatical
web	NN	web
anarchists	NNS	anarchist
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
we	PP	we
'	POS	'
re	NN	re
very	RB	very
flexible	JJ	flexible
about	IN	about
the	DT	the
social	JJ	social
methodology	NN	methodology
,	,	,
because	IN	because
ultimately	RB	ultimately
,	,	,
the	DT	the
passion	NN	passion
of	IN	of
the	DT	the
community	NN	community
is	VBZ	be
for	IN	for
the	DT	the
quality	NN	quality
of	IN	of
the	DT	the
work	NN	work
,	,	,
not	RB	not
necessarily	RB	necessarily
for	IN	for
the	DT	the
process	NN	process
that	IN	that
we	PP	we
use	VBP	use
to	TO	to
generate	VB	generate
it	PP	it
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Ben	NP	Ben
Saunders	NP	Saunders
:	:	:
Yeah	RB	yeah
,	,	,
hi	UH	hi
,	,	,
Ben	NP	Ben
Saunders	NP	Saunders
.	SENT	.
Jimmy	NP	Jimmy
,	,	,
you	PP	you
mentioned	VBD	mention
impartiality	NN	impartiality
being	VBG	be
a	DT	a
key	NN	key
to	TO	to
Wikipedia	NP	<unknown>
'	POS	'
s	NN	S
success	NN	success
.	SENT	.
It	PP	it
strikes	VBZ	strike
me	PP	me
that	IN	that
much	RB	much
of	IN	of
the	DT	the
textbooks	NNS	textbook
that	WDT	that
are	VBP	be
used	VBN	use
to	TO	to
educate	VB	educate
our	PP$	our
children	NNS	child
are	VBP	be
inherently	RB	inherently
biased	VBN	bias
.	SENT	.
Have	VBP	have
you	PP	you
found	VBD	find
Wikipedia	NP	<unknown>
being	VBG	be
used	VBN	use
by	IN	by
teachers	NNS	teacher
and	CC	and
how	WRB	how
do	VBP	do
you	PP	you
see	VBP	see
Wikipedia	NP	<unknown>
changing	VBG	change
education	NN	education
?	SENT	?
Jimmy	NP	Jimmy
Wales	NP	Wales
:	:	:
Yeah	RB	yeah
,	,	,
so	RB	so
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
teachers	NNS	teacher
are	VBP	be
beginning	VBG	begin
to	TO	to
use	VB	use
Wikipedia	NP	<unknown>
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
media	NNS	medium
storyline	NN	storyline
about	IN	about
Wikipedia	NP	<unknown>
,	,	,
which	WDT	which
I	PP	I
think	VBP	think
is	VBZ	be
false	JJ	false
.	SENT	.
It	PP	it
builds	VBZ	build
on	IN	on
the	DT	the
storyline	NN	storyline
of	IN	of
bloggers	NNS	blogger
versus	CC	versus
newspapers	NNS	newspaper
.	SENT	.
And	CC	and
the	DT	the
storyline	NN	storyline
is	VBZ	be
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
crazy	JJ	crazy
thing	NN	thing
,	,	,
Wikipedia	NP	<unknown>
,	,	,
but	CC	but
academics	NNS	academic
hate	VBP	hate
it	PP	it
and	CC	and
teachers	NNS	teacher
hate	VBP	hate
it	PP	it
.	SENT	.
And	CC	and
that	DT	that
turns	VBZ	turn
out	RP	out
to	TO	to
not	RB	not
be	VB	be
true	JJ	true
.	SENT	.
The	DT	the
last	JJ	last
time	NN	time
I	PP	I
got	VBD	get
an	DT	an
email	NN	<unknown>
from	IN	from
a	DT	a
journalist	NN	journalist
saying	VBG	say
,	,	,
"	``	"
Why	WRB	why
do	VBP	do
academics	NNS	academic
hate	VBP	hate
Wikipedia	NP	<unknown>
?	SENT	?
"	``	"
I	PP	I
sent	VBD	send
it	PP	it
from	IN	from
my	PP$	my
Harvard	NP	Harvard
email	NN	<unknown>
address	NN	address
because	IN	because
I	PP	I
was	VBD	be
recently	RB	recently
appointed	VBN	appoint
a	DT	a
fellow	NN	fellow
there	RB	there
.	SENT	.
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
all	RB	all
hate	VBP	hate
it	PP	it
.	SENT	.
"	``	"
But	CC	but
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
huge	JJ	huge
impacts	NNS	impact
.	SENT	.
And	CC	and
we	PP	we
actually	RB	actually
have	VBP	have
a	DT	a
project	NN	project
that	IN	that
I	NP	I
'	POS	'
m	NN	m
personally	RB	personally
really	RB	really
excited	VBN	excite
about	RB	about
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
Wikibooks	NP	<unknown>
project	NN	project
,	,	,
which	WDT	which
is	VBZ	be
an	DT	an
effort	NN	effort
to	TO	to
create	VB	create
textbooks	NNS	textbook
in	IN	in
all	PDT	all
the	DT	the
languages	NNS	language
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
much	RB	much
bigger	JJR	big
project	NN	project
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
take	VB	take
20	CD	@card@
years	NNS	year
or	CC	or
so	RB	so
to	TO	to
come	VB	come
to	TO	to
fruition	NN	fruition
.	SENT	.
But	CC	but
part	NN	part
of	IN	of
that	WDT	that
is	VBZ	be
to	TO	to
fulfill	VB	fulfill
our	PP$	our
mission	NN	mission
of	IN	of
giving	VBG	give
an	DT	an
encyclopedia	NN	encyclopedia
to	TO	to
every	DT	every
single	JJ	single
person	NN	person
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
mean	VBP	mean
we	PP	we
'	''	'
re	IN	re
going	VBG	go
to	TO	to
Spam	NN	spam
them	PP	them
with	IN	with
AOL-	NP	<unknown>
style	NN	style
CDs	NNS	CD
.	SENT	.
We	PP	we
mean	VBP	mean
we	PP	we
'	''	'
re	IN	re
going	VBG	go
to	TO	to
give	VB	give
them	PP	them
a	DT	a
tool	NN	tool
that	IN	that
they	PP	they
can	MD	can
use	VB	use
.	SENT	.
And	CC	and
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
in	IN	in
the	DT	the
world	NN	world
,	,	,
if	IN	if
I	PP	I
give	VBP	give
you	PP	you
an	DT	an
encyclopedia	NN	encyclopedia
that	RB	that
'	POS	'
s	NNS	<unknown>
written	VBN	write
at	IN	at
a	DT	a
university	NN	university
level	NN	level
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
do	VBP	do
you	PP	you
any	DT	any
good	JJ	good
without	IN	without
a	DT	a
whole	JJ	whole
host	NN	host
of	IN	of
literacy	NN	literacy
materials	NNS	material
to	TO	to
build	VB	build
you	PP	you
up	RP	up
to	TO	to
the	DT	the
point	NN	point
where	WRB	where
you	PP	you
can	MD	can
actually	RB	actually
use	VB	use
it	PP	it
.	SENT	.
The	DT	the
Wikibooks	NP	<unknown>
project	NN	project
is	VBZ	be
an	DT	an
effort	NN	effort
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
â	NP	<unknown>
it	PP	it
may	MD	may
not	RB	not
even	RB	even
come	VB	come
from	IN	from
us	PP	us
;	:	;
there	EX	there
'	''	'
s	VBG	<unknown>
all	DT	all
kinds	NNS	kind
of	IN	of
innovation	NN	innovation
going	VBG	go
on	IN	on
.	SENT	.
But	CC	but
freely	RB	freely
licensed	JJ	licensed
textbooks	NNS	textbook
are	VBP	be
the	DT	the
next	JJ	next
big	JJ	big
thing	NN	thing
in	IN	in
education	NN	education
.	SENT	.
