Corey corey
It it
' '
s s
that that
type type
of of
character character
that that
brings bring
our our
country country
together together
, ,
but but
each each
has have
to to
recognize recognize
their their
roles role
in in
doing do
that that
. .
So so
there there
' '
s s
a a
CEO ceo
and and
then then
there there
' '
s s
somebody somebody
who who
' '
s s
really really
a a
great great
hero hero
on on
the the
front front
lines line
, ,
and and
they they
better well
damn damn
work work
well well
together together
, ,
so so
yeah yeah
. .
And and
then then
, ,
they they
have have
to to
have have
usefulness usefulness
. .
And and
we we
' '
ve ve
got get
to to
appreciate appreciate
them them
. .
We we
have have
to to
establish establish
-- --
just just
the the
reality reality
, ,
I i
think think
-- --
that that
there there
is be
a a
level level
of of
basics basic
. .
Basic basic
education education
, ,
basic basic
health health
care care
-- --
Basics basic
that that
you you
cannot can
fall fall
below below
. .
OK ok
? ?
Otherwise otherwise
, ,
when when
you you
go go
below below
that that
level level
, ,
there there
is be
no no
opportunity opportunity
, ,
and and
actually actually
, ,
the the
costliness costliness
of of
it it
, ,
in in
the the
form form
of of
crimes crime
and and
incarceration incarceration
. .
Like like
, ,
to to
bring bring
it it
personal personal
, ,
our our
mission mission
is be
to to
help help
high high
school school
kids kid
who who
dropped drop
out out
of of
high high
school school
and and
can can
have have
jobs job
, ,
to to
get get
them them
in in
that that
high high
school school
and and
through through
that that
, ,
in in
jobs job
. .
And and
we we
believe believe
that that
we we
can can
do do
that that
and and
save save
a a
lot lot
of of
money money
, ,
because because
the the
average average
cost cost
of of
incarceration incarceration
, ,
it it
goes go
from from
about about
40 @card@
, ,
000 @card@
dollars dollar
a a
year year
up up
to to
120 @card@
, ,
000 @card@
dollars dollar
a a
year year
, ,
depending depend
on on
the the
form form
. .
And and
if if
you you
get get
them them
in in
and and
move move
them them
into into
a a
job job
, ,
you you
' '
re re
going go
to to
save save
a a
lot lot
of of
money money
, ,
and and
we we
could could
do do
that that
cost-effectively cost-effectively
. .
But but
philanthropists philanthropist
can can
' '
t t
do do
this this
alone alone
. .
The the
amount amount
of of
money money
is be
enormous enormous
. .
So so
if if
our our
country country
did do
those those
kinds kind
of of
things thing
, ,
I i
think think
. .
. .
. .
I i
think think
it it
would would
be be
great great
. .
CA ca
: :
Wow wow
, ,
thank thank
you you
for for
that that
, ,
Ray ray
. .
Corey corey
, ,
what what
do do
you you
think think
? ?
Have have
you you
got get
any any
other other
questions question
there there
before before
we we
wrap wrap
up up
? ?
CH ch
: :
No no
, ,
I i
think think
we we
' '
re re
good good
, ,
I i
mean mean
, ,
I i
think think
we we
' '
re re
going go
to to
get get
through through
it it
, ,
I i
guess guess
is be
what what
we we
' '
re re
saying say
, ,
but but
we we
also also
have have
an an
opportunity opportunity
here here
to to
make make
some some
changes change
and and
do do
better well
and and
emerge emerge
stronger strong
. .
And and
as as
you you
said say
, ,
take take
a a
look look
at at
things thing
and and
the the
structures structure
that that
we we
have have
in in
place place
and and
see see
where where
we we
can can
improve improve
, ,
but but
it it
' '
s s
going go
to to
take take
a a
collective collective
action action
and and
cooperation cooperation
. .
CA ca
: :
Yeah yeah
, ,
Ray ray
, ,
I i
' '
m m
definitely definitely
inspired inspire
by by
the the
actions action
that that
you you
' '
re re
taking take
as as
a a
philanthropist philanthropist
in in
this this
moment moment
. .
And and
some some
of of
your your
peers peer
, ,
you you
know know
, ,
there there
are be
amazing amazing
stories story
out out
there there
. .
I i
was be
really really
struck strike
by by
Jack jack
Dorsey dorsey
' '
s s
announcement announcement
yesterday yesterday
of of
his his
huge huge
philanthropic philanthropic
contribution contribution
. .
And and
, ,
I i
mean mean
, ,
that that
' '
s s
awesome awesome
, ,
but but
equally equally
important important
, ,
I i
was be
-- --
RD rd
: :
But but
it it
' '
s s
not not
nearly nearly
enough enough
. .
CA ca
: :
Exactly exactly
, ,
and and
I i
' '
m m
-- --
CH ch
: :
It it
would would
be be
good good
to to
see see
more more
. .
CA ca
: :
I i
' '
m m
kind kind
of of
dismayed dismayed
, ,
in in
a a
way way
, ,
to to
hear hear
you you
say say
that that
you you
' '
re re
60 @card@
/ /
40 @card@
leaning leaning
pessimistic pessimistic
, ,
like like
, ,
it it
feels feel
like like
your your
voice voice
in in
these these
conversations conversation
that that
are be
going go
on on
in in
the the
corridors corridor
of of
power power
and and
you you
know know
, ,
where where
the the
big big
money money
is be
, ,
around around
whether whether
this this
turns turn
into into
fundamentally fundamentally
, ,
cooperation cooperation
between between
countries country
and and
between between
companies company
and and
between between
, ,
you you
know know
, ,
big-money big-money
controllers controller
, ,
or or
whether whether
it it
turns turn
into into
a a
fistfight fistfight
, ,
is be
so so
important important
. .
And and
hearing hear
you you
talk talk
about about
the the
gratitude gratitude
we we
should should
be be
feeling feel
towards towards
some some
aspects aspect
, ,
let let
' '
s s
say say
, ,
of of
what what
China china
has have
done do
, ,
the the
extent extent
-- --
Do do
you you
find find
yourself yourself
in in
conversations conversation
, ,
like like
, ,
raising raise
this this
, ,
trying try
to to
take take
the the
view view
that that
, ,
" "
No no
, ,
no no
, ,
no no
, ,
you you
' '
re re
needlessly needlessly
sparking spark
friction friction
here here
, ,
take take
a a
more more
generous generous
view view
" "
? ?
Because because
it it
feels feel
to to
me me
like like
there there
' '
s s
so so
much much
at at
stake stake
between between
how how
many many
people people
are be
trying try
to to
nudge nudge
that that
type type
of of
conversation conversation
versus versus
the the
hostile hostile
, ,
fearful fearful
conversation conversation
. .
RD rd
: :
I i
think think
there there
' '
s s
a a
general general
mistaken mistaken
belief belief
-- --
I i
communicate communicate
a a
lot lot
with with
the the
people people
that that
you you
' '
re re
saying say
, ,
people people
in in
positions position
of of
power power
, ,
whether whether
they they
' '
re re
both both
in in
government government
or or
other other
places place
, ,
and and
so so
on on
. .
I i
think think
what what
you you
basically basically
have have
to to
realize realize
is be
that that
very very
few few
people people
are be
making make
decisions decision
based base
on on
the the
quality quality
of of
the the
argument argument
. .
That that
most most
people people
are be
-- --
Most most
of of
those those
are be
in in
a a
war war
of of
some some
kind kind
or or
have have
a a
particular particular
objective objective
. .
And and
that that
the the
information information
that that
comes come
out out
, ,
even even
in in
the the
media medium
-- --
you you
know know
, ,
you you
could could
almost almost
see see
which which
side side
each each
media medium
outlet outlet
or or
each each
person person
is be
on on
. .
How how
many many
people people
do do
you you
really really
believe believe
don don
' '
t t
have have
a a
side side
? ?
Almost almost
everybody everybody
has have
-- --
they they
' '
re re
on on
one one
side side
or or
another another
side side
. .
And and
the the
idea idea
of of
being be
able able
to to
see see
things thing
from from
both both
sides side
and and
come come
together together
, ,
is be
, ,
in in
this this
time time
and and
through through
history history
, ,
perceived perceive
as as
almost almost
being be
weak weak
or or
a a
threat threat
. .
Because because
you you
' '
ve ve
got get
to to
get get
on on
one one
side side
or or
the the
other other
side side
and and
so so
on on
. .
And and
so so
it it
' '
s s
not not
easy easy
to to
just just
say say
-- --
Like like
, ,
all all
the the
people people
, ,
and and
China china
for for
example example
, ,
I i
would would
say say
, ,
" "
Thank thank
you you
very very
much much
, ,
" "
you you
know know
how how
many many
respirators respirator
and and
masks mask
and and
all all
these these
things thing
that that
have have
come come
? ?
But but
almost almost
that that
' '
s s
politically politically
challenging challenge
. .
Because because
there there
will will
be be
people people
out out
there there
, ,
and and
threatening threaten
, ,
why why
am be
I i
doing do
this this
? ?
People people
will will
be be
out out
there there
and and
they they
will will
say say
, ,
" "
OK ok
, ,
he he
' '
s s
a a
China china
lover lover
" "
or or
" "
he he
' '
s s
an an
enemy enemy
, ,
" "
" "
he he
goes go
on on
the the
other other
side side
. .
" "
Because because
there there
will will
be be
people people
on on
the the
other other
sides side
, ,
and and
those those
people people
-- --
And and
so so
I i
think think
I i
' '
ll ll
turn turn
to to
you you
, ,
Chris chris
. .
You you
have have
a a
forum forum
. .
Bring bring
in in
the the
other other
sides side
, ,
OK ok
? ?
Bring bring
in in
those those
that that
are be
those those
who who
, ,
let let
' '
s s
say say
, ,
have have
the the
most most
offensive offensive
policies policy
that that
you you
think think
that that
are be
in in
positions position
of of
power power
. .
And and
have have
that that
together together
, ,
so so
that that
you you
can can
have have
thoughtful thoughtful
disagreement disagreement
. .
I i
' '
m m
a a
believer believer
in in
thoughtful thoughtful
disagreement disagreement
. .
Open open
, ,
thoughtful thoughtful
disagreement disagreement
to to
try try
to to
get get
at at
the the
right right
answer answer
and and
have have
collectiveness collectiveness
. .
But but
it it
isn isn
' '
t t
easy easy
in in
this this
world world
. .
CA ca
: :
Well well
, ,
that that
' '
s s
a a
good good
challenge challenge
to to
us us
, ,
and and
I i
' '
m m
also also
a a
believer believer
in in
[ [
thoughtful thoughtful
] ]
disagreement disagreement
, ,
I i
think think
, ,
Corey corey
, ,
we we
' '
re re
passionate passionate
disbelievers disbeliever
in in
the the
spreading spread
of of
irrational irrational
hatred hatred
. .
Like like
, ,
instinctual instinctual
irrational irrational
hatred hatred
and and
I i
feel feel
like like
the the
stakes stake
are be
so so
high high
right right
now now
, ,
that that
if if
-- --
RD rd
: :
But but
will will
you you
fight fight
for for
that that
? ?
In in
other other
words word
, ,
when when
somebody somebody
' '
s s
going go
to to
punch punch
back back
-- --
Because because
this this
is be
what what
' '
s s
needed need
. .
If if
somebody somebody
' '
s s
going go
to to
punch punch
back back
because because
you you
' '
re re
saying say
something something
that that
' '
s s
true true
and and
controversial controversial
, ,
that that
will will
be be
the the
test test
-- --
Can can
you you
punch punch
back back
for for
collective collective
, ,
you you
know know
, ,
decision-making decision-making
comment comment
, ,
decision decision
making making
and and
then then
punch punch
back back
? ?
CA ca
: :
I i
' '
m m
not not
going go
to to
say say
punch punch
, ,
I i
' '
m m
going go
to to
say say
fight fight
back back
, ,
absolutely absolutely
. .
RD rd
: :
OK ok
, ,
fight fight
back back
, ,
that that
' '
s s
good good
. .
CA ca
: :
With with
every every
fiber fiber
we we
have have
. .
If if
it it
means mean
that that
we we
look look
weak weak
or or
we we
' '
re re
a a
threat threat
, ,
so so
damn damn
well well
be be
it it
, ,
because because
you you
know know
, ,
this this
is be
the the
moment moment
. .
I i
mean mean
, ,
everyone everyone
is be
impacting impact
everyone everyone
else else
. .
We we
have have
a a
shot shot
to to
nudge nudge
each each
other other
to to
be be
our our
better good
selves self
. .
And and
to to
look look
at at
the the
stories story
of of
inspiration inspiration
, ,
the the
stories story
of of
humans human
reaching reach
out out
to to
humans human
, ,
of of
companies company
doing do
incredible incredible
things thing
, ,
letting let
go go
of of
the the
profit profit
motive motive
for for
a a
moment moment
, ,
of of
countries country
trying try
to to
help help
each each
other other
-- --
there there
are be
stories story
about about
that that
. .
I i
think think
we we
need need
to to
amplify amplify
some some
of of
those those
stories story
more more
. .
And and
we we
' '
re re
certainly certainly
down down
to to
do do
that that
. .
We we
' '
re re
trying try
to to
do do
that that
every every
day day
. .
And and
Ray ray
, ,
I i
loved love
hearing hearing
you you
talk talk
about about
some some
of of
the the
good good
things thing
that that
China china
is be
doing do
, ,
all all
the the
rest rest
of of
it it
. .
Thank thank
you you
for for
your your
voice voice
and and
for for
spending spend
this this
time time
and and
for for
being be
, ,
you you
know know
, ,
honest honest
and and
vigorous vigorous
with with
us us
. .
And and
thank thank
you you
, ,
everyone everyone
, ,
for for
listening listen
. .
RD rd
: :
I i
appreciate appreciate
it it
. .
CA ca
: :
A a
big big
damn damn
deal deal
. .
If if
you you
' '
re re
listening listening
, ,
it it
sounded sound
like like
you you
just just
got get
a a
warning warning
that that
this this
could could
be be
a a
multiyear multiyear
recession recession
, ,
depression depression
. .
That that
' '
s s
scary scary
, ,
and and
more more
than than
ever ever
, ,
we we
need need
to to
be be
in in
this this
together together
, ,
as as
we we
' '
ve ve
said say
again again
and and
again again
. .
RD rd
: :
Well well
, ,
in in
conclusion conclusion
, ,
-- --
I i
know know
we we
' '
re re
wrapping wrap
up up
-- --
yes yes
, ,
I i
believe believe
this this
is be
a a
defining define
moment moment
, ,
we we
will will
get get
through through
it it
fine fine
, ,
we we
will will
be be
restructured restructure
in in
important important
ways way
. .
So so
that that
' '
s s
fine fine
. .
And and
thank thank
you you
for for
, ,
you you
know know
, ,
sharing share
ideas idea
worth worth
considering consider
, ,
you you
know know
. .
CA ca
: :
Thank thank
you you
, ,
Ray ray
. .
Thanks thanks
so so
much much
, ,
everyone everyone
, ,
for for
listening listen
. .
Corey corey
, ,
we we
' '
ve ve
still still
got get
more more
days day
to to
the the
week week
. .
There there
' '
s s
an an
amazing amazing
program program
tomorrow tomorrow
, ,
we we
' '
re re
going go
to to
take take
a a
much much
more more
global global
look look
there there
that that
I i
' '
m m
superexcited superexcite
about about
. .
We we
have have
a a
report report
from from
the the
head head
of of
LabourNet labournet
, ,
which which
is be
an an
organization organization
in in
India india
looking look
at at
mobile mobile
workers worker
who who
just just
are be
facing face
this this
horrific horrific
situation situation
right right
now now
, ,
where where
they they
' '
re re
having have
to to
, ,
in in
the the
lockdown lockdown
, ,
having have
to to
maybe maybe
walk walk
home home
hundreds hundred
of of
miles mile
, ,
or or
face face
police police
action action
. .
We we
' '
ve ve
got get
a a
report report
right right
from from
the the
front front
lines line
there there
as as
to to
what what
that that
' '
s s
like like
in in
a a
country country
with with
a a
very very
different different
set set
of of
trade-offs trade-off
they they
' '
re re
having have
to to
make make
between between
lockdown lockdown
and and
giving give
the the
most most
impoverished impoverish
a a
chance chance
. .
And and
then then
, ,
a a
wide-ranging wide-ranging
discussion discussion
with with
Fareed fareed
Zakaria zakaria
, ,
who who
, ,
you you
know know
, ,
has have
this this
global global
view view
-- --
you you
will will
have have
seen see
him him
on on
CNN cnn
-- --
he he
' '
s s
got get
this this
very very
broad-ranging broad-range
global global
view view
as as
to to
how how
to to
think think
about about
this this
thing thing
. .
And and
to to
compare compare
the the
different different
responses response
of of
different different
countries country
. .
I i
think think
it it
' '
s s
going go
to to
be be
an an
amazing amazing
conversation conversation
, ,
I i
urge urge
you you
to to
come come
back back
for for
that that
. .
CH ch
: :
It it
' '
s s
so so
amazing amazing
-- --
you you
know know
, ,
we we
were be
talking talk
about about
this this
in in
a a
meeting meeting
this this
morning morning
-- --
this this
is be
a a
crisis crisis
that that
the the
whole whole
world world
is be
going go
through through
together together
, ,
and and
I i
think think
that that
' '
s s
what what
' '
s s
so so
unusual unusual
about about
it it
and and
there there
' '
s s
so so
much much
to to
dig dig
into into
, ,
so so
much much
to to
learn learn
about about
how how
it it
' '
s s
affecting affect
everybody everybody
in in
different different
ways way
. .
So so
I i
' '
m m
glad glad
we we
' '
re re
continuing continue
. .
CA ca
: :
Thank thank
you you
, ,
everyone everyone
. .
Thank thank
you you
, ,
Ray ray
. .
And and
you you
can can
see see
a a
recording recording
of of
this this
, ,
if if
you you
didn didn
' '
t t
[ [
see see
] ]
the the
whole whole
thing thing
, ,
by by
going go
, ,
I i
think think
it it
' '
s s
to to
go go
. .
ted ted
. .
com com
/ /
tedconnects tedconnect
. .
And and
if if
you you
want want
to to
look look
at at
Ray ray
' '
s s
work work
on on
this this
, ,
just just
google google
Ray ray
Dalio dalio
LinkedIn linkedin
, ,
and and
there there
' '
s s
a a
whole whole
series series
of of
resources resource
there there
. .
That that
' '
s s
" "
Dalio dalio
" "
with with
one one
" "
L l
. .
" "
Ray ray
, ,
thank thank
you you
so so
much much
for for
this this
. .
This this
was be
really really
, ,
really really
, ,
really really
interesting interesting
. .
Thank thank
you you
so so
much much
. .
Thanks thanks
, ,
all all
. .
CH ch
: :
Thank thank
you you
. .
