Bruno bruno
elsewhere elsewhere
, ,
can can
do do
to to
play play
a a
meaningful meaningful
role role
in in
tackling tackle
climate climate
change change
. .
Gates gates
: :
I i
think think
everybody everybody
should should
start start
by by
learning learn
more more
, ,
you you
know know
. .
How how
much much
steel steel
do do
we we
make make
and and
where where
are be
those those
steel steel
plants plant
? ?
The the
industrial industrial
economy economy
is be
kind kind
of of
a a
miracle miracle
, ,
although although
sadly sadly
, ,
it it
' '
s s
a a
source source
of of
so so
many many
emissions emission
. .
Once once
you you
really really
educate educate
yourself yourself
, ,
then then
you you
' '
re re
in in
a a
position position
to to
educate educate
others other
, ,
hopefully hopefully
, ,
of of
diverse diverse
political political
beliefs belief
about about
why why
this this
is be
so so
important important
. .
And and
yet yet
it it
' '
s s
also also
very very
, ,
very very
hard hard
to to
do do
. .
You you
have have
all all
your your
buying buying
behavior behavior
, ,
electric electric
cars car
, ,
artificial artificial
meat meat
, ,
you you
know know
, ,
and and
you you
' '
ll ll
see see
for for
all all
the the
different different
products product
various various
things thing
that that
indicate indicate
how how
green green
that that
product product
is be
. .
And and
your your
demand demand
doesn doesn
' '
t t
just just
save save
those those
emissions emission
, ,
it it
also also
encourages encourage
the the
improvement improvement
of of
the the
green green
product product
. .
Political political
voice voice
, ,
I i
' '
d d
still still
put put
it it
number number
one one
. .
Making make
sure sure
your your
company company
is be
measuring measure
its its
emissions emission
and and
is be
starting start
to to
fund fund
offsets offset
and and
is be
willing willing
to to
be be
a a
customer customer
for for
breakthrough breakthrough
storage storage
solutions solution
or or
green green
aviation aviation
fuel fuel
. .
That that
is be
catalytic catalytic
. .
And and
a a
lot lot
of of
those those
funds fund
hopefully hopefully
will will
go go
through through
this this
vehicle vehicle
that that
' '
s s
really really
identifying identify
which which
projects project
globally globally
are be
technologies technology
that that
won win
' '
t t
stay stay
expensive expensive
but but
can can
do do
like like
what what
solar solar
and and
wind wind
did do
and and
come come
down down
in in
price price
. .
So so
individuals individual
are be
what what
drive drive
this this
thing thing
. .
The the
democracies democracy
are be
where where
most most
of of
the the
innovation innovation
power power
is be
and and
they they
have have
to to
get get
activated activate
and and
set set
the the
example example
. .
Giussani giussani
: :
I i
would would
like like
to to
end end
on on
the the
outcome outcome
. .
Maybe maybe
we we
should should
have have
started start
with with
the the
outcome outcome
, ,
but but
let let
' '
s s
imagine imagine
a a
world world
where where
we we
will will
actually actually
have have
done do
all all
of of
what what
you you
describe describe
in in
the the
book book
and and
everything everything
else else
that that
' '
s s
necessary necessary
. .
What what
would would
that that
future future
everyday everyday
life life
look look
like like
? ?
Gates gates
: :
Well well
, ,
I i
think think
everybody everybody
will will
be be
really really
proud proud
that that
humanity humanity
came come
together together
on on
a a
global global
basis basis
to to
make make
this this
radical radical
change change
and and
there there
' '
s s
no no
precedent precedent
for for
it it
. .
Even even
world world
wars war
, ,
where where
we we
orchestrated orchestrate
lots lot
of of
resources resource
, ,
it it
was be
, ,
like like
, ,
four four
or or
five five
year year
duration duration
. .
And and
here here
we we
' '
re re
talking talk
about about
three three
decades decade
of of
hard hard
work work
dealing deal
with with
an an
enemy enemy
that that
the the
super super
bad bad
stuff stuff
is be
out out
in in
the the
future future
. .
And and
so so
you you
' '
re re
benefiting benefit
young young
people people
and and
future future
generations generation
. .
In in
some some
ways way
, ,
you you
know know
, ,
life life
will will
look look
a a
lot lot
like like
it it
does do
today today
. .
You you
' '
ll ll
still still
have have
buildings building
, ,
you you
' '
ll ll
have have
air air
conditioning conditioning
, ,
you you
' '
ll ll
have have
lights light
at at
night night
. .
But but
all all
of of
those those
you you
' '
ll ll
multiply multiply
by by
zero zero
in in
terms term
of of
what what
the the
emissions emission
that that
come come
out out
of of
those those
activities activity
are be
. .
During during
the the
same same
time time
frame frame
we we
' '
ll ll
have have
advances advance
in in
medicine medicine
of of
curing cure
cancer cancer
and and
finishing finish
polio polio
and and
malaria malaria
and and
all all
sorts sort
of of
things thing
. .
And and
so so
by by
taking take
away away
this this
one one
super super
negative negative
thing thing
, ,
then then
all all
the the
progress progress
we we
make make
in in
other other
areas area
won win
' '
t t
get get
reduced reduce
by by
this this
awful awful
thing thing
that that
, ,
if if
it it
goes go
unchecked unchecked
, ,
the the
migration migration
out out
of of
the the
equatorial equatorial
regions region
, ,
the the
number number
of of
deaths death
, ,
it it
' '
ll ll
make make
the the
pandemic pandemic
look look
like like
nothing nothing
. .
I i
think think
so so
from from
a a
moral moral
point point
of of
view view
and and
letting let
the the
other other
improvements improvement
not not
be be
offset offset
by by
this this
. .
It it
' '
ll ll
be be
a a
source source
of of
great great
pride pride
that that
, ,
hey hey
, ,
we we
came come
together together
. .
Giussani giussani
: :
OK ok
, ,
let let
' '
s s
hope hope
that that
we we
actually actually
do do
. .
Bill bill
Gates gates
, ,
thank thank
you you
for for
sharing share
your your
knowledge knowledge
, ,
thank thank
you you
for for
this this
very very
, ,
very very
important important
book book
. .
And and
thank thank
you you
for for
coming come
back back
to to
TED ted
. .
I i
want want
to to
close close
by by
showing show
another another
short short
clip clip
from from
the the
TED-Ed ted-ed
animation animation
series series
inspired inspire
by by
Bill bill
' '
s s
book book
. .
This this
one one
is be
about about
material material
that that
' '
s s
all all
around around
us us
, ,
has have
a a
big big
carbon carbon
footprint footprint
and and
how how
to to
reinvent reinvent
it it
. .
Now now
, ,
the the
series series
includes include
seven seven
videos video
. .
You you
can can
watch watch
them them
all all
for for
free free
at at
ed editor
. .
ted ted
. .
com com
/ /
planforzero planforzero
. .
That that
' '
s s
planforzero planforzero
, ,
one one
single single
word word
. .
And and
on on
the the
TED-Ed ted-ed
YouTube youtube
channel channel
. .
Thank thank
you you
. .
Goodbye goodbye
. .
Look look
around around
your your
home home
. .
Refrigeration refrigeration
, ,
along along
with with
other other
heating heating
and and
cooling cooling
, ,
makes make
up up
about about
six six
percent percent
of of
total total
emissions emission
. .
Agriculture agriculture
, ,
which which
produces produce
our our
food food
, ,
accounts account
for for
18 @card@
percent percent
. .
Electricity electricity
is be
responsible responsible
for for
27 @card@
percent percent
. .
Walk walk
outside outside
and and
the the
cars car
zipping zip
past past
, ,
planes plane
overhead overhead
, ,
trains train
ferrying ferry
commuters commuter
to to
work work
. .
Transportation transportation
, ,
including include
shipping shipping
, ,
contributes contribute
16 @card@
percent percent
of of
greenhouse greenhouse
gas gas
emissions emission
. .
Even even
before before
we we
use use
any any
of of
these these
things thing
, ,
making make
them them
produces produce
emissions emission
, ,
a a
lot lot
of of
emissions emission
. .
Making make
materials material
, ,
concrete concrete
, ,
steel steel
, ,
plastic plastic
, ,
glass glass
, ,
aluminum aluminum
and and
everything everything
else else
accounts account
for for
31 @card@
percent percent
of of
greenhouse greenhouse
gas gas
emissions emission
. .
[ [
Watch watch
the the
full full
animated animated
series series
at at
ed editor
. .
ted ted
. .
com com
/ /
planforzero planforzero
and and
youtube youtube
. .
com com
/ /
ted-ed ted-ed
] ]
