Christiana christiana
in in
today today
. .
All all
of of
those those
sites site
where where
there there
was be
manufacturing manufacturing
and and
industrial industrial
sites site
that that
led lead
to to
our our
economic economic
boom boom
, ,
many many
stand stand
vacant vacant
and and
abandoned abandon
. .
These these
industrial industrial
sites site
have have
led lead
to to
dangerous dangerous
contamination contamination
to to
our our
land land
and and
our our
water water
and and
our our
air air
. .
MZ mz
: :
So so
, ,
just just
lay lie
it it
out out
for for
us us
. .
For for
people people
who who
maybe maybe
don don
' '
t t
see see
, ,
like like
, ,
how how
is be
there there
a a
link link
between between
economic economic
inequality inequality
and and
climate climate
change change
? ?
AG ag
: :
You you
know know
, ,
I i
' '
m m
so so
surprised surprise
that that
it it
feels feel
like like
separate separate
problems problem
. .
But but
I i
' '
m m
also also
really really
glad glad
that that
people people
are be
asking ask
. .
Because because
if if
you you
' '
re re
living live
around around
and and
working work
in in
a a
community community
that that
is be
low-income low-income
, ,
where where
there there
are be
fewer few
jobs job
, ,
the the
housing housing
is be
deteriorated deteriorate
, ,
this this
is be
a a
neighborhood neighborhood
that that
' '
s s
also also
more more
likely likely
to to
be be
closer close
to to
a a
factory factory
that that
' '
s s
emitting emit
pollutants pollutant
, ,
likely likely
to to
have have
water water
that that
' '
s s
contaminated contaminated
, ,
probably probably
has have
fewer few
parks park
and and
fewer few
intentional intentional
green green
spaces space
. .
The the
people people
who who
are be
living live
in in
those those
communities community
are be
at at
risk risk
for for
climate climate
impacts impact
first first
. .
So so
we we
have have
to to
do do
something something
in in
those those
neighborhoods neighborhood
right right
away away
. .
MZ mz
: :
So so
what what
can can
this this
healthier healthier
future future
look look
like like
? ?
Anika anika
showed show
me me
some some
of of
the the
work work
she she
' '
s s
done do
in in
partnership partnership
with with
different different
neighborhoods neighborhood
in in
Detroit detroit
, ,
to to
make make
them them
both both
more more
enjoyable enjoyable
and and
more more
resilient resilient
. .
First first
, ,
she she
took take
me me
to to
the the
Circle circle
Forest forest
. .
It it
' '
s s
an an
oasis oasis
right right
in in
the the
middle middle
of of
the the
city city
. .
AG ag
: :
This this
is be
six six
lots lot
that that
were be
vacant vacant
, ,
and and
we we
all all
worked work
together together
with with
this this
community community
to to
build build
a a
forest forest
. .
MZ mz
: :
Beautiful beautiful
and and
a a
great great
example example
of of
how how
nonprofits nonprofit
can can
work work
with with
communities community
to to
transform transform
them them
into into
sustainable sustainable
, ,
welcoming welcome
places place
. .
AG ag
: :
We we
might might
have have
a a
good good
idea idea
about about
gardens garden
and and
tree tree
planting planting
, ,
but but
this this
is be
where where
people people
live live
. .
And and
so so
you you
ask ask
first first
. .
This this
is be
a a
new new
effort effort
, ,
of of
this this
idea idea
of of
a a
resilient resilient
neighborhood neighborhood
or or
calling call
it it
that that
. .
So so
these these
are be
large large
tracts tract
of of
vacancy vacancy
that that
can can
be be
used use
to to
provide provide
environmental environmental
sustainability sustainability
, ,
community community
resilience resilience
and and
beauty beauty
. .
Watch watch
for for
the the
poison poison
ivy ivy
. .
It it
' '
s s
not not
pretend pretend
. .
MZ mz
: :
Next next
we we
met meet
up up
with with
Katrina katrina
Watkins watkins
, ,
the the
founder founder
and and
CEO ceo
of of
the the
Bailey bailey
Park park
Neighborhood neighborhood
Development development
Corporation corporation
, ,
a a
group group
revitalizing revitalize
this this
historic historic
area area
by by
turning turn
vacant vacant
lots lot
into into
parks park
that that
can can
stand stand
up up
to to
extreme extreme
weather weather
. .
Katrina katrina
Watkins watkins
: :
My my
family family
has have
been be
in in
this this
neighborhood neighborhood
since since
1946 @card@
. .
I i
grew grow
up up
hearing hear
the the
stories story
from from
my my
dad dad
, ,
him him
telling tell
me me
about about
how how
people people
thought think
it it
was be
a a
ghetto ghetto
, ,
but but
it it
wasn wasn
' '
t t
. .
Those those
were be
families family
, ,
and and
people people
worked work
and and
had have
businesses business
, ,
and and
people people
looked look
out out
for for
each each
other other
. .
And and
it it
was be
those those
type type
of of
stories story
that that
made make
me me
say say
, ,
wow wow
, ,
we we
just just
really really
need need
to to
bring bring
that that
back back
. .
MZ mz
: :
So so
then then
briefly briefly
fill fill
us us
in in
about about
how how
things thing
changed change
. .
KW kw
: :
Things thing
deteriorated deteriorate
in in
this this
neighborhood neighborhood
. .
The the
homes home
got get
torn tear
down down
, ,
left leave
just just
a a
lot lot
of of
vacant vacant
lots lot
, ,
a a
lot lot
of of
overgrowth overgrowth
. .
It it
wasn wasn
' '
t t
safe safe
. .
I i
would would
see see
my my
little little
nieces niece
and and
nephews nephew
. .
They they
would would
just just
be be
on on
their their
little little
skateboards skateboard
, ,
you you
know know
, ,
not not
paying pay
attention attention
, ,
the the
stop stop
sign sign
is be
covered cover
. .
And and
me me
and and
my my
dad dad
was be
like like
, ,
we we
just just
have have
to to
do do
something something
. .
So so
we we
started start
out out
as as
Bailey bailey
Park park
Project project
, ,
focusing focus
on on
the the
park park
and and
green green
infrastructure infrastructure
and and
trees tree
and and
flowers flower
. .
And and
then then
over over
the the
course course
of of
the the
years year
, ,
we we
started start
doing do
more more
community community
development development
. .
MZ mz
: :
I i
wonder wonder
, ,
like like
, ,
how how
do do
you you
describe describe
it it
to to
people people
when when
you you
explain explain
what what
' '
s s
happening happening
, ,
what what
you you
' '
re re
trying try
to to
do do
for for
your your
neighborhood neighborhood
, ,
the the
changes change
that that
you you
' '
re re
making make
and and
how how
it it
relates relate
to to
climate climate
change change
? ?
KW kw
: :
One one
really really
great great
example example
, ,
when when
people people
come come
to to
the the
park park
, ,
like like
right right
now now
, ,
this this
is be
like like
, ,
literally literally
a a
heat heat
island island
because because
our our
trees tree
haven haven
' '
t t
grown grow
. .
So so
it it
is be
very very
hot hot
. .
So so
sometimes sometimes
it it
' '
s s
so so
hot hot
that that
the the
kids kid
don don
' '
t t
come come
out out
and and
play play
until until
the the
evening evening
. .
That that
education education
of of
knowing know
the the
benefit benefit
of of
trees tree
and and
cooling cool
down down
an an
environment environment
, ,
how how
it it
makes make
the the
air air
cleaner cleaner
. .
There there
' '
s s
a a
lot lot
of of
people people
that that
suffer suffer
from from
asthma asthma
. .
So so
trees tree
can can
make make
a a
difference difference
. .
And and
if if
you you
go go
to to
places place
like like
Grosse grosse
Pointe pointe
, ,
you you
will will
see see
this this
beautiful beautiful
tree tree
canopy canopy
down down
. .
Like like
their their
homes home
are be
probably probably
20 @card@
degrees degree
cooler cool
you you
know know
, ,
than than
our our
homes home
, ,
AG ag
: :
Having have
a a
lot lot
of of
green green
space space
actually actually
contributes contribute
to to
the the
climate climate
resiliency resiliency
for for
this this
neighborhood neighborhood
. .
So so
all all
of of
this this
grass grass
actually actually
can can
manage manage
stormwater stormwater
better well
. .
The the
idea idea
of of
leading lead
new new
development development
in in
this this
neighborhood neighborhood
with with
green green
, ,
what what
it it
says say
to to
me me
is be
that that
the the
residents resident
are be
really really
envisioning envision
the the
neighborhood neighborhood
that that
they they
want want
to to
live live
in in
. .
And and
that that
I i
just just
-- --
I i
' '
m m
really really
excited excite
about about
that that
. .
MZ mz
: :
Turning turn
great great
loss loss
and and
upheaval upheaval
into into
even even
greater great
opportunities opportunity
. .
These these
Detroiters detroiter
are be
creating create
a a
blueprint blueprint
for for
an an
urban urban
future future
that that
every every
city city
can can
learn learn
from from
. .
[ [
Chapter chapter
5 @card@
: :
Agriculture agriculture
] ]
TED-Ed ted-ed
: :
About about
10 @card@
, ,
000 @card@
years year
ago ago
, ,
humans human
began begin
to to
farm farm
. .
This this
agricultural agricultural
revolution revolution
was be
a a
turning turn
point point
in in
our our
history history
that that
enabled enable
people people
to to
settle settle
, ,
build build
and and
create create
. .
In in
short short
, ,
agriculture agriculture
enabled enable
the the
existence existence
of of
civilization civilization
. .
Today today
, ,
approximately approximately
40 @card@
percent percent
of of
our our
planet planet
is be
farmland farmland
. .
Spread spread
all all
over over
the the
world world
, ,
these these
agricultural agricultural
lands land
are be
the the
pieces piece
to to
a a
global global
puzzle puzzle
we we
are be
all all
facing face
. .
In in
the the
future future
, ,
how how
can can
we we
feed feed
every every
member member
of of
a a
growing grow
population population
a a
healthy healthy
diet diet
? ?
Meeting meet
this this
goal goal
will will
require require
nothing nothing
short short
of of
a a
second second
agricultural agricultural
revolution revolution
. .
The the
first first
agricultural agricultural
revolution revolution
was be
characterized characterize
by by
expansion expansion
and and
exploitation exploitation
, ,
feeding feed
people people
at at
the the
expense expense
of of
forests forest
, ,
wildlife wildlife
and and
water water
, ,
and and
destabilizing destabilize
the the
climate climate
in in
the the
process process
. .
That that
' '
s s
not not
an an
option option
the the
next next
time time
around around
. .
Agriculture agriculture
depends depend
on on
a a
stable stable
climate climate
with with
predictable predictable
seasons season
and and
weather weather
patterns pattern
. .
This this
means mean
we we
can can
' '
t t
keep keep
expanding expand
our our
agricultural agricultural
lands land
, ,
because because
doing do
so so
will will
undermine undermine
the the
environmental environmental
conditions condition
that that
make make
agriculture agriculture
possible possible
in in
the the
first first
place place
. .
Instead instead
, ,
the the
next next
agricultural agricultural
revolution revolution
will will
have have
to to
increase increase
the the
output output
of of
our our
existing existing
farmland farmland
for for
the the
long long
term term
while while
protecting protect
biodiversity biodiversity
, ,
conserving conserve
water water
, ,
and and
reducing reduce
pollution pollution
and and
greenhouse greenhouse
gas gas
emissions emission
. .
So so
what what
will will
the the
future future
farms farm
look look
like like
? ?
In in
Bangladesh bangladesh
, ,
Cambodia cambodia
and and
Nepal nepal
, ,
new new
approaches approach
to to
rice rice
production production
may may
dramatically dramatically
decrease decrease
greenhouse greenhouse
gas gas
emissions emission
in in
the the
future future
. .
Rice rice
is be
a a
staple staple
food food
for for
three three
billion billion
people people
and and
the the
main main
source source
of of
livelihood livelihood
for for
millions million
of of
households household
. .
More more
than than
90 @card@
percent percent
of of
rice rice
is be
grown grow
in in
flooded flood
paddies paddy
, ,
which which
use use
a a
lot lot
of of
water water
and and
release release
11 @card@
percent percent
of of
annual annual
methane methane
emissions emission
, ,
which which
accounts account
for for
one one
to to
two two
percent percent
of of
total total
annual annual
greenhouse greenhouse
gas gas
emissions emission
globally globally
. .
By by
experimenting experiment
with with
new new
strains strain
of of
rice rice
, ,
irrigating irrigate
less less
and and
adopting adopt
less less
labor-intensive labor-intensive
ways way
of of
planting plant
seeds seed
, ,
farmers farmer
in in
these these
countries country
have have
already already
increased increase
their their
incomes income
and and
crop crop
yields yield
while while
cutting cut
down down
on on
greenhouse greenhouse
gas gas
emissions emission
. .
MZ mz
: :
Related relate
technologies technology
are be
also also
taking take
root root
in in
the the
US us
. .
Father father
and and
daughter daughter
farmers farmer
, ,
Jim jim
and and
Jessica jessica
Whitaker whitaker
, ,
have have
come come
up up
with with
their their
own own
strategies strategy
to to
reduce reduce
methane methane
that that
are be
working work
on on
their their
farm farm
in in
Arkansas arkansas
. .
But but
convincing convincing
everyone everyone
else else
to to
change change
is be
their their
next next
big big
challenge challenge
. .
So so
let let
' '
s s
go go
back back
to to
how how
you you
got get
to to
be be
such such
a a
big big
supplier supplier
of of
rice rice
in in
this this
country country
. .
You you
tell tell
a a
story story
about about
how how
you you
were be
22 @card@
and and
you you
were be
like like
, ,
I i
' '
m m
going go
to to
start start
my my
own own
farm farm
, ,
but but
-- --
not not
that that
easy easy
. .
Jim jim
Whitaker whitaker
: :
No no
, ,
it it
' '
s s
not not
. .
Let let
me me
tell tell
you you
something something
about about
renting rent
a a
farm farm
when when
you you
' '
re re
22 @card@
years year
old old
. .
No no
one one
rents rent
you you
a a
farm farm
unless unless
no no
one one
else else
wants want
to to
rent rent
it it
. .
It it
was be
a a
big big
piece piece
of of
land land
, ,
it it
was be
cash cash
rent rent
, ,
I i
mean mean
, ,
the the
stakes stake
were be
set set
. .
We we
were be
doomed doom
to to
fail fail
. .
And and
we we
weren weren
' '
t t
focused focus
on on
environmental environmental
sustainability sustainability
back back
then then
. .
We we
were be
focused focus
on on
economic economic
sustainability sustainability
. .
How how
do do
we we
make make
higher high
yield yield
? ?
How how
do do
we we
use use
less less
fertilizer fertilizer
? ?
How how
do do
we we
get get
to to
the the
next next
year year
and and
feed feed
our our
family family
? ?
It it
happens happen
that that
economic economic
and and
environmental environmental
sustainability sustainability
go go
hand hand
in in
hand hand
along along
with with
social social
sustainability sustainability
. .
As as
we we
used use
less less
fertilizer fertilizer
, ,
used use
less less
water water
, ,
our our
yield yield
started start
going go
up up
. .
MZ mz
: :
Can can
you you
spell spell
out out
for for
me me
what what
the the
problem problem
is be
with with
rice rice
when when
it it
comes come
to to
the the
environment environment
? ?
JW jw
: :
Soil soil
is be
full full
of of
microbes microbe
. .
And and
what what
they they
' '
re re
doing do
in in
the the
soil soil
on on
a a
basic basic
level level
is be
they they
' '
re re
down down
there there
chewing chew
away away
, ,
eating eat
up up
the the
biomass biomass
that that
' '
s s
left leave
over over
from from
the the
crop crop
before before
. .
And and
out out
of of
that that
comes come
methane methane
, ,
the the
same same
way way
it it
happens happen
in in
cattle cattle
operations operation
or or
whatever whatever
. .
MZ mz
: :
But but
you you
decided decide
to to
do do
it it
a a
different different
way way
. .
JW jw
: :
We we
do do
it it
a a
little little
bit bit
differently differently
. .
Arkansas arkansas
is be
a a
very very
water-rich water-rich
state state
, ,
but but
we we
have have
a a
dry dry
season season
, ,
right right
in in
the the
middle middle
of of
summer summer
is be
a a
dry dry
season season
. .
So so
when when
we we
dry dry
the the
soil soil
, ,
that that
anaerobic anaerobic
microbial microbial
that that
' '
s s
living live
in in
that that
soup soup
, ,
that that
mushy mushy
soil soil
, ,
either either
dies die
or or
goes go
dormant dormant
. .
So so
we we
break break
his his
life life
cycle cycle
. .
MZ mz
: :
Oh oh
! !
JW jw
: :
And and
then then
it it
stops stop
emitting emit
methane methane
. .
But but
it it
doesn doesn
' '
t t
hurt hurt
the the
rice rice
. .
That that
actually actually
helps help
rice rice
, ,
when when
you you
use use
less less
water water
. .
We we
have have
less less
runoff runoff
, ,
less less
erosion erosion
, ,
less less
nutrients nutrient
leaving leave
our our
field field
. .
Nothing nothing
leaves leave
our our
field field
unless unless
we we
want want
it it
to to
. .
Jessica jessica
Whitaker whitaker
Allen allen
: :
We we
started start
tracking track
this this
. .
We we
saw see
that that
our our
water water
use use
was be
down down
and and
we we
thought think
, ,
OK ok
, ,
well well
, ,
we we
need need
to to
add add
to to
that that
, ,
let let
' '
s s
add add
more more
data data
points point
to to
that that
. .
Let let
' '
s s
add add
our our
fertilizer fertilizer
, ,
let let
' '
s s
add add
our our
fuel fuel
usage usage
. .
And and
so so
we we
really really
started start
recording record
all all
this this
stuff stuff
by by
hand hand
in in
just just
an an
Excel excel
spreadsheet spreadsheet
. .
We we
didn didn
' '
t t
know know
what what
we we
were be
doing do
. .
MZ mz
: :
But but
you you
knew know
you you
were be
on on
to to
something something
. .
JWA jwa
: :
Yes yes
, ,
so so
we we
started start
recording recording
everything everything
. .
MZ mz
: :
Do do
you you
remember remember
if if
there there
was be
a a
moment moment
when when
the the
two two
of of
you you
thought think
, ,
like like
, ,
what what
we we
' '
re re
doing do
, ,
it it
shouldn shouldn
' '
t t
be be
special special
to to
us us
. .
Why why
aren aren
' '
t t
more more
people people
-- --
JW jw
: :
To to
collect collect
the the
data datum
, ,
have have
the the
equipment equipment
and and
the the
cloud-based cloud-based
technology technology
and and
the the
stuff stuff
in in
the the
field field
to to
record record
it it
, ,
it it
' '
s s
just just
massively massively
time-consuming time-consuming
, ,
and and
consumers consumer
don don
' '
t t
pay pay
for for
it it
. .
JWA jwa
: :
Well well
and and
people people
like like
us us
, ,
why why
would would
you you
want want
to to
do do
it it
? ?
I i
mean mean
, ,
take take
a a
walk walk
through through
your your
supermarket supermarket
. .
Everything everything
' '
s s
sustainable sustainable
, ,
everything everything
' '
s s
greenwashed greenwash
. .
You you
can can
put put
whatever whatever
you you
want want
to to
on on
a a
package package
, ,
there there
' '
s s
no no
rules rule
, ,
there there
' '
s s
no no
standards standard
. .
So so
we we
' '
re re
trying try
to to
make make
that that
standard standard
. .
We we
live live
and and
work work
in in
southeast southeast
Arkansas arkansa
. .
Our our
town town
has have
4 @card@
, ,
000 @card@
residents resident
and and
one one
stoplight stoplight
. .
The the
nearest near
airport airport
, ,
Starbucks starbucks
shopping shopping
mall mall
, ,
Whole whole
Foods foods
, ,
is be
two two
hours hour
away away
in in
any any
direction direction
. .
Without without
places place
like like
this this
and and
farmers farmer
like like
us us
, ,
you you
' '
d d
be be
hungry hungry
, ,
naked naked
and and
sober sober
. .
I i
' '
m m
a a
farmer farmer
, ,
but but
not not
in in
the the
way way
you you
might might
think think
. .
I i
don don
' '
t t
drive drive
the the
tractors tractor
, ,
and and
I i
don don
' '
t t
plant plant
the the
rice rice
. .
But but
I i
know know
how how
to to
take take
what what
my my
dad dad
has have
learned learn
and and
what what
he he
is be
doing do
and and
share share
that that
with with
others other
. .
We we
are be
going go
to to
work work
with with
farmers farmer
in in
southeast southeast
Arkansas arkansa
to to
educate educate
them them
about about
the the
benefits benefit
of of
growing grow
sustainable sustainable
rice rice
. .
JW jw
: :
Let let
me me
tell tell
you you
why why
that that
' '
s s
important important
. .
There there
are be
400 @card@
million million
acres acre
of of
rice rice
grown grow
globally globally
. .
And and
our our
methods method
, ,
if if
used use
, ,
can can
reduce reduce
greenhouse greenhouse
gas gas
by by
50 @card@
percent percent
, ,
reduce reduce
water water
use use
by by
50 @card@
percent percent
, ,
increase increase
yields yield
to to
feed feed
a a
hungry hungry
world world
. .
MZ mz
: :
We we
hear hear
a a
lot lot
about about
how how
weather weather
has have
gotten get
more more
extreme extreme
, ,
flooding flooding
, ,
heat heat
. .
What what
' '
s s
it it
been be
like like
in in
Arkansas arkansas
? ?
JW jw
: :
So so
in in
2016 @card@
, ,
we we
had have
a a
500-year 500-year
flood flood
. .
We we
were be
. .
. .
. .
We we
get get
a a
picture picture
of of
our our
place place
flooded flood
. .
14 @card@
inches inch
of of
rain rain
. .
That that
was be
a a
500-year 500-year
flood flood
. .
Hurt hurt
a a
lot lot
of of
people people
. .
And and
then then
we we
had have
a a
1 @card@
, ,
000-year 000-year
flood flood
. .
And and
we we
lost lose
so so
many many
acres acre
. .
And and
you you
know know
, ,
when when
houses house
get get
flooded flood
in in
rural rural
communities community
, ,
they they
don don
' '
t t
come come
back back
. .
I i
mean mean
, ,
when when
you you
have have
whole whole
neighborhoods neighborhood
get get
flooded flood
, ,
they they
don don
' '
t t
rebuild rebuild
them them
, ,
they they
don don
' '
t t
come come
back back
. .
JWA jwa
: :
I i
feel feel
like like
almost almost
every every
day day
I i
' '
m m
getting get
a a
notification notification
from from
the the
weather weather
Channel channel
of of
an an
excessive excessive
heat heat
warning warning
or or
thunderstorm thunderstorm
warning warning
or or
hail hail
threat threat
. .
You you
know know
, ,
you you
don don
' '
t t
really really
know know
what what
you you
' '
re re
going go
to to
expect expect
. .
MZ mz
: :
When when
you you
think think
about about
what what
it it
will will
be be
like like
, ,
I i
don don
' '
t t
know know
, ,
five five
years year
, ,
10 @card@
years year
, ,
for for
someone someone
to to
go go
into into
the the
supermarket supermarket
and and
think think
, ,
oh oh
, ,
right right
, ,
I i
need need
to to
get get
rice rice
off off
my my
grocery grocery
list list
. .
What what
ideally ideally
would would
you you
like like
to to
see see
on on
the the
shelf shelf
there there
? ?
JW jw
: :
So so
I i
think think
it it
' '
s s
going go
to to
change change
, ,
because because
I i
like like
to to
study study
what what
companies company
want want
. .
I i
mean mean
, ,
if if
you you
figure figure
out out
what what
they they
want want
, ,
then then
you you
know know
what what
to to
give give
them them
. .
And and
when when
you you
read read
their their
sustainability sustainability
goals goal
, ,
they they
' '
re re
all all
saying say
they they
' '
re re
going go
to to
be be
net net
zero zero
. .
The the
only only
way way
they they
can can
be be
net net
zero zero
is be
they they
bring bring
the the
farmer farmer
into into
the the
loop loop
. .
So so
if if
we we
' '
re re
able able
to to
do do
this this
, ,
in in
five five
years year
, ,
everybody everybody
' '
s s
doing do
these these
practices practice
, ,
the the
US us
rice rice
industry industry
will will
be be
the the
most most
sustainable sustainable
industry industry
in in
the the
world world
. .
MZ mz
: :
Can can
you you
do do
it it
? ?
JW jw
: :
Oh oh
, ,
yeah yeah
. .
It it
' '
s s
about about
to to
happen happen
. .
MZ mz
: :
You you
' '
ve ve
just just
heard hear
a a
lot lot
of of
ideas idea
, ,
a a
lot lot
of of
stories story
and and
a a
lot lot
of of
big big
plans plan
. .
So so
we we
want want
to to
wrap wrap
things thing
up up
by by
asking ask
our our
experts expert
: :
What what
if if
we we
actually actually
achieved achieve
our our
climate climate
goals goal
? ?
What what
would would
that that
future future
even even
look look
like like
? ?
They they
, ,
of of
course course
, ,
had have
a a
lot lot
of of
thoughts thought
. .
We we
' '
ll ll
let let
you you
pick pick
your your
favorites favorite
. .
Thanks thanks
for for
watching watch
. .
NT nt
: :
If if
we we
are be
successful successful
in in
addressing address
the the
climate climate
crisis crisis
, ,
we we
massively massively
reduce reduce
the the
vulnerability vulnerability
and and
improve improve
the the
economic economic
and and
the the
creative creative
prospects prospect
of of
billions billion
of of
people people
around around
the the
world world
who who
currently currently
are be
basically basically
excluded exclude
from from
all all
of of
the the
opportunities opportunity
which which
we we
have have
, ,
which which
come come
from from
having have
abundant abundant
material material
and and
energy energy
all all
around around
us us
. .
That that
' '
s s
the the
real real
prize prize
. .
FD fd
: :
A a
world world
where where
we we
have have
had have
that that
exponential exponential
would would
be be
a a
world world
in in
which which
we we
have have
clean clean
, ,
cheap cheap
energy energy
for for
all all
. .
KB kb
: :
At at
the the
end end
of of
this this
decade decade
, ,
the the
International international
Energy energy
Agency agency
believes believe
that that
we we
will will
have have
enough enough
capacity capacity
to to
be be
producing produce
10 @card@
billion billion
, ,
10 @card@
billion billion
batteries battery
a a
year year
. .
It it
' '
s s
enough enough
for for
every every
person person
on on
the the
planet planet
to to
have have
their their
own own
battery battery
. .
AC ac
: :
I i
' '
m m
constantly constantly
surrounded surround
by by
young young
people people
just just
like like
me me
who who
are be
really really
, ,
really really
, ,
really really
passionate passionate
about about
the the
world world
that that
we we
live live
in in
. .
For for
obvious obvious
reasons reason
. .
It it
' '
s s
the the
world world
that that
we we
will will
inherit inherit
. .
EZ ez
: :
Women woman
are be
very very
important important
for for
the the
energy energy
transition transition
. .
So so
if if
we we
' '
re re
talking talk
about about
a a
world world
where where
we we
have have
, ,
you you
know know
, ,
where where
we we
tackle tackle
climate climate
change change
, ,
all all
I i
want want
to to
see see
is be
, ,
you you
know know
, ,
women woman
in in
power power
. .
I i
want want
to to
see see
more more
solutions solution
being be
driven drive
by by
young young
people people
. .
And and
I i
want want
our our
politicians politician
to to
be be
truly truly
and and
meaningfully meaningfully
engaged engage
in in
making make
change change
. .
NG ng
: :
We we
always always
tend tend
to to
underestimate underestimate
the the
pace pace
of of
ultimate ultimate
adoption adoption
and and
change change
. .
Today today
, ,
there there
are be
more more
than than
150 @card@
pathways pathway
, ,
scientific scientific
pathways pathway
that that
we we
could could
take take
to to
limit limit
global global
warming warming
. .
Al al
Gore gore
: :
If if
we we
get get
to to
true true
net net
zero zero
, ,
astonishingly astonishingly
, ,
global global
temperatures temperature
will will
stop stop
going go
up up
with with
a a
lag lag
time time
of of
as as
little little
as as
three three
to to
five five
years year
. .
Colin colin
Averill averill
: :
We we
' '
ve ve
been be
able able
to to
accelerate accelerate
tree tree
growth growth
and and
carbon carbon
capture capture
and and
tree tree
stems stem
by by
30 @card@
to to
70 @card@
percent percent
. .
Dan dan
Jørgensen jørgensen
: :
Offshore offshore
wind wind
has have
the the
potential potential
to to
cover cover
the the
current current
electricity electricity
demand demand
of of
the the
entire entire
world world
not not
once once
, ,
not not
twice twice
, ,
18 @card@
times time
. .
NG ng
: :
We we
need need
to to
decarbonize decarbonize
the the
old old
economy economy
that that
we we
have have
and and
invest invest
to to
create create
the the
new new
economy economy
that that
we we
need need
Paul paul
Hawken hawken
: :
Regenerative regenerative
farming farming
is be
fairly fairly
simple simple
in in
concept concept
. .
It it
means mean
creating create
the the
conditions condition
for for
more more
life life
. .
Josephine josephine
Phillips phillips
: :
We we
need need
to to
buy buy
less less
stuff stuff
, ,
and and
we we
need need
to to
look look
after after
what what
we we
buy buy
. .
Valuing value
the the
things thing
that that
we we
own own
is be
a a
climate climate
solution solution
. .
Vishaan vishaan
Chakrabarti chakrabarti
: :
We we
can can
all all
live live
in in
this this
transit-rich transit-rich
, ,
carbon-negative carbon-negative
, ,
affordable affordable
way way
and and
leave leave
the the
vast vast
majority majority
of of
the the
planet planet
for for
nature nature
, ,
for for
agriculture agriculture
, ,
for for
clean clean
oceans ocean
. .
We we
can can
do do
this this
. .
Susan susan
Ruffo ruffo
: :
The the
ocean ocean
is be
a a
powerful powerful
source source
of of
solutions solution
that that
we we
' '
ve ve
overlooked overlook
for for
far far
too too
long long
. .
Al al
Roker roker
: :
You you
have have
to to
be be
engaged engage
. .
Let let
your your
elected elected
officials official
know know
that that
this this
is be
important important
to to
you you
. .
You you
have have
to to
vote vote
, ,
you you
have have
to to
go go
out out
there there
and and
support support
politicians politician
who who
are be
going go
to to
support support
our our
planet planet
. .
Peggy peggy
Shepard shepard
: :
We we
can can
create create
a a
legacy legacy
of of
environmental environmental
quality quality
and and
climate climate
resilience resilience
for for
all all
. .
Fehinti fehinti
Balogun balogun
: :
You you
are be
not not
powerless powerless
that that
the the
" "
oh oh
, ,
there there
' '
s s
nothing nothing
we we
can can
do do
, ,
just just
keep keep
going go
" "
is be
symptom symptom
, ,
not not
cure cure
. .
But but
you you
are be
needed need
. .
Avinash avinash
Persaud persaud
: :
The the
power power
of of
what what
we we
can can
do do
when when
it it
matters matter
to to
us us
is be
unlimited unlimited
. .
CF cf
: :
It it
' '
s s
not not
that that
we we
' '
re re
simply simply
going go
to to
avoid avoid
the the
worst bad
impacts impact
of of
climate climate
change change
. .
It it
' '
s s
that that
we we
' '
re re
going go
to to
improve improve
the the
quality quality
of of
life life
for for
humans human
, ,
both both
in in
the the
urban urban
and and
in in
the the
rural rural
sector sector
, ,
and and
for for
non-humans non-human
. .
