Diana	NP	Diana
looking	VBG	look
at	IN	at
first	JJ	first
?	SENT	?
I	PP	I
know	VBP	know
you	PP	you
mentioned	VBD	mention
that	IN	that
a	DT	a
keyboard	NN	keyboard
is	VBZ	be
a	DT	a
really	RB	really
key	JJ	key
part	NN	part
of	IN	of
this	DT	this
.	SENT	.
DR	NP	DR
:	:	:
We	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
develop	VB	develop
an	DT	an
interactive	JJ	interactive
touch	NN	touch
screen	NN	screen
for	IN	for
dolphins	NNS	dolphin
.	SENT	.
This	DT	this
is	VBZ	be
sort	NN	sort
of	IN	of
a	DT	a
continuation	NN	continuation
of	IN	of
some	DT	some
of	IN	of
the	DT	the
earlier	JJR	early
work	NN	work
,	,	,
and	CC	and
we	PP	we
just	RB	just
got	VBD	get
our	PP$	our
first	JJ	first
seed	NN	seed
money	NN	money
today	NN	today
towards	IN	towards
that	WDT	that
,	,	,
so	IN	so
it	PP	it
'	''	'
s	VBG	<unknown>
our	PP$	our
first	JJ	first
project	NN	project
.	SENT	.
JC	NP	JC
:	:	:
Before	IN	before
the	DT	the
talk	NN	talk
,	,	,
even	RB	even
.	SENT	.
DR	NP	DR
:	:	:
Yeah	RB	yeah
.	SENT	.
JC	NP	JC
:	:	:
Wow	NN	wow
.	SENT	.
Well	RB	well
done	VBN	do
.	SENT	.
All	DT	all
right	NN	right
,	,	,
well	RB	well
thank	VBP	thank
you	PP	you
all	DT	all
so	RB	so
much	JJ	much
for	IN	for
joining	VBG	join
us	PP	us
.	SENT	.
It	PP	it
'	POS	'
s	VBG	<unknown>
such	PDT	such
a	DT	a
delight	NN	delight
to	TO	to
have	VB	have
you	PP	you
on	IN	on
the	DT	the
stage	NN	stage
.	SENT	.
DR	NP	DR
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
VC	NP	VC
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
