Sherrell	NP	Sherrell
the	DT	the
stage	NN	stage
today	NN	today
at	IN	at
TEDWomen	NP	TEDWomen
.	SENT	.
Thank	VB	thank
you	PP	you
for	IN	for
everyone	NN	everyone
here	RB	here
as	RB	as
well	RB	well
.	SENT	.
And	CC	and
thank	VB	thank
you	PP	you
to	TO	to
the	DT	the
HBCU	NP	<unknown>
students	NNS	student
who	WP	who
are	VBP	be
also	RB	also
in	IN	in
the	DT	the
room	NN	room
representing	VBG	represent
.	SENT	.
MDP	NN	MDP
:	:	:
Thank	VB	thank
you	PP	you
,	,	,
thank	VB	thank
you	PP	you
.	SENT	.
SD	NNS	<unknown>
:	:	:
Thanks	NNS	thanks
everyone	NN	everyone
.	SENT	.
