Right	RB	right
is	VBZ	be
below	RB	below
there	RB	there
,	,	,
with	IN	with
a	DT	a
microprocessor	NN	microprocessor
on	IN	on
each	DT	each
one	CD	one
.	SENT	.
There	EX	there
are	VBP	be
thermocouples	NNS	thermocouple
on	IN	on
the	DT	the
engine	NN	engine
—	:	-
little	JJ	little
sensors	NNS	sensor
that	WDT	that
detect	VBP	detect
the	DT	the
heat	NN	heat
when	WRB	when
the	DT	the
sunlight	NN	sunlight
strikes	VBZ	strike
them	PP	them
.	SENT	.
Each	DT	each
petal	NN	petal
adjusts	VBZ	adjust
itself	PP	itself
separately	RB	separately
to	TO	to
keep	VB	keep
the	DT	the
highest	JJS	high
temperature	NN	temperature
on	IN	on
it	PP	it
.	SENT	.
When	WRB	when
the	DT	the
sun	NN	sun
comes	VBZ	come
out	RP	out
in	IN	in
the	DT	the
morning	NN	morning
,	,	,
the	DT	the
petals	NNS	petal
will	MD	will
seek	VB	seek
the	DT	the
sun	NN	sun
,	,	,
find	VB	find
it	PP	it
by	IN	by
searching	VBG	search
for	IN	for
the	DT	the
highest	JJS	high
temperature	NN	temperature
.	SENT	.
About	IN	about
a	DT	a
minute	NN	minute
and	CC	and
a	DT	a
half	NN	half
or	CC	or
two	CD	two
minutes	NNS	minute
after	IN	after
the	DT	the
rays	NNS	ray
are	VBP	be
striking	VBG	strike
the	DT	the
hot	JJ	hot
cap	NN	cap
the	DT	the
engine	NN	engine
will	MD	will
be	VB	be
warm	JJ	warm
enough	RB	enough
to	TO	to
start	VB	start
and	CC	and
then	RB	then
the	DT	the
engine	NN	engine
will	MD	will
generate	VB	generate
electricity	NN	electricity
for	IN	for
about	RB	about
six	CD	six
and	CC	and
a	DT	a
half	JJ	half
hours	NNS	hour
a	DT	a
day	NN	day
—	:	-
six	CD	six
and	CC	and
a	DT	a
half	NN	half
to	TO	to
seven	CD	seven
hours	NNS	hour
as	IN	as
the	DT	the
sun	NN	sun
moves	VBZ	move
across	IN	across
the	DT	the
sky	NN	sky
.	SENT	.
A	DT	a
critical	JJ	critical
part	NN	part
that	IN	that
we	PP	we
can	MD	can
take	VB	take
advantage	NN	advantage
of	IN	of
is	VBZ	be
that	IN	that
we	PP	we
have	VBP	have
these	DT	these
inexpensive	JJ	inexpensive
microprocessors	NNS	microprocessor
and	CC	and
each	DT	each
of	IN	of
these	DT	these
petals	NNS	petal
is	VBZ	be
autonomous	JJ	autonomous
,	,	,
and	CC	and
each	DT	each
of	IN	of
these	DT	these
petals	NNS	petal
figures	VBZ	figure
out	RP	out
where	WRB	where
the	DT	the
sun	NN	sun
is	VBZ	be
with	IN	with
no	DT	no
user	NN	user
setup	NN	setup
.	SENT	.
So	RB	so
you	PP	you
don	VB	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
tell	VB	tell
what	WP	what
latitude	NN	latitude
,	,	,
longitude	NN	longitude
you	PP	you
'	POS	'
re	NN	re
at	IN	at
,	,	,
what	WP	what
your	PP$	your
roof	NN	roof
slope	NN	slope
angle	NN	angle
is	VBZ	be
,	,	,
or	CC	or
what	WP	what
orientation	NN	orientation
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
really	RB	really
care	NN	care
.	SENT	.
What	WP	what
it	PP	it
does	VBZ	do
is	VBZ	be
it	PP	it
searches	VBZ	search
to	TO	to
find	VB	find
the	DT	the
hottest	JJS	hot
spot	NN	spot
,	,	,
it	PP	it
searches	VBZ	search
again	RB	again
a	DT	a
half	PDT	half
an	DT	an
hour	NN	hour
later	RBR	later
,	,	,
a	DT	a
day	NN	day
later	RBR	later
,	,	,
a	DT	a
month	NN	month
later	RBR	later
.	SENT	.
It	PP	it
basically	RB	basically
figures	VBZ	figure
out	RP	out
where	WRB	where
on	IN	on
Earth	NN	earth
you	PP	you
are	VBP	be
by	IN	by
watching	VBG	watch
the	DT	the
direction	NN	direction
the	DT	the
sun	NN	sun
moves	NNS	move
,	,	,
so	RB	so
you	PP	you
don	VB	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
actually	RB	actually
enter	VB	enter
anything	NN	anything
about	IN	about
that	DT	that
.	SENT	.
The	DT	the
way	NN	way
the	DT	the
unit	NN	unit
works	VBZ	work
is	VBZ	be
,	,	,
when	WRB	when
the	DT	the
sun	NN	sun
comes	VBZ	come
out	RP	out
,	,	,
the	DT	the
engine	NN	engine
will	MD	will
start	VB	start
and	CC	and
you	PP	you
get	VBP	get
power	NN	power
out	RP	out
here	RB	here
.	SENT	.
We	PP	we
have	VBP	have
AC	NP	AC
and	CC	and
DC	NP	DC
,	,	,
get	VBP	get
12	CD	@card@
volts	NNS	volt
DC	NP	DC
,	,	,
so	IN	so
that	WDT	that
could	MD	could
be	VB	be
used	VBN	use
for	IN	for
certain	JJ	certain
applications	NNS	application
.	SENT	.
We	PP	we
have	VBP	have
an	DT	an
inverter	NN	inverter
in	IN	in
there	RB	there
,	,	,
so	RB	so
you	PP	you
get	VBP	get
117	CD	@card@
volts	NNS	volt
AC	NP	AC
.	SENT	.
And	CC	and
you	PP	you
also	RB	also
get	VBP	get
hot	JJ	hot
water	NN	water
.	SENT	.
The	DT	the
hot	JJ	hot
water	NN	water
'	POS	'
s	NNS	<unknown>
optional	JJ	optional
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
use	VB	use
it	PP	it
,	,	,
it	PP	it
will	MD	will
cool	VB	cool
itself	PP	itself
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
use	VB	use
it	PP	it
to	TO	to
optionally	RB	optionally
heat	VB	heat
hot	JJ	hot
water	NN	water
and	CC	and
that	WDT	that
brings	VBZ	bring
the	DT	the
efficiency	NN	efficiency
up	RB	up
even	RB	even
higher	JJR	high
because	IN	because
some	DT	some
of	IN	of
the	DT	the
heat	NN	heat
that	IN	that
you	PP	you
'	POS	'
d	NN	d
normally	RB	normally
be	VB	be
rejecting	VBG	reject
,	,	,
you	PP	you
can	MD	can
now	RB	now
use	VB	use
as	IN	as
useful	JJ	useful
energy	NN	energy
,	,	,
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
for	IN	for
a	DT	a
pool	NN	pool
or	CC	or
hot	JJ	hot
water	NN	water
.	SENT	.
Let	VB	let
me	PP	me
show	VB	show
you	PP	you
a	DT	a
quick	JJ	quick
movie	NN	movie
of	IN	of
what	WP	what
this	DT	this
looks	NNS	look
like	IN	like
running	VBG	run
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
test	NN	test
where	WRB	where
we	PP	we
took	VBD	take
it	PP	it
outside	IN	outside
and	CC	and
each	DT	each
of	IN	of
the	DT	the
petals	NNS	petal
were	VBD	be
individually	RB	individually
seeking	VBG	seek
.	SENT	.
And	CC	and
what	WP	what
they	PP	they
do	VBP	do
is	VBZ	be
step	NN	step
,	,	,
very	RB	very
coarsely	RB	coarsely
at	IN	at
first	JJ	first
,	,	,
and	CC	and
very	RB	very
finely	RB	finely
afterward	RB	afterward
.	SENT	.
Once	RB	once
they	PP	they
get	VBP	get
a	DT	a
temperature	NN	temperature
reading	NN	reading
on	IN	on
the	DT	the
thermocouple	NN	thermocouple
indicating	VBG	indicate
they	PP	they
found	VBD	find
the	DT	the
sun	NN	sun
,	,	,
they	PP	they
slow	VBP	slow
down	RP	down
and	CC	and
do	VB	do
a	DT	a
fine	JJ	fine
search	NN	search
.	SENT	.
Then	RB	then
the	DT	the
petals	NNS	petal
will	MD	will
move	VB	move
into	IN	into
position	NN	position
,	,	,
and	CC	and
the	DT	the
engine	NN	engine
will	MD	will
start	VB	start
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
on	IN	on
this	DT	this
for	IN	for
the	DT	the
last	JJ	last
two	CD	two
years	NNS	year
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
very	RB	very
excited	VBN	excite
about	IN	about
the	DT	the
progress	NN	progress
,	,	,
we	PP	we
have	VBP	have
a	DT	a
long	JJ	long
way	NN	way
to	TO	to
go	VB	go
though	RB	though
.	SENT	.
This	DT	this
is	VBZ	be
how	WRB	how
we	PP	we
envision	VBP	envision
it	PP	it
would	MD	would
be	VB	be
in	IN	in
a	DT	a
residential	JJ	residential
installation	NN	installation
:	:	:
you	PP	you
'	POS	'
d	NN	d
probably	RB	probably
have	VBP	have
more	JJR	more
than	IN	than
one	CD	one
unit	NN	unit
on	IN	on
your	PP$	your
roof	NN	roof
.	SENT	.
It	PP	it
could	MD	could
be	VB	be
on	IN	on
your	PP$	your
roof	NN	roof
,	,	,
your	PP$	your
backyard	NN	backyard
,	,	,
or	CC	or
somewhere	RB	somewhere
else	RB	else
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
have	VB	have
enough	JJ	enough
units	NNS	unit
to	TO	to
power	VB	power
your	PP$	your
entire	JJ	entire
house	NN	house
,	,	,
you	PP	you
just	RB	just
save	VB	save
money	NN	money
with	IN	with
each	DT	each
incremental	JJ	incremental
one	CD	one
you	PP	you
add	VBP	add
.	SENT	.
So	IN	so
you	PP	you
'	POS	'
re	NN	re
still	RB	still
using	VBG	use
the	DT	the
grid	NN	grid
potentially	RB	potentially
,	,	,
in	IN	in
this	DT	this
type	NN	type
of	IN	of
application	NN	application
,	,	,
to	TO	to
be	VB	be
your	PP$	your
backup	JJ	backup
supply	NN	supply
—	:	-
of	IN	of
course	NN	course
,	,	,
you	PP	you
can	MD	can
'	''	'
t	NN	t
use	VB	use
these	DT	these
at	IN	at
night	NN	night
,	,	,
and	CC	and
you	PP	you
can	MD	can
'	''	'
t	NN	t
use	VB	use
these	DT	these
on	IN	on
cloudy	JJ	cloudy
days	NNS	day
.	SENT	.
But	CC	but
by	IN	by
reducing	VBG	reduce
your	PP$	your
energy	NN	energy
use	NN	use
,	,	,
pretty	RB	pretty
much	RB	much
at	IN	at
the	DT	the
peak	JJ	peak
times	NNS	time
—	:	-
usually	RB	usually
when	WRB	when
you	PP	you
have	VB	have
your	PP$	your
air	NN	air
conditioning	NN	conditioning
on	IN	on
,	,	,
or	CC	or
other	JJ	other
times	NNS	time
like	IN	like
that	DT	that
—	:	-
this	DT	this
generates	VBZ	generate
the	DT	the
peak	JJ	peak
power	NN	power
at	IN	at
the	DT	the
peak	JJ	peak
usage	NN	usage
time	NN	time
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
very	RB	very
complementary	JJ	complementary
in	IN	in
that	DT	that
sense	NN	sense
.	SENT	.
This	DT	this
is	VBZ	be
how	WRB	how
we	PP	we
would	MD	would
envision	VB	envision
a	DT	a
residential	JJ	residential
application	NN	application
.	SENT	.
We	PP	we
also	RB	also
think	VBP	think
there	EX	there
'	''	'
s	NNS	<unknown>
very	RB	very
big	JJ	big
potential	NN	potential
for	IN	for
energy	NN	energy
farms	NNS	farm
,	,	,
especially	RB	especially
in	IN	in
remote	JJ	remote
land	NN	land
where	WRB	where
there	EX	there
happens	VBZ	happen
to	TO	to
be	VB	be
a	DT	a
lot	NN	lot
of	IN	of
sun	NN	sun
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
really	RB	really
good	JJ	good
combination	NN	combination
of	IN	of
those	DT	those
two	CD	two
factors	NNS	factor
.	SENT	.
It	PP	it
turns	VBZ	turn
out	RP	out
there	RB	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
powerful	JJ	powerful
sun	NN	sun
all	RB	all
around	IN	around
the	DT	the
world	NN	world
,	,	,
obviously	RB	obviously
,	,	,
but	CC	but
in	IN	in
special	JJ	special
places	NNS	place
where	WRB	where
it	PP	it
happens	VBZ	happen
to	TO	to
be	VB	be
relatively	RB	relatively
inexpensive	JJ	inexpensive
to	TO	to
place	VB	place
these	DT	these
and	CC	and
also	RB	also
in	IN	in
many	JJ	many
more	JJR	more
places	NNS	place
where	WRB	where
there	EX	there
is	VBZ	be
high	JJ	high
wind	NN	wind
power	NN	power
.	SENT	.
So	IN	so
an	DT	an
example	NN	example
of	IN	of
that	WDT	that
is	VBZ	be
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
map	NN	map
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
Pretty	RB	pretty
much	RB	much
everywhere	RB	everywhere
that	RB	that
'	''	'
s	NNS	<unknown>
not	RB	not
green	JJ	green
or	CC	or
blue	JJ	blue
is	VBZ	be
a	DT	a
really	RB	really
ideal	JJ	ideal
place	NN	place
,	,	,
but	CC	but
even	RB	even
the	DT	the
green	JJ	green
or	CC	or
blue	JJ	blue
areas	NNS	area
are	VBP	be
good	JJ	good
,	,	,
just	RB	just
not	RB	not
as	RB	as
good	JJ	good
as	IN	as
the	DT	the
places	NNS	place
that	WDT	that
are	VBP	be
red	JJ	red
,	,	,
orange	JJ	orange
and	CC	and
yellow	JJ	yellow
.	SENT	.
But	CC	but
the	DT	the
hot	JJ	hot
spot	NN	spot
right	NN	right
around	IN	around
Las	NP	Las
Vegas	NP	Vegas
and	CC	and
Death	NP	Death
Valley	NP	Valley
is	VBZ	be
very	RB	very
good	JJ	good
.	SENT	.
And	CC	and
is	VBZ	be
only	RB	only
affects	VBZ	affect
the	DT	the
payback	NNS	payback
period	NN	period
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
that	IN	that
you	PP	you
couldn	NNS	<unknown>
'	POS	'
t	NN	t
use	NN	use
solar	JJ	solar
energy	NN	energy
;	:	;
you	PP	you
could	MD	could
use	VB	use
it	PP	it
anywhere	RB	anywhere
on	IN	on
Earth	NP	Earth
.	SENT	.
It	PP	it
just	RB	just
affects	VBZ	affect
the	DT	the
payback	NNS	payback
period	NN	period
if	IN	if
you	PP	you
'	POS	'
re	NN	re
comparing	VBG	compare
to	TO	to
grid-supplied	JJ	<unknown>
electricity	NN	electricity
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
grid-supplied	VBN	grid-supply
electricity	NN	electricity
,	,	,
then	RB	then
the	DT	the
question	NN	question
of	IN	of
payback	NNS	payback
is	VBZ	be
a	DT	a
different	JJ	different
one	CD	one
entirely	RB	entirely
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
just	RB	just
how	WRB	how
many	JJ	many
watts	NNS	watt
do	VBP	do
you	PP	you
get	VB	get
per	IN	per
dollar	NN	dollar
,	,	,
and	CC	and
how	WRB	how
could	MD	could
you	PP	you
benefit	VB	benefit
from	IN	from
that	WDT	that
to	TO	to
change	VB	change
your	PP$	your
life	NN	life
in	IN	in
some	DT	some
way	NN	way
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
map	NN	map
of	IN	of
the	DT	the
whole	JJ	whole
Earth	NN	earth
,	,	,
and	CC	and
you	PP	you
can	MD	can
see	VB	see
a	DT	a
huge	JJ	huge
swathe	NN	swathe
in	IN	in
the	DT	the
middle	NN	middle
where	WRB	where
a	DT	a
large	JJ	large
part	NN	part
of	IN	of
the	DT	the
population	NN	population
is	VBZ	be
,	,	,
there	EX	there
'	''	'
s	JJ	<unknown>
tremendous	JJ	tremendous
chances	NNS	chance
for	IN	for
solar	JJ	solar
energy	NN	energy
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
look	NN	look
at	IN	at
Africa	NP	Africa
.	SENT	.
The	DT	the
potential	NN	potential
to	TO	to
take	VB	take
advantage	NN	advantage
of	IN	of
solar	JJ	solar
energy	NN	energy
there	EX	there
is	VBZ	be
unbelievable	JJ	unbelievable
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
really	RB	really
excited	VBN	excite
to	TO	to
talk	VB	talk
more	RBR	more
about	IN	about
finding	VBG	find
ways	NNS	way
we	PP	we
can	MD	can
help	VB	help
with	IN	with
that	DT	that
.	SENT	.
So	RB	so
,	,	,
in	IN	in
conclusion	NN	conclusion
,	,	,
I	PP	I
would	MD	would
say	VB	say
my	PP$	my
journey	NN	journey
has	VBZ	have
shown	VBN	show
me	PP	me
that	IN	that
you	PP	you
can	MD	can
revisit	VB	revisit
old	JJ	old
ideas	NNS	idea
in	IN	in
a	DT	a
new	JJ	new
light	NN	light
,	,	,
and	CC	and
sometimes	RB	sometimes
ideas	NNS	idea
that	WDT	that
have	VBP	have
been	VBN	be
discarded	VBN	discard
in	IN	in
the	DT	the
past	NN	past
can	MD	can
be	VB	be
practical	JJ	practical
now	RB	now
if	IN	if
you	PP	you
apply	VBP	apply
some	DT	some
new	JJ	new
technology	NN	technology
or	CC	or
new	JJ	new
twists	NNS	twist
.	SENT	.
We	PP	we
believe	VBP	believe
we	PP	we
'	''	'
re	IN	re
getting	VBG	get
very	RB	very
close	JJ	close
to	TO	to
something	NN	something
practical	JJ	practical
and	CC	and
affordable	JJ	affordable
.	SENT	.
Our	PP$	our
short-term	JJ	short-term
goal	NN	goal
for	IN	for
this	DT	this
is	VBZ	be
to	TO	to
be	VB	be
half	PDT	half
the	DT	the
price	NN	price
of	IN	of
solar	JJ	solar
cells	NNS	cell
and	CC	and
our	PP$	our
longer-term	JJ	longer-term
goal	NN	goal
is	VBZ	be
to	TO	to
be	VB	be
less	JJR	less
than	IN	than
a	DT	a
five-year	JJ	five-year
payback	NNS	payback
.	SENT	.
And	CC	and
at	IN	at
less	JJR	less
than	IN	than
a	DT	a
five-year	JJ	five-year
payback	NNS	payback
,	,	,
this	DT	this
becomes	VBZ	become
very	RB	very
economic	JJ	economic
.	SENT	.
So	RB	so
you	PP	you
don	VB	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
just	RB	just
have	VB	have
a	DT	a
feel-good	JJ	feel-good
attitude	NN	attitude
about	IN	about
energy	NN	energy
to	TO	to
want	VB	want
to	TO	to
have	VB	have
one	CD	one
of	IN	of
these	DT	these
.	SENT	.
It	PP	it
just	RB	just
makes	VBZ	make
economic	JJ	economic
sense	NN	sense
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
solar	JJ	solar
paybacks	NNS	payback
are	VBP	be
between	IN	between
30	CD	@card@
and	CC	and
50	CD	@card@
years	NNS	year
.	SENT	.
If	IN	if
you	PP	you
get	VBP	get
it	PP	it
down	RP	down
below	IN	below
five	CD	five
years	NNS	year
,	,	,
then	RB	then
it	PP	it
'	POS	'
s	NN	S
almost	RB	almost
a	DT	a
no-brainer	NN	no-brainer
because	IN	because
the	DT	the
interest	NN	interest
to	TO	to
own	VB	own
it	PP	it
—	:	-
someone	NN	someone
else	RB	else
will	MD	will
finance	VB	finance
it	PP	it
for	IN	for
you	PP	you
and	CC	and
you	PP	you
can	MD	can
just	RB	just
make	VB	make
money	NN	money
from	IN	from
day	NN	day
one	CD	one
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
our	PP$	our
real	JJ	real
powerful	JJ	powerful
goal	NN	goal
that	IN	that
we	PP	we
'	POS	'
re	NN	re
really	RB	really
shooting	VBG	shoot
for	IN	for
in	IN	in
the	DT	the
company	NN	company
.	SENT	.
Two	CD	two
other	JJ	other
things	NNS	thing
that	IN	that
I	PP	I
learned	VBD	learn
that	DT	that
were	VBD	be
very	RB	very
surprising	JJ	surprising
to	TO	to
me	PP	me
—	:	-
one	PP	one
was	VBD	be
how	WRB	how
casual	JJ	casual
we	PP	we
are	VBP	be
about	RB	about
energy	NN	energy
.	SENT	.
I	PP	I
was	VBD	be
walking	VBG	walk
from	IN	from
the	DT	the
elevator	NN	elevator
over	IN	over
here	RB	here
,	,	,
and	CC	and
even	RB	even
just	RB	just
looking	VBG	look
at	IN	at
the	DT	the
stage	NN	stage
right	RB	right
now	RB	now
—	:	-
so	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
probably	RB	probably
20	CD	@card@
,	,	,
500-watt	NP	<unknown>
lights	NNS	light
right	RB	right
now	RB	now
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
10	CD	@card@
,	,	,
000	CD	@card@
watts	NNS	watt
of	IN	of
light	NN	light
pouring	VBG	pour
on	IN	on
the	DT	the
stage	NN	stage
,	,	,
one	CD	one
horsepower	NN	horsepower
is	VBZ	be
746	CD	@card@
watts	NNS	watt
,	,	,
at	IN	at
full	JJ	full
power	NN	power
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
basically	RB	basically
15	CD	@card@
horses	NNS	horse
running	VBG	run
at	IN	at
full	JJ	full
speed	NN	speed
just	RB	just
to	TO	to
keep	VB	keep
the	DT	the
stage	NN	stage
lit	VBD	light
.	SENT	.
Not	RB	not
to	TO	to
mention	VB	mention
the	DT	the
200	CD	@card@
horses	NNS	horse
that	WDT	that
are	VBP	be
probably	RB	probably
running	VBG	run
right	RB	right
now	RB	now
to	TO	to
keep	VB	keep
the	DT	the
air-conditioning	NN	air-conditioning
going	VBG	go
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
just	RB	just
amazing	JJ	amazing
,	,	,
walk	NN	walk
in	IN	in
the	DT	the
elevator	NN	elevator
,	,	,
and	CC	and
there	EX	there
'	''	'
s	NN	S
lights	NNS	light
on	IN	on
in	IN	in
the	DT	the
elevator	NN	elevator
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
now	RB	now
I	NP	I
'	POS	'
m	NN	m
very	RB	very
sensitive	JJ	sensitive
at	IN	at
home	NN	home
when	WRB	when
we	PP	we
leave	VBP	leave
the	DT	the
lights	NNS	light
on	IN	on
by	IN	by
mistake	NN	mistake
.	SENT	.
But	CC	but
,	,	,
everywhere	RB	everywhere
around	IN	around
us	PP	us
we	PP	we
have	VBP	have
insatiable	JJ	insatiable
use	NN	use
for	IN	for
energy	NN	energy
because	IN	because
it	PP	it
'	POS	'
s	NN	S
so	RB	so
cheap	JJ	cheap
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
cheap	JJ	cheap
because	IN	because
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
subsidized	VBN	subsidize
by	IN	by
energy	NN	energy
that	RB	that
'	POS	'
s	RB	<unknown>
been	VBN	be
concentrated	VBN	concentrate
by	IN	by
the	DT	the
sun	NN	sun
.	SENT	.
Basically	RB	basically
,	,	,
oil	NN	oil
is	VBZ	be
solar-energy	NN	solar-energy
concentrate	NN	concentrate
.	SENT	.
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
pounded	VBN	pound
for	IN	for
a	DT	a
billion	NN	billion
years	NNS	year
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
energy	NN	energy
to	TO	to
make	VB	make
it	PP	it
have	VBP	have
all	PDT	all
that	DT	that
energy	NN	energy
contained	VBN	contain
in	IN	in
it	PP	it
.	SENT	.
And	CC	and
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
birthright	NN	birthright
to	TO	to
just	RB	just
use	VB	use
that	IN	that
up	RB	up
as	RB	as
fast	RB	fast
as	IN	as
we	PP	we
are	VBP	be
,	,	,
I	PP	I
think	VBP	think
.	SENT	.
And	CC	and
it	PP	it
would	MD	would
be	VB	be
great	JJ	great
if	IN	if
we	PP	we
could	MD	could
make	VB	make
our	PP$	our
energy	NN	energy
usage	NN	usage
renewable	JJ	renewable
,	,	,
where	WRB	where
as	IN	as
we	PP	we
'	POS	'
re	NN	re
using	VBG	use
the	DT	the
energy	NN	energy
,	,	,
we	PP	we
'	POS	'
re	NN	re
creating	VBG	create
it	PP	it
at	IN	at
the	DT	the
same	JJ	same
pace	NN	pace
,	,	,
and	CC	and
I	PP	I
really	RB	really
hope	VBP	hope
we	PP	we
can	MD	can
get	VB	get
there	RB	there
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
,	,	,
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
a	DT	a
great	JJ	great
audience	NN	audience
.	SENT	.
